startup_id,company,milestone_type,milestone,period,value,unit_raw,currency,source_id,confidence,notes
S0025,Cult.fit (CureFit),first_funding_event,Series A,2016-07-04,1290.0,INR Mn,INR,SRC00506,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0025,Cult.fit (CureFit),legal_event,allegation,2026-08,,,,,MEDIUM,LEGAL_REGULATORY verbatim dates=2026-08
S0026,Fireflies AI,first_funding_event,Seed,2019-10-29,,INR Mn,INR,SRC00518,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0026,Fireflies AI,legal_event,allegation,filed Dec 2025; Mar 2026 cases,,,,SRC00517,MEDIUM,LEGAL_REGULATORY verbatim dates=filed Dec 2025; Mar 2026 cases
S0029,LeadSquared,first_funding_event,Seed,2013-04-26,,INR Mn,INR,SRC00572,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0030,MoEngage,founded,2014,2014,,,,,MEDIUM,STARTUPS.founded_date
S0030,MoEngage,first_funding_event,Series E,2022-06-01,6044.5,INR Mn,INR,SRC00581,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0031,Moneyview,founded,2014,2014,,,,,MEDIUM,STARTUPS.founded_date
S0031,Moneyview,first_funding_event,Series E,2022-12-26,5887.5,INR Mn,INR,SRC00589,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0031,Moneyview,acquisition,made acqui-hire / product acquisition,2024-09-12,~$4M (60.2 lakh Moneyview shares),as-stated in ACQUISITIONS.value,,SRC00594,HIGH,ACQUISITIONS verbatim
S0032,Mu Sigma,founded,2004,2004,,,,SRC00602,HIGH,STARTUPS.founded_date
S0032,Mu Sigma,first_funding_event,Series A / growth,2008-09-25,2580.0,INR Mn,INR,SRC00598,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0032,Mu Sigma,legal_event,litigation,2016-03-10,,,,SRC00598,MEDIUM,LEGAL_REGULATORY verbatim dates=2016-03-10
S0033,Netradyne,founded,2015,2015,,,,,MEDIUM,STARTUPS.founded_date
S0033,Netradyne,first_funding_event,Series A,2016-07-15,1558.32,INR Mn,INR,SRC00607,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0034,Postman,founded,2014,2014,,,,SRC00615,HIGH,STARTUPS.founded_date
S0034,Postman,first_funding_event,Seed,2014-10-31,84.02,INR Mn,INR,SRC00615,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0035,Zeta,founded,2015,2015,,,,SRC00631,HIGH,STARTUPS.founded_date
S0035,Zeta,first_funding_event,Series C,2019-07-23,,INR Mn,INR,SRC00638,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0035,Zeta,legal_event,notice,,,,,,LOW,LEGAL_REGULATORY verbatim dates=
S0036,Flipkart,founded,2007,2007,,,,SRC00649,HIGH,STARTUPS.founded_date
S0036,Flipkart,acquisition_financing_event,Acquisition (majority stake),2018-05-09,1376000.0,INR Mn,INR,SRC00651,HIGH,FUNDING row whose round_type records an acquisition/buyout event (not a startup funding round)
S0036,Flipkart,legal_event,complaint,2019,,,,SRC00652,HIGH,LEGAL_REGULATORY verbatim dates=2019
S0037,Porter,founded,2014,2014,,,,SRC00663,HIGH,STARTUPS.founded_date
S0037,Porter,first_funding_event,Seed,2015-02-20,41.37,INR Mn,INR,SRC00662,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0038,Unacademy,founded,2015,2015,,,,SRC00686,HIGH,STARTUPS.founded_date
S0038,Unacademy,first_funding_event,Series H,2021-08-01,32780.0,INR Mn,INR,SRC00288,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0038,Unacademy,legal_event,investigation,2026-07-07,,,,SRC00685,HIGH,LEGAL_REGULATORY verbatim dates=2026-07-07
S0040,Zetwerk,founded,2018,2018,,,,SRC00715,HIGH,STARTUPS.founded_date
S0040,Zetwerk,first_funding_event,Series E,2021-08-20,11175.0,INR Mn,INR,SRC00723,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0040,Zetwerk,legal_event,litigation,2026-07,,,,SRC00725,HIGH,LEGAL_REGULATORY verbatim dates=2026-07
S0041,Dream11 (Dream Sports),founded,2008,2008,,,,,HIGH,STARTUPS.founded_date
S0041,Dream11 (Dream Sports),first_funding_event,Series A,2014,,INR Mn,INR,SRC00747,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0041,Dream11 (Dream Sports),legal_event,ruling,"Passed Lok Sabha Aug 20, Rajya Sabha Aug 21, 2025",,,,SRC00738,HIGH,"LEGAL_REGULATORY verbatim dates=Passed Lok Sabha Aug 20, Rajya Sabha Aug 21, 2025"
S0042,InMobi,founded,2007,2007,,,,SRC00757,HIGH,STARTUPS.founded_date
S0042,InMobi,first_funding_event,"Equity (early backer; ~$200-220M invested, per ET Dec 2025)",2011,,INR Mn,INR,SRC00752,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0042,InMobi,legal_event,regulatory,2024-07,,,,SRC00760,LOW,LEGAL_REGULATORY verbatim dates=2024-07
S0043,Nykaa,founded,2012-04-01,2012-04-01,,,,,HIGH,STARTUPS.founded_date
S0043,Nykaa,first_funding_event,Primary (unicorn round),2019-03-01,,INR Mn,INR,SRC00777,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0043,Nykaa,acquisition,made product acquisition,2026-08-04,up to Rs 32 crore,as-stated in ACQUISITIONS.value,,SRC00781,HIGH,ACQUISITIONS verbatim
S0044,Rebel Foods,founded,2011,2011,,,,SRC00794,HIGH,STARTUPS.founded_date
S0044,Rebel Foods,first_funding_event,Series A,2017,,INR Mn,INR,SRC00795,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0044,Rebel Foods,acquisition,made product acquisition,2022-04-07,undisclosed,as-stated in ACQUISITIONS.value,,SRC00791,MEDIUM,ACQUISITIONS verbatim
S0044,Rebel Foods,legal_event,regulatory,2024-12,,,,SRC00785,HIGH,LEGAL_REGULATORY verbatim dates=2024-12
S0045,Drools,founded,2009,2009,,,,SRC00807,HIGH,STARTUPS.founded_date
S0045,Drools,first_funding_event,Private Equity minority,2023-06-20,4968.0,INR Mn,INR,SRC00797,,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0046,Fractal Analytics,founded,2000,2000,,,,,HIGH,STARTUPS.founded_date
S0046,Fractal Analytics,first_funding_event,Series C,2016-05-10,8600.0,INR Mn,INR,SRC00824,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0047,Jumbotail,founded,2015-11-04,2015-11-04,,,,SRC00833,HIGH,STARTUPS.founded_date
S0047,Jumbotail,first_funding_event,Seed,2015-12-16,169.42,INR Mn,INR,SRC00837,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0047,Jumbotail,legal_event,complaint,2025-04,,,,SRC00838,MEDIUM,LEGAL_REGULATORY verbatim dates=2025-04
S0048,Livspace,founded,2014,2014,,,,SRC00859,HIGH,STARTUPS.founded_date
S0048,Livspace,first_funding_event,Series A,2014-12-17,395.6,INR Mn,INR,SRC00867,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0048,Livspace,legal_event,regulatory,2024-09-18,,,,SRC00884,HIGH,LEGAL_REGULATORY verbatim dates=2024-09-18
S0049,Meesho,founded,2015-12-01,2015-12-01,,,,SRC00893,HIGH,STARTUPS.founded_date
S0049,Meesho,first_funding_event,Seed,2015,25.8,INR Mn,INR,SRC00894,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0049,Meesho,legal_event,regulatory,2025,,,,SRC00890,HIGH,LEGAL_REGULATORY verbatim dates=2025
S0051,Rapido,founded,2015,2015,,,,SRC00937,HIGH,STARTUPS.founded_date
S0051,Rapido,first_funding_event,Seed,2016,,INR Mn,INR,SRC00938,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0051,Rapido,legal_event,regulatory,2024-03-06,,,,SRC00956,HIGH,LEGAL_REGULATORY verbatim dates=2024-03-06
S0052,ShareChat,founded,2015,2015,,,,SRC00974,HIGH,STARTUPS.founded_date
S0052,ShareChat,first_funding_event,Seed,2015-10-03,60.2,INR Mn,INR,SRC00980,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0052,ShareChat,legal_event,transparency,2021-2024,,,,SRC00993,MEDIUM,LEGAL_REGULATORY verbatim dates=2021-2024
S0053,Apna,founded,2019,2019,,,,SRC00998,HIGH,STARTUPS.founded_date
S0053,Apna,first_funding_event,Seed,2019-07-01,258.0,INR Mn,INR,SRC00998,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0053,Apna,legal_event,regulatory,2024-02-28,,,,SRC01009,HIGH,LEGAL_REGULATORY verbatim dates=2024-02-28
S0054,BharatPe,founded,2018-03-01,2018-03-01,,,,,MEDIUM,STARTUPS.founded_date
S0054,BharatPe,first_funding_event,Series C,2020-02-01,5550.0,INR Mn,INR,SRC01019,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0054,BharatPe,legal_event,settlement,2022-2024; settled 2024-09-30,,,,SRC01014,HIGH,LEGAL_REGULATORY verbatim dates=2022-2024; settled 2024-09-30
S0055,Euler Motors,founded,2018,2018,,,,SRC01029,HIGH,STARTUPS.founded_date
S0055,Euler Motors,first_funding_event,Series C,2022-10-03,4710.0,INR Mn,INR,SRC01031,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0055,Euler Motors,legal_event,regulatory,FY24-FY25,,,,SRC01026,MEDIUM,LEGAL_REGULATORY verbatim dates=FY24-FY25
S0058,Pixxel,first_funding_event,Seed,2021-03-17,543.85,INR Mn,INR,SRC01066,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0061,Nua,founded,2017,2017,,,,SRC01121,HIGH,STARTUPS.founded_date
S0061,Nua,first_funding_event,Series A,2019,344.0,INR Mn,INR,SRC01118,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0062,Truemeds,founded,2019,2019,,,,SRC01145,HIGH,STARTUPS.founded_date
S0062,Truemeds,first_funding_event,Seed,2020-05-16,36.84,INR Mn,INR,SRC01155,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0062,Truemeds,legal_event,regulatory,,,,,SRC01149,MEDIUM,LEGAL_REGULATORY verbatim dates=
S0063,Weaver Services,founded,2024-04-01,2024-04-01,,,,SRC01173,HIGH,STARTUPS.founded_date
S0063,Weaver Services,first_funding_event,Growth equity,2025-08-19,14569.0,INR Mn,INR,SRC01163,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0063,Weaver Services,acquisition,made vertical integration,2026-03-18,~Rs 600 Cr total deal (Rs 430 Cr for 56.4% + Rs 170 Cr for 18.6%),as-stated in ACQUISITIONS.value,,SRC01171,HIGH,ACQUISITIONS verbatim
S0063,Weaver Services,legal_event,regulatory,2025-08,,,,SRC01177,MEDIUM,LEGAL_REGULATORY verbatim dates=2025-08
S0064,NoBroker,founded,2014,2014,,,,SRC01189,HIGH,STARTUPS.founded_date
S0064,NoBroker,first_funding_event,Series C,2019-06-22,4386.0,INR Mn,INR,SRC01193,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0064,NoBroker,legal_event,licence,Unknown,,,,SRC01191,HIGH,LEGAL_REGULATORY verbatim dates=Unknown
S0065,Skyroot Aerospace,founded,2018,2018,,,,,MEDIUM,STARTUPS.founded_date
S0065,Skyroot Aerospace,first_funding_event,Series B (early tranche; Sherpalo participated),2022-01-01,353.25,INR Mn,INR,SRC01204,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0066,Digantara,founded,2020,2020,,,,SRC01214,HIGH,STARTUPS.founded_date
S0066,Digantara,first_funding_event,Grant (prize money),2020-08-20,0.25,INR Mn,INR,SRC01215,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0067,Games24x7,founded,2006,2006,,,,SRC01244,HIGH,STARTUPS.founded_date
S0067,Games24x7,first_funding_event,Seed,2006-06-01,,INR Mn,INR,SRC01240,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0067,Games24x7,legal_event,regulatory,2025-09-01,,,,SRC01231,MEDIUM,LEGAL_REGULATORY verbatim dates=2025-09-01
S0068,Infra.Market,founded,2016,2016,,,,SRC01265,HIGH,STARTUPS.founded_date
S0068,Infra.Market,first_funding_event,Seed/Series A,2019,860.0,INR Mn,INR,SRC01259,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0068,Infra.Market,legal_event,complaint,2026,,,,SRC01260,MEDIUM,LEGAL_REGULATORY verbatim dates=2026
S0070,Navi,founded,2018,2018,,,,SRC01291,HIGH,STARTUPS.founded_date
S0070,Navi,first_funding_event,Convertible Debt,2024-05-23,1507.62,INR Mn,INR,SRC01292,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0070,Navi,legal_event,regulatory,2024-10-21,,,,SRC01293,HIGH,LEGAL_REGULATORY verbatim dates=2024-10-21
S0071,Ninjacart,founded,2015,2015,,,,SRC01316,HIGH,STARTUPS.founded_date
S0071,Ninjacart,first_funding_event,Series B,2018-12-12,3100.0,INR Mn,INR,SRC01317,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0071,Ninjacart,legal_event,insolvency,,,,,SRC01312,LOW,LEGAL_REGULATORY verbatim dates=
S0072,Pine Labs,founded,1998,1998,,,,,HIGH,STARTUPS.founded_date
S0072,Pine Labs,first_funding_event,Seed,2009-01-01,,INR Mn,INR,SRC01333,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0072,Pine Labs,legal_event,arbitration,,,,,,LOW,LEGAL_REGULATORY verbatim dates=
S0075,Ultrahuman,founded,2019-12-01,2019-12-01,,,,SRC01406,HIGH,STARTUPS.founded_date
S0075,Ultrahuman,first_funding_event,Seed,2019-12-11,,INR Mn,INR,SRC01408,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0075,Ultrahuman,legal_event,compliance,,,,,SRC01406,MEDIUM,LEGAL_REGULATORY verbatim dates=
S0076,Third Wave Coffee,founded,2016,2016,,,,SRC01438,HIGH,STARTUPS.founded_date
S0076,Third Wave Coffee,first_funding_event,Series A,2021,447.0,INR Mn,INR,SRC01440,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0077,Celcius Logistics,founded,2020,2020,,,,,HIGH,STARTUPS.founded_date
S0077,Celcius Logistics,first_funding_event,Series B (equity + debt + secondary),2025-05-06,21425.0,INR Mn,INR,SRC01457,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0078,Square Yards,founded,2014,2014,,,,SRC01471,HIGH,STARTUPS.founded_date
S0078,Square Yards,first_funding_event,Private,2014,,INR Mn,INR,SRC01472,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0084,MobiKwik,founded,2008,2008,,,,,HIGH,STARTUPS.founded_date
S0084,MobiKwik,first_funding_event,Series C,2016-05-01,4300.0,INR Mn,INR,SRC01518,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0085,OfBusiness,founded,2015,2015,,,,SRC01540,HIGH,STARTUPS.founded_date
S0085,OfBusiness,first_funding_event,Series A,2015-09-26,369.8,INR Mn,INR,SRC01545,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0085,OfBusiness,legal_event,regulatory,2026-04-22,,,,SRC01539,HIGH,LEGAL_REGULATORY verbatim dates=2026-04-22
S0086,Pristyn Care,founded,2018,2018,,,,,HIGH,STARTUPS.founded_date
S0086,Pristyn Care,first_funding_event,Series A,2019-06-02,344.0,INR Mn,INR,SRC01574,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0087,Swish,founded,2024,2024,,,,SRC01594,HIGH,STARTUPS.founded_date
S0087,Swish,first_funding_event,Seed,2024-11-19,167.4,INR Mn,INR,SRC01584,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0090,Toddle,founded,2019,2019,,,,SRC01614,HIGH,STARTUPS.founded_date
S0090,Toddle,first_funding_event,series-a,2023-01-10,1407.6,INR Mn,INR,SRC01613,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0090,Toddle,legal_event,regulatory,2025-01-13,,,,SRC01618,HIGH,LEGAL_REGULATORY verbatim dates=2025-01-13
S0092,Akasa Air,founded,2021,2021,,,,SRC01640,MEDIUM,STARTUPS.founded_date
