metric,startup_id,company,value,population,population_size,q1,median,q3,upper_fence,method,confidence,notes
funding_total_inr_mn,S0041,Dream11 (Dream Sports),117816.6,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0006,Neysa,108585.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0322,InsuranceDekho,104316.9,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0094,Eruditus,101310.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0051,Rapido,101276.8,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0049,Meesho,98729.8,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0042,InMobi,96471.2,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0181,Inox Clean Energy,93000.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0078,Square Yards,89676.5,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0310,CARS24,87229.3,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0136,Erisha E Mobility,85700.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0038,Unacademy,82022.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0068,Infra.Market,81369.2,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0003,PhonePe,74670.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0138,OYO,73535.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0002,KreditBee,69069.3,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0046,Fractal Analytics,68629.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
