year,city,sector,stage,investor_type_mix,new_or_existing,capital_inr_mn,rounds,disclosed_only,notes
2015,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Seed,VC,new_or_mixed,169.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Bengaluru,saas/api dev,Seed,unknown,new_or_mixed,86.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Bengaluru,social media,Seed,/VC,new_or_mixed,60.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Bengaluru,logistics,Seed,/Venture Capital,new_or_mixed,41.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,"Bengaluru, Karnataka",Horizontal ecommerce / social commerce,Seed,Accelerator/Micro-VC,new_or_mixed,25.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Mumbai,enterprise AI/analytics,Series C,,new_or_mixed,8600.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Gurugram,fintech,Series C,,new_or_mixed,4300.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,AI / computer vision / fleet safety telematics,Series A,CVC-corporate,new_or_mixed,1558.3,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,fitness/healthtech,Series A,Other/VC,new_or_mixed,1290.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,Home interiors marketplace,Series B,unknown,new_or_mixed,1290.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Hyderabad,Beauty-Tech SaaS,Series B,VC,new_or_mixed,1290.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Gurugram,B2B supply-chain commerce / fintech,Series B,/VC,new_or_mixed,956.3,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,saas/api dev,Series A,unknown,new_or_mixed,602.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,social media,Series A,/VC,new_or_mixed,344.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,logistics,Series B,VC,new_or_mixed,217.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,logistics,Series B,/Venture Capital,new_or_mixed,126.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2016,Bengaluru,fintech / travel-fintech,Seed,,new_or_mixed,98.9,2,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,insurtech,Seed,Other/VC,new_or_mixed,2580.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,defence imaging / electro-optics,Series B,/Corporate VC,new_or_mixed,1462.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Series A,VC/Venture Capital,new_or_mixed,980.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Pune,agritech / crop inputs,Series B,/VC/Venture Capital,new_or_mixed,860.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,social media,Series B,/VC,new_or_mixed,688.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Mumbai,gaming/fantasy sports,Series C,PE/Venture Capital,new_or_mixed,186.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,logistics,Series B,/VC/Venture Capital,new_or_mixed,172.9,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,SaaS / API platform (GraphQL),Seed,,new_or_mixed,137.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,Mobility / EV,Seed,unknown,new_or_mixed,129.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,logistics,Series B,,new_or_mixed,115.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2017,Bengaluru,proptech / flex workspace (managed offices),Angel,Angel Investor,new_or_mixed,26.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,ecommerce,Acquisition (majority),CVC-corporate,new_or_mixed,1376000.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,ecommerce,Acquisition (majority stake),CVC-corporate,new_or_mixed,1376000.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Noida,fintech,Private,/Sovereign,new_or_mixed,10750.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Noida,fintech,Series C,/Sovereign,new_or_mixed,10750.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Mumbai,gaming/fantasy sports,Series D,CVC-corporate/PE/VC/Venture Capital,new_or_mixed,8600.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Noida,fintech,Series B,,new_or_mixed,7052.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,Home interiors marketplace,Series C,unknown,new_or_mixed,6020.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Mumbai,SaaS / dev testing,Series A,/VC,new_or_mixed,4300.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,social media,Series C,/VC,new_or_mixed,4300.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,agritech supply chain,Series B,/Corporate VC/VC/Venture Capital,new_or_mixed,3100.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Gurugram,B2B supply-chain commerce / fintech,Series C,/Investment Firm/VC,new_or_mixed,2519.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,AI / computer vision / fleet safety telematics,Series B,/CVC-corporate,new_or_mixed,1806.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Chennai,saas/billing,Series C,Hedge Fund/VC/Software-focused VC/VC,new_or_mixed,1579.3,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,proptech / flex workspace (managed offices),Series A,Angel Investor/PE (WestBridge affiliate)/VC,new_or_mixed,1290.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,agritech (dairy tech),Series B,/Corporate VC/VC,new_or_mixed,1204.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,fintech / travel-fintech,Series A,,new_or_mixed,1135.3,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,insurtech,Series B,/Corporate/Other,new_or_mixed,1032.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,logistics,Series C,,new_or_mixed,662.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2018,Bengaluru,d2c / baby tech,Angel,,new_or_mixed,335.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Mumbai,enterprise AI/analytics,Series D (Apax),,new_or_mixed,17200.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Chennai,saas,Series H,/VC,new_or_mixed,12900.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,"Bengaluru, Karnataka",Horizontal ecommerce / social commerce,Series A,VC,new_or_mixed,10750.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Pune,SaaS / contract lifecycle management,Series E,/CVC-corporate/VC,new_or_mixed,9890.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,social media,Series D,/VC,new_or_mixed,8600.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,agritech supply chain,Series C,unknown,new_or_mixed,7740.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,proptech,Series D,unknown,new_or_mixed,6880.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,fintech infra,Series C,Accelerator/Micro-VC/VC/growth,new_or_mixed,6450.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,insurtech,Series C,Other/VC,new_or_mixed,5590.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Noida,B2B e-commerce / industrial supply chain,Series D,/Investment Firm/growth,new_or_mixed,5160.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,Logistics,Series D,/CVC-corporate/Corporate VC/Sovereign/Govt,new_or_mixed,5160.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,"Bengaluru, Karnataka",Mobility / road transport tech (bike taxi-led multimodal),Series B,/VC,new_or_mixed,4695.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,proptech,Series C,growth equity,new_or_mixed,4386.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,saas/api dev,Series B,VC,new_or_mixed,4300.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,proptech,Series D,growth,new_or_mixed,4300.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Hyderabad,Beauty-Tech SaaS,Series C,Hedge Fund/VC/VC,new_or_mixed,4300.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Mumbai,SaaS/customer engagement,Series C,VC/growth,new_or_mixed,3010.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,fintech / travel-fintech,Series B,/CVC-corporate,new_or_mixed,3010.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Gurugram,B2B supply-chain commerce / fintech,Series D,/Investment Firm/VC,new_or_mixed,2936.9,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Pune,agritech / crop inputs,Series C,/CVC-corporate/VC/Venture Capital,new_or_mixed,2322.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Mumbai,fintech/broking,Series B,unknown,new_or_mixed,2150.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,media (Josh/Dailyhunt),Series F,/PE,new_or_mixed,2150.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Gurugram,proptech coworking,Series A,,new_or_mixed,2150.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Hyderabad,Beauty-Tech SaaS,Series C,Hedge Fund,new_or_mixed,1720.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Series B,/VC/Venture Capital,new_or_mixed,1358.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Gurugram,healthtech (elective surgery chain),Series B,VC,new_or_mixed,1032.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,Mobility / EV,Series A,unknown,new_or_mixed,1032.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,"Bengaluru, Karnataka",Mobility / road transport tech (bike taxi-led multimodal),Series A,/VC,new_or_mixed,963.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,logistics,Series C,/VC/Venture Capital,new_or_mixed,860.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Thane,B2B construction materials,Seed/Series A,/VC,new_or_mixed,860.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,fintech wealthtech,Series A,/Accelerator/Micro-VC/VC,new_or_mixed,533.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Mumbai,healthtech / femtech D2C wellness,Series A,VC/Venture Capital,new_or_mixed,344.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Gurugram,healthtech (elective surgery chain),Series A,VC,new_or_mixed,344.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,SaaS / CRM,Series A,,new_or_mixed,258.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,hr-tech/jobs,Seed,Hedge Fund/VC,new_or_mixed,258.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,d2c / baby tech,Seed,,new_or_mixed,86.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,gaming rmg,Seed,,new_or_mixed,86.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2019,Bengaluru,robotics vision,Seed,/VC,new_or_mixed,66.7,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Mumbai,gaming/fantasy sports,Series E,PE/VC/growth,new_or_mixed,16650.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,social media,Sequoia Capital talks,/VC,new_or_mixed,14800.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Gurugram,auto marketplace | used cars,Series F (unicorn),unknown,new_or_mixed,14800.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Gurugram,auto marketplace | used cars,Series E,/Investment/Other/VC,new_or_mixed,14800.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Hyderabad,Beauty-Tech SaaS,Series D,/Hedge Fund/Hedge Fund/VC/PE,new_or_mixed,11840.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,saas/api dev,Series C,Software-focused VC/VC,new_or_mixed,11100.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Pune,logistics,Series E,/PE/VC,new_or_mixed,8140.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,fintech infra,Series D,Accelerator/Micro-VC/Sovereign/Govt/VC/growth,new_or_mixed,7400.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,edtech live classes,Series D,Hedge Fund / Growth,new_or_mixed,7400.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,Home interiors marketplace,Series D (third tranche),unknown,new_or_mixed,6660.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,New Delhi,fintech payments/lending,Series C,unknown,new_or_mixed,5550.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,insurtech,Series D,,new_or_mixed,4440.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,Home interiors marketplace,Series D (second tranche),unknown,new_or_mixed,4440.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Chennai,saas/billing,Series F,Hedge Fund/Hedge Fund/VC/Software-focused VC,new_or_mixed,4070.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Noida,fintech,Series D,Hedge Fund,new_or_mixed,3034.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,SaaS / CRM,Series B,,new_or_mixed,2412.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Series B,/VC/Venture Capital/Venture Debt,new_or_mixed,1857.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,SaaS / API platform (GraphQL),Series B,/VC,new_or_mixed,1850.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Noida,agritech / post-harvest,Series B,unknown,new_or_mixed,1554.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,logistics,Series D,,new_or_mixed,1369.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Gurugram,healthtech (elective surgery chain),Series C,PE/VC,new_or_mixed,888.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,SaaS / API platform (GraphQL),Series A,/VC,new_or_mixed,732.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,gaming rmg,Series A,,new_or_mixed,592.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Noida,agritech / post-harvest,Pre-Series B,unknown,new_or_mixed,444.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,edtech study-abroad,Series A,Unknown,new_or_mixed,407.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,WealthTech / Investment Tech,Seed,,new_or_mixed,74.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,WealthTech / Investment Tech,Pre-Series A / Angel,/VC,new_or_mixed,74.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Mumbai,healthtech pharmacy,Seed,CVC-corporate,new_or_mixed,36.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,d2c travel goods,Seed,,new_or_mixed,23.7,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Mumbai,mobility / used-car leasing,Seed,unknown,new_or_mixed,21.7,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2020,Bengaluru,spacetech ssa,Grant (prize money),,new_or_mixed,0.2,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,ecommerce,primary,/CVC-corporate/Sovereign/Govt/VC,new_or_mixed,268200.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Chennai,saas,IPO,unknown,new_or_mixed,76735.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,gaming/fantasy sports,Series F,/Hedge Fund/Investment/PE/VC/growth,new_or_mixed,62580.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,D2C beauty / beauty-tech retail,IPO,,new_or_mixed,53520.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,edtech exec education,Series E,/PE/Sovereign/Govt/VC,new_or_mixed,48425.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,"Bengaluru, Karnataka",Horizontal ecommerce / social commerce,Series F,unknown,new_or_mixed,42465.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,social media,Series E,unknown,new_or_mixed,37399.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,Mobility / road transport tech,Pre-IPO (ANI Technologies),unknown,new_or_mixed,37250.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,edtech,Series H,Investment/Sovereign/VC/growth/growth equity,new_or_mixed,32780.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,gaming/fantasy sports,Secondary,Hedge Fund/PE/VC/growth,new_or_mixed,29800.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,fintech infra,Series F,/Accelerator/Micro-VC/Hedge Fund/Sovereign/Govt/VC/growth,new_or_mixed,27937.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,New Delhi,fintech payments/lending,Series E,/Hedge Fund/Hedge Fund / Growth/VC/growth,new_or_mixed,27565.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,proptech,Total funding,/Other/VC/corporate VC/growth/growth equity,new_or_mixed,26894.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Gurugram,auto marketplace | used cars,Series F,/CVC-corporate/Investment/Investment Firm/VC,new_or_mixed,25330.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Hyderabad,Beauty-Tech SaaS,PE Growth,unknown,new_or_mixed,24659.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Noida,fintech,Private,/Financial Services,new_or_mixed,24212.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Gurugram,B2B supply-chain commerce / fintech,Series G,Investment/Investment Firm/growth,new_or_mixed,24212.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Noida,fintech,Series E,/Asset Management,new_or_mixed,23467.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,"Bengaluru, Karnataka",Horizontal ecommerce / social commerce,Series B,VC,new_or_mixed,22350.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Gurugram,auto marketplace | used cars,Series G,/CVC-corporate/Investment Firm/Sovereign/Govt/VC,new_or_mixed,22350.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Noida,fintech,Series E,/Hedge Fund/Sovereign,new_or_mixed,21232.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Gurugram,logistics,Series H,/Financial Services/Hedge Fund/PE/Sovereign/Govt/VC/growth,new_or_mixed,20636.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,social media,Series G,/Investment/Sovereign,new_or_mixed,19817.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,crypto/fintech,Series C,/VC/growth,new_or_mixed,19370.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,insurtech,Series D,/VC/growth equity,existing,18997.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,fintech,Series E (reported Oct 2021),VC/growth,new_or_mixed,18699.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,fintech wealthtech,Series E,/Hedge Fund/VC/growth,new_or_mixed,18699.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,fintech/card infra,Series D (unicorn),VC,new_or_mixed,18625.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,fintech/card infra,Series C,/VC,new_or_mixed,18625.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Gurugram,auto/used cars,Series E,/VC,new_or_mixed,18625.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,AI / conversational SaaS,Series F extension,/Financial Services/Other/VC/growth,new_or_mixed,17880.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,saas/api dev,Series D,/Hedge Fund / Growth/Software-focused VC/VC,new_or_mixed,16762.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,social media,Tencent convertible debt,CVC-corporate,new_or_mixed,16762.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,fintech / digital banking,Series B,Software-focused VC/growth,new_or_mixed,16390.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,b2b manufacturing,Series F,/Hedge Fund/VC,new_or_mixed,15645.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Bengaluru,proptech,Series E,unknown,existing,15645.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,SaaS / dev testing,Series B,Software-focused VC/VC,new_or_mixed,14900.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Gurugram,B2B supply-chain commerce / fintech,Series F,/Investment Firm/Sovereign/Govt/VC/growth,new_or_mixed,14453.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2021,Mumbai,Edtech / skilling,Equity,Sovereign/Govt,new_or_mixed,13782.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
