startup_id,metric,period,value,unit,currency,source_id,value_type,confidence
S0002,revenue_from_operations,FY24,1399.26,crore,INR,SRC00034,audited,HIGH
S0002,net_profit,FY24,200.36,crore,INR,SRC00049,audited,HIGH
S0002,net_profit,FY24,285.0,crore,INR,SRC00050,press-quoted-filing,HIGH
S0002,total_income,FY24,1948.0,crore,INR,SRC00038,press-quoted-filing,HIGH
S0002,net_profit,9MFY26,341.0,crore,INR,SRC00038,press-quoted-filing,MEDIUM
S0002,net_profit,9MFY25,125.0,crore,INR,SRC00038,press-quoted-filing,MEDIUM
S0003,revenue from operations,FY25,7115.0,crore,INR,SRC00071,press-quoted-filing,HIGH
S0003,net loss (consolidated),FY25,-1727.0,crore,INR,SRC00080,press-quoted-filing,HIGH
S0003,adjusted pat (ex-esop),FY25,630.0,crore,INR,SRC00071,management,MEDIUM
S0003,revenue from operations,FY24,5064.0,crore,INR,SRC00071,press-quoted-filing,MEDIUM
S0003,"revenue (6 months to sep 2025, +22% yoy)",H1-FY26,3918.0,crore,INR,SRC00073,press-quoted-filing,HIGH
S0003,revenue from operations,FY25,7115.0,crore,INR,SRC00071,press-quoted-filing,HIGH
S0003,net loss (consolidated),FY25,-1727.0,crore,INR,SRC00080,press-quoted-filing,HIGH
S0003,adjusted pat (ex-esop),FY25,630.0,crore,INR,SRC00071,management,MEDIUM
S0003,revenue from operations,FY24,5064.0,crore,INR,SRC00071,press-quoted-filing,HIGH
S0003,"revenue (6 months to sep 2025, +22% yoy)",H1-FY26,3918.0,crore,INR,SRC00073,press-quoted-filing,MEDIUM
S0004,consolidated revenue,FY25,3783.0,crore,INR,SRC00090,management,HIGH
S0004,gross profit,FY25,1277.0,crore,INR,SRC00090,management,HIGH
S0004,esop expense (reverse-flip linked),FY25,1209.0,crore,INR,SRC00091,management,HIGH
S0004,consolidated revenue,FY24,2296.0,crore,INR,SRC00090,management,HIGH
S0004,gross profit,FY24,906.0,crore,INR,SRC00090,management,HIGH
S0005,"revenue (roc, +129% yoy)",FY25,9669.0,crore,INR,SRC00106,press-quoted-filing,HIGH
S0005,"net loss (roc, ~3x yoy)",FY25,-3367.0,crore,INR,SRC00106,press-quoted-filing,HIGH
S0005,"cash on books (mar 31, 2026 company release via forbes)",FY26-Q1,5681.0,crore,INR,SRC00108,management,MEDIUM
S0005,total_revenue,FY24,4455.0,crore,INR,SRC00108,DRHP,HIGH
S0005,net_loss,FY24,1214.79,crore,INR,SRC00108,DRHP,HIGH
S0005,total_revenue,FY25,11110.0,crore,INR,SRC00108,DRHP,HIGH
S0005,net_loss,FY25,4699.71,crore,INR,SRC00108,DRHP,HIGH
S0005,total_revenue,FY26,22624.0,crore,INR,SRC00108,DRHP,HIGH
S0005,net_loss,FY26,5905.19,crore,INR,SRC00108,DRHP,HIGH
S0005,cash_balance,FY24,1688.0,crore,INR,SRC00108,DRHP,HIGH
S0005,cash_balance,FY25,7441.0,crore,INR,SRC00108,DRHP,HIGH
S0005,cash_balance,FY26,5681.0,crore,INR,SRC00108,management,HIGH
S0005,operating_cash_flow,FY26,-3462.0,crore,INR,SRC00108,DRHP,HIGH
S0005,free_cash_flow,FY26,-4330.0,crore,INR,SRC00108,DRHP,HIGH
S0005,advertising_revenue,FY25,651.2,crore,INR,SRC00108,DRHP,HIGH
S0005,advertising_revenue,FY26,1635.7,crore,INR,SRC00108,DRHP,HIGH
S0005,advertising_revenue,FY24,49.2,crore,INR,SRC00108,DRHP,HIGH
S0006,revenue,FY27 (PROJECTED),3.0,x,USD,SRC00123,management,MEDIUM
S0007,revenue_from_operations,FY25,1163.0,crore,INR,SRC00140,press-quoted-filing,HIGH
S0007,revenue_from_operations,FY26,1506.0,crore,INR,SRC00139,management,HIGH
S0007,pat,FY26,72.0,crore,INR,SRC00139,management,HIGH
S0007,revenue_from_operations,FY24,879.0,crore,INR,SRC00140,press-quoted-filing,MEDIUM
S0008,operating_revenue,FY25,2735.0,crore,INR,SRC00147,management,HIGH
S0008,operating_loss,FY25,298.0,crore,INR,SRC00147,management,HIGH
S0008,net_loss,FY25,1457.0,crore,INR,SRC00147,management,HIGH
S0008,operating_revenue,FY24,2473.0,crore,INR,SRC00148,press-quoted-filing,HIGH
S0008,net_loss,FY24,1644.0,crore,INR,SRC00148,press-quoted-filing,HIGH
S0009,total_revenue,FY24,392.0,crore,INR,SRC00155,press-quoted-filing,MEDIUM
S0009,arr_target,FY25,100.0,million,USD,SRC00165,management,MEDIUM
S0010,arr_run_rate,FY26,100.0,million,USD,SRC00173,management,MEDIUM
S0010,arr,FY26,120.0,million,USD,SRC00169,management,MEDIUM
S0011,total_revenue,FY25,4056.0,crore,INR,SRC00176,press-quoted-filing,MEDIUM
S0011,net_profit,FY25,1819.0,crore,INR,SRC00176,press-quoted-filing,MEDIUM
S0011,net_profit,FY24,-805.0,crore,INR,SRC00176,press-quoted-filing,MEDIUM
S0011,revenue,FY24,3145.0,crore,INR,SRC00176,press-quoted-filing,MEDIUM
S0011,operating_revenue_q3fy26,FY25,1216.0,crore,INR,SRC00204,management,HIGH
S0011,fy25 net profit,FY25,1819.0,crore,INR,SRC00181,press-quoted-filing,HIGH
S0011,fy25 revenue,FY25,4056.0,crore,INR,SRC00181,press-quoted-filing,HIGH
S0011,ipo proceeds,FY26,6632.3,crore,INR,SRC00182,press-quoted-filing,HIGH
S0011,fy25 net profit,FY25,1819.0,crore,INR,SRC00181,press-quoted-filing,HIGH
S0011,fy25 revenue,FY25,4056.0,crore,INR,SRC00181,press-quoted-filing,HIGH
S0011,ipo proceeds,FY26,6632.3,crore,INR,SRC00182,press-quoted-filing,HIGH
S0011,operating_revenue,FY25,3901.72,crore,INR,SRC00205,DRHP,HIGH
S0011,total_income,Q1 FY26,9485.0,million,INR,SRC00194,press-quoted-filing,MEDIUM
S0011,revenue_from_operations,Q1 FY26,904.0,crore,INR,SRC00193,press-quoted-filing,HIGH
S0011,net_profit,Q1 FY26,378.0,crore,INR,SRC00193,press-quoted-filing,HIGH
S0011,revenue_from_operations,Q2 FY26,1018.7,crore,INR,SRC00193,press-quoted-filing,HIGH
S0011,net_profit,Q2 FY26,471.3,crore,INR,SRC00193,press-quoted-filing,HIGH
S0011,total_income,Q2 FY26,10708.0,million,INR,SRC00195,press-quoted-filing,MEDIUM
S0011,revenue_from_operations,H1 FY26,1923.0,crore,INR,SRC00193,press-quoted-filing,HIGH
S0011,net_profit,H1 FY26,850.0,crore,INR,SRC00193,press-quoted-filing,HIGH
S0011,total_income,Q3 FY26,12611.0,million,INR,SRC00194,press-quoted-filing,MEDIUM
S0011,net_profit,Q3 FY26,5469.0,million,INR,SRC00194,press-quoted-filing,MEDIUM
S0011,total_income,Q4 FY26,15355.0,million,INR,SRC00194,press-quoted-filing,MEDIUM
S0011,revenue_from_operations,Q4 FY26,14684.0,million,INR,SRC00194,press-quoted-filing,MEDIUM
S0011,net_profit,Q4 FY26,6864.0,million,INR,SRC00194,press-quoted-filing,MEDIUM
S0011,revenue_from_operations,Q1 FY27,1501.0,crore,INR,SRC00197,press-quoted-filing,HIGH
S0011,net_profit,Q1 FY27,735.0,crore,INR,SRC00197,press-quoted-filing,HIGH
S0012,revenue (india unit),FY25,1943.0,crore,INR,SRC00218,press-quoted-filing,MEDIUM
S0012,net_profit (india unit),FY25,26.0,crore,INR,SRC00218,press-quoted-filing,MEDIUM
S0012,revenue (india entity),FY23,1618.6,crore,INR,SRC00219,press-quoted-filing,MEDIUM
S0012,india unit fy25 revenue,FY25,1943.0,crore,INR,SRC00222,press-quoted-filing,HIGH
S0012,india unit fy25 net profit,FY25,26.0,crore,INR,SRC00222,press-quoted-filing,HIGH
S0012,india unit fy25 revenue,FY25,1943.0,crore,INR,SRC00222,press-quoted-filing,HIGH
S0012,india unit fy25 net profit,FY25,26.0,crore,INR,SRC00222,press-quoted-filing,HIGH
S0013,revenue,FY26,300.0,crore,INR,SRC00241,management,MEDIUM
S0013,pat margin,FY26,10.0,percent,INR,SRC00241,management,MEDIUM
S0013,revenue (legal entity),FY24,3.09,crore,INR,SRC00259,press-quoted-filing,LOW
S0013,revenue,FY24,3.09,crore,INR,SRC00259,press-quoted-filing,LOW
S0013,revenue,FY25,100.0,crore,INR,SRC00241,estimate,LOW
S0013,total_revenue,FY26,300.0,crore,INR,SRC00241,management,MEDIUM
S0013,net_profit,FY26,0.0,crore,INR,SRC00241,management,MEDIUM
S0013,pat_margin,FY26,10.0,percent,INR,SRC00241,management,MEDIUM
S0014,"turnover (unaudited, per hcltech reg-30 filing)",FY26,45.1,crore,INR,SRC00266,management,MEDIUM
S0015,total_income,FY26,1402.7,crore,INR,SRC00277,audited,HIGH
S0015,pat,FY26,48.4,crore,INR,SRC00277,audited,HIGH
S0015,pat,FY25,-216.7,crore,INR,SRC00277,audited,HIGH
S0015,total_income,FY25,603.8,crore,INR,SRC00277,audited,HIGH
S0015,total_income,FY27-Q1,413.8,crore,INR,SRC00285,press-quoted-filing,MEDIUM
S0016,operating revenue,FY25,1569.3,crore,INR,SRC00289,audited,HIGH
S0016,net loss (pat),FY25,-273.7,crore,INR,SRC00289,audited,HIGH
S0016,"ebitda (ind-as, incl. one-offs)",FY25,15.0,crore,INR,SRC00317,management,MEDIUM
S0016,"revenue (11-mo provisional, unaudited)",FY26,1532.0,crore,INR,SRC00291,management,LOW
S0016,total_revenue,FY25,1569.3,crore,INR,SRC00289,audited,HIGH
S0016,net_profit,FY25,-273.7,crore,INR,SRC00289,audited,HIGH
S0016,ebitda,FY25,15.0,crore,INR,SRC00317,management,MEDIUM
S0016,gross_revenue,FY25,1943.0,crore,INR,SRC00317,press-quoted-filing,MEDIUM
S0016,revenue_11mo_provisional,FY26,1532.0,crore,INR,SRC00291,management,LOW
S0016,pat_provisional,FY26,38.0,crore,INR,SRC00291,management,LOW
S0016,deferred_revenue,FY25,530.0,crore,INR,SRC00318,press-quoted-filing,LOW
S0017,indian entity standalone revenue,FY25,771.0,crore,INR,SRC00334,press-quoted-filing,HIGH
S0017,indian entity revenue / pat,FY24,682.0,crore,INR,SRC00333,press-quoted-filing,MEDIUM
S0017,ireland-filings pat on turnover ~$170m,FY23,125.0,million,USD,SRC00333,press-quoted-filing,MEDIUM
S0017,indian entity standalone revenue,FY25,771.0,crore,INR,SRC00334,press-quoted-filing,HIGH
S0017,indian entity revenue,FY24,682.0,crore,INR,SRC00333,press-quoted-filing,MEDIUM
S0017,indian entity pat,FY24,129.0,crore,INR,SRC00333,press-quoted-filing,MEDIUM
S0017,ireland-filings pat on turnover,FY23,125.0,million,USD,SRC00333,press-quoted-filing,MEDIUM
S0018,profit_after_tax,FY25,408.0,crore,INR,SRC00353,press-quoted-filing,HIGH
S0018,revenue,FY25,900.0,crore,INR,SRC00352,press-quoted-filing,HIGH
S0018,profit_after_tax,FY26,325.8,crore,INR,SRC00355,press-quoted-filing,MEDIUM
S0018,total_revenue,FY24,373.0,crore,INR,SRC00352,press-quoted-filing,HIGH
S0018,net_profit,FY24,177.0,crore,INR,SRC00352,press-quoted-filing,HIGH
S0018,total_revenue,FY25,876.0,crore,INR,SRC00353,press-quoted-filing,HIGH
S0018,net_profit,FY25,408.0,crore,INR,SRC00353,press-quoted-filing,HIGH
S0018,total_revenue,FY26,904.9,crore,INR,SRC00355,press-quoted-filing,HIGH
S0018,net_profit,FY26,325.8,crore,INR,SRC00355,press-quoted-filing,HIGH
S0018,net_worth,FY26,916.1,crore,INR,SRC00355,press-quoted-filing,HIGH
S0019,revenue_from_operations,FY24,5664.0,crore,INR,SRC00369,press-quoted-filing,MEDIUM
S0019,total_revenue,FY22,5729.0,crore,INR,SRC00387,audited,HIGH
S0019,total_revenue,FY26,6869.0,crore,INR,SRC00386,press-quoted-filing,MEDIUM
S0019,total_revenue,FY23,6644.0,crore,INR,SRC00394,audited,HIGH
S0019,total_revenue,FY24,5664.0,crore,INR,SRC00382,audited,HIGH
S0019,total_revenue,FY25,5872.0,crore,INR,SRC00383,audited,HIGH
S0019,ebitda,FY26,62.5,crore,INR,SRC00386,press-quoted-filing,MEDIUM
S0019,gmv,FY24,14351.0,crore,INR,SRC00395,press-quoted-filing,MEDIUM
S0020,revenue from operations,FY25,158.5,crore,INR,SRC00411,press-quoted-filing,HIGH
S0020,revenue from operations,FY24,88.5,crore,INR,SRC00411,press-quoted-filing,HIGH
S0020,revenue target fy26,FY26,300.0,INR crore,INR,SRC00413,management,MEDIUM
S0021,operating_revenue,FY23,1000.0,crore,INR,SRC00430,press-quoted-filing,MEDIUM
S0021,operating_revenue,FY23,1000.0,crore,INR,SRC00430,press-quoted-filing,MEDIUM
S0021,total_revenue,FY25,1208.0,crore,INR,SRC00431,press-quoted-filing,HIGH
S0021,net_profit,FY25,215.0,crore,INR,SRC00431,press-quoted-filing,HIGH
S0021,ebitda_growth,FY26,120.0,percent,INR,SRC00431,management,MEDIUM
S0021,net_profit_multiple,FY26,2.25,x,INR,SRC00431,management,MEDIUM
S0021,revenue_growth_yoy,FY25,9.0,percent,INR,SRC00431,management,HIGH
S0022,operating_revenue,FY25,4561.0,crore,INR,SRC00446,press-quoted-filing,HIGH
S0022,operating_revenue,FY24,5706.6,crore,INR,SRC00447,press-quoted-filing,MEDIUM
S0022,pat,FY24,-1674.1,crore,INR,SRC00447,press-quoted-filing,MEDIUM
S0023,operating_revenue,FY25,2836.8,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,net_loss,FY25,-424.4,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,operating_revenue,FY24,2106.3,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,net_loss,FY24,-669.9,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,fy25 operating revenue,FY25,2837.0,crore,INR,SRC00463,press-quoted-filing,HIGH
S0023,fy25 total income,FY25,2887.0,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,fy25 net loss,FY25,424.0,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,fy24 operating revenue,FY24,2106.0,crore,INR,SRC00463,press-quoted-filing,HIGH
S0023,fy25 operating revenue,FY25,2837.0,crore,INR,SRC00463,press-quoted-filing,HIGH
S0023,fy25 total income,FY25,2887.0,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,fy25 net loss,FY25,424.0,crore,INR,SRC00459,press-quoted-filing,HIGH
S0023,fy24 operating revenue,FY24,2106.0,crore,INR,SRC00463,press-quoted-filing,HIGH
S0024,operating_revenue,FY23,45.6,crore,INR,SRC00476,press-quoted-filing,HIGH
S0024,operating_revenue,FY22,248.6,crore,INR,SRC00476,press-quoted-filing,HIGH
S0024,operating_revenue (singapore parent chain labs),FY25,14.6,million,USD,SRC00475,press-quoted-filing,MEDIUM
S0024,pat (parent),FY25,-37.6,million,USD,SRC00475,press-quoted-filing,MEDIUM
S0024,standalone revenue (venture intelligence),FY25,90.81,crore,INR,SRC00484,press-quoted-filing,MEDIUM
S0025,operating_revenue (drhp),FY26,1720.6,crore,INR,SRC00490,audited,HIGH
S0025,operating_revenue,FY25,1215.5,crore,INR,SRC00509,press-quoted-filing,HIGH
S0025,pat,FY25,-480.8,crore,INR,SRC00509,press-quoted-filing,HIGH
S0025,adjusted ebitda margin,FY26,8.41,percent,INR,SRC00490,press-quoted-filing,HIGH
S0025,revenue from operations,FY26,1720.6,crore,INR,SRC00490,press-quoted-filing,HIGH
S0025,revenue from operations,FY25,1262.9,crore,INR,SRC00490,press-quoted-filing,HIGH
S0025,adjusted ebitda margin,FY26,8.41,percent,INR,SRC00490,press-quoted-filing,HIGH
S0025,revenue from operations,FY24,927.0,crore,INR,SRC00494,press-quoted-filing,HIGH
S0025,revenue (tracxn/cin u74999ka2016ptc093524),FY25,1270.0,crore,INR,SRC00495,database,MEDIUM
S0025,revenue (cultfit healthcare entity),FY25,582.38,crore,INR,SRC00496,database,MEDIUM
S0026,revenue_arr,FY24,10.9,,USD,SRC00527,estimate,LOW
S0026,revenue,FY24,3.7,crore,INR,SRC00519,database,LOW
S0029,operating_revenue,FY24,279.2,crore,INR,SRC00559,audited,HIGH
S0029,net_loss,FY24,162.2,crore,INR,SRC00559,audited,HIGH
S0029,operating_revenue,FY25,326.2,crore,INR,SRC00559,audited,HIGH
S0029,total_income,FY25,366.3,crore,INR,SRC00560,audited,HIGH
S0029,net_loss,FY25,89.2,crore,INR,SRC00560,audited,HIGH
S0029,operating_revenue,FY23,200.0,crore,INR,SRC00569,press-quoted-filing,MEDIUM
S0029,operating_revenue,FY24,279.2,crore,INR,SRC00559,audited,HIGH
S0029,net_loss,FY24,162.2,crore,INR,SRC00559,audited,HIGH
S0029,total_income,FY24,325.2,crore,INR,SRC00571,audited,HIGH
S0029,operating_revenue,FY25,326.2,crore,INR,SRC00559,audited,HIGH
S0029,total_income,FY25,366.3,crore,INR,SRC00571,audited,HIGH
S0029,net_loss,FY25,89.2,crore,INR,SRC00571,audited,HIGH
S0029,total_expenses,FY25,454.6,crore,INR,SRC00571,audited,HIGH
S0029,cash_and_bank_balances,FY25,362.0,crore,INR,SRC00559,audited,HIGH
S0029,employee_benefits_expense,FY25,280.2,crore,INR,SRC00571,audited,HIGH
S0029,arr_estimate,FY25,279.3,million,USD,SRC00574,estimate,LOW
S0031,revenue_from_operations,FY25,2339.1,crore,INR,SRC00591,audited,HIGH
S0031,pat,FY25,240.3,crore,INR,SRC00591,audited,HIGH
S0031,loan_disbursals,FY25,17621.0,crore,INR,SRC00592,management,MEDIUM
S0031,aum (dec 2025),FY25,19814.0,crore,INR,SRC00592,management,MEDIUM
S0032,revenue (estimate),FY25,739.7,M,USD,SRC00598,estimate,LOW
S0032,total_revenue,FY25,500.0,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,revenue_range_high,FY25,750.0,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,ebitda_change,FY25,-5.33,percent,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,net_profit_change,FY25,-33.6,percent,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,networth,FY25,910.5,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,total_assets,FY25,1341.7,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,total_liabilities,FY25,1341.7,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,borrowings,FY25,261.3,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,trade_receivables,FY25,199.6,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,cash_and_equivalents,FY25,104.9,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,reserves,FY21,498.6,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,reserves,FY22,830.6,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,reserves,FY23,788.2,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0032,reserves,FY24,859.8,crore,INR,SRC00602,press-quoted-filing,MEDIUM
S0033,"revenue (india entity, press-quoted mca)",FY25,293.5,crore,INR,SRC00607,press-quoted-filing,LOW
S0033,"pat (india entity, press-quoted mca)",FY25,13.8,crore,INR,SRC00607,press-quoted-filing,LOW
S0034,revenue,FY24,185.7,Cr,USD,SRC00616,press-quoted-filing,MEDIUM
S0034,total_revenue,FY24,185.7,crore,INR,SRC00616,press-quoted-filing,MEDIUM
S0034,revenue_growth,FY24,7.26,percent,INR,SRC00616,press-quoted-filing,MEDIUM
S0034,revenue_range,FY25,100.0,crore,INR,SRC00615,MCA-aggregator,LOW
S0034,arr_estimate,FY24,135.0,million,USD,SRC00614,estimate,MEDIUM
S0035,total_revenue,FY22,615.05,crore,INR,SRC00630,press-quoted-filing,HIGH
S0035,total_revenue,FY23,816.2,crore,INR,SRC00641,press-quoted-filing,MEDIUM
S0035,net_profit,FY22,-20.71,crore,INR,SRC00630,press-quoted-filing,HIGH
S0035,net_profit,FY23,21.94,crore,INR,SRC00641,press-quoted-filing,MEDIUM
S0035,total_revenue,FY24,893.12,crore,INR,SRC00629,press-quoted-filing,HIGH
S0035,net_profit,FY24,119.82,crore,INR,SRC00629,press-quoted-filing,HIGH
S0036,total_revenue,FY21,7840.4,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,total_revenue,FY22,10476.7,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,total_revenue,FY23,14797.5,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,total_revenue,FY24,17855.1,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,total_revenue,FY25,20433.9,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,ebitda,FY21,-2501.3,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,ebitda,FY25,-1472.0,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,net_profit,FY25,-1568.6,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,net_worth,FY25,1221.2,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,total_assets,FY25,12958.0,crore,INR,SRC00649,press-quoted-filing,HIGH
S0036,borrowings,FY25,1604.2,crore,INR,SRC00649,press-quoted-filing,HIGH
S0037,revenue_from_operations,FY25,4306.0,Rs crore,INR,SRC00657,press-quoted-filing,MEDIUM
S0037,total_revenue,FY23,1737.4,crore,INR,SRC00665,press-quoted-filing,MEDIUM
S0037,total_revenue,FY24,2733.7,crore,INR,SRC00661,press-quoted-filing,HIGH
S0037,net_profit,FY25,55.2,crore,INR,SRC00658,press-quoted-filing,HIGH
S0037,net_loss,FY23,174.6,crore,INR,SRC00660,press-quoted-filing,MEDIUM
S0037,net_loss,FY24,95.7,crore,INR,SRC00661,press-quoted-filing,HIGH
S0037,total_revenue,FY25,4306.2,crore,INR,SRC00661,press-quoted-filing,HIGH
S0037,revenue_growth,FY25,58.0,percent,INR,SRC00661,press-quoted-filing,HIGH
S0038,total_income,FY25,826.0,Cr,INR,SRC00673,press-quoted-filing,MEDIUM
S0038,total_revenue,FY24,988.4,Cr,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,total_revenue,FY25,826.3,crore,INR,SRC00673,press-quoted-filing,MEDIUM
S0038,net_loss,FY25,436.0,crore,INR,SRC00673,press-quoted-filing,MEDIUM
S0038,ebitda_loss,FY25,305.0,crore,INR,SRC00673,press-quoted-filing,MEDIUM
S0038,cash_and_equivalents,FY25,1238.0,crore,INR,SRC00673,press-quoted-filing,MEDIUM
S0038,total_revenue,FY25,455.1,crore,INR,SRC00688,press-quoted-filing,MEDIUM
S0038,net_profit,FY25,-49.5,crore,INR,SRC00688,press-quoted-filing,MEDIUM
S0038,ebitda,FY25,-127.9,crore,INR,SRC00688,press-quoted-filing,MEDIUM
S0038,networth,FY25,2518.3,crore,INR,SRC00688,press-quoted-filing,MEDIUM
S0038,total_revenue,FY24,988.4,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,net_loss,FY24,631.0,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,ebitda_loss,FY24,489.0,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,cash_and_equivalents,FY24,1573.0,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,total_revenue,FY23,1044.0,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,net_loss,FY23,1678.0,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0038,ebitda_loss,FY23,1553.0,crore,INR,SRC00674,press-quoted-filing,MEDIUM
S0039,revenue_from_operations,FY25,227.0,Rs crore,INR,SRC00697,press-quoted-filing,MEDIUM
S0039,revenue (mca filing),FY25,233.64,crore,INR,SRC00698,press-quoted-filing,HIGH
S0039,operating revenue,FY24,185.0,crore,INR,SRC00699,press-quoted-filing,HIGH
S0039,collections,FY25,284.0,crore,INR,SRC00699,press-quoted-filing,HIGH
S0039,net loss,FY24,157.0,crore,INR,SRC00699,press-quoted-filing,HIGH
S0040,gmv,FY24,17564.0,Rs crore,INR,SRC00730,press-quoted-filing,MEDIUM
S0040,total_revenue,FY24,14443.0,Rs crore,INR,SRC00720,press-quoted-filing,MEDIUM
S0040,net_loss,FY24,918.0,Rs crore,INR,SRC00720,press-quoted-filing,MEDIUM
S0040,total_revenue,FY25,11332.0,Rs crore,INR,SRC00718,DRHP,HIGH
S0040,gmv,FY25,12798.0,Rs crore,INR,SRC00720,press-quoted-filing,MEDIUM
S0040,net_loss,FY25,371.0,Rs crore,INR,SRC00720,press-quoted-filing,MEDIUM
S0040,ebitda,FY25,145.0,Rs crore,INR,SRC00720,press-quoted-filing,MEDIUM
S0040,total_revenue,FY26,15913.0,Rs crore,INR,SRC00717,DRHP,HIGH
S0040,manufacturing_revenue,FY26,9375.0,Rs crore,INR,SRC00719,DRHP,HIGH
S0040,adjusted_ebitda,FY26,421.0,Rs crore,INR,SRC00718,DRHP,HIGH
S0040,adjusted_pbt,FY26,46.0,Rs crore,INR,SRC00718,DRHP,HIGH
S0040,reported_loss,FY26,1606.0,Rs crore,INR,SRC00719,DRHP,HIGH
S0040,order_book,FY26,12370.0,Rs crore,INR,SRC00719,DRHP,HIGH
S0040,gmv,FY24,17564.0,Rs crore,INR,SRC00730,press-quoted-filing,MEDIUM
S0041,operating_revenue,FY25,6759.3,crore,INR,SRC00741,press-quoted-filing,HIGH
S0041,net_loss,FY25,-478.9,crore,INR,SRC00741,press-quoted-filing,HIGH
S0041,operating_revenue,FY24,7933.8,crore,INR,SRC00741,press-quoted-filing,MEDIUM
S0041,net_profit,FY24,1295.0,crore,INR,SRC00741,press-quoted-filing,MEDIUM
S0042,revenue,FY23,281.0,million,USD,SRC00755,press-quoted-filing,MEDIUM
S0042,profit,FY23,41.0,million,USD,SRC00755,press-quoted-filing,MEDIUM
