primary_sector,company_count,funding_inr_mn,median_funding,median_company_age_yr,revenue_available,profitability_available,investor_concentration_top10_pct,city_concentration_top3_pct,hiring_momentum,product_activity,regulatory_exposure,notes
SaaS (PSA / onboarding),1,8642.0,8641.8,8641.8,6,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / API platform (GraphQL),1,10570.0,10570.2,10570.2,0.0,0,0,1000.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / CRM,1,15612.0,15612.15,15612.15,0.0,1,0,900.0,100.0,0,7,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / Customer Loyalty,1,0.0,0.0,0,14,0,0,900.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / contract lifecycle management,1,20135.0,20135.0,20135.0,0.0,0,0,1100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / customer engagement,1,30040.0,30040.5,30040.5,12,0,0,1200.0,100.0,1,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / data collaboration & governance,1,8788.0,8788.5,8788.5,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS / dev testing,1,19200.0,19200.0,19200.0,15,0,0,400.0,100.0,1,18,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
SaaS/customer engagement,1,21065.0,21065.0,21065.0,13,1,1,600.0,100.0,0,9,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Semiconductor / AI chip,1,1170.0,1170.0,1170.0,6,0,0,200.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Semiconductors / Fabless chip design,1,0.0,0.0,0,2,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Spacetech / Laser Communications,1,0.0,0.0,0,1,0,0,500.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Spacetech Propulsion,1,2974.0,2974.08,2974.08,11,1,0,1100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Wealth Management / Fintech,1,0.0,0.0,0,5,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
WealthTech,1,7265.0,7265.0,7265.0,0.0,1,0,1700.0,100.0,0,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
WealthTech / Investment Tech,1,8947.0,8946.63,8946.63,0.0,1,1,3600.0,100.0,0,4,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Wealthtech / Mutual Fund Advisory,1,0.0,0.0,0,2,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
adtech,1,134836.0,134836.2,134836.2,19,1,1,1100.0,100.0,0,9,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
aerospace / defence deeptech,1,0.0,0.0,0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech (crop protection / protected cultivation),1,257.0,257.1,257.1,6,1,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech (dairy tech),1,4721.0,4721.2,4721.2,15,0,0,1700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech / crop inputs,1,20085.0,20085.39,20085.39,13,1,0,2300.0,100.0,0,8,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech / farm-to-fork,1,0.0,0.0,0,6,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech / post-harvest,1,29041.0,29040.9,29040.9,13,1,1,1700.0,100.0,0,5,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech advisory,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
agritech supply chain,1,34269.0,34269.2,34269.2,11,1,0,1600.0,100.0,0,7,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai (BFSI enterprise),1,66.0,66.0,66.0,0.0,1,0,200.0,100.0,0,7,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai / contact centre,1,17.0,17.0,17.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai / voice ai,1,47.0,47.0,47.0,8,1,1,700.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai agents,1,1827.0,1827.0,1827.0,1,0,0,600.0,100.0,0,4,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai ecommerce growth,1,5951.0,5950.79,5950.79,4,1,0,1000.0,100.0,0,9,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai marketing saas,1,1621.0,1621.29,1621.29,2,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai/llm consortium,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai/video analytics,1,0.0,0.0,0,18,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ai/voice,1,0.0,0.0,0,3,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
analytics / decision sciences / AI,1,29494.0,29494.24,29494.24,22,1,0,600.0,100.0,0,8,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
auto marketplace,1,0.0,0.0,0,19,0,0,600.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
auto marketplace | used cars,1,87229.0,87229.28,87229.28,0.0,1,0,3600.0,100.0,2,6,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
auto/ev,1,85700.0,85700.0,85700.0,4,1,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
auto/used cars,1,51277.0,51276.7,51276.7,11,0,0,1600.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
aviation,1,58010.0,58009.5,58009.5,5,1,0,800.0,100.0,0,7,8,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
b2b commerce,2,30117.0,15058.65,15058.65,10,0,1,450.0,50.0,1,3,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
b2b manufacturing,1,167220.0,167220.0,167220.0,8,1,0,1500.0,100.0,0,4,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
b2b retail supply,1,0.0,0.0,0,11,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
battery tech / deep-tech,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
biotech cell/gene,1,200.0,200.0,200.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
biotech therapeutics,1,1028.0,1028.4,1028.4,6,0,0,600.0,100.0,0,5,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
cleantech (emission control),1,1971.0,1971.1,1971.1,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
cleantech / circular economy / PET recycling,1,2740.0,2740.5,2740.5,2,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
cleantech / cooling,1,392.0,391.5,391.5,3,0,0,400.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
climate / carbon dioxide removal (enhanced rock weathering),1,1028.0,1028.4,1028.4,6,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
climate / solar manufacturing,1,14220.0,14220.0,14220.0,15,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
climate energy efficiency,1,1832.0,1832.05,1832.05,0.0,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
climate renewables,1,93000.0,93000.0,93000.0,9,0,0,700.0,100.0,1,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
cloud / IT services (AI),1,0.0,0.0,0,10,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
consumer electronics,1,175250.0,175250.0,175250.0,10,1,1,500.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
consumer services/astrology | spiritual tech,1,0.0,0.0,0,9,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
consumer/FMCG snacks,1,0.0,0.0,0,0.0,1,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
crypto/fintech,1,22350.0,22350.0,22350.0,9,0,0,800.0,100.0,0,3,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
cybersecurity,1,3096.0,3096.13,3096.13,3,1,0,400.0,100.0,0,5,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
cybersecurity / quantum,1,2170.0,2170.21,2170.21,10,1,0,1100.0,100.0,0,8,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c / baby tech,1,2124.0,2124.17,2124.17,0.0,1,0,800.0,100.0,0,3,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c baby products,1,4938.0,4937.8,4937.8,12,1,1,900.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c beauty,2,19338.0,9669.24,9669.235,9.5,2,1,750.0,100.0,0,11,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c beauty (roll-up),1,0.0,0.0,0,5,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c foods,1,0.0,0.0,0,14,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c travel,1,2604.0,2603.5,2603.5,1,1,0,400.0,100.0,0,14,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c travel goods,1,3689.0,3688.62,3688.62,7,1,0,4600.0,100.0,0,9,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c wellness,1,0.0,0.0,0,7,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c/beauty,2,2571.0,1285.5,1285.5,0.0,0,0,50.0,50.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
d2c/jewellery,1,10000.0,10000.0,10000.0,2,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
dairy / processed foods,1,14181.0,14181.0,14181.0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
data centres / digital infrastructure,1,2500.0,2500.0,2500.0,18,0,0,400.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
defence drones,1,4850.0,4850.0,4850.0,9,0,0,200.0,100.0,2,5,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
defence electronics,1,0.0,0.0,0,3,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
defence imaging / electro-optics,1,5358.0,5358.39,5358.39,0.0,1,1,1100.0,100.0,0,10,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
defence marine autonomy,1,0.0,0.0,0,11,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
defence tech,2,94.0,47.13,47.135,8,1,0,200.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
defence/counter-drone ai,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ecommerce,1,3153712.0,3153712.5,3153712.5,19,1,1,800.0,100.0,0,6,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ecommerce / home decor D2C,1,2286.0,2285.87,2285.87,7,1,1,500.0,100.0,0,10,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ecommerce/eyewear,1,0.0,0.0,0,18,0,0,1100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edge-ai chips,1,2608.0,2607.5,2607.5,12,1,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech,1,82022.0,82022.0,82022.0,11,1,1,1100.0,100.0,0,7,5,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech / HR-tech (AI + blockchain credentials),1,4371.0,4371.43,4371.43,7,0,0,900.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech / school SaaS / AI learning,1,2366.0,2366.15,2366.15,12,1,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech SaaS,1,3308.0,3307.99,3307.99,7,0,0,1200.0,100.0,0,6,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech ai tutor,1,321.0,321.38,321.38,4,0,0,100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech exec education,1,101310.0,101310.0,101310.0,16,1,0,1500.0,100.0,0,7,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech live classes,1,15793.0,15792.7,15792.7,12,1,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech robotics / consumer AI robots,1,17666.0,17666.31,17666.31,11,0,0,1000.0,100.0,1,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech short-form,1,3318.0,3317.6,3317.6,6,1,0,400.0,100.0,0,4,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
edtech study-abroad,1,25799.0,25799.0,25799.0,7,1,0,1100.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
electric mobility / EV powertrain,1,0.0,0.0,0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
enterprise / data & AI services,1,29995.0,29995.0,29995.0,35,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
