startup_id,raw_url_field,claim_or_fields,title
S0013,,Private,
S0013,,Active,
S0013,,"Full-stack AI cloud infrastructure + Indic LLMs + AI apps (Kruti assistant, Krutrim Cloud); pivoted 2025-26 to AI-cloud-",
S0013,,"Full-stack AI cloud infrastructure; enterprise GPU compute; AI cloud services for telecom, FS, healthcare, logistics",
S0013,,~222-234 (early 2026; down from ~640-660 mid-2025 post-layoffs),
S0013,,150,
S0014,,"Sarvam frontier Indic models (text, speech, vision, documents)",
S0014,,Sarvam Vision (document intelligence); agentic AI platform; TTS/STT/translation APIs,
S0014,,Krutrim,
S0014,batch b08.json,Seed city Bengaluru (batch seed reports Bengaluru),
S0015,ZaubaCorp/Tracxn/FalconEbiz registry aggregator pages,company.incorporation_date,
S0015,ZaubaCorp/Tracxn/FalconEbiz registry aggregator pages,company.cin,
S0015,,HDFC Bank / Nubank (valuation comps cited),
S0015,,notice,
S0017,,"Mumbai (India HQ / ops); corporate HQ Dublin, Ireland",
S0017,,Mumbai,
S0017,,Maharashtra (ops),
S0017,,Maharashtra,
S0017,,SaaS subscription — cloud testing infrastructure/platform (manual + automated + visual + accessibility + test management,
S0017,,SaaS subscription — cloud testing infrastructure (manual + automated + visual + accessibility + test management),
S0017,,"India-ops: Mumbai HQ-country + Dublin corporate HQ; SF/NYC offices. Classify India-ops, NOT India-registered.",
S0017,,"India-ops HQ: Mumbai; Corporate domicile: Dublin, Ireland; Offices: SF, NYC",
S0017,prompt specification,"Series A $7.5M, Series B $67M, Series C $220M @ $1.4B (prompt claim)",
S0017,prompt specification,Founders include Jahangir (prompt claim),
S0018,,investor link,
S0018,,investor link,
S0018,,investor link,
S0018,,investor link,
S0018,,Dhan,
S0018,,Option Trader app,
S0018,,DhanHQ API,
S0018,,ScanX,
S0018,,Fuzz (askfuzz.ai),
S0018,,Zerodha,
S0018,,Groww,
S0018,,Raise Financial Services Pvt Ltd (operator of Dhan),
S0018,,Raise Securities Private Limited (formerly Moneylicious Securities Private Limited),
S0018,,Founder is ex-Kotak P&L (per prompt hypothesis 'Dhanish'),
S0019,,investor link,
S0019,,investor link,
S0019,,investor link,
S0019,,investor link,
S0019,,investor link,
S0019,,PharmEasy medicine delivery,
S0019,,Thyrocare (subsidiary),
S0019,,API Holdings Ltd (operator of PharmEasy),
S0019,,API Holdings Limited,
S0019,,Online pharmacy + diagnostics + telehealth marketplace,
S0019,,Online pharmacy marketplace + diagnostics (Thyrocare) + B2B pharma distribution (Ascent/Aknamed) + telehealth,
S0020,,investor link,
S0020,,investor link,
S0020,,investor link,
S0020,,investor link,
S0020,,EMI-on-UPI (no credit card required),
S0020,,ZestMoney,
S0020,,Axio,
S0020,,Simpl,
S0020,,LazyPay,
S0021,,investor link,
S0021,,investor link,
S0021,,Stocks/IPO/F&O/commodities/currency trading,
S0021,,"Fixed deposits, P2P lending, govt bonds, NCDs, gold, insurance",
S0021,,Zerodha,
S0021,,Groww,
S0021,,Angel One,
S0021,,RKSV Securities (Upstox brand),
S0021,,RKSV Securities India Private Limited,
S0021,,"Discount broking (stocks, F&O, IPO, MF) + insurance distribution; NBFC/AMC licenses sought 2026",
S0021,,"Discount broking (stocks, F&O, IPO, MF, commodities, currencies) + insurance distribution + lending/NBFC/AMC application",
S0021,,"Raghu Kumar (per Livemint Feb 2026: founded by Kumar, Raghu Kumar, and Shrinivas Viswanath)",
S0021,,Kavitha Subramanian (per TOI/company-signal per Entrackr 2024 buyback piece),
S0021,,"$3B (TOI headline, Nov 2021)",
S0021,,$3.5B (company press release per Entrackr 2024; Livemint 2026),
S0022,,insolvency,
S0022,,ruling,
S0023,,Motor insurance,
S0023,,Health & Life insurance,
S0023,,Travel insurance,
S0023,,Go Digit General Insurance,
S0023,,Policybazaar,
S0023,,InsuranceDekho,
S0024,,investigation,
S0024,,complaint,
S0025,,allegation,
S0026,,"Fireflies.ai meeting assistant (record/transcribe/summarize/action items, CRM integrations)",
S0026,,Otter.ai,
S0026,,Read AI,
S0026,,Recall.ai,
S0027,,Hasura GraphQL Engine + Hasura Cloud (instant GraphQL APIs over Postgres/existing DBs),
S0027,,Stellate,
S0027,,Strapi,
S0027,,ZettaBlock,
S0028,Tracxn/TheCompanyCheck/IndiaMART registry aggregator pages,company.incorporation_date,
S0028,Tracxn/TheCompanyCheck/IndiaMART registry aggregator pages,company.cin,
S0028,,Icertis Contract Intelligence (ICI) + Icertis Vera AI agents,
S0029,,LeadSquared sales execution + marketing automation + field-force platform,
S0029,,HubSpot,
S0029,,Salesforce,
S0029,,Zoho CRM,
S0029,,911,
S0029,,1063,
S0029,india-startup-db/enrich/leadsquared.json,"911 employees (DB estimate, May 2025)",
S0029,,FY23 revenue not separately confirmed,
S0030,"aggregator pages (Tracxn/Forge-style, low weight)",$1.34B/post-money $1.43B figures on some aggregators,
S0031,,Moneyview App,
S0031,DRHP-based reporting Mar 2026,"125.5M registered users, ~10M monetised; 42 bank/NBFC partners (Dec 2025)",
S0031,Tracxn profile,registered,
S0031,DRHP-based reports Mar 2026,FY25 net profit Rs 240cr; 9M-FY26 profit Rs 209.7-245cr variants across outlets,
S0032,,Mu Sigma Decision Sciences platform,
S0032,PitchBook profile via search,HQ,
S0032,Tracxn profile via search,ops,
S0032,PitchBook/Crunchbase profiles via search,conflict,
S0032,,Mu Sigma Inc. / Mu Sigma Business Solutions Pvt Ltd (UNVERIFIED split),
S0032,,Mu Sigma Business Solutions Private Limited,
S0032,,1936,
S0032,,3684,
S0032,,2025,
S0032,,2026-09,
S0032,,HQ Northbrook/Chicago US; founding + delivery Bengaluru,
S0032,,HQ Austin TX USA; founding + delivery Bengaluru India,
S0032,Tracxn profile via search,Priyanka Ashok listed as co-founder on Tracxn,
S0032,existing DB,"1,936 (existing DB, 2025)",
S0033,,Driver-i,
S0034,,Postman API Platform,
S0034,,"Postman, Inc.",
S0034,,Postdot Technologies Private Limited,
S0035,,financials,
S0035,,SuperSET,
S0035,,Floa,
S0035,,Zeta Prime,
S0035,,XUBE,
S0035,,notice,
S0035,YourStory 2021,$1.45Bn,
S0035,Moneycontrol 2025 (retrospective),$1.15Bn pre-money,
S0035,,Zeta Tech India (ESTIMATE: operating entity names vary; parent Zeta Services Inc.),
S0035,,Better World Technology Private Limited,
S0035,,fintech/card infra,
S0035,,fintech/banking-tech,
S0035,,UNKNOWN,
S0035,,1700,
S0036,,"Flipkart Internet Pvt Ltd (ESTIMATE: Indian operating entity; parent Flipkart Pte Ltd, Singapore — domicile shift to Ind",
S0036,,Flipkart Internet Private Limited,
S0036,,"B2C marketplace + subsidiaries (PhonePe separated 2022, Myntra, Cleartrip)",
S0036,,"B2C marketplace + subsidiaries (Myntra, Cleartrip, Flipkart Minutes, Shopsy)",
S0036,,"Walmart Inc. (~85% stake, ESTIMATE)",
S0036,,Walmart Inc. (~80.5% stake),
S0036,,"₹80,000+ Cr revenue claims (media/press)",
S0037,,person Pranjal Mishra,
S0037,,person Kartik Singal,
S0037,YourStory Sep-2025,"+57% to Rs 4,306 Cr (YourStory)",
S0037,People Matters Nov-2025,+58% (People Matters),
S0037,,SmartShift Logistics Solutions Pvt Ltd (ESTIMATE: commonly cited operating entity),
S0037,,SmartShift Logistics Solutions Pvt Ltd,
S0037,,B2B+B2C on-demand intra-city logistics marketplace,
S0037,,B2B+B2C on-demand intra-city logistics marketplace; commission-based model,
S0037,,UNKNOWN,
S0037,,2000,
S0038,TechCrunch Sep-2026,$206M (TechCrunch),
S0038,IndiaToday Sep-2026,"just over $200M / Rs 1,900 Cr (IndiaToday/News18)",
S0038,,Sorting Hat Technologies Pvt Ltd (ESTIMATE: widely cited operating entity; verify via MCA),
S0038,,Sorting Hat Technologies Pvt Ltd,
S0038,,acquired (Sep 2026),
S0038,,acquired (Sep 2026) by upGrad,
S0038,,"B2C online test-prep/subscription + offline centres (Graphy, Relevel)",
S0038,,B2C subscription test-prep + offline centres (franchise) + Airlearn language app + Graphy creator SaaS + PrepLadder medi,
S0038,,UNKNOWN,
S0038,,1000,
S0040,,Zetwerk Manufacturing Businesses Pvt Ltd (ESTIMATE: commonly cited; verify via MCA),
S0040,,Zetwerk Manufacturing Businesses Limited,
S0040,,active,
S0040,,active (IPO pipeline),
S0040,,b2b manufacturing,
S0040,,B2B contract manufacturing,
S0040,,B2B managed marketplace for contract manufacturing,
S0040,,Technology-led contract manufacturing platform connecting enterprise customers with manufacturing supplier network,
S0040,,private,
S0040,,private (IPO pending),
S0040,,operating (Bengaluru),
S0040,,operating HQ,
S0041,,Dream11,
S0041,,FanCode,
S0041,,DreamSetGo,
S0041,,Dream Capital,
S0041,,Mobile Premier League (MPL),
S0041,,My11Circle (Games24x7),
S0041,,Zupee,
S0042,,InMobi Advertising,
S0042,,Glance (+Roposo),
S0042,,U72900KA2011PTC060216,
S0042,,U72900HR2011PTC129638,
S0042,,"B2B adtech (InMobi Advertising) + consumer engine (Glance lock-screen/AI shopping, Roposo, 1Weather)",
S0042,,"B2B adtech (InMobi Advertising DSP/Exchange) + consumer engine (Glance AI shopping, Roposo, 1Weather)",
S0042,,operating (redomiciling India from Singapore; in progress Dec 2025),
S0042,,operating HQ Bengaluru; registered office Haryana (redomiciling in progress),
S0043,,Nykaa Beauty,
S0043,,Nykaa Fashion,
S0043,,Superstore (eB2B),
S0044,,Swiggy,
S0044,,Curefoods,
S0044,,EatClub (Box8),
S0044,,TRACTION,
S0044,,Rebel Foods Private Limited (formerly Faasos Food Services),
S0044,,Rebel Foods Private Limited,
S0044,,"Cloud kitchens + omnichannel (EatSure food courts, Wendy's franchise)",
S0044,,"Cloud kitchens + omnichannel (EatSure food courts, Wendy's India franchise, brand portfolio)",
S0045,,"Bengaluru (operating/brand HQ); registered office Rajnandgaon, Chhattisgarh",
S0045,,Bengaluru,
S0045,,3400-4195 (PitchBook 3400 as of 2025; Tracxn official 4195),
S0045,,3489,
S0047,,"Bengaluru, Karnataka",
S0047,,Bengaluru,
S0047,,B2B marketplace + logistics + fintech working capital + J24 retail network,
S0047,,B2B marketplace + logistics + fintech working capital + J24 retail network + GoldenEye Retail OS,
S0047,,"446 (Tracxn official) to ~1435 (Inc42, likely incl. field staff)",
S0047,,1435,
S0048,,Home Interior Designs E-commerce Pvt Ltd (India); group via Singapore,
S0048,,Livspace India Private Limited (formerly Home Interior Designs E-commerce Pvt Ltd),
S0048,,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,
S0048,,Bengaluru,
S0048,,"Marketplace + services (design-to-installation fees, commissions, private label)",
S0048,,"Marketplace + services (design-to-installation fees, commissions, private label); franchise model (Livspace Studios)",
S0048,,6500 (PitchBook 2026),
S0048,,6500,
S0048,user_prompt,GNAN listed as founder in some sources,
S0049,,"Meesho Limited (listed Dec 2025; formerly Meesho Inc./Pvt Ltd; subsidiaries incl. Meesho Technologies, Meesho Grocery, M",
S0049,,Meesho Limited,
S0049,,U74900KA2015PTC082263,
S0049,,U74900KA2015PLC082263,
S0049,,2015-01-01,
S0049,,2015-08-13,
S0049,,"Bengaluru, Karnataka",
S0049,,Bengaluru,
S0049,,Commission-light marketplace (ads + logistics/Valmo fees; commission on Meesho Mall),
S0049,,"Zero-commission marketplace; revenue from logistics (Valmo), advertising (Meesho Ads), and Meesho Mall brand ads",
S0049,,2082 (Tracxn official),
S0049,,2082,
S0049,,Public (since Dec 2025 IPO),
S0049,,Public,
S0049,,https://www.meesho.com/,
S0049,prompt,Shark Tank ₹110L investment (from prompt),
S0049,N/A,No evidence found in any source,
S0051,,Roppen Transportation Services Private Limited (dba Rapido),
S0051,,Roppen Transportation Services Private Limited,
S0051,,"Bengaluru, Karnataka",
S0051,,Bengaluru,
S0051,,Mobility / road transport tech (bike taxi-led multimodal),
S0051,,Mobility / road transport tech (bike-taxi-led multimodal),
S0051,,Ride-hailing marketplace (commission on bike taxis; subscription for auto/cab; delivery + ads),
S0051,,Ride-hailing marketplace (zero-commission SaaS subscription for drivers; commission-free food delivery via Ownly; ads),
S0051,,817 (Tracxn official),
S0051,,817,
S0052,,conflict,
S0052,,conflict,
S0052,,conflict,
S0052,,conflict,
S0052,,Mohalla Tech Pvt Ltd (operator of ShareChat/Moj/QuickTV),
S0052,,Mohalla Tech Pvt Ltd,
S0052,,social media,
S0052,,social media / vernacular platforms,
S0052,,ad-supported + virtual gifting + subscriptions (QuickTV micro-drama),
S0052,,ad-supported + virtual gifting/live streaming + subscriptions (QuickTV micro-drama),
S0052,,UNKNOWN,
S0052,,1712,
S0053,,UNKNOWN,
S0053,,Apnatime Tech Private Limited,
S0053,,marketplace / SaaS hiring platform,
S0053,,marketplace / SaaS hiring platform + enterprise Voice AI,
S0053,,1605 (PitchBook profile; UNVERIFIED),
S0053,,745,
S0054,,BharatPe merchant stack,
S0055,,conflict,
S0055,,conflict,
S0055,,conflict,
S0055,,conflict,
S0055,,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),
S0055,,Delhi,
S0055,,447 (per The Company Check; UNVERIFIED),
S0055,,500,
S0056,,conflict,
S0056,,conflict,
S0056,,conflict,
S0056,,conflict,
S0057,Economic Times/Tracxn/TheCompanyCheck registry aggregator pages,company.incorporation_date,
S0057,Economic Times/Tracxn/TheCompanyCheck registry aggregator pages,company.cin,
S0057,,Healthcare Intelligence Platform / Data Activation Platform,
S0058,,Fireflies hyperspectral satellites,
S0058,,Aurora,
S0058,,Orbital Sidekick,
S0060,Tracxn/TheCompanyCheck/FalconeBiz registry aggregator pages,company.cin,
S0060,,Avishkaar,
S0060,,PlayShifu,
S0060,,SP Robotics,
S0061,,Whisper (P&G),
S0061,,Stayfree (Kenvue),
S0061,,Sofy (Unicharm),
S0061,,Pee Safe,
S0061,,U24299HR2019PTC079977,
S0061,,U24290MH2016PTC288629,
S0061,,"D2C + omnichannel retail (e-commerce, quick commerce, offline; Apollo Pharmacy, Wellness Forever)",
S0061,,"D2C + omnichannel retail (e-commerce, quick commerce, offline; Amazon, Nykaa, Zepto, Swiggy Instamart, Myntra M-Now)",
S0062,,PharmEasy,
S0062,,Tata 1mg,
S0062,,Intellihealth Solutions Private Limited (alias per LinkedIn),
S0062,,Intellihealth Solutions Private Limited,
S0062,,U85320MH2019PTC320566,
S0062,,U62099MH2019PTC320566,
S0062,,2019,
S0062,,2019-02-01,
S0063,,"Tech-led affordable housing finance (AI underwriting, alternative data); acquisition-led scale",
S0063,,"Tech-led affordable housing finance (AI underwriting, alternative data); acquisition-led scale (CIHL 100%, Centrum HFL 7",
S0064,,conflict,
S0064,,conflict,
S0064,,brokerage-free listings + subscriptions + home/financial services,
S0064,,"brokerage-free listings + subscriptions + financial services (home loans) + home services (packers & movers, interiors, ",
S0064,,1001-5000 (Crunchbase range; UNVERIFIED),
S0064,,1001-5000,
S0065,,Vikram-1,
S0065,,Vikram-2,
S0066,,conflict,
S0066,,conflict,
S0066,,conflict,
S0066,,conflict,
S0066,,UNKNOWN,
S0066,,Digantara Research and Technologies Private Limited,
S0066,,space situational awareness data + satellite constellation (defence/gov + commercial operators),
S0066,,space surveillance data + satellite constellation (defence/gov + commercial operators),
S0066,,UNKNOWN,
S0066,,125,
S0067,,Dream Sports (Dream11/My11Circle rival context),
S0067,,MPL,
S0067,,Winzo,
S0067,,Head Digital Works (A23),
S0067,,active (distressed pivot — RMG banned Aug 2025),
S0067,,active (distressed pivot — RMG banned Aug 2025; free-to-play exploration),
S0067,,gaming (real-money skill gaming),
S0067,,Sports Tech / Gaming (real-money skill gaming),
S0067,,Real-money skill gaming (now suspended) → pivoting to free-to-play; ad/subscription/IAP exploration,
S0067,,"Real-money skill gaming (RummyCircle, My11Circle) → suspended Aug 2025; pivoting to free-to-play, ad/subscription/IAP",
S0068,,person Shantanu Dutta,
S0068,,Hella Infra Market Private Limited,
S0068,,Hella Infra Market Limited,
S0068,,2016-08-01,
S0068,,2016-07-15,
S0068,,active private,
S0068,,active private (pre-IPO via Shalimar Paints reverse listing),
S0069,https://platform.tracxn.com/a/d/company/62b3091ceac61421544873d1/kinara ai,FUNDING,
S0069,,investor link,
S0069,,investor link,
S0069,https://platform.tracxn.com/a/d/company/62b3091ceac61421544873d1/kinara ai,$36M total (Tracxn snippet),
S0070,,investor link,
S0070,,investor link,
S0070,,Navi Technologies Ltd / Navi Group (Navi Finserv NBFC arm),
S0070,,Navi Limited (formerly Navi Technologies Limited),
S0070,,"B2C fintech superapp (lending, insurance, MF, UPI)",
S0070,,"B2C fintech superapp (lending via NBFC arm, UPI payments, insurance, mutual funds)",
S0070,,1737,
S0070,,3398,
S0070,,"Digital-first financial services holding company offering personal loans, home loans, LAP, UPI payments, health insuranc",
S0071,,investor link,
S0071,,investor link,
S0071,,investor link,
S0071,,investor link,
S0071,,6 founders including Sachin Jose,
S0072,,Paytm / PhonePe (cited as competitors in Reuters DRHP coverage),
S0072,,Stripe (CEO-cited closest global comparable),
S0072,None,arbitration,
S0072,,L67100HR1998PLC113312,
S0072,,U67100HR1998PLC113312,
S0072,,operating,
S0072,,Public (listed),
S0072,,Uttar Pradesh / Haryana,
S0072,,Uttar Pradesh,
S0073,,investor link,
S0073,,investor link,
S0073,,investor link,
S0073,,investor link,
S0073,,investor link,
S0074,,investor link,
S0074,,investor link,
S0074,,investor link,
S0074,,investor link,
S0074,,investor link,
S0075,,investor link,
S0075,,investor link,
S0075,,investor link,
S0075,,investor link,
S0075,,investor link,
S0075,,investor link,
S0075,,TRACTION,
S0075,,"B2C hardware (Ring Air/Pro, M1 CGM) + subscription software (PowerPlugs)",
S0075,,"B2C hardware (Ring AIR/PRO, M1/M2 Live CGM, Home) + subscription software (PowerPlugs, UltrahumanX) + blood testing (Blo",
S0075,enrich/ultrahuman.json,$120M (original DB value),
S0075,enrich/ultrahuman.json,"enrich/ultrahuman.json states 'subsidiary: LazyCo (Pune, 2017)'",
S0075,enrich/ultrahuman.json,enrich/ultrahuman.json lists only Mohit Kumar and Vatsal Singhal,
S0075,enrich/ultrahuman.json,Prior DB note mentions Chainalytics,
S0076,,person Nathan Ingleby,
S0076,,person Naama Raz,
S0076,,person Vishakha Suresh,
S0076,,RTD bottled coffee,
S0076,,"ACTIVE — Rs 408 crore (~$43M) round led by WestBridge Capital announced Aug 2026; 240+ cafes, targeting 320 by FY-end",
S0076,,ACTIVE,
S0076,,"ACTIVE — Rs 408 crore (~$43M) round led by WestBridge Capital announced Aug 2026; 240+ cafes, targeting 320 by FY-end",
S0076,,"ACTIVE — Private; Rs 408 crore (~$43M) round led by WestBridge Capital announced Aug 2026; ~240 cafes per Mint, 75+ per ",
S0076,,"ACTIVE — Rs 408 crore (~$43M) round led by WestBridge Capital announced Aug 2026; 240+ cafes, targeting 320 by FY-end",
S0076,,"ACTIVE — Series D Rs 408 crore (~$43M) round led by WestBridge Capital completed Aug 24, 2026; ~240 cafes, targeting 320",
S0076,,"India's homegrown coffee QSR chain operating 204+ cafes across 13+ cities; sells packaged coffee beans, easy coffee bags",
S0076,,Growth (Series C+),
S0076,,Growth (Series D),
S0078,,Square Yards Consulting Pvt Ltd (UNVERIFIED legal suffix),
S0078,,Square Yards Consulting Private Limited,
S0085,,"OFB Tech Pvt Ltd (converted to OFB Tech Ltd, public limited, per IPO reports)",
S0085,,OFB Tech Limited (formerly OFB Tech Pvt Ltd),
S0085,,operating,
S0085,,operating (IPO-bound),
S0085,,B2B commerce + embedded NBFC lending (Oxyzo) + SaaS tools,
S0085,,"B2B raw material procurement marketplace + embedded NBFC lending (Oxyzo) + SaaS (BidAssist, Nexizo)",
S0087,,ACTIVE — $24M round led by Bertelsmann India Investments reported Sep 2026; $38M Series B announced Mar 2026 (company bl,
S0087,,ACTIVE,
S0087,,Foodtech / 10-min food delivery,
S0087,,Foodtech / 10-minute food delivery,
S0087,,"B2C end-to-end foodtech: owns kitchens, ordering app, last-mile; 10-min fresh food in ~1km radius",
S0087,,"B2C full-stack food delivery: owns neighbourhood kitchens (Delight Centers), proprietary technology, last-mile delivery;",
S0090,,2019 (legal entity Teacher Tools Pvt Ltd; CIN per Tracxn legal-entity page),
S0090,,2019-08-22,
S0092,,UNKNOWN,
S0092,,U63013MH2020PTC350653,
S0092,,UNKNOWN,
S0092,,2020-11-24,
S0092,,https://www.akasaair.com,
S0092,prompt,Bengaluru (prompt states Bengaluru HQ),
S0093,,investor link,
S0093,,Nawabi,
S0093,,KaiGunas,
S0093,,No IPO/DRHP filed,
S0093,,"full-stack multi-brand cloud kitchens (own procurement, prep, last-mile delivery)",
S0093,,"full-stack multi-brand cloud kitchen (own procurement, prep, last-mile delivery)",
S0093,,https://www.eatclub.com,
S0093,,https://www.box8.in,
S0094,,edtech exec education,
S0094,,edtech executive education,
S0094,,exec-education programs with 80+ global universities; enterprise + government cohorts,
S0094,,Blended executive education programs with 80+ global universities; enterprise/government L&D; consumer enrolments,
S0095,batch s1_02.json status_hint,L'Oreal deal valuation ~$350-450M (batch hint),
S0095,,active (acquired-but-operating),
S0095,,active (acquired-majority),
S0096,NOT_FOUND,"Acrew Capital, WestBridge, Omidyar Network (prompt-specified; not found in any source)",
S0100,None,FUNDING,
S0100,,Nykaa,
S0100,,ZMUM,
S0100,,active (listed),
S0100,,active (listed on NSE/BSE since Sep 7 2026),
S0100,,omnichannel luxury retail (Pernia's Pop-Up Shop/Stuido + owned brands),
S0100,,omnichannel luxury fashion retail (multi-brand designer platform + owned brands),
S0100,,public (listed Sep 2026; was private at research cut),
S0100,,public (listed Sep 2026),
S0100,,haircare/beauty D2C (prompt suggestion),
S0104,,Series A,
S0104,,Series A1,
S0106,,Multi-brand cloud kitchens + QSR dine-in/kiosks; brand incubation,
S0106,,Multi-brand cloud kitchen + QSR dine-in/kiosks; brand incubation via acquisition,
S0107,batch s1_04.json,Batch manifest city = Bengaluru,
S0108,batch s1_05.json,Batch manifest + operating signals: Bengaluru,
S0108,,Bengaluru,
S0108,,Hyderabad,
S0108,,Karnataka,
S0108,,Telangana,
S0108,enrich/edubuk.json,"Existing DB: Bengaluru, Karnataka",
S0109,,GreenHorn Pvt Ltd (operating entity per founder profile),
S0109,,Greenhorn Wellness Private Limited,
S0109,,gaming livestream / social entertainment / micro-drama,
S0109,,social entertainment / live streaming / micro-drama,
S0109,,B2C/B2B2C live social entertainment; micro-drama OTT (Story TV) subscriptions + virtual gifting,
S0109,,"B2C live social entertainment; virtual gifting, subscriptions (Story TV), advertising, brand partnerships",
S0110,,"Omnichannel D2C: silver + 14/18K gold + lab-grown diamonds; online + 150-210 stores, franchise-led",
S0110,,Omnichannel D2C: 925 silver + 14/18K gold + lab-grown diamonds; online + franchise-led stores,
S0110,user_prompt,Prompt suggests Chennai as possible HQ,
S0111,,founder UNKNOWN,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,,investor link,
S0112,Tracxn recent-news snippet,DPIIT — manufacturing startup growth initiative (Dec 2024),
S0112,,OfBusiness,
S0112,,Infra.Market,
S0112,,Zetwerk,
S0112,,Udaan,
S0112,Tracxn recent-news snippet,HIRING,
S0112,Tracxn recent-news snippet (ET Manufacturing Today link),DPIIT and Moglix join forces to foster growth of manufacturing startups,
S0112,Tracxn recent-news snippet,Launches biofuels as new category,
S0112,seed-prompt (no URL),Seed prompt: Series F ~$145M at $895M (2022); investors incl. Tencent/Hillhouse/Zero31/Aminav,
S0118,,"Jan 13, 2020",
S0118,,2020-01-13,
S0118,,Social investment platform with SEBI-registered advisors; gamified virtual trading; AI research assistant (Stoxo),
S0118,,Social investment platform with SEBI-registered advisors; gamified virtual trading; AI research assistant (Stoxo); B2B i,
S0118,,62,
S0118,,211,
S0118,USER_PROMPT,IIT graduate (prompt claim),
S0119,,person Matteo Del Sorbo,
S0119,N/A,person Aprameya Radhakrishna,
S0119,N/A,person Harinthy,
S0119,N/A,complaint,
S0119,,"Yulu partners with Zepto to deploy 20,000 EVs",
S0119,,Yulu launches Yulu Wynn for consumer purchase,
S0119,,Mobility-as-a-Service (MaaS) / EV sharing + BaaS,
S0119,,MaaS / EV sharing + BaaS + B2B gig-worker rentals,
S0119,,238,
S0119,,1405,
S0119,,"2nd Floor, Etamin Block (Wing A), Prestige Tech Park, Kadubeesanahalli, Bengaluru, Karnataka 560103",
S0119,,"Exora Business Park/Prestige Tech Park II, 2nd Floor, Wing A, Bellandur Khane Village, Outer Ring Road, Bengaluru - 5601",
S0119,,"238 (enrich/yulu.json, 2024)",
S0119,,"1,405 (MCA as of Apr 2026)",
S0119,,$173M post-money (PitchBook),
S0119,,$170M post-money (CBInsights),
S0119,,Aprameya Radhakrishna + MCart mentioned as founder,
S0119,,"No evidence; all credible sources list Amit Gupta, RK Misra, Naveen Dachuri, Hemant Gupta as original founders",
S0119,,Since April 2025 (VCCircle),
S0119,,Q2 FY25 = Jul-Sep 2024 (Business Today),
S0120,,"Soham, Inc. (also known as ManageMySpa)",
S0120,,"Soham, Inc.",
S0120,,UNKNOWN,
S0120,,U72300TG2015PTC097184,
S0120,,UNKNOWN,
S0120,,2015-01-08,
S0120,,"B2B SaaS (subscription) for beauty, fitness, wellness businesses",
S0120,,"B2B SaaS subscription for beauty, wellness, fitness businesses",
S0120,,"Bellevue, Washington, USA; India office: Hyderabad, Telangana",
