startup_id,company,city,company_class,cohort,priority_rank,completeness_pct,source_quality_pct,freshness_pct,conflict_level,open_tasks,open_P1,verification_tasks,unresolved_conflicts,identity_missing,founders_missing,funding_missing,investors_missing,financials_missing,products_missing,traction_missing,people_missing,customers_missing,legal_missing,locations_missing,events_missing,technology_missing,next_best_action,last_researched,last_verified
S0012,Gupshup,"Mumbai (India ops; HQ San Francisco, USA)",Startup,TARGET,72,72.9,100.0,100,moderate,7,0,5,0,,,,,,,,,,,,,,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0013,Krutrim,Bengaluru,Startup,,116,91.7,100.0,100,high,0,0,9,3,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0014,Sarvam AI,Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures),Scale-up,,165,56.2,100.0,100,low,0,0,0,0,,,,,,,,1,1,,,,,,2026-09-14,2026-09-15
S0015,Slice,Bengaluru,Scale-up,,127,68.8,90.0,100,low,0,0,0,1,,,,,,,,1,1,,,,1,,2026-09-14,2026-09-15
S0016,upGrad,Mumbai,Mature private company,,117,91.7,100.0,100,high,0,0,8,2,,,,,,,,,,,,,,,2026-09-15,2026-09-15
S0017,BrowserStack,"Mumbai (India HQ / ops); corporate HQ Dublin, Ireland",Scale-up,,159,93.8,100.0,100,high,0,0,7,7,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0018,Dhan,Mumbai,Mature private company,,111,89.6,100.0,100,high,1,0,8,4,,,,,,,,,1,,,,,,2026-09-15,p3-merge
S0019,PharmEasy,Mumbai,Startup,TARGET,85,89.6,100.0,100,high,2,0,10,6,,,,,,,,,,,,,1,"resolve legal_name conflict: 'API Holdings Ltd (operator of PharmE' vs 'API Holdings Limited' (primary source, then prefer)",2026-09-15,p3-merge
S0020,Snapmint,Mumbai,Startup,,171,66.7,100.0,100,none,0,0,0,0,,,,,,,,,1,,,,1,,2026-09-14,2026-09-14
S0021,Upstox,Mumbai,Scale-up,,160,89.6,100.0,100,high,0,0,8,5,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0022,Udaan,Bengaluru,Scale-up,,141,72.9,100.0,100,low,0,0,0,0,,,,,,,,,1,,,,1,,2026-09-14,2026-09-15
S0023,ACKO,Bengaluru,Scale-up,,140,75.0,100.0,100,low,0,0,0,1,,,,,,,,,1,,,,,,2026-09-14,2026-09-15
S0024,CoinSwitch Kuber,Bengaluru (operating; Tracxn lists Chennai/Tamil Nadu — conflict),Scale-up,,147,66.7,100.0,100,low,1,0,0,0,,,,,,,,1,1,,,,1,,2026-09-14,2026-09-15
S0025,Cult.fit (CureFit),Bengaluru,Scale-up,EXHAUST,21,75.0,100.0,100,moderate,7,7,5,1,,,,,,,,,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0026,Fireflies AI,San Francisco / Pleasanton,Startup,,221,66.7,100.0,100,moderate,0,0,5,1,,,,,,,,,1,,,,1,,2026-09-14,2026-09-15
S0027,Hasura,Bengaluru (India ops) / San Francisco (HQ),Scale-up,TARGET,47,50.0,100.0,100,moderate,9,0,3,0,,,,,1,,1,,1,,,,1,obtain FY26 statutory financials (revenue/PAT) from MCA filing,2026-09-14,2026-09-15
S0028,Icertis,Pune (India ops) / Bellevue (HQ),Mature private company,TARGET,69,58.3,100.0,100,moderate,6,0,6,0,,,,,,,,,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0029,LeadSquared,Bengaluru,Mature private company,,167,93.8,100.0,100,high,0,0,11,1,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0030,MoEngage,Bengaluru,Scale-up,TARGET,79,72.9,100.0,100,moderate,8,0,4,1,,,,,,,,,,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0031,Moneyview,Bengaluru,Startup,,163,66.7,100.0,100,moderate,0,0,4,1,,,,,,,,1,,1,,,1,,2026-09-14,2026-09-15
S0032,Mu Sigma,Bengaluru,Mature private company,,206,97.9,100.0,100,high,0,0,7,6,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0033,Netradyne,Bengaluru,Startup,,138,72.9,100.0,100,low,0,0,0,0,,,,,,,,,,,,,1,,2026-09-14,2026-09-15
S0034,Postman,Bengaluru,Scale-up,,157,91.7,100.0,100,high,0,0,8,3,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0035,Zeta,Bengaluru,Mature private company,,118,91.7,100.0,100,high,0,0,9,6,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0036,Flipkart,Bengaluru,Subsidiary,,130,91.7,86.7,100,high,0,0,4,4,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0037,Porter,Bengaluru,Scale-up,TARGET,83,85.4,100.0,100,high,4,0,8,3,,,,,,,,,,,,,1,"resolve legal_name conflict: 'SmartShift Logistics Solutions Pvt L' vs 'SmartShift Logistics Solutions Pvt L' (primary source, then prefer)",2026-09-15,p3-merge
S0038,Unacademy,Bengaluru,Subsidiary,TARGET,77,87.5,100.0,100,high,6,0,6,4,,,,,,,,,,,,,1,"resolve legal_name conflict: 'Sorting Hat Technologies Pvt Ltd (ES' vs 'Sorting Hat Technologies Pvt Ltd' (primary source, then prefer)",2026-09-15,p3-merge
S0039,Vedantu,Bengaluru,Mature private company,,139,54.2,100.0,100,none,0,0,0,0,,,,,,1,1,,1,,,,1,,2026-09-14,2026-09-14
S0040,Zetwerk,Bengaluru,Mature private company,,179,95.8,100.0,100,high,0,0,9,7,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0041,Dream11 (Dream Sports),Mumbai,Former startup,,310,68.8,100.0,100,moderate,0,0,4,2,,,,,,,,1,1,,,,,,2026-09-14,2026-09-15
S0042,InMobi,Bengaluru,Startup,,187,95.8,100.0,100,high,0,0,8,6,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0043,Nykaa,Mumbai,Mature private company,,182,68.8,100.0,100,none,0,0,0,0,,,,,,,,,1,,,,,,2026-09-14,2026-09-14
S0044,Rebel Foods,Mumbai,Mature private company,,155,93.8,100.0,100,high,0,0,7,3,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0045,Drools,"Bengaluru (operating/brand HQ); registered office Rajnandgaon, Chhattisgarh",Startup,,143,81.2,100.0,100,high,0,0,7,5,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0046,Fractal Analytics,Mumbai,Mature private company,EXHAUST,24,64.6,100.0,100,low,7,7,0,0,,,,,,,,,,,,,,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0047,Jumbotail,"Bengaluru, Karnataka",Startup,,232,93.8,100.0,100,high,0,0,7,4,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0048,Livspace,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,Mature private company,,202,91.7,100.0,100,high,0,0,6,5,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0049,Meesho,"Bengaluru, Karnataka",Public company,,209,93.8,100.0,100,high,0,0,8,8,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0050,Ola (ANI Technologies),Bengaluru,Mature private company,TARGET,39,50.0,100.0,100,low,8,0,0,1,,,,,,1,1,,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0051,Rapido,"Bengaluru, Karnataka",Mature private company,,223,95.8,100.0,100,high,0,0,8,7,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0052,ShareChat,Bengaluru,Startup,,156,93.8,100.0,100,high,0,0,7,4,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0053,Apna,Bengaluru,Scale-up,,195,95.8,100.0,100,high,0,0,7,4,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0054,BharatPe,New Delhi,Startup,,134,70.8,63.3,100,low,0,0,0,0,,,,,,,,,,,,,1,,2026-09-14,2026-09-15
S0055,Euler Motors,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),Startup,,190,87.5,100.0,100,high,0,0,5,4,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0056,Fibe (EarlySalary),Pune (batch said Bengaluru — corrected: Pune HQ per all sources),Scale-up,EXHAUST,37,39.6,50.0,100,moderate,9,9,3,1,,,,,,1,1,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0057,Innovaccer,Noida,Scale-up,,158,56.2,60.0,100,low,0,0,0,1,,,,,,,,1,,,,,1,,2026-09-14,2026-09-15
S0058,Pixxel,Bengaluru,Scale-up,,112,79.2,100.0,100,moderate,0,0,6,1,,,,,,,,1,,,,,,,2026-09-14,2026-09-15
S0059,Ecofy Finance (Ecofy),Mumbai,Startup,TARGET,93,58.3,100.0,100,low,8,0,0,0,,,,,,,,,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0060,Miko Technologies,Mumbai,Scale-up,EXHAUST,1,58.3,93.3,100,low,8,8,0,0,,,,,,,,1,1,,,,,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0061,Nua,Mumbai,Scale-up,TARGET,76,83.3,100.0,100,high,6,0,6,4,,,,,,,,,1,,,,,identify evidence-backed named customers/partners (no logo inference),2026-09-15,p3-merge
S0062,Truemeds,Mumbai,Scale-up,TARGET,86,89.6,100.0,100,high,8,0,4,4,,,,,,,,,1,,,,,"resolve legal_name conflict: 'Intellihealth Solutions Private Limi' vs 'Intellihealth Solutions Private Limi' (primary source, then prefer)",2026-09-14,p3-merge
S0063,Weaver Services,Mumbai,Scale-up,,119,91.7,100.0,100,high,0,0,5,1,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0064,NoBroker,Bengaluru,Mature private company,,172,93.8,100.0,100,high,0,0,6,2,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0065,Skyroot Aerospace,Hyderabad,Scale-up,TARGET,74,60.4,66.7,100,low,11,0,0,0,,,,,1,,,,,,,,1,obtain FY26 statutory financials (revenue/PAT) from MCA filing,2026-09-14,2026-09-15
S0066,Digantara,Bengaluru,Startup,,178,85.4,100.0,100,high,0,0,9,5,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0067,Games24x7,Mumbai,Mature private company,,123,89.6,100.0,100,high,0,0,7,6,,,,,,,,,1,,,,,,2026-09-15,p3-merge
S0068,Infra.Market,Thane,Startup,,241,97.9,100.0,100,high,0,0,5,5,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0069,Kinara AI,"Hyderabad (India R&D; HQ Los Altos, USA)",Subsidiary,EXHAUST,32,37.5,90.0,100,low,8,8,0,1,,,,,,1,1,1,1,,,,1,map current leadership (CEO/CFO/CTO + join dates) and 2024-26 changes,2026-09-14,2026-09-15
S0070,Navi,Bengaluru,Startup,,166,93.8,100.0,100,high,0,0,6,6,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0071,Ninjacart,Bengaluru,Scale-up,,120,91.7,83.3,100,high,0,0,5,2,,,,,,,,,,,,,1,,2026-09-14,2026-09-15
S0072,Pine Labs,Noida,Public company,,128,87.5,100.0,100,high,0,0,10,3,,,,,,,,,1,,,,,,2026-09-15,p3-merge
S0073,River Mobility,Bengaluru (factory Hoskote),Startup,TARGET,50,50.0,100.0,100,low,7,0,0,1,,,,,,1,1,,1,,,,1,document product portfolio w/ launch/discontinuation status (company source first),2026-09-14,2026-09-15
S0074,Rocketlane,"Chennai (dual HQ Wilmington, Delaware, USA)",Startup,,103,52.1,100.0,100,low,1,0,0,1,,,,,,1,1,,1,,,,1,,2026-09-14,2026-09-15
S0075,Ultrahuman,Bengaluru,Subsidiary,,151,93.8,100.0,100,high,0,0,8,8,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0076,Third Wave Coffee,Bengaluru,Startup,EXHAUST,15,81.2,100.0,100,high,4,4,8,16,,,,,,,,,,,,,1,"resolve founded_date conflict: 'Founded 2016 (BW Disrupt, DealStreet' vs 'Founded 2017 (Mint, Entrackr)' (primary source, then prefer)",2026-09-15,p3-merge
S0077,Celcius Logistics,Navi Mumbai,Startup,,101,62.5,56.7,100,low,0,0,0,1,,,,,,,,1,,,,,1,,2026-09-14,2026-09-15
S0078,Square Yards,Gurugram,Mature private company,,217,91.7,100.0,100,high,0,0,8,3,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0079,Wint Wealth,Bengaluru,Scale-up,EXHAUST,8,54.2,53.3,100,low,8,8,0,0,,,,,,,,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0080,Airbound,Bengaluru,Startup,EXHAUST,34,43.8,40.0,100,none,10,10,0,0,,,,,1,,,1,1,1,,,1,establish legal entity + CIN + incorporation date + status via MCA,2026-09-14,2026-09-15
S0081,Ati Motors,Bengaluru,Startup,EXHAUST,12,47.9,73.3,100,moderate,8,8,4,1,,,,,,,,1,1,1,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0082,Sapiom,San Francisco (US) — NOT Bengaluru; batch city attribution unsupported by evidence,Startup,TARGET,58,35.4,50.0,100,low,9,0,0,0,,,,,1,,1,1,1,1,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0083,boAt,Delhi NCR (seed) — CORRECTED: Mumbai/Delhi ops,Mature private company,TARGET,57,56.2,76.7,100,low,8,0,0,0,,,,,,,,1,1,,,,,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0084,MobiKwik,Gurugram,Startup,,297,62.5,100.0,100,low,0,0,0,1,,,,,,,,,1,,,,,,2026-09-14,2026-09-15
S0085,OfBusiness,Gurugram,Startup,,226,97.9,100.0,100,high,0,0,5,7,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0086,Pristyn Care,Gurugram,Scale-up,TARGET,41,68.8,100.0,100,moderate,6,0,6,0,,,,,,,,,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0087,Swish,Bengaluru,Startup,TARGET,64,83.3,100.0,100,high,7,0,5,5,,,,,,,,,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-15,p3-merge
S0088,Hang Ten Systems,Bengaluru,Startup,TARGET,42,37.5,53.3,100,none,8,0,0,0,,,,,1,1,1,1,1,,,,1,"reconstruct funding history (dates, amounts, instruments, valuations, leads)",2026-09-14,2026-09-15
S0089,Moonrider,Bengaluru,Startup,,148,43.8,40.0,100,none,1,0,0,0,,,,,1,1,1,1,1,,,,1,,2026-09-14,2026-09-15
S0090,Toddle,Bengaluru,Startup,,246,100.0,100.0,100,high,0,0,9,2,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0091,Inito,Bengaluru,Startup,EXHAUST,5,39.6,53.3,100,low,9,9,0,1,,,,,1,1,1,1,1,,,,1,"resolve founded_date conflict: 'Founded 2021 (company PR / ET B2B De' vs 'Founded 2015 / Jul 2014 operating hi' (primary source, then prefer)",2026-09-14,2026-09-15
S0092,Akasa Air,Mumbai,Mature private company,,222,97.9,100.0,100,high,0,0,5,3,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0093,EatClub (BOX8),Mumbai,Mature private company,TARGET,70,87.5,100.0,100,high,4,0,8,2,,,,,,,,,,,,,,document product portfolio w/ launch/discontinuation status (company source first),2026-09-15,p3-merge
S0094,Eruditus,Mumbai,Startup,,142,87.5,100.0,100,high,0,0,9,3,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0095,Innovist,Gurugram,Scale-up,,225,91.7,100.0,100,high,0,0,9,3,,,,,,,,,,,,,,,2026-09-15,p3-merge
S0096,Leap (LeapScholar),Bengaluru,Startup,,164,89.6,100.0,100,high,0,0,7,7,,,,,,,,,,,,,1,,2026-09-15,2026-09-15
S0097,Nazara Technologies,Mumbai,Public company,EXHAUST,4,50.0,100.0,100,none,9,9,0,0,,,,,,1,1,,1,,,,1,verify founder identities/roles via MCA directors + primary press (2 independent sources),2026-09-14,2026-09-15
S0098,Neo (Neo Wealth),Mumbai,Startup,,224,95.8,100.0,100,high,0,0,6,4,,,,,,,,,,,,,1,,2026-09-15,2026-09-15
S0099,Stellapps,Bengaluru,Scale-up,TARGET,48,45.8,66.7,100,none,9,0,0,0,,,,,,1,1,1,1,,,,1,document product portfolio w/ launch/discontinuation status (company source first),2026-09-14,2026-09-14
S0100,Purple Style Labs,Mumbai,Public company,,188,93.8,70.0,100,high,0,0,4,4,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0101,Zypp Electric,Gurugram,Startup,,125,50.0,70.0,100,low,0,0,0,1,,,,,,1,1,1,1,,,,1,,2026-09-14,2026-09-15
S0102,Business Nextgen Finance,Mumbai,Startup,EXHAUST,27,41.7,70.0,100,low,9,9,0,1,,,,,,1,1,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0103,EtherealX (Ethereal Exploration),Bengaluru,Startup,TARGET,54,56.2,56.7,100,moderate,7,0,5,0,,,,,,,,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0104,QNu Labs,Bengaluru,Startup,,295,89.6,100.0,100,high,0,0,6,3,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0105,Ultraviolette,Bengaluru,Scale-up,TARGET,43,56.2,100.0,100,low,8,0,0,1,,,,,,,,1,1,1,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0106,Curefoods,Bengaluru,Startup,,203,87.5,100.0,100,moderate,0,0,5,2,,,,,,,,,1,,,,1,,2026-09-14,p3-merge
S0107,Dezerv,Mumbai,Startup,EXHAUST,16,56.2,86.7,100,moderate,7,7,5,1,,,,,,,,,1,1,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0108,Edubuk,Bengaluru,Startup,,106,81.2,100.0,100,high,0,0,7,4,,,,,,,,,1,,,,1,,2026-09-15,p3-merge
S0109,EloElo,Bengaluru,Startup,,124,89.6,100.0,100,high,0,0,6,3,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0110,GIVA,Bengaluru,Startup,,176,87.5,100.0,100,moderate,0,0,6,2,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0111,Impetus Technologies,Bengaluru,Scale-up,TARGET,40,37.5,73.3,100,none,9,0,0,0,,,,,,1,1,1,1,1,,,1,"reconstruct funding history (dates, amounts, instruments, valuations, leads)",2026-09-14,2026-09-14
S0112,Moglix,Noida,Scale-up,TARGET,73,75.0,100.0,100,moderate,6,0,6,3,,,,,,,,,,,,,,document product portfolio w/ launch/discontinuation status (company source first),2026-09-14,2026-09-15
S0113,MPL (Mobile Premier League),Bengaluru,Former startup,,321,39.6,40.0,100,none,9,0,0,0,,,,,1,1,1,1,1,,,,1,,2026-09-14,2026-09-15
S0114,PhysicsWallah,Noida,Public company,TARGET,84,56.2,50.0,100,none,7,0,0,0,,,,,,1,1,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0115,Popo Global,Bengaluru,Startup,,126,47.9,46.7,100,none,0,0,0,0,,,,,,1,1,1,1,,,,1,,2026-09-14,2026-09-15
S0116,Shadowfax,Bengaluru,Public company,TARGET,82,60.4,66.7,100,none,8,0,0,0,,,,,,1,1,1,1,,,,1,"reconstruct funding history (dates, amounts, instruments, valuations, leads)",2026-09-14,2026-09-15
S0117,Smallcase,Bengaluru,Startup,,184,62.5,50.0,100,none,0,0,0,0,,,,,,,1,1,1,,,,1,,2026-09-14,2026-09-15
S0118,StockGro,Bengaluru,Startup,,298,95.8,100.0,100,high,0,0,7,7,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0119,Yulu,Bengaluru,Startup,,238,95.8,100.0,100,high,0,0,6,8,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0120,Zenoti,Hyderabad,Mature private company,,207,91.7,100.0,100,high,0,0,8,6,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0121,Exxat,Bengaluru,Startup,EXHAUST,6,45.8,100.0,100,low,8,8,0,0,,,,,,1,1,1,1,,,,1,"reconstruct funding history (dates, amounts, instruments, valuations, leads)",2026-09-14,2026-09-15
S0122,Bellatrix Aerospace,Bengaluru,Startup,TARGET,49,50.0,100.0,100,low,8,0,0,0,,,,,,1,1,1,1,,,,1,"reconstruct funding history (dates, amounts, instruments, valuations, leads)",2026-09-14,2026-09-15
S0123,Foxtale,Mumbai,Startup,,104,87.5,100.0,100,high,0,0,4,4,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0124,GalaxEye,Bengaluru,Other - status unverified,,113,37.5,73.3,100,none,9,0,0,0,,,,,1,1,1,1,1,1,,,1,,2026-09-14,2026-09-14
S0125,HerSpace Manufacturing,Bengaluru,Startup,,198,77.1,96.7,100,moderate,1,0,3,1,,,,,1,,,,,,,,1,,2026-09-15,p3-merge
S0126,Snitch,Bengaluru,Scale-up,,183,87.5,100.0,100,moderate,0,0,7,0,,,,,,,,,,,,,1,,2026-09-15,2026-09-15
S0127,OneCard (FPL Technologies),Pune,Other - status unverified,EXHAUST,11,39.6,66.7,0,none,9,9,3,0,,,,,1,1,1,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-14
S0128,Rezolv,Mumbai,Startup,,200,89.6,100.0,100,high,0,0,4,1,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0129,JustAI,San Francisco,Startup,EXHAUST,35,37.5,86.7,100,moderate,9,9,3,0,,,,,1,1,1,1,1,1,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0130,BGauss,Mumbai,Startup,,180,89.6,100.0,100,high,0,0,4,6,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0131,Emo Energy,Bengaluru,Startup,TARGET,67,45.8,63.3,100,none,10,0,0,0,,,,,,1,1,1,1,1,,,1,verify founder identities/roles via MCA directors + primary press (2 independent sources),2026-09-14,2026-09-14
S0132,Baaz Bikes,Delhi NCR (batch says Bengaluru — press says Delhi NCR; kept batch city with conflict note),Startup,,144,22.9,86.7,100,low,11,2,0,1,,1,,,1,1,1,1,1,1,,,1,,2026-09-14,2026-09-15
S0133,Piston,Bengaluru (batch; ops US),Startup,TARGET,71,25.0,50.0,100,none,11,0,0,0,,1,,,1,1,1,1,1,1,,,1,verify founder identities/roles via MCA directors + primary press (2 independent sources),2026-09-14,2026-09-14
S0134,Chargebee,Chennai,Mature private company,,213,91.7,100.0,100,high,0,0,12,0,,,,,,,,,,,,,1,,2026-09-15,2026-09-15
S0135,Delhivery,Gurugram,Public company,,305,93.8,100.0,60,low,0,0,0,1,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0136,Erisha E Mobility,Delhi NCR,Mature private company,TARGET,65,37.5,53.3,100,low,9,0,0,0,,,,,,1,1,1,1,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0137,Freshworks,Chennai,Public company,EXHAUST,33,45.8,86.7,100,none,7,7,0,0,,,,,,1,1,1,1,1,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-14
S0138,OYO,Gurugram,Mature private company,,210,93.8,100.0,100,high,0,0,4,6,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0139,Policybazaar,Gurugram,Public company,,234,50.0,63.3,20,none,0,0,4,0,,,,,,1,1,1,1,,,,1,,2026-09-14,2026-09-14
S0140,Uniphore,Chennai / Palo Alto,Other - status unverified,,314,50.0,83.3,80,low,0,0,0,1,,,,,,1,1,1,1,1,,,1,,2026-09-14,2026-09-15
S0141,Urban Company,Gurugram,Public company,,249,41.7,33.3,80,none,0,0,0,0,,,,,,1,1,1,1,1,,,1,,2026-09-14,2026-09-14
S0142,Zomato,Gurugram,Public company,,253,50.0,83.3,20,none,0,0,3,0,,,,,,1,1,1,1,1,,,1,,2026-09-14,2026-09-14
S0143,Emversity,Bengaluru,Other - status unverified,,272,50.0,100.0,80,low,0,0,0,0,,,,,,1,1,1,1,1,,,1,,2026-09-14,2026-09-15
S0144,KGeN (Kratos Gamer Network),Bengaluru,Startup,,161,87.5,100.0,100,high,0,0,9,4,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0145,Seekho,Bengaluru,Startup,,131,89.6,100.0,100,high,0,0,6,0,,,,,,,,,,,,,1,,2026-09-15,2026-09-15
S0146,Avammune Therapeutics,Bengaluru,Startup,TARGET,88,70.8,100.0,60,high,10,0,2,2,,,,,1,,,,1,,,,1,verify founder identities/roles via MCA directors + primary press (2 independent sources),2026-09-14,p3-merge
S0147,HexaHealth,Gurugram,Other - status unverified,TARGET,53,43.8,23.3,0,none,10,0,2,0,,,,,,1,,1,1,,,,1,"reconstruct funding history (dates, amounts, instruments, valuations, leads)",2026-09-14,2026-09-14
S0148,Escape Plan (travel gear),Bengaluru,Startup,,135,87.5,100.0,100,high,0,0,1,3,,,,,,,,,,,,,1,,2026-09-14,p3-merge
S0149,Lendingkart,Ahmedabad,Startup,TARGET,89,50.0,100.0,0,low,7,0,5,0,,,,,,1,1,1,1,,,,1,document product portfolio w/ launch/discontinuation status (company source first),2026-09-14,2026-09-15
S0150,PB Healthcare,Gurugram,Scale-up,TARGET,51,47.9,100.0,0,none,9,0,3,0,,,,,,1,1,1,1,,,,1,map current leadership (CEO/CFO/CTO + join dates) and 2024-26 changes,2026-09-14,2026-09-14
