round_id,startup_id,city,round_date,announcement_date,year,fiscal_year,round_type,amount,currency,amount_inr_mn,valuation,valuation_currency,valuation_type,lead_investor_id,investor_ids,investor_count,new_or_existing,purpose,source_id,confidence,notes
R00045,S0011,Bengaluru,,2021-10-24,2021,FY21-22,Series E,251.0,USD,18699.5,3000.0,USD,,INV0086,INV0086;INV0084;INV0039;INV0085;INV0029;INV0082;INV0087;INV0033;INV0088,10,mixed (DERIVED),,SRC00178,HIGH,
R00046,S0011,Bengaluru,2025-06-13,2025-06-13,2025,FY25-26,Series F,202.3,USD,17337.11,7000.0,USD,pre-money,INV0036,INV0036;INV0089,3,new,Pre-IPO funding round,SRC00176,HIGH,
R00047,S0011,Bengaluru,2025-11-12,2025-11-04,2025,FY25-26,IPO,6632.3,INR,6632.3,7000.0,USD,market_cap,,,0,new,Public listing,SRC00175,HIGH,valuation range per source: $7-9 billion (low end stored)
R00048,S0012,"Mumbai (India ops; HQ San Francisco, USA)",,2021-04-08,2021,FY21-22,Series F,100.0,USD,7450.0,1400.0,USD,,INV0029,INV0029,2,initial (DERIVED),,SRC00230,HIGH,
R00049,S0012,"Mumbai (India ops; HQ San Francisco, USA)",,2021-07-28,2021,FY21-22,Series F extension,240.0,USD,17880.0,1400.0,USD,,INV0093,INV0093;INV0029;INV0094;INV0095;INV0096;INV0097;INV0098;INV0099,9,mixed (DERIVED),,SRC00220,HIGH,
R00050,S0012,"Mumbai (India ops; HQ San Francisco, USA)",,2025-07-22,2025,FY25-26,"Series F extension (equity+debt, unpriced)",60.0,USD,5142.0,,,,INV0100,INV0100;INV0101,3,all-new-investors (DERIVED),,SRC00217,HIGH,
R00051,S0012,"Mumbai (India ops; HQ San Francisco, USA)",2025-07-22,2025-07-22,2025,FY25-26,Series F extension,,USD,,,,unpriced,,,0,new,"Expand AI messaging platform, explore India IPO domicile shift",SRC00217,HIGH,added session-2 gapfill
R00052,S0012,"Mumbai (India ops; HQ San Francisco, USA)",2021-07-28,2021-07-28,2021,FY21-22,Series F follow-on,,USD,,1400.0,USD,post-money,,,0,existing,"Secondary + primary, employee exits",SRC00224,HIGH,added session-2 gapfill
R00053,S0013,Bengaluru,,2023-10-01,2023,FY23-24,Debt,24.0,USD,1987.2,,,,INV0053,INV0104,2,initial (DERIVED),,SRC00242,MEDIUM,
R00054,S0013,Bengaluru,,2024-01-26,2024,FY24-25,Series B (first equity round),50.0,USD,4185.0,1000.0,USD,,INV0053,INV0104;INV0105,3,mixed (DERIVED),,SRC00239,HIGH,
R00055,S0013,Bengaluru,,2025-02-04,2025,FY25-26,Founder commitment,230.0,USD,19711.0,,,,INV0106,INV0106,2,all-new-investors (DERIVED),"Krutrim AI Labs, Rs 2000 crore investment plan",SRC00240,HIGH,
R00056,S0013,Bengaluru,,2025-03-06,2025,FY25-26,Debt (share pledge),,INR,,,,,INV0107,INV0108;INV0109;INV0110,4,all-new-investors (DERIVED),Krutrim Data Centre funding,SRC00254,HIGH,
R00057,S0014,Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures),,2023-12-07,2023,FY23-24,Seed (disclosed within $41M announcement),12.0,USD,993.6,,,,INV0046;INV0037,INV0046;INV0037,4,initial (DERIVED),,SRC00273,HIGH,
R00058,S0014,Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures),,2023-12-07,2023,FY23-24,Series A ($41M total incl. seed),29.0,USD,2401.2,,,,INV0046,INV0046;INV0037;INV0075,4,mixed (DERIVED),,SRC00264,HIGH,
R00059,S0014,Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures),,2026-06-15,2026,FY26-27,Series B first close (of $300M),234.0,USD,20358.0,1500.0,USD,,INV0111,INV0111;INV0112;INV0075;INV0037;INV0113,6,mixed (DERIVED),,SRC00262,HIGH,
R00060,S0014,Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures),,2026-08-04,2026,FY26-27,Series B second tranche,75.0,USD,6525.0,1500.0,USD,,INV0114,INV0114;INV0115;INV0116;INV0117,5,all-new-investors (DERIVED),,SRC00265,MEDIUM,
R00061,S0014,Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures),2026-06-01,2026-06-01,2026,FY26-27,Series B,,USD,,,,reported,,,0,unknown,sovereign AI stack scale-up,SRC00269,HIGH,added session-2 gapfill
R00062,S0015,Bengaluru,2021-11-28,2021-11-28,2021,FY21-22,Series B,220.0,USD,16390.0,1000.0,USD,post-money,INV0029;INV0119,INV0029;INV0119,4,initial (DERIVED),growth,SRC00282,HIGH,
R00063,S0015,Bengaluru,2024-10-17,2024-10-17,2024,FY24-25,Insider equity (partly paid shares),8.53,USD,713.96,,,,INV0120,INV0120,2,all-new-investors (DERIVED),,SRC00279,HIGH,
R00064,S0015,Bengaluru,2026-04-23,2026-04-23,2026,FY26-27,Later-stage (negotiations),100.0,USD,8700.0,1000.0,USD,,INV0003;INV0121;INV0037,INV0003;INV0121;INV0037,6,all-new-investors (DERIVED),,SRC00276,MEDIUM,In talks; <$1B valuation discussed vs $1.3-1.4B 2022 peak
R00065,S0015,Bengaluru,2026-09-03,2026-09-03,2026,FY26-27,Later-stage,100.0,USD,8700.0,450.0,USD,post-money,INV0122,INV0122;INV0123;INV0124,4,all-new-investors (DERIVED),,SRC00278,MEDIUM,Includes secondary sale; ~$40M via Neo Wealth HNWI pool
R00066,S0016,Mumbai,2021-08-01,2021-08-01,2021,FY21-22,Equity,185.0,USD,13782.5,1200.0,USD,priced round (secondary-reported),,INV0126,1,initial (DERIVED),,SRC00292,MEDIUM,
R00067,S0016,Mumbai,2024-10-01,2024-10-01,2024,FY24-25,Equity,60.0,USD,5022.0,2250.0,USD,priced round (secondary-reported),,INV0127,1,all-new-investors (DERIVED),,SRC00292,MEDIUM,
R00068,S0016,Mumbai,2026-02-01,2026-02-01,2026,FY26-27,Equity,,USD,,,,all-stock acquisition (Internshala 90%),,,0,unknown,Campus-to-corporate pipeline,SRC00306,HIGH,
R00069,S0016,Mumbai,2026-09-01,2026-09-01,2026,FY26-27,Equity,206.0,USD,17922.0,,,all-stock acquisition (Unacademy),,,0,unknown,Entry into test-prep/K-12; consolidation,SRC00288,HIGH,
R00070,S0017,"Mumbai (India HQ / ops); corporate HQ Dublin, Ireland",2018-01-01,2018-01-01,2018,FY18-19,Series A,50.0,USD,4300.0,500.0,USD,press-reported,INV0003,INV0003;INV0128,3,initial (DERIVED),,SRC00347,HIGH,
R00071,S0017,"Mumbai (India HQ / ops); corporate HQ Dublin, Ireland",2021-06-16,2021-06-16,2021,FY21-22,Series B,200.0,USD,14900.0,4000.0,USD,priced round,INV0129,INV0129;INV0119;INV0003,4,mixed (DERIVED),,SRC00332,HIGH,
R00072,S0018,Mumbai,,,2025,FY25-26,Series B,120.0,USD,10284.0,1200.0,USD,post-money (per sources),INV0009;INV0015,INV0009;INV0015;INV0130;INV0131;INV0132;INV0133;INV0134,9,mixed (DERIVED),"Growth, AI investing products, financial-services distribution expansion",SRC00352,HIGH,announcement_date stated loosely: October 2025
R00073,S0018,Mumbai,,,2022,FY22-23,Series A,22.0,USD,1727.0,125.0,USD,post-money (per Inc42),INV0130;INV0135,INV0130;INV0135,4,mixed (DERIVED),,SRC00354,HIGH,announcement_date stated loosely: January 2022
R00074,S0018,Mumbai,,2021-02-01,2021,FY21-22,Seed,,USD,,,,,INV0135,INV0135;INV0136;INV0137;INV0138;INV0139;INV0140,7,initial (DERIVED),Initial funding for Raise Financial Services,SRC00354,MEDIUM,
R00075,S0019,Mumbai,,,2024,FY24-25,"Growth (rights issue, down round)",216.0,USD,18079.2,710.0,USD,post-money,,,0,initial (DERIVED),Recapitalization / down round,SRC00369,HIGH,announcement_date stated loosely: April 2024
R00076,S0019,Mumbai,,,2025,FY25-26,"Debt (NCD, Thyrocare-pledge)",1700.0,INR,1700.0,,,,,,0,unknown,Refinance earlier NCDs,SRC00370,HIGH,announcement_date stated loosely: September 2025
R00077,S0020,Mumbai,2025-10-31,2025-10-31,2025,FY25-26,Series B,125.0,USD,10712.5,141.0,USD,pre-money estimate (Tracxn),INV0027,INV0027;INV0144;INV0145;INV0146;INV0147,6,new,Expand EMI-on-UPI offering; grow merchant network,SRC00407,HIGH,
R00078,S0020,Mumbai,,2024-12-12,2024,FY24-25,debt+equity (unlettered),18.0,USD,1506.6,,,,INV0144,INV0148,2,all-new-investors (DERIVED),Launch new BNPL products,SRC00409,MEDIUM,
R00079,S0020,Mumbai,,2022-10-17,2022,FY22-23,debt+equity (unlettered),21.0,USD,1648.5,,,,,,0,initial (DERIVED),UNKNOWN,SRC00410,MEDIUM,
R00080,S0020,Mumbai,2024-12-11,2024-12-11,2024,FY24-25,Pre-Series B,,USD,,,,UNKNOWN,,,0,new,Launch new BNPL products,SRC00409,HIGH,added session-2 gapfill
R00081,S0021,Mumbai,,,2021,FY21-22,Series C (extension tranche; part of ~$200M round context),25.0,USD,1862.5,3000.0,USD,post-money (reported),INV0029,,1,unknown,Growth; take on Groww/Zerodha,SRC00429,HIGH,valuation range per source: $3-3.5B (low end stored) | announcement_date stated loosely: November 2021
R00082,S0021,Mumbai,,2019-09-24,2019,FY19-20,Series B,25.0,USD,2150.0,,,,INV0029,,1,initial (DERIVED),"Discount-broking growth, tech",SRC00428,HIGH,
R00083,S0022,Bengaluru,2025-02-17,2025-02-17,2025,FY25-26,Series G,75.0,USD,6427.5,1800.0,USD,post-money,INV0153,INV0153;INV0118,3,initial (DERIVED),,SRC00443,HIGH,
R00084,S0022,Bengaluru,2025-06-02,2025-06-02,2025,FY25-26,Series G,114.0,USD,9769.8,1800.0,USD,post-money,INV0153;INV0118,INV0153;INV0118,4,all-follow-on (DERIVED),,SRC00444,HIGH,
R00085,S0022,Bengaluru,2026-07-14,2026-07-14,2026,FY26-27,Series H / structured,160.0,USD,13920.0,1800.0,USD,,INV0118;INV0154,INV0118;INV0154;INV0155;INV0156,6,mixed (DERIVED),,SRC00445,HIGH,Structured: fresh equity + new debt + bond conversion; residual notes extended
R00086,S0023,Bengaluru,2021-10-27,2021-10-28,2021,FY21-22,Series D,255.0,USD,18997.5,1100.0,USD,post-money,INV0027;INV0159,INV0027;INV0159;INV0160;INV0046;INV0006,7,existing,growth/expansion,SRC00457,HIGH,
R00087,S0023,Bengaluru,2020-09-14,2020-09-14,2020,FY20-21,Series D,60.0,USD,4440.0,,,,INV0161,INV0161,2,all-new-investors (DERIVED),,SRC00460,MEDIUM,
R00088,S0023,Bengaluru,2019-03-12,2019-03-12,2019,FY19-20,Series C,65.0,USD,5590.0,,,,INV0121,INV0121;INV0105,3,all-follow-on (DERIVED),,SRC00460,MEDIUM,
R00089,S0023,Bengaluru,2018-05-26,2018-05-26,2018,FY18-19,Series B,12.0,USD,1032.0,,,,INV0162,INV0162;INV0163;INV0105,4,mixed (DERIVED),,SRC00460,MEDIUM,
R00090,S0023,Bengaluru,2017-05-22,2017-05-22,2017,FY17-18,Seed,30.0,USD,2580.0,,,,INV0121,INV0121;INV0003;INV0105,4,initial (DERIVED),,SRC00460,MEDIUM,
R00091,S0023,Bengaluru,2023-06-06,2023-06-06,2023,FY23-24,Private Equity,,USD,,,,,INV0027,INV0027,2,all-new-investors (DERIVED),,SRC00460,LOW,
R00092,S0023,Bengaluru,2025-07-30,2025-07-30,2025,FY25-26,Undisclosed (late stage),,USD,,,,,,,0,unknown,,SRC00460,LOW,
R00093,S0023,Bengaluru,2025-07-30,2025-07-30,2025,FY25-26,Series E,,USD,,,,undisclosed,,,0,new,Pre-IPO funding,SRC00464,HIGH,added session-2 gapfill
R00094,S0024,Bengaluru (operating; Tracxn lists Chennai/Tamil Nadu — conflict),2021-01-13,2021-01-13,2021,FY21-22,Series A,15.0,USD,1117.5,,,,INV0039;INV0167,INV0084;INV0039;INV0167;INV0136,6,initial (DERIVED),,SRC00483,HIGH,
R00095,S0024,Bengaluru (operating; Tracxn lists Chennai/Tamil Nadu — conflict),2021-04-22,2021-04-22,2021,FY21-22,Series B,25.0,USD,1862.5,500.0,USD,post-money,INV0029,INV0029,2,all-new-investors (DERIVED),,SRC00473,HIGH,
R00096,S0024,Bengaluru (operating; Tracxn lists Chennai/Tamil Nadu — conflict),2021-10-06,2021-10-06,2021,FY21-22,Series C,260.0,USD,19370.0,1900.0,USD,post-money,INV0168;INV0169,INV0168;INV0169;INV0167;INV0039;INV0084;INV0029,8,mixed (DERIVED),Growth; a16z first India investment,SRC00472,HIGH,
R00097,S0025,Bengaluru,2016-07-04,2016-07-04,2016,FY16-17,Series A,15.0,USD,1290.0,,,,INV0003;INV0170;INV0171,INV0003;INV0172;INV0173;INV0105,7,initial (DERIVED),,SRC00506,MEDIUM,
R00098,S0025,Bengaluru,2021-06-07,2021-06-07,2021,FY21-22,Series E,75.0,USD,5587.5,,,post-money,INV0174,INV0174;INV0175,3,new,Growth,SRC00492,HIGH,
R00099,S0025,Bengaluru,2021-11-10,2021-12-03,2021,FY21-22,Series F,145.0,USD,10802.5,1560.0,USD,post-money,INV0176,INV0177;INV0127;INV0003;INV0178;INV0179,6,mixed (DERIVED),,SRC00491,HIGH,
R00100,S0025,Bengaluru,2026-03-17,2026-03-17,2026,FY26-27,Series G,47.6,USD,4141.2,126000.0,INR,post-money,INV0127,INV0127,2,new,Growth and IPO preparation,SRC00507,MEDIUM,
R00101,S0025,Bengaluru,2025-03-29,2025-03-29,2025,FY25-26,Series F,,USD,,,,UNKNOWN,,,0,new,Growth,SRC00497,MEDIUM,added session-2 gapfill
R00102,S0025,Bengaluru,2023-10-27,2023-10-27,2023,FY23-24,Series F,,USD,,,,UNKNOWN,,,0,new,Growth,SRC00497,MEDIUM,added session-2 gapfill
R00103,S0025,Bengaluru,2020-03-18,2020-03-18,2020,FY20-21,Series D,,USD,,,,UNKNOWN,,,0,new,Growth,SRC00497,MEDIUM,added session-2 gapfill
R00104,S0025,Bengaluru,2018-05-18,2018-05-18,2018,FY18-19,Series B,,USD,,,,UNKNOWN,,,0,new,Growth,SRC00497,MEDIUM,added session-2 gapfill
R00105,S0026,San Francisco / Pleasanton,2021-05-24,2021-05-24,2021,FY21-22,Series A,14.0,USD,1043.0,,,UNKNOWN,INV0075,,1,new,growth,SRC00516,HIGH,
R00106,S0026,San Francisco / Pleasanton,2025-06-12,2025-06-12,2025,FY25-26,Tender / Secondary,,USD,,,,tender-implied,,INV0187,1,all-new-investors (DERIVED),employee liquidity,SRC00514,HIGH,"Secondary tender, not primary capital; valuation >$1B"
R00107,S0026,San Francisco / Pleasanton,2025-06-12,2025-06-12,2025,FY25-26,Tender Offer,,USD,,1000.0,USD,tender offer (secondary),,,0,existing,Liquidity for early team members; secondary transaction,SRC00514,HIGH,added session-2 gapfill
R00108,S0026,San Francisco / Pleasanton,2019-10-29,2019-10-29,2019,FY19-20,Seed,,USD,,,,UNKNOWN,,,0,new,Early stage,SRC00518,HIGH,added session-2 gapfill
R00109,S0027,Bengaluru (India ops) / San Francisco (HQ),2017-08-02,2017-08-02,2017,FY17-18,Seed,1.6,USD,137.6,,,,INV0048,INV0197;INV0198,3,initial (DERIVED),,SRC00533,MEDIUM,
R00110,S0027,Bengaluru (India ops) / San Francisco (HQ),2020-02-26,2020-02-26,2020,FY20-21,Series A,9.9,USD,732.6,,,,,INV0199;INV0200;INV0197;INV0201;INV0202,5,mixed (DERIVED),,SRC00533,HIGH,
R00111,S0027,Bengaluru (India ops) / San Francisco (HQ),2020-09-08,2020-09-08,2020,FY20-21,Series B,25.0,USD,1850.0,,,,INV0118,INV0199;INV0200;INV0197;INV0201,5,all-follow-on (DERIVED),,SRC00532,HIGH,
R00112,S0027,Bengaluru (India ops) / San Francisco (HQ),2022-02-22,2022-02-22,2022,FY22-23,Series C,100.0,USD,7850.0,1000.0,USD,post-money,INV0203,INV0048;INV0118;INV0204,4,all-new-investors (DERIVED),R&D + global GTM for GraphQL Engine/Hasura Cloud,SRC00531,HIGH,
