startup_id,company_name,score_identity,score_founders,score_funding,score_investors,score_financials,score_products,score_traction,score_people,score_customers,score_legal,score_events,completeness_pct,tier,source_quality_pct,freshness_pct,conflict_level,score_locations,priority_score,priority_rank,cohort
S0026,Fireflies AI,7.5,10.0,10.0,7.5,10.0,2.5,5.0,7.5,0.0,5.0,7.5,66.7,Deep,100.0,100,moderate,7.5,23.7,221,
S0027,Hasura,7.5,10.0,10.0,10.0,0.0,2.5,0.0,2.5,0.0,2.5,7.5,50.0,Enriched,100.0,100,moderate,7.5,37.6,47,TARGET
S0028,Icertis,7.5,10.0,10.0,10.0,5.0,2.5,5.0,2.5,0.0,2.5,7.5,58.3,Enriched,100.0,100,moderate,7.5,35.8,69,TARGET
S0029,LeadSquared,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,93.8,Fully researched,100.0,100,high,10.0,28.6,167,
S0030,MoEngage,7.5,10.0,10.0,10.0,5.0,5.0,7.5,7.5,5.0,2.5,10.0,72.9,Deep,100.0,100,moderate,7.5,34.9,79,TARGET
S0031,Moneyview,7.5,10.0,10.0,10.0,10.0,5.0,7.5,0.0,5.0,0.0,10.0,66.7,Deep,100.0,100,moderate,5.0,29.1,163,
S0032,Mu Sigma,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,97.9,Fully researched,100.0,100,high,10.0,25.4,206,
S0033,Netradyne,7.5,10.0,10.0,10.0,7.5,5.0,7.5,7.5,5.0,2.5,7.5,72.9,Deep,100.0,100,low,7.5,31.1,138,
S0034,Postman,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,91.7,Fully researched,100.0,100,high,10.0,29.5,157,
S0035,Zeta,10.0,10.0,7.5,5.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,91.7,Fully researched,100.0,100,high,10.0,32.3,118,
S0036,Flipkart,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,5.0,10.0,10.0,91.7,Fully researched,86.7,100,high,10.0,31.7,130,
S0037,Porter,10.0,10.0,7.5,5.0,10.0,10.0,10.0,10.0,7.5,2.5,10.0,85.4,Intelligence-grade,100.0,100,high,10.0,34.7,83,TARGET
S0038,Unacademy,10.0,10.0,7.5,2.5,10.0,7.5,10.0,10.0,7.5,10.0,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,35.0,77,TARGET
S0039,Vedantu,7.5,7.5,7.5,5.0,10.0,0.0,0.0,7.5,0.0,2.5,10.0,54.2,Enriched,100.0,100,none,7.5,31.1,139,
S0040,Zetwerk,10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,27.6,179,
S0041,Dream11 (Dream Sports),7.5,10.0,10.0,10.0,10.0,7.5,7.5,0.0,0.0,5.0,10.0,68.8,Deep,100.0,100,moderate,5.0,10.2,310,
S0042,InMobi,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,95.8,Fully researched,100.0,100,high,10.0,27.0,187,
S0043,Nykaa,7.5,10.0,10.0,10.0,10.0,7.5,7.5,2.5,0.0,2.5,10.0,68.8,Deep,100.0,100,none,5.0,27.5,182,
S0044,Rebel Foods,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,93.8,Fully researched,100.0,100,high,7.5,29.6,155,
S0045,Drools,10.0,10.0,7.5,5.0,10.0,10.0,10.0,7.5,5.0,2.5,10.0,81.2,Intelligence-grade,100.0,100,high,10.0,30.8,143,
S0046,Fractal Analytics,7.5,7.5,7.5,10.0,10.0,2.5,5.0,2.5,5.0,2.5,10.0,64.6,Deep,100.0,100,low,7.5,40.4,24,EXHAUST
S0047,Jumbotail,10.0,7.5,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,100.0,100,high,10.0,22.4,232,
S0048,Livspace,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,5.0,10.0,10.0,91.7,Fully researched,100.0,100,high,10.0,25.5,202,
S0049,Meesho,10.0,10.0,7.5,10.0,10.0,7.5,10.0,7.5,10.0,10.0,10.0,93.8,Fully researched,100.0,100,high,10.0,25.1,209,
S0050,Ola (ANI Technologies),7.5,7.5,7.5,2.5,10.0,0.0,0.0,7.5,0.0,2.5,7.5,50.0,Enriched,100.0,100,low,7.5,38.9,39,TARGET
S0051,Rapido,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,23.4,223,
S0052,ShareChat,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,100.0,100,high,7.5,29.6,156,
S0053,Apna,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,26.1,195,
S0054,BharatPe,7.5,10.0,7.5,10.0,10.0,2.5,5.0,7.5,5.0,5.0,10.0,70.8,Deep,63.3,100,low,5.0,31.2,134,
S0055,Euler Motors,10.0,5.0,7.5,7.5,10.0,10.0,10.0,10.0,7.5,7.5,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,26.5,190,
S0056,Fibe (EarlySalary),7.5,7.5,5.0,5.0,7.5,0.0,0.0,0.0,0.0,2.5,7.5,39.6,Basic,50.0,100,moderate,5.0,39.2,37,EXHAUST
S0057,Innovaccer,7.5,7.5,7.5,10.0,5.0,2.5,5.0,0.0,5.0,2.5,7.5,56.2,Enriched,60.0,100,low,7.5,29.5,158,
S0058,Pixxel,10.0,10.0,10.0,10.0,10.0,7.5,7.5,0.0,7.5,2.5,10.0,79.2,Intelligence-grade,100.0,100,moderate,10.0,32.6,112,
S0059,Ecofy Finance (Ecofy),7.5,10.0,7.5,10.0,7.5,2.5,5.0,2.5,0.0,2.5,10.0,58.3,Enriched,100.0,100,low,5.0,33.7,93,TARGET
S0060,Miko Technologies,7.5,10.0,7.5,10.0,7.5,2.5,7.5,0.0,0.0,2.5,10.0,58.3,Enriched,93.3,100,low,5.0,43.8,1,EXHAUST
S0061,Nua,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,0.0,2.5,10.0,83.3,Intelligence-grade,100.0,100,high,10.0,35.1,76,TARGET
S0062,Truemeds,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,34.4,86,TARGET
S0063,Weaver Services,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,5.0,7.5,10.0,91.7,Fully researched,100.0,100,high,10.0,32.3,119,
S0064,NoBroker,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,100.0,100,high,7.5,28.4,172,
S0065,Skyroot Aerospace,7.5,10.0,7.5,10.0,0.0,7.5,5.0,2.5,5.0,2.5,10.0,60.4,Deep,66.7,100,low,5.0,35.2,74,TARGET
S0066,Digantara,10.0,10.0,7.5,7.5,7.5,7.5,10.0,10.0,10.0,2.5,10.0,85.4,Intelligence-grade,100.0,100,high,10.0,27.7,178,
S0067,Games24x7,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,32.0,123,
S0068,Infra.Market,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,97.9,Fully researched,100.0,100,high,10.0,21.7,241,
S0069,Kinara AI,7.5,7.5,7.5,2.5,5.0,0.0,0.0,0.0,0.0,2.5,7.5,37.5,Basic,90.0,100,low,5.0,39.4,32,EXHAUST
S0070,Navi,10.0,10.0,7.5,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,100.0,100,high,10.0,28.7,166,
S0071,Ninjacart,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,5.0,10.0,91.7,Fully researched,83.3,100,high,10.0,32.3,120,
S0072,Pine Labs,10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,0.0,10.0,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,31.8,128,
S0073,River Mobility,7.5,7.5,7.5,5.0,10.0,0.0,0.0,7.5,0.0,2.5,7.5,50.0,Enriched,100.0,100,low,5.0,37.4,50,TARGET
S0074,Rocketlane,7.5,7.5,10.0,5.0,10.0,0.0,0.0,7.5,0.0,2.5,7.5,52.1,Enriched,100.0,100,low,5.0,33.2,103,
S0075,Ultrahuman,10.0,7.5,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,100.0,100,high,10.0,30.2,151,
S0076,Third Wave Coffee,10.0,5.0,7.5,7.5,10.0,10.0,10.0,10.0,5.0,2.5,10.0,81.2,Intelligence-grade,100.0,100,high,10.0,41.8,15,EXHAUST
S0077,Celcius Logistics,7.5,10.0,5.0,10.0,7.5,5.0,7.5,0.0,7.5,2.5,7.5,62.5,Deep,56.7,100,low,5.0,33.3,101,
S0078,Square Yards,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,91.7,Fully researched,100.0,100,high,10.0,24.2,217,
S0079,Wint Wealth,7.5,7.5,5.0,10.0,7.5,5.0,7.5,0.0,0.0,2.5,7.5,54.2,Enriched,53.3,100,low,5.0,42.8,8,EXHAUST
S0080,Airbound,7.5,7.5,5.0,10.0,0.0,2.5,5.0,0.0,0.0,0.0,10.0,43.8,Enriched,40.0,100,none,5.0,39.3,34,EXHAUST
S0081,Ati Motors,7.5,7.5,5.0,10.0,5.0,2.5,5.0,0.0,0.0,0.0,10.0,47.9,Enriched,73.3,100,moderate,5.0,42.5,12,EXHAUST
S0082,Sapiom,5.0,7.5,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,7.5,35.4,Basic,50.0,100,low,5.0,36.6,58,TARGET
S0083,boAt,7.5,10.0,7.5,10.0,7.5,2.5,5.0,0.0,0.0,2.5,10.0,56.2,Enriched,76.7,100,low,5.0,36.8,57,TARGET
S0084,MobiKwik,7.5,10.0,5.0,10.0,10.0,2.5,10.0,2.5,0.0,2.5,10.0,62.5,Deep,100.0,100,low,5.0,14.1,297,
S0085,OfBusiness,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,97.9,Fully researched,100.0,100,high,10.0,23.0,226,
S0086,Pristyn Care,10.0,10.0,10.0,10.0,10.0,5.0,5.0,2.5,0.0,2.5,10.0,68.8,Deep,100.0,100,moderate,7.5,38.6,41,TARGET
S0087,Swish,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,0.0,2.5,10.0,83.3,Intelligence-grade,100.0,100,high,10.0,36.3,64,TARGET
S0088,Hang Ten Systems,7.5,10.0,5.0,7.5,0.0,0.0,0.0,0.0,0.0,2.5,7.5,37.5,Basic,53.3,100,none,5.0,38.4,42,TARGET
S0089,Moonrider,7.5,10.0,7.5,10.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,43.8,Enriched,40.0,100,none,5.0,30.6,148,
S0090,Toddle,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,Fully researched,100.0,100,high,10.0,20.9,246,
S0091,Inito,7.5,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,39.6,Basic,53.3,100,low,5.0,42.9,5,EXHAUST
S0092,Akasa Air,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,97.9,Fully researched,100.0,100,high,10.0,23.5,222,
S0093,EatClub (BOX8),10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,7.5,2.5,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,35.5,70,TARGET
S0094,Eruditus,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,7.5,2.5,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,30.9,142,
S0095,Innovist,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,91.7,Fully researched,100.0,100,high,10.0,23.1,225,
S0096,Leap (LeapScholar),10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,7.5,2.5,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,29.1,164,
S0097,Nazara Technologies,7.5,7.5,7.5,10.0,7.5,0.0,0.0,2.5,0.0,2.5,10.0,50.0,Enriched,100.0,100,none,5.0,43.1,4,EXHAUST
S0098,Neo (Neo Wealth),10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,23.3,224,
S0099,Stellapps,10.0,7.5,5.0,10.0,7.5,0.0,0.0,0.0,0.0,2.5,7.5,45.8,Enriched,66.7,100,none,5.0,37.5,48,TARGET
S0100,Purple Style Labs,10.0,7.5,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,70.0,100,high,10.0,26.7,188,
S0101,Zypp Electric,10.0,7.5,7.5,10.0,10.0,0.0,0.0,0.0,0.0,2.5,7.5,50.0,Enriched,70.0,100,low,5.0,31.9,125,
S0102,Business Nextgen Finance,10.0,7.5,2.5,10.0,5.0,0.0,0.0,0.0,0.0,2.5,7.5,41.7,Enriched,70.0,100,low,5.0,40.0,27,EXHAUST
S0103,EtherealX (Ethereal Exploration),10.0,10.0,7.5,10.0,5.0,5.0,5.0,0.0,0.0,2.5,7.5,56.2,Enriched,56.7,100,moderate,5.0,36.9,54,TARGET
S0104,QNu Labs,10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,10.0,2.5,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,15.7,295,
S0105,Ultraviolette,7.5,7.5,7.5,10.0,7.5,5.0,7.5,0.0,0.0,0.0,10.0,56.2,Enriched,100.0,100,low,5.0,38.3,43,TARGET
S0106,Curefoods,10.0,7.5,10.0,10.0,10.0,7.5,10.0,10.0,0.0,10.0,10.0,87.5,Intelligence-grade,100.0,100,moderate,10.0,25.5,203,
S0107,Dezerv,7.5,10.0,7.5,10.0,5.0,5.0,7.5,2.5,0.0,0.0,7.5,56.2,Enriched,86.7,100,moderate,5.0,41.7,16,EXHAUST
S0108,Edubuk,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,0.0,2.5,10.0,81.2,Intelligence-grade,100.0,100,high,10.0,33.1,106,
S0109,EloElo,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,89.6,Intelligence-grade,100.0,100,high,7.5,32.0,124,
S0110,GIVA,10.0,10.0,7.5,10.0,10.0,10.0,10.0,7.5,5.0,5.0,10.0,87.5,Intelligence-grade,100.0,100,moderate,10.0,27.9,176,
S0111,Impetus Technologies,7.5,7.5,5.0,7.5,5.0,0.0,0.0,0.0,0.0,0.0,7.5,37.5,Basic,73.3,100,none,5.0,38.8,40,TARGET
S0112,Moglix,7.5,7.5,7.5,10.0,10.0,5.0,10.0,2.5,10.0,2.5,10.0,75.0,Intelligence-grade,100.0,100,moderate,7.5,35.3,73,TARGET
S0113,MPL (Mobile Premier League),7.5,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,2.5,10.0,39.6,Basic,40.0,100,none,5.0,7.4,321,
S0114,PhysicsWallah,10.0,10.0,7.5,10.0,10.0,0.0,0.0,0.0,0.0,2.5,10.0,56.2,Enriched,50.0,100,none,7.5,34.6,84,TARGET
S0115,Popo Global,10.0,10.0,7.5,7.5,5.0,0.0,0.0,0.0,0.0,2.5,7.5,47.9,Enriched,46.7,100,none,7.5,31.9,126,
S0116,Shadowfax,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,2.5,10.0,60.4,Deep,66.7,100,none,10.0,34.8,82,TARGET
S0117,Smallcase,10.0,10.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,2.5,10.0,62.5,Deep,50.0,100,none,7.5,27.2,184,
S0118,StockGro,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,7.5,10.0,95.8,Fully researched,100.0,100,high,10.0,14.1,298,
S0119,Yulu,10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,21.9,238,
S0120,Zenoti,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,91.7,Fully researched,100.0,100,high,10.0,25.4,207,
S0121,Exxat,10.0,7.5,5.0,7.5,5.0,0.0,0.0,0.0,0.0,2.5,10.0,45.8,Enriched,100.0,100,low,7.5,42.9,6,EXHAUST
S0122,Bellatrix Aerospace,10.0,10.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,2.5,10.0,50.0,Enriched,100.0,100,low,7.5,37.5,49,TARGET
S0123,Foxtale,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,5.0,2.5,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,33.2,104,
S0124,GalaxEye,7.5,10.0,2.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,37.5,Basic,73.3,100,none,5.0,32.6,113,
S0125,HerSpace Manufacturing,10.0,10.0,7.5,7.5,0.0,10.0,10.0,10.0,5.0,2.5,10.0,77.1,Intelligence-grade,96.7,100,moderate,10.0,26.0,198,
S0126,Snitch,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,5.0,2.5,10.0,87.5,Intelligence-grade,100.0,100,moderate,10.0,27.4,183,
S0127,OneCard (FPL Technologies),7.5,7.5,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,39.6,Basic,66.7,0,none,5.0,42.6,11,EXHAUST
S0128,Rezolv,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,2.5,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,25.8,200,
S0129,JustAI,7.5,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,37.5,Basic,86.7,100,moderate,5.0,39.3,35,EXHAUST
S0130,BGauss,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,2.5,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,27.6,180,
S0131,Emo Energy,7.5,7.5,7.5,10.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,45.8,Enriched,63.3,100,none,5.0,36.0,67,TARGET
S0132,Baaz Bikes,5.0,0.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,22.9,Basic,86.7,100,low,5.0,30.8,144,
S0133,Piston,7.5,0.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,25.0,Basic,50.0,100,none,5.0,35.4,71,TARGET
S0134,Chargebee,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,91.7,Fully researched,100.0,100,high,10.0,24.7,213,
S0135,Delhivery,10.0,7.5,7.5,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,93.8,Fully researched,100.0,60,low,10.0,11.8,305,
S0136,Erisha E Mobility,7.5,7.5,2.5,7.5,5.0,0.0,0.0,0.0,0.0,2.5,7.5,37.5,Basic,53.3,100,low,5.0,36.3,65,TARGET
S0137,Freshworks,7.5,10.0,7.5,10.0,7.5,0.0,0.0,0.0,0.0,0.0,7.5,45.8,Enriched,86.7,100,none,5.0,39.4,33,EXHAUST
S0138,OYO,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,93.8,Fully researched,100.0,100,high,10.0,25.1,210,
S0139,Policybazaar,7.5,10.0,7.5,10.0,10.0,0.0,0.0,0.0,0.0,2.5,7.5,50.0,Enriched,63.3,20,none,5.0,22.2,234,
S0140,Uniphore,7.5,10.0,10.0,10.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,50.0,Enriched,83.3,80,low,5.0,9.3,314,
S0141,Urban Company,7.5,7.5,7.5,2.5,10.0,0.0,0.0,0.0,0.0,0.0,10.0,41.7,Enriched,33.3,80,none,5.0,20.6,249,
S0142,Zomato,7.5,10.0,7.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,Enriched,83.3,20,none,5.0,20.4,253,
S0143,Emversity,7.5,10.0,10.0,10.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,50.0,Enriched,100.0,80,low,5.0,18.4,272,
S0144,KGeN (Kratos Gamer Network),10.0,7.5,7.5,7.5,10.0,10.0,10.0,10.0,10.0,2.5,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,29.3,161,
S0145,Seekho,10.0,7.5,7.5,7.5,10.0,10.0,10.0,10.0,5.0,10.0,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,31.4,131,
S0146,Avammune Therapeutics,10.0,10.0,7.5,7.5,0.0,7.5,10.0,10.0,0.0,2.5,10.0,70.8,Deep,100.0,60,high,10.0,34.1,88,TARGET
S0147,HexaHealth,7.5,7.5,5.0,7.5,5.0,0.0,5.0,0.0,0.0,2.5,7.5,43.8,Enriched,23.3,0,none,5.0,37.0,53,TARGET
S0148,Escape Plan (travel gear),10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,2.5,10.0,87.5,Intelligence-grade,100.0,100,high,7.5,31.2,135,
S0149,Lendingkart,7.5,10.0,7.5,10.0,7.5,0.0,0.0,0.0,0.0,2.5,10.0,50.0,Enriched,100.0,0,low,5.0,34.0,89,TARGET
S0150,PB Healthcare,7.5,10.0,7.5,10.0,5.0,0.0,0.0,0.0,0.0,2.5,10.0,47.9,Enriched,100.0,0,none,5.0,37.3,51,TARGET
S0151,Augnito,7.5,10.0,7.5,7.5,5.0,0.0,0.0,0.0,0.0,2.5,10.0,45.8,Enriched,70.0,100,none,5.0,35.2,75,TARGET
S0152,C2i Semiconductors,7.5,10.0,7.5,10.0,5.0,0.0,0.0,0.0,0.0,2.5,10.0,47.9,Enriched,100.0,0,none,5.0,43.4,2,EXHAUST
S0153,CynLr,10.0,10.0,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,24.0,219,
S0154,Skydo,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,7.5,10.0,10.0,95.8,Fully researched,100.0,100,moderate,10.0,16.2,291,
S0155,Smart Joules,7.5,10.0,7.5,10.0,10.0,0.0,0.0,0.0,0.0,2.5,10.0,52.1,Enriched,100.0,0,low,5.0,22.6,231,
S0156,VerveSemi (Vervesemi),10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,10.0,2.5,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,22.2,235,
S0157,Butterfly Learnings,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,91.7,Fully researched,100.0,100,moderate,10.0,20.8,247,
S0158,Sugar Cosmetics,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,7.5,7.5,10.0,93.8,Fully researched,100.0,100,high,10.0,26.7,189,
S0159,Graas.ai (Graas),10.0,10.0,7.5,5.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,91.7,Fully researched,100.0,100,moderate,10.0,21.6,242,
S0160,Beepkart,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,Candidate,16.7,100,none,5.0,3.1,347,
