claim_id,startup_id,entity,field,claim_value,value_type,unit,currency,date_from,date_to,source_id,confidence,status,preferred,notes
CL00025,S0003,PhonePe,employee_estimate,50000,company-field,,,2026-07-01,,SRC00078,MEDIUM,current,yes,ESTIMATE based on 400M daily transactions scale and 718M users; no verified headcount found
CL00026,S0003,PhonePe,public_private,private,company-field,,,2026-09-15,,SRC00077,HIGH,current,yes,IPO-bound but not yet listed
CL00027,S0003,PhonePe,hq_type,HQ,company-field,,,2026-09-15,,SRC00077,HIGH,current,yes,
CL00028,S0003,PhonePe,registered_office,"Bengaluru, Karnataka",company-field,,,2026-09-15,,SRC00077,MEDIUM,current,yes,CIN suggests Karnataka registration
CL00029,S0004,Razorpay,official_website,https://razorpay.com,company-field,,,,,SRC00103,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00030,S0004,Razorpay,careers_website,https://razorpay.com/jobs/,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00031,S0005,Zepto,official_website,https://www.zepto.com,company-field,,,,,SRC00113,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00032,S0005,Zepto,cin,UNKNOWN,company-field,,,2026-09-15,,,LOW,current,yes,CIN not verified; ZaubaCorp/Tofler fetches returned 403/404
CL00033,S0005,Zepto,incorporation_date,2021-07,company-field,,,2026-08-03,,SRC00108,HIGH,current,yes,DRHP states incorporation July 2021
CL00034,S0005,Zepto,state,Maharashtra,company-field,,,2025-10-16,,SRC00110,HIGH,current,yes,
CL00035,S0005,Zepto,business_model,10-minute grocery delivery via dark stores; ad vertical; Zepto Cafe; private labels,company-field,,,2026-08-03,,SRC00108,HIGH,current,yes,Pure-play quick commerce; no adjacent food delivery vertical
CL00036,S0005,Zepto,description,Quick commerce platform delivering groceries in 10 minutes via network of dark stores,company-field,,,2026-09-15,,SRC00113,HIGH,current,yes,
CL00037,S0005,Zepto,employee_estimate,5700,company-field,,,2025-10-22,,SRC00112,MEDIUM,current,yes,"~5,700 as of Oct 2025; ~1,000 impacted YTD via layoffs/automation"
CL00038,S0005,Zepto,public_private,private (pre-IPO),company-field,,,2026-08-03,,SRC00108,HIGH,current,yes,Confidential DRHP filed Dec 2025; listing deferred to Feb-May 2027
CL00039,S0005,Zepto,hq_type,HQ,company-field,,,2025-10-16,,SRC00110,HIGH,current,yes,Mumbai HQ; Bengaluru mentioned in some articles likely erroneous
CL00040,S0005,Zepto,registered_office,"Mumbai, Maharashtra",company-field,,,2025-12-25,,SRC00106,MEDIUM,current,yes,RoC filings; exact address unverified
CL00041,S0006,Neysa,official_website,https://neysa.ai,company-field,,,,,SRC00135,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00042,S0006,Neysa,careers_website,https://neysa.ai/careers/,company-field,,,,,SRC00135,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00043,S0006,Neysa,description,"India's AI acceleration cloud platform offering GPU infrastructure, GenAI platform Velocis, and AI/ML observability. Flagship product Velocis.",company-field,,,,,SRC00114,HIGH,current,yes,Company PR
CL00044,S0006,Neysa,employee_estimate,110,company-field,,,2026-02,,SRC00115,MEDIUM,current,yes,"110 employees across Mumbai, Bengaluru, Chennai as of Feb 2026"
CL00045,S0006,Neysa,public_private,Private,company-field,,,,,SRC00115,HIGH,current,yes,"Private company, Blackstone majority stake pending"
CL00046,S0006,Neysa,hq_type,HQ,company-field,,,,,SRC00115,HIGH,current,yes,Mumbai HQ
CL00047,S0007,Amagi,official_website,https://www.amagi.com,company-field,,,,,SRC00144,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00048,S0007,Amagi,careers_website,https://www.amagi.com/careers,company-field,,,,,SRC00144,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00049,S0008,CRED,official_website,https://cred.club,company-field,,,,,,HIGH,current,yes,W-wave verified 2026-09-15
CL00050,S0008,CRED,careers_website,https://careers.cred.club,company-field,,,,,,HIGH,current,yes,"Careers page found via search; hyperresearch fetch returned JUNK_CONTENT, but search snippets confirm active openings page"
CL00051,S0009,Darwinbox,official_website,https://darwinbox.com,company-field,,,,,SRC00166,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00052,S0009,Darwinbox,careers_website,https://darwinbox.com/careers,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00053,S0010,Emergent,cin,"3914600 (EMERGENT LABS INC., UK) / U62010KA2026PTC222737 (EMERGENE AI PRIVATE LIMITED, India)",company-field,,,2024-06-12,,,MEDIUM,current,yes,
CL00054,S0010,Emergent,incorporation_date,"12 June 2024 (EMERGENT LABS INC., UK entity) / 20 June 2026 (EMERGENE AI PRIVATE LIMITED, India entity)",company-field,,,2024-06-12,,,MEDIUM,current,yes,
CL00055,S0010,Emergent,official_website,https://emergent.sh,company-field,,,,,SRC00174,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00056,S0010,Emergent,careers_website,https://emergent.sh/careers,company-field,,,,,SRC00174,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00057,S0011,Groww,official_website,https://groww.in,company-field,,,,,SRC00206,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00058,S0011,Groww,careers_website,https://groww.in/careers,company-field,,,,,SRC00206,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00059,S0011,Groww,cin,L72900KA2018PLC109343,company-field,,,,,SRC00191,HIGH,current,yes,
CL00060,S0011,Groww,state,Karnataka,company-field,,,,,SRC00191,HIGH,current,yes,
CL00061,S0011,Groww,description,"India's largest retail brokerage by active users; platform for stocks, mutual funds, ETFs, F&O, IPOs, digital gold, and credit products",company-field,,,,,SRC00191,HIGH,current,yes,
CL00062,S0011,Groww,public_private,Public,company-field,,,,,SRC00191,HIGH,current,yes,
CL00063,S0011,Groww,hq_type,registered,company-field,,,,,SRC00191,HIGH,current,yes,
CL00064,S0011,Groww,registered_office,"Vaishnavi Tech Park, South Tower, 3rd Floor, Survey No.16/1 & 17/2, Ambalipura Village, Varthur Hobli, Bellandur, Bangalore South, Karnataka - 560103",company-field,,,,,SRC00191,HIGH,current,yes,
CL00065,S0012,Gupshup,official_website,https://www.gupshup.ai,company-field,,,,,SRC00238,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00066,S0012,Gupshup,careers_website,https://www.gupshup.ai/careers,company-field,,,,,SRC00238,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00067,S0013,Krutrim,official_website,https://www.olakrutrim.com,company-field,,,,,SRC00258,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00068,S0013,Krutrim,state,Karnataka,company-field,,,2026-09-15,,SRC00253,HIGH,current,yes,ROC Bangalore
CL00069,S0013,Krutrim,public_private,Private,company-field,,,2026-09-15,,SRC00253,HIGH,current,yes,Private UnListed per MCA
CL00070,S0013,Krutrim,hq_type,registered_office,company-field,,,2026-09-15,,SRC00253,HIGH,current,yes,Wing C Prestige RMZ Star Tech Industrial Layout Hosur Road Bangalore South
CL00071,S0013,Krutrim,registered_office,"Wing C, Prestige RMZ Star Tech Industrial Layout, Hosur Road, Bangalore South, Bangalore, Karnataka, 560034",company-field,,,2026-09-15,,SRC00253,HIGH,current,yes,MCA registered office
CL00072,S0014,Sarvam AI,official_website,https://www.sarvam.ai,company-field,,,,,SRC00275,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00073,S0014,Sarvam AI,careers_website,https://www.sarvam.ai/careers,company-field,,,,,SRC00275,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00074,S0015,Slice,cin,U65100AS2016PLC017505,company-field,,,2016-07-25,,,HIGH,current,yes,
CL00075,S0015,Slice,incorporation_date,25 July 2016,company-field,,,2016-07-25,,,HIGH,current,yes,
CL00076,S0015,Slice,official_website,https://slice.bank.in,company-field,,,,,SRC00287,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00077,S0015,Slice,careers_website,https://slice.bank.in/careers,company-field,,,,,SRC00287,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00078,S0016,upGrad,official_website,https://www.upgrad.com,company-field,,,,,SRC00304,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00079,S0016,upGrad,careers_website,https://www.upgrad.com/careers,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00080,S0016,upGrad,description,"India's largest higher-ed upskilling platform; 10M+ learners globally; offers degree programs, certifications, corporate training, and study-abroad pathways via university partnerships (IIIT-B, LJMU, ",company-field,,,2026-09-15,,SRC00295,MEDIUM,current,yes,Company-claimed; 10M+ learners per May 2026 PR
CL00081,S0016,upGrad,employee_estimate,11544,company-field,,,2026-03,,SRC00309,MEDIUM,current,yes,"Revelio Labs workforce intelligence, March 2026"
CL00082,S0016,upGrad,public_private,Private,company-field,,,2026-09-15,,SRC00304,HIGH,current,yes,No DRHP filed as of Sep 2026; targeting 2027 IPO
CL00083,S0016,upGrad,hq_type,HQ,company-field,,,2026-09-15,,SRC00316,HIGH,current,yes,Mumbai HQ
CL00084,S0016,upGrad,registered_office,"Mumbai, Maharashtra",company-field,,,2026-09-15,,SRC00293,HIGH,current,yes,MCA registered office
CL00085,S0017,BrowserStack,official_website,https://www.browserstack.com,company-field,,,,,SRC00351,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00086,S0017,BrowserStack,careers_website,https://www.browserstack.com/careers,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00087,S0017,BrowserStack,description,"Cloud-based software testing platform founded 2011 by IIT-Bombay graduates; powers 3M+ tests/day across 50K+ customers in 135+ countries; 21 global data centers, 3500+ real devices",company-field,,,2026-09-15,,SRC00331,HIGH,current,yes,From official press release Jan 2026
CL00088,S0017,BrowserStack,employee_estimate,1797,company-field,,,2026-09-15,,SRC00343,MEDIUM,current,yes,Tracxn official count; ~1200+ per Wikipedia 2024; crossed 1000 in 2022
CL00089,S0017,BrowserStack,public_private,Private,company-field,,,2026-09-15,,SRC00332,HIGH,current,yes,Privately held; no IPO; profitable; bootstrapped until 2018
CL00090,S0017,BrowserStack,registered_office,"BrowserStack Software Private Limited, Maharashtra, India",company-field,,,2026-09-15,,SRC00335,MEDIUM,current,yes,Indian entity registered office in Maharashtra
CL00091,S0018,Dhan,official_website,https://dhan.co,company-field,,,,,SRC00368,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00092,S0018,Dhan,careers_website,https://dhan.co/career/,company-field,,,,,SRC00368,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00093,S0018,Dhan,incorporation_date,2012,company-field,,,2026-09-15,,SRC00360,MEDIUM,current,yes,
CL00094,S0018,Dhan,description,"Dhan is a technology-led discount stock broking and trading platform for super traders and long-term investors, owned by Raise Securities Pvt Ltd (part of Raise Financial Services). Offers stock broki",company-field,,,2026-09-15,,SRC00360,HIGH,current,yes,
CL00095,S0018,Dhan,employee_estimate,550,company-field,,,2026-09-15,,SRC00360,HIGH,current,yes,
CL00096,S0018,Dhan,public_private,private,company-field,,,2026-09-15,,SRC00352,HIGH,current,yes,
CL00097,S0018,Dhan,registered_office,"Unit No. 2201, 22nd Floor, Gold Medal Avenue, S.V. Road, Beside Patel Petrol Pump, Piramal Nagar, Goregaon West, Mumbai – 400104",company-field,,,2026-09-15,,SRC00360,HIGH,current,yes,
CL00098,S0019,PharmEasy,official_website,https://pharmeasy.in,company-field,,,,,SRC00406,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00099,S0019,PharmEasy,careers_website,https://pharmeasy.in/careers,company-field,,,,,SRC00406,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00100,S0019,PharmEasy,description,"India's largest digital healthcare platform by GMV (FY21); operates PharmEasy (consumer e-pharmacy), Thyrocare (diagnostics), Ascent (B2B pharma distribution), Aknamed (hospital supply chain)",company-field,,,,,SRC00374,HIGH,current,yes,
CL00101,S0019,PharmEasy,employee_estimate,488,company-field,,,,,SRC00403,MEDIUM,current,yes,"Tracxn official count; PitchBook shows 3,965; Wikipedia 4,700+ (2024). Significant discrepancy; Tracxn likely counts parent-only."
CL00102,S0019,PharmEasy,public_private,private,company-field,,,,,SRC00374,HIGH,current,yes,Unlisted; DRHP filed Nov 2021 withdrawn; IPO ambitions revived
CL00103,S0019,PharmEasy,registered_office,"Mumbai, Maharashtra",company-field,,,,,SRC00374,MEDIUM,current,yes,CIN indicates MH registration
CL00104,S0020,Snapmint,official_website,https://www.snapmintbusiness.com,company-field,,,,,SRC00427,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00105,S0021,Upstox,official_website,https://upstox.com,company-field,,,,,SRC00442,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00106,S0021,Upstox,careers_website,https://upstox.com/careers/,company-field,,,,,SRC00442,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00107,S0021,Upstox,description,India's 4th largest broker by clients; discount broking platform for active traders; backed by Tiger Global and Ratan Tata,company-field,,,,,SRC00431,HIGH,current,yes,4th largest by clients per Livemint
CL00108,S0021,Upstox,employee_estimate,387,company-field,,,,,SRC00433,MEDIUM,current,yes,"Tracxn: 387 employees as of May 1, 2026"
CL00109,S0021,Upstox,public_private,private,company-field,,,,,SRC00431,HIGH,current,yes,No IPO; listing on cards but no timeline disclosed
CL00110,S0021,Upstox,registered_office,"807, New Delhi House, Barakhamba Road, Connaught Place, New Delhi - 110001",company-field,,,,,SRC00437,HIGH,current,yes,Per Upstox T&C
CL00111,S0022,Udaan,official_website,https://udaan.com,company-field,,,,,SRC00456,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00112,S0023,ACKO,official_website,https://www.acko.com,company-field,,,,,SRC00471,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00113,S0023,ACKO,careers_website,https://www.acko.com/careers/,company-field,,,,,SRC00471,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00114,S0024,CoinSwitch Kuber,official_website,https://coinswitch.co,company-field,,,,,SRC00489,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00115,S0024,CoinSwitch Kuber,careers_website,https://recruiterflow.com/coinswitch/jobs,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00116,S0025,Cult.fit (CureFit),official_website,https://www.cult.fit,company-field,,,,,SRC00513,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00117,S0025,Cult.fit (CureFit),careers_website,https://careers.cult.fit/cult/,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00118,S0026,Fireflies AI,official_website,https://fireflies.ai,company-field,,,,,SRC00530,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00119,S0026,Fireflies AI,careers_website,https://jobs.gem.com/fireflies,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00120,S0027,Hasura,official_website,https://hasura.io,company-field,,,,,SRC00546,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00121,S0027,Hasura,careers_website,https://hasura.io/careers,company-field,,,,,SRC00546,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00122,S0028,Icertis,cin,U72900PN2009PTC134043,company-field,,,2009-05-29,,,HIGH,current,yes,
CL00123,S0028,Icertis,incorporation_date,29 May 2009,company-field,,,2009-05-29,,,HIGH,current,yes,
CL00124,S0028,Icertis,official_website,https://www.icertis.com,company-field,,,,,SRC00557,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00125,S0028,Icertis,careers_website,https://www.icertis.com/company/careers/,company-field,,,,,SRC00557,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00126,S0029,LeadSquared,official_website,https://www.leadsquared.com,company-field,,,,,,HIGH,current,yes,W-wave verified 2026-09-15
CL00127,S0029,LeadSquared,careers_website,https://www.leadsquared.com/company/careers,company-field,,,,,,HIGH,current,yes,Careers page confirmed via search; hyperresearch fetch returned HTTP 403
CL00128,S0029,LeadSquared,state,Karnataka,company-field,,,2026-09-15,,SRC00578,HIGH,current,yes,Karnataka state
CL00129,S0029,LeadSquared,description,"Vertical SaaS platform for sales execution, marketing automation, and field-force management; no-code workflow builder; serves high-lead-volume enterprises",company-field,,,2026-09-15,,SRC00570,HIGH,current,yes,"Products include CRM, marketing cloud, sales performance analytics, developer platform"
CL00130,S0029,LeadSquared,public_private,Private,company-field,,,2026-09-15,,SRC00573,HIGH,current,yes,Last funding 20/06/2022; no IPO
CL00131,S0029,LeadSquared,registered_office,"MarketXpander Services Pvt Ltd, Karnataka",company-field,,,2026-09-15,,SRC00563,MEDIUM,current,yes,MCA-registered entity; exact address not fetched (ZaubaCorp 403)
CL00132,S0030,MoEngage,official_website,https://www.moengage.com,company-field,,,,,SRC00588,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00133,S0030,MoEngage,careers_website,https://www.moengage.com/careers/,company-field,,,,,SRC00588,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00134,S0031,Moneyview,official_website,https://moneyview.in,company-field,,,,,SRC00597,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00135,S0031,Moneyview,careers_website,https://moneyview.in/careers,company-field,,,,,SRC00597,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00136,S0032,Mu Sigma,official_website,https://www.mu-sigma.com,company-field,,,,,,HIGH,current,yes,W-wave verified 2026-09-15
CL00137,S0032,Mu Sigma,careers_website,https://mu-sigma.com/careers,company-field,,,,,,HIGH,current,yes,W-wave verified 2026-09-15
CL00138,S0032,Mu Sigma,state,Karnataka,company-field,,,,,SRC00602,HIGH,current,yes,Karnataka per MCA registration
CL00139,S0032,Mu Sigma,description,"Decision sciences company providing analytics, AI, and decision systems to enterprises; 140+ Fortune 500 clients; 12+ industries served; founded 2004; unicorn since Feb 2013",company-field,,,,,SRC00599,HIGH,current,yes,From company website and Wikipedia
CL00140,S0032,Mu Sigma,public_private,private,company-field,,,,,SRC00603,HIGH,current,yes,Privately Held per LinkedIn; never listed
CL00141,S0032,Mu Sigma,registered_office,"Aviator Building Level 14, Ascend as ITPL - SEZ Zone, Whitefield, Bangalore, Karnataka, India, 560066",company-field,,,,,SRC00602,HIGH,current,yes,MCA registered address per Tofler
CL00142,S0033,Netradyne,official_website,https://www.netradyne.com,company-field,,,,,SRC00611,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00143,S0033,Netradyne,careers_website,https://www.netradyne.com/company/careers,company-field,,,,,SRC00611,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00144,S0034,Postman,official_website,https://www.postman.com,company-field,,,,,SRC00622,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00145,S0034,Postman,careers_website,https://www.postman.com/company/careers/,company-field,,,,,SRC00622,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00146,S0034,Postman,cin,U72900KA2014PTC076766,company-field,,,,,SRC00615,HIGH,current,yes,Verified via Tracxn legal entities section
CL00147,S0034,Postman,incorporation_date,2014-10-14,company-field,,,,,SRC00615,HIGH,current,yes,India entity incorporation date
CL00148,S0034,Postman,state,Karnataka,company-field,,,,,SRC00612,HIGH,current,yes,
CL00149,S0034,Postman,description,"Postman is the world's leading API platform for designing, testing, documenting, monitoring, and distributing APIs. Founded in Bengaluru, now headquartered in San Francisco with offices in Bangalore a",company-field,,,,,SRC00612,HIGH,current,yes,
CL00150,S0034,Postman,employee_estimate,273,company-field,,,2025-08-31,,SRC00615,MEDIUM,current,yes,"As of Aug 31, 2025 per Tracxn; Inc42 reported 3,547 earlier; significant reduction likely from restructuring"
CL00151,S0034,Postman,public_private,private,company-field,,,,,SRC00612,HIGH,current,yes,"Series D, no IPO"
CL00152,S0034,Postman,registered_office,"#310, 6th Main Road Indiranagar, Bangalore, Karnataka 560038",company-field,,,,,SRC00615,HIGH,current,yes,Same as Bangalore office address
CL00153,S0035,Zeta,official_website,https://www.zeta.tech,company-field,,,,,SRC00626,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00154,S0035,Zeta,careers_website,https://www.zeta.tech/in/careers,company-field,,,,,SRC00626,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00155,S0035,Zeta,cin,U74999MH2011PTC221931,company-field,,,2026-09-15,,SRC00631,HIGH,current,yes,MCA CIN from Tracxn registry data
CL00156,S0035,Zeta,incorporation_date,2011-09-13,company-field,,,2026-09-15,,SRC00631,HIGH,current,yes,MCA registration date; Zeta brand founded 2015 by Turakhia/Gaddipati
CL00157,S0035,Zeta,state,Karnataka,company-field,,,2026-09-15,,SRC00631,HIGH,current,yes,Bengaluru office
CL00158,S0035,Zeta,country,India,company-field,,,2026-09-15,,SRC00626,HIGH,current,yes,India entity Better World Technology Pvt Ltd
CL00159,S0035,Zeta,description,"Next-gen banking technology company providing cloud-native, API-first platform for card issuance, core banking, lending, and digital banking experiences to banks and fintechs globally",company-field,,,2026-09-15,,SRC00626,HIGH,current,yes,From company website
CL00160,S0035,Zeta,registered_office,"601,602,6th Floor, Bldg No.3, IT Park Off, Western Express Highway, Next to Hub Mall, NESCO, Goregaon East, Mumbai, Maharashtra, India, 400063",company-field,,,2026-09-15,,SRC00631,HIGH,current,yes,Tracxn registered address
CL00161,S0036,Flipkart,official_website,https://www.flipkart.com,company-field,,,,,SRC00655,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00162,S0036,Flipkart,careers_website,https://www.flipkartcareers.com,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00163,S0036,Flipkart,state,Karnataka,company-field,,,2026-09-15,,SRC00649,HIGH,current,yes,Karnataka state per registered address
CL00164,S0036,Flipkart,country,India,company-field,,,2026-09-15,,SRC00649,HIGH,current,yes,India-incorporated; domicile shifting from Singapore
CL00165,S0036,Flipkart,description,"India's leading e-commerce marketplace, majority-owned by Walmart since 2018; operates marketplace across electronics, fashion, grocery, and quick commerce",company-field,,,2026-09-15,,SRC00649,MEDIUM,current,yes,Tofler description; Walmart 80.5% ownership per BL
CL00166,S0036,Flipkart,registered_office,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Outer Ring Road, Devarabeesanahalli Village Ben, Karnataka - 560103",company-field,,,2026-09-15,,SRC00649,HIGH,current,yes,Verified registered address per MCA records via Tofler
CL00167,S0036,Flipkart,subsidiary_of,"Flipkart Pte Ltd (Singapore, shifting to India)",company-field,,,2026-09-15,,SRC00646,MEDIUM,current,yes,Domicile shift from Singapore to India reported 2026; Flipkart Internet is Indian operating entity
CL00168,S0037,Porter,official_website,https://porter.in,company-field,,,,,SRC00659,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00169,S0037,Porter,careers_website,https://porter.in/careers,company-field,,,,,SRC00659,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00170,S0037,Porter,cin,UNKNOWN,company-field,,,,,,LOW,current,yes,Not verified from registry
CL00171,S0037,Porter,incorporation_date,2014,company-field,,,,,SRC00663,HIGH,current,yes,Multiple sources confirm 2014 founding
CL00172,S0037,Porter,state,Karnataka,company-field,,,,,SRC00659,HIGH,current,yes,Bengaluru is in Karnataka
CL00173,S0037,Porter,country,India,company-field,,,,,SRC00659,HIGH,current,yes,Indian operations
CL00174,S0037,Porter,description,"On-demand intra-city logistics platform offering mini-truck, tempo, EV, and two-wheeler transport for businesses and consumers. Also offers Porter Enterprise (B2B), Packers & Movers, and intercity cou",company-field,,,,,SRC00659,HIGH,current,yes,From porter.in official site
