primary_sector,companies,n_note,avg_completeness_pct,median_completeness_pct,funded_companies,funding_median_inr_mn,funding_total_inr_mn,revenue_known_n,revenue_median_inr_crore,small_sample_flag,notes
AI,2,sample-size protection: descriptive only,34.4,34.4,1,65.2,130.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
B2B construction materials,1,sample-size protection: descriptive only,97.9,97.9,1,81369.2,81369.2,4,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
B2B e-commerce / industrial supply chain,1,sample-size protection: descriptive only,75.0,75.0,1,34779.1,34779.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
B2B ecommerce (food & grocery),1,sample-size protection: descriptive only,93.8,93.8,1,27744.0,27744.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
B2B supply-chain commerce / fintech,1,sample-size protection: descriptive only,97.9,97.9,1,236958.7,236958.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Beauty-Tech SaaS,1,sample-size protection: descriptive only,91.7,91.7,1,56245.5,56245.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Conversational AI / Enterprise AI,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C / healthy snacks,1,sample-size protection: descriptive only,10.4,10.4,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C Beauty / Skincare,1,sample-size protection: descriptive only,87.5,87.5,1,5651.2,5651.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C Streetwear / Fashion,1,sample-size protection: descriptive only,50.0,50.0,1,3000.0,3000.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C beauty / beauty-tech retail,1,sample-size protection: descriptive only,68.8,68.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C beauty / science-led skincare,1,sample-size protection: descriptive only,12.5,12.5,1,435.0,435.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C fashion,1,sample-size protection: descriptive only,87.5,87.5,1,12419.1,12419.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C footwear,1,sample-size protection: descriptive only,87.5,87.5,1,1241.0,1241.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C jewellery,1,sample-size protection: descriptive only,87.5,87.5,1,18910.0,18910.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C luxury fashion / fashion-tech,1,sample-size protection: descriptive only,93.8,93.8,1,11675.4,11675.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
D2C pet food / consumer goods,1,sample-size protection: descriptive only,81.2,81.2,1,4968.0,4968.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EV battery swapping / Battery-as-a-Service,1,sample-size protection: descriptive only,70.8,70.8,1,3045.0,3045.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EV battery technology,1,sample-size protection: descriptive only,35.4,35.4,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EV fleet / logistics tech,1,sample-size protection: descriptive only,50.0,50.0,1,3325.5,3325.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EV motorcycles,1,sample-size protection: descriptive only,20.8,20.8,1,2175.0,2175.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EV tractors / agri-tech,1,sample-size protection: descriptive only,43.8,43.8,1,702.7,702.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EV two-wheeler,1,sample-size protection: descriptive only,50.0,50.0,1,15030.0,15030.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EdTech,1,sample-size protection: descriptive only,56.2,56.2,1,25427.0,25427.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EdTech / Healthcare Education SaaS,1,sample-size protection: descriptive only,45.8,45.8,1,3915.0,3915.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
EdTech / Workforce Skilling,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Edtech / AI,1,sample-size protection: descriptive only,43.8,43.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Edtech / skilling,1,sample-size protection: descriptive only,91.7,91.7,1,36726.5,36726.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
F&B / coffee chain (QSR),1,sample-size protection: descriptive only,81.2,81.2,1,5809.5,5809.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Fintech / Banking Infrastructure,1,sample-size protection: descriptive only,41.7,41.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Food Delivery / Quick Commerce,1,sample-size protection: descriptive only,47.9,47.9,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
FoodTech / QSR,1,sample-size protection: descriptive only,47.9,47.9,1,5320.0,5320.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
FoodTech / Quick Commerce,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Foodtech / 10-min food delivery,1,sample-size protection: descriptive only,83.3,83.3,1,8501.2,8501.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
HR-tech SaaS,1,sample-size protection: descriptive only,60.4,60.4,1,21078.0,21078.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
High Tech / Edge Computing,1,sample-size protection: descriptive only,60.4,60.4,1,10.0,10.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Home Services / Hyperlocal,1,sample-size protection: descriptive only,41.7,41.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Home interiors marketplace,1,sample-size protection: descriptive only,91.7,91.7,1,56137.9,56137.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Horizontal ecommerce / social commerce,1,sample-size protection: descriptive only,93.8,93.8,1,98729.8,98729.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Insurtech / Fintech,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Logistics,1,sample-size protection: descriptive only,60.4,60.4,1,15463.4,15463.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Logistics SaaS / AI supply chain optimization,1,sample-size protection: descriptive only,52.1,52.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Mobility / EV,1,sample-size protection: descriptive only,95.8,95.8,1,26398.6,26398.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Mobility / road transport tech,1,sample-size protection: descriptive only,50.0,50.0,1,47605.5,47605.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Mobility / road transport tech (bike taxi-led multimodal),1,sample-size protection: descriptive only,95.8,95.8,1,101276.8,101276.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Renewable Energy / IPP,2,sample-size protection: descriptive only,46.8,46.8,0,0.0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Robotics / AMR,1,sample-size protection: descriptive only,52.1,52.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Robotics / DeepTech,1,sample-size protection: descriptive only,41.7,41.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Robotics / industrial automation (AMR),1,sample-size protection: descriptive only,47.9,47.9,1,3187.8,3187.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS (PSA / onboarding),1,sample-size protection: descriptive only,52.1,52.1,1,8641.8,8641.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / API platform (GraphQL),1,sample-size protection: descriptive only,50.0,50.0,1,10570.2,10570.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / CRM,1,sample-size protection: descriptive only,93.8,93.8,1,15612.1,15612.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / Customer Loyalty,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / contract lifecycle management,1,sample-size protection: descriptive only,58.3,58.3,1,20135.0,20135.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / customer engagement,1,sample-size protection: descriptive only,72.9,72.9,1,30040.5,30040.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / data collaboration & governance,1,sample-size protection: descriptive only,22.9,22.9,1,8788.5,8788.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS / dev testing,1,sample-size protection: descriptive only,93.8,93.8,1,19200.0,19200.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
SaaS/customer engagement,1,sample-size protection: descriptive only,89.6,89.6,1,21065.0,21065.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Semiconductor / AI chip,1,sample-size protection: descriptive only,47.9,47.9,1,1170.0,1170.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Semiconductors / Fabless chip design,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Spacetech / Laser Communications,1,sample-size protection: descriptive only,43.8,43.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Spacetech Propulsion,1,sample-size protection: descriptive only,50.0,50.0,1,2974.1,2974.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Wealth Management / Fintech,1,sample-size protection: descriptive only,50.0,50.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
WealthTech,1,sample-size protection: descriptive only,62.5,62.5,1,7265.0,7265.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
WealthTech / Investment Tech,1,sample-size protection: descriptive only,95.8,95.8,1,8896.6,8896.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Wealthtech / Mutual Fund Advisory,1,sample-size protection: descriptive only,52.1,52.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
adtech,1,sample-size protection: descriptive only,95.8,95.8,1,96471.2,96471.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
aerospace / defence deeptech,1,sample-size protection: descriptive only,20.8,20.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech,1,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech (crop protection / protected cultivation),1,sample-size protection: descriptive only,27.1,27.1,1,257.1,257.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech (dairy tech),1,sample-size protection: descriptive only,45.8,45.8,1,4721.2,4721.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech / crop inputs,1,sample-size protection: descriptive only,97.9,97.9,1,20085.4,20085.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech / farm-to-fork,1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech / post-harvest,1,sample-size protection: descriptive only,89.6,89.6,1,29040.9,29040.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech advisory,1,sample-size protection: descriptive only,16.7,16.7,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
agritech supply chain,1,sample-size protection: descriptive only,91.7,91.7,1,34269.2,34269.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai (BFSI enterprise),1,sample-size protection: descriptive only,70.8,70.8,1,66.0,66.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai / contact centre,1,sample-size protection: descriptive only,12.5,12.5,1,17.0,17.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai / voice ai,1,sample-size protection: descriptive only,89.6,89.6,1,47.0,47.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai agents,1,sample-size protection: descriptive only,87.5,87.5,1,1827.0,1827.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai ecommerce growth,1,sample-size protection: descriptive only,91.7,91.7,1,5950.8,5950.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai marketing saas,1,sample-size protection: descriptive only,37.5,37.5,1,1621.3,1621.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai/llm consortium,1,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai/video analytics,1,sample-size protection: descriptive only,27.1,27.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ai/voice,1,sample-size protection: descriptive only,31.2,31.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
analytics / decision sciences / AI,1,sample-size protection: descriptive only,97.9,97.9,1,29494.2,29494.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
auto marketplace,1,sample-size protection: descriptive only,31.2,31.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
auto marketplace | used cars,1,sample-size protection: descriptive only,79.2,79.2,1,87229.3,87229.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
auto/ev,1,sample-size protection: descriptive only,37.5,37.5,1,85700.0,85700.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
auto/used cars,1,sample-size protection: descriptive only,45.8,45.8,1,51276.7,51276.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
aviation,1,sample-size protection: descriptive only,97.9,97.9,1,58009.5,58009.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
b2b commerce,2,sample-size protection: descriptive only,50.0,50.0,1,15058.6,30117.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
b2b manufacturing,1,sample-size protection: descriptive only,95.8,95.8,1,167220.0,167220.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
b2b retail supply,1,sample-size protection: descriptive only,37.5,37.5,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
battery tech / deep-tech,1,sample-size protection: descriptive only,18.8,18.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
biotech cell/gene,1,sample-size protection: descriptive only,12.5,12.5,1,200.0,200.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
biotech therapeutics,1,sample-size protection: descriptive only,70.8,70.8,1,1028.4,1028.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
cleantech (emission control),1,sample-size protection: descriptive only,20.8,20.8,1,1971.1,1971.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
cleantech / circular economy / PET recycling,1,sample-size protection: descriptive only,35.4,35.4,1,2740.5,2740.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
cleantech / cooling,1,sample-size protection: descriptive only,39.6,39.6,1,391.5,391.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
climate / carbon dioxide removal (enhanced rock weathering),1,sample-size protection: descriptive only,25.0,25.0,1,1028.4,1028.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
climate / solar manufacturing,1,sample-size protection: descriptive only,50.0,50.0,1,14220.0,14220.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
climate energy efficiency,1,sample-size protection: descriptive only,52.1,52.1,1,1162.5,1162.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
climate renewables,1,sample-size protection: descriptive only,54.2,54.2,1,93000.0,93000.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
cloud / IT services (AI),1,sample-size protection: descriptive only,20.8,20.8,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
consumer electronics,1,sample-size protection: descriptive only,56.2,56.2,1,175250.0,175250.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
consumer services/astrology | spiritual tech,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
consumer/FMCG snacks,1,sample-size protection: descriptive only,16.7,16.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
crypto/fintech,1,sample-size protection: descriptive only,66.7,66.7,1,22350.0,22350.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
cybersecurity,1,sample-size protection: descriptive only,83.3,83.3,1,3096.1,3096.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
cybersecurity / quantum,1,sample-size protection: descriptive only,89.6,89.6,1,2170.2,2170.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c / baby tech,1,sample-size protection: descriptive only,83.3,83.3,1,2124.2,2124.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c baby products,1,sample-size protection: descriptive only,89.6,89.6,1,4937.8,4937.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c beauty,2,sample-size protection: descriptive only,92.8,92.8,2,9669.2,19338.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c beauty (roll-up),1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c foods,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c travel,1,sample-size protection: descriptive only,87.5,87.5,1,2603.5,2603.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c travel goods,1,sample-size protection: descriptive only,81.2,81.2,1,3688.6,3688.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c wellness,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c/beauty,2,sample-size protection: descriptive only,9.3,9.3,1,1285.5,2571.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
d2c/jewellery,1,sample-size protection: descriptive only,52.1,52.1,1,10000.0,10000.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
