startup_id,company_name,legal_name,aliases,website,founded_date,incorporation_date,status,startup_stage,primary_sector,secondary_sectors,business_model,customer_type,city,state,country,hq_type,registered_office,employee_estimate,employee_estimate_date,total_funding_disclosed,last_funding_date,last_funding_round,last_known_valuation,revenue_latest_fy,revenue_latest_fy_year,revenue_latest_fy_period,profit_loss_latest_fy,profit_loss_latest_fy_period,dpiit_recognized,cin,parent_company,subsidiary_of,public_private,website_status,official_website,careers_website,last_verified,confidence,primary_source_id,notes,company_class
S0011,Groww,Billionbrains Garage Ventures Limited (formerly Billionbrains Garage Ventures Private Limited),,https://groww.in,2016,2018-01-09,Public,Public (listed Nov 2025),fintech wealthtech,"['investment tech', 'digital brokerage', 'lending', 'asset management']",Direct-to-customer digital investment platform; brokerage + distribution + lending (MTF) + AMC,B2C retail investors,Bengaluru,Karnataka,India,registered,"Vaishnavi Tech Park, South Tower, 3rd Floor, Survey No.16/1 & 17/2, Ambalipura Village, Varthur Hobli, Bellandur, Bangalore South, Karnataka - 560103",1415 (Tracxn official) / ~2610-2655 (Inc42/GetLatka 2025),,"42753.3 Mn INR (equity, DERIVED) | IPO issue 6632.3 INRMn (excluded from private equity total)",2025-11-04,IPO,"$7 billion (pre-IPO Series F, June 2025); IPO price Rs 100/s",14684,FY25,Q4 FY26 million INR,1819.0,FY25 crore INR,,L72900KA2018PLC109343,,,Public,unchecked (not in linkcheck set),https://groww.in,https://groww.in/careers,2026-09-14,HIGH,SRC00191,"CONFLICT[financials.FY25 PAT]: Both press-quoted-filing; resolved value Rs ~1,819-1,824 cr; treat as same figur | CONFLICT[financials.FY25 revenue]: Likely operating vs total revenue presentation difference; keep both, prefer ET | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[incorporation_date]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[status]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[financials.FY25 revenue]: Rs 4,061.65 cr per Stakehub (audited) vs Rs 3,901.72 cr operating revenue per RH | CONFLICT[valuation]: Pre-IPO valuation $7B vs post-IPO market cap ~$8.6B; both correct at different p | CONFLICT[funding_rounds.TPG/Tiger]: No evidence found of a TPG/Tiger $213M round in 2024. Tiger Global participated | GAPS: Exact Series B ($21.4M) and Series C ($30M) round dates/investors only via Tracxn snippet, no primary article fetched; FY26 full-year figures seen only in low-quality Fortune India snippet (Rs 46,445 cr revenue figure looks inconsistent) —",Public company
S0012,Gupshup,Gupshup Technology India Private Limited (India entity),,https://www.gupshup.ai,2004,2005-01-05,Private,Late-stage unicorn (valuation disputed),AI / conversational SaaS,"['CPaaS', 'messaging API', 'AI agents']","B2B SaaS / CPaaS conversational messaging + AI agents across WhatsApp, RCS, SMS, voice",B2B enterprises,Mumbai,,India/USA,,,~900-963,,"30472.0 Mn INR (equity, DERIVED) + 5142.0 Mn INR (debt)",2025-07-22,"Series F extension (equity+debt, unpriced)",$1.4B (2021 unicorn); Fidelity internal mark $278M (Jan 2026,1943.0,FY25,FY25 crore INR,26.0,FY25 crore INR,,U72100MH2005PTC150425,,,Private,unchecked (not in linkcheck set),https://www.gupshup.ai,https://www.gupshup.ai/careers,2026-09-14,MEDIUM,,"CONFLICT[company.total_funding_disclosed]: Different round-inclusion methodology; report range | CONFLICT[company.city]: India operating HQ Mumbai; global HQ San Francisco; seed city corrected to Mumba | GAPS: Audited FY24/FY25 India-entity numbers only via press quotes, no direct filing fetched; Exact debt/equity split of July 2025 $60M undisclosed; Co-founder details beyond Beerud Sheth unverified; Domicile-flip tax implications unquantified; E | City corrected from discovery seed (Bengaluru) to Mumbai (India ops; HQ San Francisco, USA) per enrichment. | HQ/domicile detail: India ops; HQ San Francisco, USA)",Startup
S0013,Krutrim,Krutrim SI Designs Private Limited,,https://www.olakrutrim.com,2023-04-01,2023-04-05,Private,Unicorn,AI / AI cloud infrastructure,"['LLMs', 'GPU cloud', 'AI apps']","Full-stack AI cloud infrastructure + Indic LLMs + AI apps (Kruti assistant, Krutrim Cloud); pivoted 2025-26 to AI-cloud-led model",B2B enterprises + consumers (Kruti),Bengaluru,Karnataka,India,registered_office,"Wing C, Prestige RMZ Star Tech Industrial Layout, Hosur Road, Bangalore South, Bangalore, Karnataka, 560034",~222-234 (early 2026; down from ~640-660 mid-2025 post-layoffs),,"23896.0 Mn INR (equity, DERIVED) + 1987.2 Mn INR (debt)",2025-03-06,Debt (share pledge),$1B (Jan 2024 unicorn); $230M founder commitment reported Fe,300.0,FY26,FY26 crore INR,10.0,FY26 percent INR,,U62099KA2023PTC171879,,,Private,unchecked (not in linkcheck set),https://www.olakrutrim.com,,2026-09-14,HIGH,SRC00253,"CONFLICT[founders]: Aggarwal is founder; Tenneti co-founding director per company/incorporation repo | CONFLICT[status]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | GAPS: FY25 revenue not directly verified (implied ~Rs 100 cr from 3x FY26 growth statement — ESTIMATE, not stated); FY24/FY25 audited PAT undisclosed; $230M founder commitment: disbursed vs pledged unclear; Layoff scale ('nearly half', Jul 2026 Y",Startup
S0014,Sarvam AI,Axonwise Private Limited (brand: Sarvam AI),,https://www.sarvam.ai,2023-07-01,2023-07-14,Private,Unicorn (June 2026),AI / LLMs / sovereign models,"['speech/voice', 'document AI', 'AI infra']",Full-stack sovereign AI: frontier models + inference infra + enterprise/gov go-to-market,"B2B enterprises, developers, government",Bengaluru,,India,,,~114-168,,"30277.8 Mn INR (equity, DERIVED)",2026-08-04,Series B second tranche,"$1.5B post-money (Series B, June 2026)",,,,,,,U62099KA2023PTC176049,,,Private,unchecked (not in linkcheck set),https://www.sarvam.ai,https://www.sarvam.ai/careers,2026-09-14,HIGH,,"CONFLICT[company.city]: Founded Chennai (IIT Madras AI4Bharat roots), HQ now Bengaluru; corrected | GAPS: FY23-FY25 audited revenue/PAT not verified; Series A 2025-08-11 (Tracxn) round details unknown — possible data artifact; Customers unnamed (one large fintech with 350k sales force per TC, unnamed); Odisha AI datacenter Rs 14,257 cr partners | City corrected from discovery seed (Bengaluru) to Bengaluru (founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures) per enrichment. | HQ/domicile detail: founding reported Chennai/IIT Madras; HQ Bengaluru per 2026 disclosures)",Scale-up
S0015,Slice,Slice Small Finance Bank (merged entity; formerly Garagepreneurs Internet Pvt Ltd + North East Small Finance Bank),,https://slice.bank.in,,2016-07-25,active (bank),"Unicorn (2021, $1B+); banking pivot with valuation reset 2026",fintech / digital banking,"['consumer finance', 'credit card', 'UPI payments']","full-stack small finance bank (deposits, UPI, credit card, MSME lending)",B2C + MSME,Bengaluru,Karnataka,India,,,,,"34504.0 Mn INR (equity, DERIVED)",2026-09-03,Later-stage,"$450M (Sep 2026, Dealroom via News18) | ~$1B discussed Apr 2",,FY26,,48.4,FY26 crore INR,,U65100AS2016PLC017505,,,Private,unchecked (not in linkcheck set),https://slice.bank.in,https://slice.bank.in/careers,2026-09-14,HIGH,,CONFLICT[valuation Sep 2026]: Both reported; $450M is completed-round figure per Dealroom/News18 (preferred fo | GAPS: CIN / incorporation date not verified; FY24 audited split not verified; Q1 FY27 profit figure needs primary source; Debt rounds detail (Neo/Stride 2024) amounts unverified | founded_date stated loosely: January 2016 (as SlicePay),Scale-up
S0016,upGrad,UpGrad Education Private Limited,,https://www.upgrad.com,2015,2012-12-11,Active,Unicorn,Edtech / skilling,"['Higher education', 'Enterprise training', 'Study abroad']",Higher-ed + skilling + enterprise + study-abroad marketplace/platform,B2C + B2B,Mumbai,Maharashtra,India,HQ,"Mumbai, Maharashtra",11544,,"36726.5 Mn INR (equity, DERIVED)",2026-09-01,Equity,"$2.25B (Oct 2024, Temasek round); $1.7B fair value Feb 2026 ",1532,FY25,FY26 crore INR,-273.7,FY25 crore INR,,U80902MH2012PTC258559,,,Private,unchecked (not in linkcheck set),https://www.upgrad.com,https://www.upgrad.com/careers,2026-09-14,HIGH,SRC00316,"CONFLICT[total_funding]: Unresolved: VFS figure aligns with $185M (2021) + $60M Temasek (2024) + smaller | CONFLICT[valuation]: Newer-for-current-state: $1.7B is provisional valuation-report figure, not a pri | CONFLICT[unacademy_deal_value]: Same deal, INR/USD rounding + reporting time; prefer $206M (INR 1,955 cr) closin | CONFLICT[unacademy_deal_value]: Same deal, INR/USD rounding + reporting time; prefer $206M (INR 1,955 cr) closin | GAPS: No DRHP filed as of Sep 2026 — IPO is guidance only; DRHP status = NOT FILED.; Primary source for $185M/$60M rounds not fetched; figures rest on secondary (VFS/Inc42).; CIN / MCA entity (upGrad Education Pvt Ltd) not verified.; Total raised",Mature private company
S0017,BrowserStack,BrowserStack Software Private Limited,,https://www.browserstack.com,2011,2015-05-14,Active,Unicorn,SaaS / dev testing,"['Cloud testing', 'Developer tools']",SaaS subscription — cloud testing infrastructure/platform (manual + automated + visual + accessibility + test management),B2B,Mumbai,,India-ops (Irish-domiciled),"India-ops: Mumbai HQ-country + Dublin corporate HQ; SF/NYC offices. Classify India-ops, NOT India-registered.","BrowserStack Software Private Limited, Maharashtra, India",1797,,"19200.0 Mn INR (equity, DERIVED)",2021-06-16,Series B,$4B (Jun 2021); $4.08B per Tracxn May-2026 reference (second,771,FY24,FY25 crore INR,129,FY24 crore INR,,U74120MH2015PTC264476,,,Private,unchecked (not in linkcheck set),https://www.browserstack.com,https://www.browserstack.com/careers,2026-09-14,HIGH,SRC00335,"CONFLICT[headquarters]: Both partially true: corporate domicile Dublin; largest ops/product-eng Mumbai. | CONFLICT[revenue]: Different vintages/sources; audited consolidated not public (Irish-domiciled). U | CONFLICT[city]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[state]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[hq_type]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[headquarters]: Both partially true: corporate domicile Dublin; largest ops/product-eng Mumbai. | CONFLICT[funding_rounds]: Prompt claims are incorrect. Only 2 funding rounds exist. Series A was $50M not | CONFLICT[founders]: No founder named Jahangir found in any source. Both Wikipedia, TechCrunch, Forbe | GAPS: Consolidated group financials not public (Irish domicile); group revenue rests on secondary/company guidance.; Redomiciling-to-India decision explicitly 'far away' per CEO (Forbes Mar 2025) — no filing.; Exact ESOP buyback valuation undiscl | City corrected from discovery seed (Mumbai) to Mumbai (India HQ / ops); corporate HQ Dublin, Ireland per enrichment. | HQ/domicile detail: India HQ / ops); corporate HQ Dublin, Ireland",Scale-up
S0018,Dhan,Raise Financial Services Pvt Ltd (operator of Dhan),,https://dhan.co,2021,2012,active,unicorn,fintech/broking,"['wealthtech', 'AI investing tools']",Discount stock broking + trading SaaS/API,B2C retail traders/investors,Mumbai,Maharashtra,India,operating,"Unit No. 2201, 22nd Floor, Gold Medal Avenue, S.V. Road, Beside Patel Petrol Pump, Piramal Nagar, Goregaon West, Mumbai – 400104",550,,"12011.0 Mn INR (equity, DERIVED)",,Series B,$1.2B,904.9,FY26,FY26 crore INR,,,,U74999MH2012PTC433549,,,private,unchecked (not in linkcheck set),https://dhan.co,https://dhan.co/career/,2026-09-14,HIGH,SRC00360,"SEED CORRECTION: seed stage_guess 'Soonicorn' outdated — Dhan entered unicorn club Oct 2025 ($120M Series B at $1.2B). Legal/parent naming: Raise Financial Services / Raise Fintech Ventures Pvt Ltd per press; parent also reported as Raise Securities in FY26 profit coverage — flagged as conflict, not | CONFLICT[parent_legal_name]: Unresolved — likely group entities; operating company consistently Raise Financi | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[parent_legal_name]: Unresolved — likely group entities; operating company consistently Raise Financi | CONFLICT[founder_background]: The 'Dhanish' / ex-Kotak P&L hypothesis is INCORRECT. All sources consistently i | CONFLICT[fy24_net_profit]: Inc42 reports Rs 177 Cr; ET reports Rs 155 Cr. Both are press-quoted-filing. Inc | GAPS: Incorporation date / CIN not verified; FY25 audited filing figures vs press-quoted figures not cross-checked (Tofler/MCA); Employee headcount not verified; Stratzy deal value unconfirmed by company; incorporation_date for CIN U74999MH2012PT | last_funding_date stated loosely: October 2025",Mature private company
S0019,PharmEasy,API Holdings Ltd (operator of PharmEasy),,https://pharmeasy.in,2015,2019-03-31,active,unicorn (stressed/down-round),healthtech/pharmacy,"['diagnostics', 'telehealth']",Online pharmacy + diagnostics + telehealth marketplace,B2C,Mumbai,Maharashtra,India,operating,"Mumbai, Maharashtra",488,,"19779.2 Mn INR (equity, DERIVED) + 1700.0 Mn INR (debt)",,"Debt (NCD, Thyrocare-pledge)",~$710M post-money (Apr 2024 down round); investor-marked low,6869,FY25,FY26 crore INR,-1572,FY25 crore INR,,U60100MH2019PLC323444,,,private,unchecked (not in linkcheck set),https://pharmeasy.in,https://pharmeasy.in/careers,2026-09-14,HIGH,SRC00374,"SEED VERIFIED on city (Mumbai) and unicorn status (peak $5.6B, 2021). Status: stressed unicorn — down rounds, debt, founder exits Jan 2025. Seed 'why_notable: 2025 healthtech mega-deal' NOT verified as a 2025 mega equity deal; the large 2025 item found is INR 1,700 Cr debt (Sep 2025). | CONFLICT[Apr-2024 round size]: Kept $216M as secured-to-date figure; $417M was the adjusted target. Not average | CONFLICT[valuation 2024-2025]: Kept both with dates; investor marks differ from transaction valuation. Sep-2025 | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_count]: Both sources are third-party databases; significant discrepancy likely due to di | CONFLICT[FY24 net loss]: Minor rounding difference; both cite company financials. Kept Rs 2,533 Cr from E | GAPS: FY25 revenue/profit not verified from filing (Arc/Fortune snippets seen but bodies not fetched); Total disclosed funding across all rounds not reconciled (~$1-1.1B claimed, rounds not itemized); CIN/incorporation date not verified; IPO rela | last_funding_date stated loosely: September 2025",Startup
S0020,Snapmint,UNKNOWN,,https://www.snapmintbusiness.com,2017,2019-02-13,active,late-stage (Series B),fintech/bnpl,"['consumer credit', 'UPI payments']",BNPL / EMI-on-UPI checkout financing (no credit card),B2C mass-affluent consumers; B2B2C merchants,Mumbai,Maharashtra,India,operating,"Office No. 201, 2nd Floor, C-Wing, Neelkanth Business Park, Nr. Vidyavihar Station, Vidyavihar (W), Mumbai - 400086, Maharashtra",,,"13867.6 Mn INR (equity, DERIVED) + 3155.1 Mn INR (debt)",2025-10-31,Series B,UNKNOWN (not disclosed),300.0,FY26,FY26 INR crore INR,,,,U65999MH2019PTC321095,,,Private,unchecked (not in linkcheck set),https://www.snapmintbusiness.com,,2026-09-14,HIGH,,SEED CORRECTIONS: (1) stage_guess 'Unicorn' is WRONG — no unicorn valuation disclosed or reported for the Oct-2025 $125M Series B; corrected to Series-B/late-stage. (2) city Mumbai verified. (3) sector fintech/BNPL verified. | GAPS: Valuation of Series B not disclosed; Legal name / CIN / incorporation date not verified; Revenue / financials (FY24/FY25) not found; Earlier round history (pre-2022) not reconciled; Headcount not verified; FY26 audited financials (not yet f,Startup
