task_id,startup_id,company,research_area,priority,assigned,started,completed,result,next_action,status,log_events
RT0014,S0003,PhonePe,financials,P3,subagent,2026-09-14,2026-09-15,No MCA filing data retrieved; CIN conflict unresolved,,needs-verification,44
RT0015,S0003,PhonePe,founders,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,needs-verification,80
RT0016,S0003,PhonePe,funding,P3,subagent,2026-09-14,2026-09-15,UDRHP Jan 2026 confirmed; IPO delayed per TOI Sep 2026 valuation mismatch; press range $9-15B,,needs-verification,45
RT0017,S0003,PhonePe,identity,P3,subagent,2026-09-14,2026-09-15,No evidence found for $650M buyback or Broadcom/CVP acquisition connection to PhonePe,,needs-verification,294
RT0018,S0003,PhonePe,legal,P3,P3-WAVE,2026-09-15,2026-09-15,No specific legal/RBI notice found in search results; no UPI data adjudication found,,needs-verification,43
RT0019,S0003,PhonePe,products,P3,P3-WAVE,2026-09-15,2026-09-15,"PulsePro (Jul 2026), UPI 123Pay (Aug 2026), FD distribution (Aug 2026), Visa partnership (Sep 2026), DPIIT MoU (Aug 2026)",,needs-verification,43
RT0020,S0004,Razorpay,events,P1,subagent,2026-09-14,2026-09-14,"FY25 rev 3,783cr +65%, gross profit 1,277cr, ESOP 1,209cr; reverse flip Mar 2025, public Apr 2025; IPO Rs 4,500-6,000cr targeting $5-6B",,completed,1
RT0021,S0004,Razorpay,financials,P1,subagent,2026-09-14,2026-09-14,"FY25 rev 3,783cr +65%, gross profit 1,277cr, ESOP 1,209cr; reverse flip Mar 2025, public Apr 2025; IPO Rs 4,500-6,000cr targeting $5-6B",,completed,1
RT0022,S0004,Razorpay,founders,P1,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,80
RT0023,S0004,Razorpay,funding,P1,subagent,2026-09-14,2026-09-14,Founders IIT Roorkee; YC W15; round history Seed-$125K through Series F $375M/$7.5B,,completed,2
RT0024,S0004,Razorpay,identity,P1,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,81
RT0025,S0004,Razorpay,investors,P1,subagent,2026-09-14,2026-09-14,Founders IIT Roorkee; YC W15; round history Seed-$125K through Series F $375M/$7.5B,,completed,1
RT0026,S0005,Zepto,events,P3,subagent,2026-09-14,2026-09-14,"$450M/$7B Oct 2025 (CalPERS+GC), confidential DRHP Dec 2025, Rs 11,000cr issue, FY25 rev 9,669cr/loss 3,367cr, bankers",,needs-verification,1
RT0027,S0005,Zepto,financials,P3,hyperresearch,2026-09-15,2026-09-15,"Forbes India article provided comprehensive DRHP financials: FY24 rev 4,455cr/loss 1,214.79cr, FY25 rev 11,110cr/loss 4,699.71cr, FY26 rev 22,624cr/lo",,needs-verification,23
RT0028,S0005,Zepto,founders,P3,subagent,2026-09-14,2026-09-15,CNBC TV18 confirms both founders were 19-year-old Stanford dropouts at founding; Forbes India confirms Palicha's background,,needs-verification,103
RT0029,S0005,Zepto,funding,P3,subagent,2026-09-14,2026-09-15,"CNBC TV18 article provided full funding streak: $665M Jun 2024 @ $3.6B, $340M Aug 2024 @ $5B, $350M Nov 2024 domestic; earlier rounds (Seed, Series A/",,needs-verification,24
RT0030,S0005,Zepto,identity,P3,subagent,2026-09-14,2026-09-14,2 founders updated,,needs-verification,79
RT0031,S0006,Neysa,customers,P3,P3-WAVE,2026-09-15,2026-09-15,"In talks with Perplexity, OpenAI, Anthropic per Moneycontrol Feb 2026",,needs-verification,47
RT0032,S0006,Neysa,financials,P3,P3-WAVE,2026-09-15,2026-09-15,Revenue expected to triple by FY27 (management statement); no audited revenue found,,needs-verification,47
RT0033,S0006,Neysa,founders,P3,subagent,2026-09-14,2026-09-15,No credible source mentions Rahul Gandotra; founders are Sharad Sanghi and Anindya Das,,needs-verification,126
RT0034,S0006,Neysa,funding,P3,subagent,2026-09-14,2026-09-14,"$1.2B+ round (Feb 2026): $600M equity + planned $600M debt, Blackstone-led; Series A $30M Oct 2024 at ~$128M valuation; seed $20M early 2024; ET pegs valuation ",,needs-verification,3
RT0035,S0006,Neysa,identity,P3,subagent,2026-09-14,2026-09-15,Velocis expanded with OpenAI GPT-OSS models Sep 2025,,needs-verification,267
RT0036,S0006,Neysa,people,P3,subagent,2026-09-14,2026-09-14,"$1.2B+ round (Feb 2026): $600M equity + planned $600M debt, Blackstone-led; Series A $30M Oct 2024 at ~$128M valuation; seed $20M early 2024; ET pegs valuation ",,needs-verification,1
RT0037,S0006,Neysa,products,P3,P3-WAVE,2026-09-15,2026-09-15,Neysa-Pipeshift sovereign inference infrastructure launched May 2026,,needs-verification,94
RT0038,S0007,Amagi,events,P3,subagent,2026-09-14,2026-09-14,"IPO details, listing valuation, FY25/FY26 financials, founders, investors",,completed,1
RT0039,S0007,Amagi,financials,P3,subagent,2026-09-14,2026-09-14,"IPO details, listing valuation, FY25/FY26 financials, founders, investors",,completed,1
RT0040,S0007,Amagi,founders,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,79
RT0041,S0007,Amagi,funding,P3,subagent,2026-09-14,2026-09-14,"IPO details, listing valuation, FY25/FY26 financials, founders, investors",,completed,1
RT0042,S0007,Amagi,identity,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,79
RT0043,S0008,CRED,financials,P1,subagent,2026-09-14,2026-09-14,Series F $140M/$6.4B; FY24/FY25 financials; founder; Meta rumor via tinyfish,,completed,1
RT0044,S0008,CRED,founders,P1,subagent,2026-09-14,2026-09-14,1 founders updated,,completed,78
RT0045,S0008,CRED,funding,P1,subagent,2026-09-14,2026-09-14,Series F $140M/$6.4B; FY24/FY25 financials; founder; Meta rumor via tinyfish,,completed,1
RT0046,S0008,CRED,identity,P1,subagent,2026-09-14,2026-09-14,careers.cred.club confirmed as careers page,,completed,80
RT0047,S0009,Darwinbox,customers,P3,subagent,2026-09-14,2026-09-14,"$140M Mar-2025, $40M Aug-2025, Series D $72M/unicorn, 4 founders, FY24 Rs 392 cr, $100M ARR target, ESOP buyback",,completed,1
RT0048,S0009,Darwinbox,financials,P3,subagent,2026-09-14,2026-09-14,"$140M Mar-2025, $40M Aug-2025, Series D $72M/unicorn, 4 founders, FY24 Rs 392 cr, $100M ARR target, ESOP buyback",,completed,1
RT0049,S0009,Darwinbox,founders,P3,subagent,2026-09-14,2026-09-14,4 founders updated,,completed,78
RT0050,S0009,Darwinbox,funding,P3,subagent,2026-09-14,2026-09-14,"$140M Mar-2025, $40M Aug-2025, Series D $72M/unicorn, 4 founders, FY24 Rs 392 cr, $100M ARR target, ESOP buyback",,completed,1
RT0051,S0009,Darwinbox,identity,P3,subagent,2026-09-14,2026-09-14,4 founders updated,,completed,78
RT0052,S0010,Emergent,founders,P2,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,78
RT0053,S0010,Emergent,funding,P2,subagent,2026-09-14,2026-09-14,"Series C $130M/$1.5B, full round table, founders, ARR $100-120M, 12M apps, investors",,completed,1
RT0054,S0010,Emergent,identity,P2,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,77
RT0055,S0010,Emergent,traction,P2,subagent,2026-09-14,2026-09-14,"Series C $130M/$1.5B, full round table, founders, ARR $100-120M, 12M apps, investors",,completed,1
RT0056,S0011,Groww,events,P2,subagent,2026-09-14,2026-09-15,"Price band Rs 95-100, issue size Rs 6,632.3 cr (fresh Rs 1,060 cr + OFS Rs 5,572 cr), listed Nov 12 2025, +24% debut, subscribed 17.6x, anchor book Rs 2,984.54 ",,needs-verification,46
RT0057,S0011,Groww,financials,P2,subagent,2026-09-14,2026-09-15,"Per BSE listing data: FY26 revenue Rs 5,148 cr, net profit Rs 2,475 cr. Per Q4 FY26 shareholder letter: total income Rs 15,355 Mn, PAT Rs 6,864 Mn for Q4 FY26 a",,needs-verification,87
RT0058,S0011,Groww,founders,P2,subagent,2026-09-14,2026-09-15,"4 founders confirmed: Lalit Keshre (CEO), Harsh Jain (COO), Neeraj Singh (CTO), Ishan Bansal (CFO). All still active as of Sep 2026. No CEO change detected. Boa",,needs-verification,120
RT0059,S0011,Groww,funding,P2,subagent,2026-09-14,2026-09-15,"No evidence of TPG/Tiger $213M round in 2024. Tiger Global participated in Series D ($83M, Apr 2021). GIC led Series F ($202.3M, Jun 2025). Dealroom mentions Gr",,needs-verification,46
RT0060,S0011,Groww,identity,P2,subagent,2026-09-14,2026-09-15,SEBI settlement order May 2025 for Groww Invest Tech (formerly Nextbillion Technology) following comprehensive inspection. CCI approved GIC stake acquisition Ju,,needs-verification,120
RT0061,S0011,Groww,legal,P2,subagent,2026-09-15,2026-09-15,SEBI settlement order May 2025 for Groww Invest Tech (formerly Nextbillion Technology) following comprehensive inspection. CCI approved GIC stake acquisition Ju,,needs-verification,42
RT0062,S0011,Groww,products,P2,subagent,2026-09-15,2026-09-15,"Groww AMC: AUM Rs 5,996.87 cr, 39 schemes, SEBI Reg MF/068//11/03. State Street Global Advisors acquired 22.943% of Groww AMC. No 'Groww US' or 'Groww Singapore",,needs-verification,42
RT0063,S0011,Groww,traction,P2,subagent,2026-09-15,2026-09-15,"23.2 Mn transacting users (Sep 2026), Rs 3.67 Tn customer assets, 16.7 Mn active users (Mar 2026), Rs 2.96 Tn customer assets (Mar 2026), Groww AMC AUM Rs 5,491",,needs-verification,42
RT0064,S0012,Gupshup,events,P2,subagent,2026-09-14,2026-09-14,"$100M Apr 2021 @ $1.4B; +$240M Jul 2021; $60M Jul 2025 unpriced; Fidelity markdown to $278M Jan 2026; FY25 India rev Rs 1,943 cr -5%, PAT Rs 26 cr -52%; Knowlar",,needs-verification,1
RT0065,S0012,Gupshup,financials,P2,subagent,2026-09-14,2026-09-14,"$100M Apr 2021 @ $1.4B; +$240M Jul 2021; $60M Jul 2025 unpriced; Fidelity markdown to $278M Jan 2026; FY25 India rev Rs 1,943 cr -5%, PAT Rs 26 cr -52%; Knowlar",,needs-verification,1
RT0066,S0012,Gupshup,founders,P2,subagent,2026-09-14,2026-09-14,1 founders updated,,needs-verification,78
RT0067,S0012,Gupshup,funding,P2,subagent,2026-09-14,2026-09-14,Tracxn: $446M; Inc42: $544.1M; discrepancy due to counting methodology,,needs-verification,7
RT0068,S0012,Gupshup,identity,P2,subagent,2026-09-14,2026-09-14,1 founders updated,,needs-verification,79
RT0069,S0013,Krutrim,financials,P3,subagent,2026-09-14,2026-09-15,~90% of FY25 revenue from Ola Group; FY26 revenue ~Rs 300 Cr (3x); first PAT >10%; 25+ enterprise customers; majority GPU capacity committed externally,,needs-verification,67
RT0070,S0013,Krutrim,founders,P3,subagent,2026-09-14,2026-09-14,2 founders updated,,needs-verification,78
RT0071,S0013,Krutrim,funding,P3,subagent,2026-09-14,2026-09-15,March 2025: 5.88 crore Ola Electric shares pledged; Sept 2025: 10.71 crore shares (2.43% equity) pledged for Krutrim Data Centre via Axis Trustee/Avendus/InCred,,needs-verification,34
RT0072,S0013,Krutrim,identity,P3,subagent,2026-09-14,2026-09-15,"Kruti app pulled from stores April 2026; 207,000 downloads since June 2025 launch; chip design paused late 2025; LLM building paused; Krutrim 3 development unce",,needs-verification,178
RT0073,S0013,Krutrim,investors,P3,subagent,2026-09-15,2026-09-15,"12+ senior executives departed since April 2025 including Goutham Ramkumar, Rajesh Jayaram, Ramesh Babu Giri, Vineet Agarwal, Ajay Raut, Kishore Kulkarni, Sambi",,needs-verification,33
RT0074,S0013,Krutrim,legal,P3,subagent,2026-09-15,2026-09-15,May 2025: 25-year-old engineer died by suicide; FIR on Bhavish Aggarwal; Oct 2025: second suicide; toxic work culture allegations,,needs-verification,33
RT0075,S0013,Krutrim,people,P3,subagent,2026-09-15,2026-09-15,"12+ senior executives departed since April 2025 including Goutham Ramkumar, Rajesh Jayaram, Ramesh Babu Giri, Vineet Agarwal, Ajay Raut, Kishore Kulkarni, Sambi",,needs-verification,33
RT0076,S0013,Krutrim,products,P3,subagent,2026-09-15,2026-09-15,"Kruti app pulled from stores April 2026; 207,000 downloads since June 2025 launch; chip design paused late 2025; LLM building paused; Krutrim 3 development unce",,needs-verification,33
RT0077,S0013,Krutrim,traction,P3,subagent,2026-09-15,2026-09-15,~90% of FY25 revenue from Ola Group; FY26 revenue ~Rs 300 Cr (3x); first PAT >10%; 25+ enterprise customers; majority GPU capacity committed externally,,needs-verification,33
RT0078,S0014,Sarvam AI,financials,P3,subagent,2026-09-14,2026-09-14,$41M (incl $12M seed) Dec 2023; $234M first close @ $1.5B Jun 2026 (HCLTech $150M/10.46%); $75M tranche Aug 2026 (Nvidia/Gaja/IndiGo/Glade Brook); founders AI4B,,completed,1
RT0079,S0014,Sarvam AI,founders,P3,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,78
RT0080,S0014,Sarvam AI,funding,P3,subagent,2026-09-14,2026-09-14,"CIN U62099KA2023PTC176049, inc 14 Jul 2023 via ZaubaCorp; Series B $234M first-close co PR 15 Jun 2026, $1.5B valuation press",,completed,2
RT0081,S0014,Sarvam AI,identity,P3,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,79
RT0082,S0015,Slice,financials,P3,subagent,2026-09-14,2026-09-14,FY26 profit Rs 48.4cr; FY25 loss Rs 216.7cr; founders; RBI 2022 PPI rule,,completed,1
RT0083,S0015,Slice,founders,P3,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,78
RT0084,S0015,Slice,funding,P3,subagent,2026-09-14,2026-09-14,$100M talks Apr 2026; <$1B valuation; NESFB merger; SFB status,,completed,1
RT0085,S0015,Slice,identity,P3,subagent,2026-09-14,2026-09-14,2 founders updated,,completed,78
RT0086,S0016,upGrad,customers,P3,P3-WAVE,2026-09-15,2026-09-15,"10M+ learners globally (May 2026), 3,000+ corporate partners, 85+ countries, ~11,544 employees (Mar 2026)",,needs-verification,100
RT0087,S0016,upGrad,events,P3,subagent,2026-09-14,2026-09-15,No Rocket Learning acquisition found; IIIT-B partnership confirmed for Executive Diploma programs; IPO targeting 2027 per Screwvala; Internshala (Feb 2026) and ,,needs-verification,51
RT0088,S0016,upGrad,financials,P3,subagent,2026-09-14,2026-09-15,"UpGrad Education Pvt Ltd (CIN U80902MH2012PTC258559) is the main MCA entity; FY25 audited revenue Rs1,569cr, loss Rs274cr; FY26 provisional Rs1,532cr rev/Rs38cr",,needs-verification,51
RT0089,S0016,upGrad,founders,P3,subagent,2026-09-14,2026-09-15,"Phalgun Kompalli (IIT Delhi, still active co-founder), Ravijot Chugh (ex-co-founder, now Neels AI), Mayank Kumar (exited Oct 2024), Arjun Mohan (ex-CEO Jan 2023",,needs-verification,127
RT0090,S0016,upGrad,funding,P3,subagent,2026-09-14,2026-09-14,"FY25: op revenue Rs1,569cr (+6%), net loss Rs274cr (halved), EBITDA +Rs15cr; FY26 provisional 11-mo Rs1,532cr rev/Rs38cr PAT; $1.7B fair value vs $2.25B priced.",,needs-verification,1
RT0091,S0016,upGrad,identity,P3,subagent,2026-09-14,2026-09-15,"Delhi High Court restrained person from defaming upGrad on social media (Jul 2025, LawChakra); no consumer/ERA matters found",,needs-verification,128
RT0092,S0016,upGrad,legal,P3,P3-WAVE,2026-09-15,2026-09-15,"Delhi High Court restrained person from defaming upGrad on social media (Jul 2025, LawChakra); no consumer/ERA matters found",,needs-verification,50
RT0093,S0016,upGrad,products,P3,P3-WAVE,2026-09-15,2026-09-15,"upGrad Enterprise (3,000+ clients), upGrad GSP, upGrad Campus, upGrad Pathway, KnowledgeHut, Internshala, degree programs with IIIT-B/LJMU/Deakin/Amity, LTM par",,needs-verification,50
RT0094,S0017,BrowserStack,events,P3,web_search+hyperresearch,2026-09-15,2026-09-15,"Percy (2020), Nightwatch.js (2021), Bird Eats Bug (2024, $20M), Requestly (2025). No EndPoint or ACME acquisitions found.",,needs-verification,19
RT0095,S0017,BrowserStack,financials,P3,subagent,2026-09-14,2026-09-15,Rs771cr FY25 Indian entity; ~$225-235M group 2025; $300M CY2026 guide; $100M ARR milestone 2022. No $350M ARR found.,,needs-verification,20
RT0096,S0017,BrowserStack,founders,P3,subagent,2026-09-14,2026-09-15,Ritesh Arora + Nakul Aggarwal confirmed as founders across all sources. No Jahangir found.,,needs-verification,96
RT0097,S0017,BrowserStack,funding,P3,subagent,2026-09-14,2026-09-15,"Only 2 rounds: Series A $50M (Jan 2018, Accel), Series B $200M (Jun 2021, BOND). NO Series C. Prompt claims of $7.5M/$67M/$220M are incorrect.",,needs-verification,20
RT0098,S0017,BrowserStack,identity,P3,subagent,2026-09-14,2026-09-15,No evidence of 66.7% market share figure anywhere.,,needs-verification,97
RT0099,S0017,BrowserStack,locations,P3,web_search+hyperresearch,2026-09-15,2026-09-15,Founded and HQ'd in Mumbai (not Pune). Corporate domicile Dublin. SF/NYC offices.,,needs-verification,19
RT0100,S0017,BrowserStack,traction,P3,web_search+hyperresearch,2026-09-15,2026-09-15,Rs771cr FY25 Indian entity; ~$225-235M group 2025; $300M CY2026 guide; $100M ARR milestone 2022. No $350M ARR found.,,needs-verification,19
RT0101,S0018,Dhan,customers,P3,subagent,2026-09-15,2026-09-15,"4 founders identified (Jadhav, Gupta, Pandey, Rathi). 8 legal/licence entries. 15 events catalogued. No specific regulat",,blocked,7
RT0102,S0018,Dhan,events,P3,subagent,2026-09-15,2026-09-15,"4 founders identified (Jadhav, Gupta, Pandey, Rathi). 8 legal/licence entries. 15 events catalogued. No specific regulat",,needs-verification,7
RT0103,S0018,Dhan,financials,P3,subagent,2026-09-14,2026-09-15,FY24: rev Rs 373Cr/PAT Rs 177Cr (Inc42) or Rs 155Cr (ET). FY25: rev Rs 876Cr/PAT Rs 408Cr (ET). FY26: rev Rs 904.9Cr/PAT,,needs-verification,8
RT0104,S0018,Dhan,founders,P3,subagent,2026-09-14,2026-09-15,"Founder is Pravin Jadhav, ex-Paytm Money CEO. No Kotak P&L background found. 'Dhanish' hypothesis incorrect.",,needs-verification,84
RT0105,S0018,Dhan,funding,P3,subagent,2026-09-14,2026-09-15,"Seed (Feb 2021, Mirae Asset), Series A (Jan 2022, $22M), Series B (Oct 2025, $120M at $1.2B). No Nexus or other 2023-202",,needs-verification,9
RT0106,S0018,Dhan,identity,P3,subagent,2026-09-14,2026-09-15,17 products identified. TradingView integrated as free charts on tv.dhan.co and broker API. No licensing controversy fou,,needs-verification,100
RT0107,S0018,Dhan,legal,P3,subagent,2026-09-15,2026-09-15,"4 founders identified (Jadhav, Gupta, Pandey, Rathi). 8 legal/licence entries. 15 events catalogued. No specific regulat",,needs-verification,14
RT0108,S0018,Dhan,products,P3,subagent,2026-09-14,2026-09-15,17 products identified. TradingView integrated as free charts on tv.dhan.co and broker API. No licensing controversy fou,,needs-verification,8
RT0109,S0018,Dhan,traction,P3,subagent,2026-09-15,2026-09-15,"984,242 active traders (Dec 2025, NSE); 1M+ clients (Feb 2026); 2.3% market share (Mar 2026, ICRA); 550+ employees; 1Cr+",,needs-verification,7
RT0110,S0019,PharmEasy,customers,P2,subagent,2026-09-15,2026-09-15,"Cashfree Payments, SBI Health Assist (discontinued), Swiggy Instamart, 80K+ pharmacies",,needs-verification,58
RT0111,S0019,PharmEasy,events,P2,subagent,2026-09-14,2026-09-15,"Cashfree Payments, SBI Health Assist (discontinued), Swiggy Instamart, 80K+ pharmacies",,needs-verification,59
RT0112,S0019,PharmEasy,financials,P2,subagent,2026-09-14,2026-09-15,"Revenue Rs 6,869 Cr, EBITDA +Rs 62.5 Cr, debt Rs 1,050 Cr; UnlistedZone analysis",,needs-verification,117
RT0113,S0019,PharmEasy,founders,P2,subagent,2026-09-14,2026-09-14,4 founders updated,,needs-verification,77
RT0114,S0019,PharmEasy,funding,P2,subagent,2026-09-14,2026-09-14,"Down round $216M/$710M, Janus $458M mark, founder exits, INR1700cr debt, FY24 revenue, investors",,needs-verification,1
RT0115,S0019,PharmEasy,identity,P2,subagent,2026-09-14,2026-09-15,"CCPA penalty (Nov 2025), SCDA/DCGI complaint (Jul 2024), AIOCD complaint (Nov 2024), Delhi HC ruling (Mar 2024), SEBI DRHP (Nov 2021)",,needs-verification,136
RT0116,S0019,PharmEasy,investors,P2,subagent,2026-09-14,2026-09-14,"Down round $216M/$710M, Janus $458M mark, founder exits, INR1700cr debt, FY24 revenue, investors",,needs-verification,1
RT0117,S0019,PharmEasy,legal,P2,subagent,2026-09-15,2026-09-15,"CCPA penalty (Nov 2025), SCDA/DCGI complaint (Jul 2024), AIOCD complaint (Nov 2024), Delhi HC ruling (Mar 2024), SEBI DRHP (Nov 2021)",,needs-verification,58
RT0118,S0019,PharmEasy,people,P2,subagent,2026-09-15,2026-09-15,"Siddharth Shah -> Vice Chairman; Rahul Guha -> MD & CEO (Aug 27, 2025); 3 co-founders stepped back Jan 2025",,needs-verification,58
RT0119,S0019,PharmEasy,traction,P2,subagent,2026-09-15,2026-09-15,FY21-FY23 traction metrics from API corporate presentation; FY25 monthly break-even per CEO,,needs-verification,58
RT0120,S0020,Snapmint,financials,P3,subagent,2026-09-14,2026-09-14,"FY25 revenue Rs 158.5 Cr, net profit Rs 15 Cr (Entrackr); FY24 revenue Rs 88.5 Cr, loss Rs 33.6 Cr. Tracxn reports latest revenue USD 6.44M.",,completed,3
RT0121,S0020,Snapmint,founders,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,77
RT0122,S0020,Snapmint,funding,P3,subagent,2026-09-14,2026-09-14,Series B $125M closed Oct 31 2025 ($115M primary + secondary). Pre-round valuation $141M per Tracxn (June 2025). Post-money valuation not disclosed. General Atl,,completed,2
RT0123,S0020,Snapmint,identity,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,78
RT0124,S0020,Snapmint,products,P3,subagent,2026-09-14,2026-09-14,snapmintbusiness.com confirms EMI-on-UPI cardless product positioning,,completed,1
RT0125,S0021,Upstox,customers,P3,hyperresearch+websearch,2026-09-15,2026-09-15,4th largest broker by NSE active clients; ~2.4M active clients; B2C retail traders/investors,,needs-verification,108
RT0126,S0021,Upstox,financials,P3,hyperresearch+websearch,2026-09-15,2026-09-15,"FY25 revenue ~Rs 1,208 crore (9% YoY), FY25 PAT ~Rs 215 crore, FY26 EBITDA +120%, PAT 2.25-2.3x",,needs-verification,54
RT0127,S0021,Upstox,founders,P3,subagent,2026-09-14,2026-09-15,"Founders: Ravi Kumar, Raghu Kumar, Shrinivas Viswanath (per Livemint Feb 2026 CEO interview); Board: Ravi Chandran Kumar, Shrinivas Viswanath + 3 more (per Trac",,needs-verification,131
RT0128,S0021,Upstox,funding,P3,subagent,2026-09-14,2026-09-14,"Series B/C, unicorn valuation range, Tata buyback, FY23 revenue, 2026 NBFC/AMC pivot, competitors",,needs-verification,1
RT0129,S0021,Upstox,identity,P3,subagent,2026-09-14,2026-09-14,4 founders updated,,needs-verification,79
RT0130,S0021,Upstox,legal,P3,websearch,2026-09-15,2026-09-15,"No specific SEBI penalty/notice against Upstox found; industry-wide SEBI F&O clampdown since 2024 (margins, weekly expiries, STT increase)",,needs-verification,54
RT0131,S0021,Upstox,people,P3,websearch+hyperresearch,2026-09-15,2026-09-15,"Founders: Ravi Kumar, Raghu Kumar, Shrinivas Viswanath (per Livemint Feb 2026 CEO interview); Board: Ravi Chandran Kumar, Shrinivas Viswanath + 3 more (per Trac",,needs-verification,54
RT0132,S0021,Upstox,products,P3,websearch,2026-09-15,2026-09-15,"Upstox Pro app confirmed; no Breeze/Tradewars/Upstox Lite found in search results; products: trading app, MF/SIP, insurance, algo trading (in dev), NBFC/AMC (pe",,needs-verification,54
RT0133,S0022,Udaan,events,P3,subagent,2026-09-14,2026-09-14,"Series G/H amounts, $1.8B valuation, $160M structured, FY25 financials, founders",,completed,1
RT0134,S0022,Udaan,financials,P3,subagent,2026-09-14,2026-09-14,"FY25 rev Rs 4,561cr, loss Rs 1,055cr; layoffs; NCLT; ShopKirana",,completed,1
RT0135,S0022,Udaan,founders,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,77
RT0136,S0022,Udaan,funding,P3,subagent,2026-09-14,2026-09-14,"Series G/H amounts, $1.8B valuation, $160M structured, FY25 financials, founders",,completed,1
RT0137,S0022,Udaan,identity,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,77
RT0138,S0023,ACKO,events,P3,subagent,2026-09-14,2026-09-14,"Confirmed: $2-2.5B target, $300-350M raise, DRHP H2 2026",,completed,3
RT0139,S0023,ACKO,financials,P3,subagent,2026-09-14,2026-09-14,"Confirmed: Rs 2,837 cr revenue, Rs 424 cr net loss, 35% growth",,completed,3
RT0140,S0023,ACKO,founders,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,77
RT0141,S0023,ACKO,funding,P3,subagent,2026-09-14,2026-09-14,Inc42: $458M; NextWeb: $583M; Caplight: $595M; ET: $598M,,completed,3
RT0142,S0023,ACKO,identity,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,77
RT0143,S0024,CoinSwitch Kuber,financials,P3,subagent,2026-09-14,2026-09-14,"FY23/FY25 financials, ED probe, Lemonn, WazirX suit",,completed,1
RT0144,S0024,CoinSwitch Kuber,founders,P3,subagent,2026-09-14,2026-09-14,3 founders updated,,completed,73
