issue_id,severity,sheet,record_id,issue_type,description,suggested_fix,status
AI0014,MEDIUM,STARTUPS.total_funding_disclosed,S0011,DERIVED summary in free text,"'42753.3 Mn INR (equity, DERIVED) | IPO issue 6632.3 INRMn (excluded from private equity total)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0015,HIGH,STARTUPS.employee_estimate,S0012,non-numeric value,'~900-963' is a string,split into value/unit/currency,open
AI0016,MEDIUM,STARTUPS.total_funding_disclosed,S0012,DERIVED summary in free text,"'30472.0 Mn INR (equity, DERIVED) + 5142.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0017,HIGH,STARTUPS.employee_estimate,S0013,non-numeric value,'~222-234 (early 2026; down from ~640-660 mid-2025 post-layoffs)' is a string,split into value/unit/currency,open
AI0018,MEDIUM,STARTUPS.total_funding_disclosed,S0013,DERIVED summary in free text,"'23896.0 Mn INR (equity, DERIVED) + 1987.2 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0019,HIGH,STARTUPS.employee_estimate,S0014,non-numeric value,'~114-168' is a string,split into value/unit/currency,open
AI0020,MEDIUM,STARTUPS.total_funding_disclosed,S0014,DERIVED summary in free text,"'30277.8 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0021,MEDIUM,STARTUPS.total_funding_disclosed,S0015,DERIVED summary in free text,"'34504.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0022,MEDIUM,STARTUPS.total_funding_disclosed,S0016,DERIVED summary in free text,"'36726.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0023,MEDIUM,STARTUPS.total_funding_disclosed,S0017,DERIVED summary in free text,"'19200.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0024,MEDIUM,STARTUPS.total_funding_disclosed,S0018,DERIVED summary in free text,"'12011.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0025,MEDIUM,STARTUPS.total_funding_disclosed,S0019,DERIVED summary in free text,"'19779.2 Mn INR (equity, DERIVED) + 1700.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0026,MEDIUM,STARTUPS.total_funding_disclosed,S0020,DERIVED summary in free text,"'13867.6 Mn INR (equity, DERIVED) + 3155.1 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0027,MEDIUM,STARTUPS.total_funding_disclosed,S0021,DERIVED summary in free text,"'4012.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0028,MEDIUM,STARTUPS.total_funding_disclosed,S0022,DERIVED summary in free text,"'30117.3 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0029,MEDIUM,STARTUPS.total_funding_disclosed,S0023,DERIVED summary in free text,"'32639.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0030,MEDIUM,STARTUPS.total_funding_disclosed,S0024,DERIVED summary in free text,"'22350.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0031,MEDIUM,STARTUPS.total_funding_disclosed,S0025,DERIVED summary in free text,"'21821.2 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0032,MEDIUM,STARTUPS.total_funding_disclosed,S0026,DERIVED summary in free text,"'1043.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0033,MEDIUM,STARTUPS.total_funding_disclosed,S0027,DERIVED summary in free text,"'10570.2 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0034,MEDIUM,STARTUPS.total_funding_disclosed,S0028,DERIVED summary in free text,"'20135.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0035,MEDIUM,STARTUPS.total_funding_disclosed,S0029,DERIVED summary in free text,"'15612.1 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0036,MEDIUM,STARTUPS.total_funding_disclosed,S0030,DERIVED summary in free text,"'30040.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0037,MEDIUM,STARTUPS.total_funding_disclosed,S0031,DERIVED summary in free text,"'7253.7 Mn INR (equity, DERIVED) + 977.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0038,MEDIUM,STARTUPS.total_funding_disclosed,S0032,DERIVED summary in free text,"'29494.2 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0039,MEDIUM,STARTUPS.total_funding_disclosed,S0033,DERIVED summary in free text,"'27354.8 Mn INR (equity, DERIVED) + 5102.5 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0040,MEDIUM,STARTUPS.total_funding_disclosed,S0034,DERIVED summary in free text,"'32934.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0041,HIGH,STARTUPS.employee_estimate,S0035,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0042,MEDIUM,STARTUPS.total_funding_disclosed,S0035,DERIVED summary in free text,"'48175.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0043,HIGH,STARTUPS.employee_estimate,S0036,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0044,MEDIUM,STARTUPS.total_funding_disclosed,S0036,DERIVED summary in free text,"'3153712.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0045,HIGH,STARTUPS.employee_estimate,S0037,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0046,MEDIUM,STARTUPS.total_funding_disclosed,S0037,DERIVED summary in free text,"'41317.7 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0047,HIGH,STARTUPS.employee_estimate,S0038,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0048,MEDIUM,STARTUPS.total_funding_disclosed,S0038,DERIVED summary in free text,"'82022.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0049,HIGH,STARTUPS.employee_estimate,S0039,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0050,MEDIUM,STARTUPS.total_funding_disclosed,S0039,DERIVED summary in free text,"'15792.7 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0051,HIGH,STARTUPS.employee_estimate,S0040,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0052,MEDIUM,STARTUPS.total_funding_disclosed,S0040,DERIVED summary in free text,"'167220.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0053,MEDIUM,STARTUPS.total_funding_disclosed,S0041,DERIVED summary in free text,"'117816.6 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0054,HIGH,STARTUPS.employee_estimate,S0042,non-numeric value,'estimated 1000-2000' is a string,split into value/unit/currency,open
AI0055,MEDIUM,STARTUPS.total_funding_disclosed,S0042,DERIVED summary in free text,"'96471.2 Mn INR (equity, DERIVED) + 38365.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0056,HIGH,STARTUPS.total_funding_disclosed,S0043,non-numeric value,' | IPO issue 53520.0 INRMn (excluded from private equity total)' is a string,split into value/unit/currency,open
AI0057,MEDIUM,STARTUPS.total_funding_disclosed,S0044,DERIVED summary in free text,"'34899.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0058,HIGH,STARTUPS.employee_estimate,S0045,non-numeric value,'3400-4195 (PitchBook 3400 as of 2025; Tracxn official 4195)' is a string,split into value/unit/currency,open
AI0059,MEDIUM,STARTUPS.total_funding_disclosed,S0045,DERIVED summary in free text,"'4968.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0060,MEDIUM,STARTUPS.total_funding_disclosed,S0046,DERIVED summary in free text,"'68629.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0061,HIGH,STARTUPS.employee_estimate,S0047,non-numeric value,"'446 (Tracxn official) to ~1435 (Inc42, likely incl. field staff)' is a string",split into value/unit/currency,open
AI0062,MEDIUM,STARTUPS.total_funding_disclosed,S0047,DERIVED summary in free text,"'27744.0 Mn INR (equity, DERIVED) + 1112.8 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0063,HIGH,STARTUPS.employee_estimate,S0048,non-numeric value,'6500 (PitchBook 2026)' is a string,split into value/unit/currency,open
AI0064,MEDIUM,STARTUPS.total_funding_disclosed,S0048,DERIVED summary in free text,"'56137.9 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0065,HIGH,STARTUPS.employee_estimate,S0049,non-numeric value,'2082 (Tracxn official)' is a string,split into value/unit/currency,open
AI0066,MEDIUM,STARTUPS.total_funding_disclosed,S0049,DERIVED summary in free text,"'98729.8 Mn INR (equity, DERIVED) | IPO issue 606.0 USDMn (excluded from private equity total)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0067,HIGH,STARTUPS.employee_estimate,S0050,non-numeric value,"'3724 (Tracxn official); ANI legal entity 306 (Mar 2026, Tracxn)' is a string",split into value/unit/currency,open
AI0068,MEDIUM,STARTUPS.total_funding_disclosed,S0050,DERIVED summary in free text,"'47605.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0069,HIGH,STARTUPS.employee_estimate,S0051,non-numeric value,'817 (Tracxn official)' is a string,split into value/unit/currency,open
AI0070,MEDIUM,STARTUPS.total_funding_disclosed,S0051,DERIVED summary in free text,"'101276.8 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0071,HIGH,STARTUPS.employee_estimate,S0052,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0072,MEDIUM,STARTUPS.total_funding_disclosed,S0052,DERIVED summary in free text,"'142593.0 Mn INR (equity, DERIVED) + 26343.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0073,HIGH,STARTUPS.employee_estimate,S0053,non-numeric value,'1605 (PitchBook profile; UNVERIFIED)' is a string,split into value/unit/currency,open
AI0074,MEDIUM,STARTUPS.total_funding_disclosed,S0053,DERIVED summary in free text,"'13854.2 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0075,MEDIUM,STARTUPS.total_funding_disclosed,S0054,DERIVED summary in free text,"'41161.0 Mn INR (equity, DERIVED) + 1285.5 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0076,HIGH,STARTUPS.employee_estimate,S0055,non-numeric value,'447 (per The Company Check; UNVERIFIED)' is a string,split into value/unit/currency,open
AI0077,MEDIUM,STARTUPS.total_funding_disclosed,S0055,DERIVED summary in free text,"'22765.5 Mn INR (equity, DERIVED) + 1964.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0078,HIGH,STARTUPS.employee_estimate,S0056,non-numeric value,"'510 (Inc42 profile; LinkedIn reports 1063 — UNVERIFIED, conflict noted)' is a string",split into value/unit/currency,open
AI0079,MEDIUM,STARTUPS.total_funding_disclosed,S0056,DERIVED summary in free text,"'8635.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0080,MEDIUM,STARTUPS.total_funding_disclosed,S0057,DERIVED summary in free text,"'42565.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0081,HIGH,STARTUPS.employee_estimate,S0058,non-numeric value,"'300 (Revelio Labs, Mar 2026) / 387 (Inc42 Datalabs, 2026)' is a string",split into value/unit/currency,open
AI0082,MEDIUM,STARTUPS.total_funding_disclosed,S0058,DERIVED summary in free text,"'16196.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0083,MEDIUM,STARTUPS.total_funding_disclosed,S0059,DERIVED summary in free text,"'4705.0 Mn INR (equity, DERIVED) + 1305.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0084,MEDIUM,STARTUPS.total_funding_disclosed,S0060,DERIVED summary in free text,"'17666.3 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0085,MEDIUM,STARTUPS.total_funding_disclosed,S0061,DERIVED summary in free text,"'5257.9 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0086,MEDIUM,STARTUPS.total_funding_disclosed,S0062,DERIVED summary in free text,"'14905.6 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0087,HIGH,STARTUPS.employee_estimate,S0063,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0088,MEDIUM,STARTUPS.total_funding_disclosed,S0063,DERIVED summary in free text,"'16019.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0089,HIGH,STARTUPS.employee_estimate,S0064,non-numeric value,'1001-5000 (Crunchbase range; UNVERIFIED)' is a string,split into value/unit/currency,open
AI0090,MEDIUM,STARTUPS.total_funding_disclosed,S0064,DERIVED summary in free text,"'58519.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0091,MEDIUM,STARTUPS.total_funding_disclosed,S0065,DERIVED summary in free text,"'11853.8 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0092,HIGH,STARTUPS.employee_estimate,S0066,non-numeric value,'UNKNOWN' is a string,split into value/unit/currency,open
AI0093,MEDIUM,STARTUPS.total_funding_disclosed,S0066,DERIVED summary in free text,"'5466.9 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0094,MEDIUM,STARTUPS.total_funding_disclosed,S0067,DERIVED summary in free text,"'20184.9 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0095,MEDIUM,STARTUPS.total_funding_disclosed,S0068,DERIVED summary in free text,"'81369.2 Mn INR (equity, DERIVED) + 19540.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0096,HIGH,STARTUPS.employee_estimate,S0069,non-numeric value,'~100' is a string,split into value/unit/currency,open
AI0097,MEDIUM,STARTUPS.total_funding_disclosed,S0069,DERIVED summary in free text,"'2607.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0098,MEDIUM,STARTUPS.total_funding_disclosed,S0070,DERIVED summary in free text,"'21635.6 Mn INR (equity, DERIVED) + 4935.6 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0099,MEDIUM,STARTUPS.total_funding_disclosed,S0071,DERIVED summary in free text,"'34269.2 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0100,MEDIUM,STARTUPS.total_funding_disclosed,S0072,DERIVED summary in free text,"'142586.6 Mn INR (equity, DERIVED) | IPO issue 3900.0 USDMn (excluded from private equity total) | IPO issue 2600.0 USDMn (excluded from private equity total)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0101,MEDIUM,STARTUPS.total_funding_disclosed,S0073,DERIVED summary in free text,"'15030.0 Mn INR (equity, DERIVED) + 10440.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0102,MEDIUM,STARTUPS.total_funding_disclosed,S0074,DERIVED summary in free text,"'8641.8 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0103,MEDIUM,STARTUPS.total_funding_disclosed,S0075,DERIVED summary in free text,"'24783.2 Mn INR (equity, DERIVED) + 100.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0104,MEDIUM,STARTUPS.total_funding_disclosed,S0076,DERIVED summary in free text,"'5809.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0105,MEDIUM,STARTUPS.total_funding_disclosed,S0077,DERIVED summary in free text,"'21425.0 Mn INR (equity, DERIVED) + 21425.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0106,MEDIUM,STARTUPS.total_funding_disclosed,S0078,DERIVED summary in free text,"'89676.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0107,MEDIUM,STARTUPS.total_funding_disclosed,S0079,DERIVED summary in free text,"'23084.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0108,MEDIUM,STARTUPS.total_funding_disclosed,S0080,DERIVED summary in free text,"'3960.3 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0109,MEDIUM,STARTUPS.total_funding_disclosed,S0081,DERIVED summary in free text,"'3187.8 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0110,MEDIUM,STARTUPS.total_funding_disclosed,S0082,DERIVED summary in free text,"'4350.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0111,MEDIUM,STARTUPS.total_funding_disclosed,S0083,DERIVED summary in free text,"'175250.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0112,MEDIUM,STARTUPS.total_funding_disclosed,S0084,DERIVED summary in free text,"'4300.0 Mn INR (equity, DERIVED) | IPO issue 572.0 USDMn (excluded from private equity total)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0113,MEDIUM,STARTUPS.total_funding_disclosed,S0085,DERIVED summary in free text,"'236958.7 Mn INR (equity, DERIVED) + 9830.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
