location_id,startup_id,type,address_or_area,city,state,neighborhood,as_of,source_id,confidence,notes
LOC0046,S0017,hq,"Mumbai, Maharashtra",Mumbai,Maharashtra,,2026,SRC00341,HIGH,
LOC0047,S0017,registered_office,"BrowserStack Software Private Limited, MH",Mumbai,Maharashtra,,2026,SRC00335,HIGH,
LOC0048,S0017,hq,"Dublin, Ireland (corporate domicile)",Dublin,,,2026,SRC00350,HIGH,
LOC0049,S0017,office,San Francisco,San Francisco,California,,2021,SRC00332,MEDIUM,
LOC0050,S0017,office,New York,New York,New York,,2021,SRC00341,MEDIUM,
LOC0051,S0018,HQ,,Mumbai,Maharashtra,,2025,SRC00352,HIGH,
LOC0052,S0018,registered_office,"Unit No. 2201, 22nd Floor, Gold Medal Avenue, S.V. Road, Beside Patel Petrol Pump, Piramal Nagar, Goregaon West",Mumbai,Maharashtra,,2026-09-15,SRC00360,HIGH,
LOC0053,S0018,hq,"Goregaon West, Mumbai",Mumbai,Maharashtra,,2026-09-15,SRC00360,HIGH,
LOC0054,S0019,HQ,,Mumbai,Maharashtra,,2025,SRC00400,MEDIUM,
LOC0055,S0019,hq,"1st Floor, Ashok Silk Mills Compound, E Shape Building, Lal Bahadur Shastri Marg, opposite Damodar Park, Ghatkopar West",Mumbai,Maharashtra,,2026-09-15,SRC00389,HIGH,
LOC0056,S0019,office,"4th Floor, Hustlehub Tech Park, Somasundarapalya Main Rd",Bengaluru,Karnataka,,2026-09-15,SRC00389,HIGH,
LOC0057,S0019,registered_office,"Mumbai, Maharashtra",Mumbai,Maharashtra,,2026-09-15,SRC00374,MEDIUM,CIN U60100MH2019PLC323444 indicates Maharashtra registration
LOC0058,S0020,HQ,,Mumbai,Maharashtra,,2025,SRC00408,HIGH,
LOC0059,S0021,HQ,,Mumbai,Maharashtra,,2024,SRC00430,HIGH,
LOC0060,S0021,hq,"30th Floor, Sunshine Tower, Senapati Bapat Marg, Dadar (West)",Mumbai,Maharashtra,,2026,SRC00437,HIGH,
LOC0061,S0021,registered_office,"807, New Delhi House, Barakhamba Road, Connaught Place",New Delhi,Delhi,,2026,SRC00437,HIGH,
LOC0062,S0021,office,ROC Delhi II registered entity,New Delhi,Delhi,,2026,SRC00433,MEDIUM,
LOC0063,S0022,HQ,,Bengaluru,Karnataka,,2026,SRC00452,HIGH,
LOC0064,S0023,HQ,"HSR Layout, Sector 2",Bengaluru,Karnataka,,2026,SRC00458,HIGH,
LOC0065,S0024,HQ,,Bengaluru,Karnataka,,2026,SRC00477,HIGH,
LOC0066,S0025,HQ,,Bengaluru,Karnataka,,2026,SRC00490,HIGH,
LOC0067,S0026,HQ,Pleasanton / San Francisco,San Francisco,California,,2025,SRC00514,MEDIUM,
LOC0068,S0027,HQ,576 Folsom St Fl 3,San Francisco,California,,2024,SRC00542,MEDIUM,
LOC0069,S0027,ops,"Novel Tech Park / Salarpuria Triton, Bellandur",Bengaluru,Karnataka,,2025,SRC00543,MEDIUM,
LOC0070,S0028,HQ,Bellevue WA,Bellevue,Washington,,2025,SRC00555,HIGH,
LOC0071,S0028,ops,Pune,Pune,Maharashtra,,2025,SRC00547,HIGH,
LOC0072,S0029,HQ,"Embassy Tech Square, Bellandur, Outer Ring Road",Bengaluru,Karnataka,,2025,SRC00578,HIGH,
LOC0073,S0029,hq,"Embassy Tech Square, Bellandur, Outer Ring Road",Bengaluru,Karnataka,,2025,SRC00578,HIGH,
LOC0074,S0029,office,"Palo Alto, California",Palo Alto,California,,2022,SRC00569,HIGH,
LOC0075,S0029,office,Philippines,Philippines,,,2022,SRC00570,MEDIUM,
LOC0076,S0029,office,South Africa,South Africa,,,2022,SRC00570,MEDIUM,
LOC0077,S0029,office,Australia,Australia,,,2022,SRC00570,MEDIUM,
LOC0078,S0029,office,Indonesia,Indonesia,,,2022,SRC00570,MEDIUM,
LOC0079,S0030,ops,"Koramangala, Salarpuria Tower II",Bengaluru,Karnataka,,2025,SRC00583,MEDIUM,
LOC0080,S0030,HQ,"580 California St, Suite 1200",San Francisco,California,,2025,SRC00583,MEDIUM,
LOC0081,S0031,registered,"Marathahalli, Outer Ring Road",Bengaluru,Karnataka,,2025,,MEDIUM,
LOC0082,S0032,HQ,,Northbrook,Illinois,,2025,,MEDIUM,
LOC0083,S0032,ops,,Bengaluru,Karnataka,,2025,,MEDIUM,
LOC0084,S0032,hq,"Suite No. 300 & 350, 3rd Floor, The Quarters, 2222 Rio Grande St",Austin,Texas,,2026-09-15,SRC00603,HIGH,
LOC0085,S0032,office,Whitefield road,Bangalore,Karnataka,,2026-09-15,SRC00603,HIGH,
LOC0086,S0032,registered_office,"Aviator Building Level 14, Ascend as ITPL - SEZ Zone, Whitefield",Bangalore,Karnataka,,2025-09-29,SRC00602,HIGH,
LOC0087,S0032,office,"2222 Rio Grande Street, Ste 200",Austin,Texas,,2026-09-15,SRC00603,HIGH,
LOC0088,S0032,office,,Sydney,NSW,,2026-09-15,SRC00603,MEDIUM,
LOC0089,S0032,office,,Chicago,Illinois,,2016,SRC00598,MEDIUM,Wikipedia lists Chicago as HQ; LinkedIn shows Austin as current HQ
LOC0090,S0033,HQ,,San Diego,California,,2025,SRC00605,HIGH,
LOC0091,S0033,ops,,Bengaluru,Karnataka,,2025,SRC00605,HIGH,
LOC0092,S0034,HQ,,San Francisco,California,,2025,SRC00612,HIGH,
LOC0093,S0034,office,,Bengaluru,Karnataka,,2025,SRC00612,HIGH,
LOC0094,S0034,hq,"One Market Plaza, 1 Market Street, Steuart Tower, Suite 0800",San Francisco,California,,2025-07-23,SRC00612,HIGH,
LOC0095,S0034,registered_office,"#310, 6th Main Road Indiranagar",Bengaluru,Karnataka,,2025-03-31,SRC00615,HIGH,
LOC0096,S0034,office,"Building no 310, 6th Main Road Indiranagar",Bengaluru,Karnataka,,2025-07-23,SRC00612,HIGH,
LOC0097,S0034,office,"Shin-Marunouchi Bldg, 10th Floor, 1-5-1 Marunouchi, Chiyoda-ku",Tokyo,,,2025-07-23,SRC00612,HIGH,
LOC0098,S0035,hq,"2633 Camino Ramon, Suite 470",San Ramon,California,,2026-09-15,SRC00626,HIGH,
LOC0099,S0035,registered_office,"601,602,6th Floor, Bldg No.3, IT Park Off, Western Express Highway, Next to Hub Mall, NESCO, Goregaon East",Mumbai,Maharashtra,,2026-09-15,SRC00631,HIGH,
LOC0100,S0035,ops,"IT Park, Western Express Highway, Goregaon East",Mumbai,Maharashtra,,2026-09-15,SRC00631,HIGH,
LOC0101,S0035,ops,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC00631,HIGH,
LOC0102,S0036,registered_office,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Outer Ring Road",Bengaluru,Karnataka,,2026-09-15,SRC00649,HIGH,
LOC0103,S0036,HQ,"Embassy Tech Village, Devarabeesanahalli Village Ben",Bengaluru,Karnataka,,2026-09-15,SRC00649,HIGH,
LOC0104,S0036,ops,Bengaluru (operating HQ; legal domicile shifting Singapore→India),Bengaluru,Karnataka,,2026-09-15,SRC00646,MEDIUM,
LOC0105,S0037,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC00659,HIGH,
LOC0106,S0037,registered_office,SmartShift Logistics Solutions Pvt Ltd,Bengaluru,Karnataka,,2025-07-08,SRC00665,MEDIUM,
LOC0107,S0038,registered_office,"NO 11/1,12/1 2nd Floor, Block B Maruti Info-Tech Centre, Amarjyothi Layout, Intermediate Ring Road",Bengaluru,Karnataka,,2025-03-31,SRC00686,HIGH,
LOC0108,S0038,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-01,SRC00288,HIGH,
LOC0109,S0038,office,Karol Bagh,New Delhi,Delhi,,2026-02,SRC00690,MEDIUM,Offline coaching centre; subject of ABVP protest
LOC0110,S0040,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC00716,HIGH,
LOC0111,S0040,registered_office,"Bengaluru, Karnataka",Bengaluru,Karnataka,,2026-09-15,SRC00715,HIGH,
LOC0112,S0040,manufacturing,"India, US, Germany, Spain, Vietnam, Mexico",Multi-country,,,2026-08-14,SRC00718,HIGH,
LOC0113,S0040,office,"Southeast Asia, Middle East, Africa",Multi-country,,,2023-07-13,SRC00721,MEDIUM,
LOC0114,S0041,HQ,"ONE BKC, G Block, Bandra (E)",Mumbai,Maharashtra,,2021,SRC00736,HIGH,
LOC0115,S0042,HQ (ops),,Bengaluru,Karnataka,,2025-12,SRC00771,HIGH,
LOC0116,S0042,registered (redomiciling to India),,Singapore,,,2025-12,SRC00752,MEDIUM,
LOC0117,S0042,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC00753,HIGH,
LOC0118,S0042,registered_office,"WeWork HQ 27, B-660, Sushant Lok Phase-1, Sector-27, Galleria Dlf-iv",Gurgaon,Haryana,,2026-09-15,SRC00757,HIGH,
LOC0119,S0042,office,San Francisco Bay Area,San Francisco,California,,2026-09-15,SRC00762,MEDIUM,
LOC0120,S0042,rd,San Francisco (MobileAction),San Francisco,California,,2026-05-07,SRC00759,MEDIUM,
LOC0121,S0042,office,Singapore (former holding co.; redomiciling),Singapore,,,2025-12,SRC00752,MEDIUM,
LOC0122,S0043,HQ,,Mumbai,Maharashtra,,2026,SRC00782,HIGH,
LOC0123,S0044,HQ,,Mumbai,Maharashtra,,2024-12,SRC00785,HIGH,
LOC0124,S0044,hq,Mumbai,Mumbai,Maharashtra,,2024-12,SRC00785,HIGH,
LOC0125,S0044,registered_office,Pune,Pune,Maharashtra,,2010-07-27,SRC00790,HIGH,CIN indicates Pune RoC registration
LOC0126,S0044,ops,UAE,,,,2024-12,SRC00786,HIGH,International operations
LOC0127,S0044,ops,UK,,,,2024-12,SRC00786,HIGH,International operations
LOC0128,S0045,hq,"WeWork, Embassy One, 8 Bellary Rd, Dena Bank Colony, Ganganagar",Bengaluru,Karnataka,,2026-09-15,SRC00807,HIGH,
LOC0129,S0045,registered_office,"436/2, IB Corporate House, Village Indamara, Post Pendri",Rajnandgaon,Chhattisgarh,,2026-09-15,SRC00807,HIGH,
LOC0130,S0046,HQ,,Mumbai,Maharashtra,,2025-08,SRC00815,HIGH,
LOC0131,S0046,HQ,,New York City,New York,,,SRC00825,HIGH,
LOC0132,S0047,hq,"Eastland Citadel, 6th Floor, No.102, Hosur Road, Madiwala Check post",Bengaluru,Karnataka,,2026-09-15,SRC00833,HIGH,
LOC0133,S0047,registered_office,"Eastland Citadel, 6th Floor, No.102, Hosur Road, Madiwala Check post",Bengaluru,Karnataka,,2026-09-15,SRC00833,HIGH,
LOC0134,S0047,ops,Multiple fulfillment and distribution centers,Bengaluru + 21 cities,Karnataka,,2024-07,SRC00838,MEDIUM,1.2M Sqft of fulfillment/distribution centers across 23 major cities (FY23); scaled down to 21 cities
LOC0135,S0047,warehouse,Fulfillment centers,Bengaluru + 21 cities,Karnataka,,2023-05,SRC00848,MEDIUM,1.2M Sqft of fulfillment and distribution centers
LOC0136,S0048,registered_office,"Unit No R2-102, First Floor, M3M Cornerwalk, DLF QE",Gurugram,Haryana,,2026-09-15,SRC00859,HIGH,
LOC0137,S0048,hq,"Campus 32, Unit No 404, RMZ Ecoworld, Adarsh Palm Retreat, Bellandur",Bengaluru,Karnataka,,2026-09-15,SRC00873,HIGH,
LOC0138,S0048,ops,"3rd Floor, Aurbis Business Park, Survey No. 58, 7 Outer Ring Road, Devarabisanahalli, Bellandur",Bengaluru,Karnataka,,2026-09-15,SRC00860,HIGH,
LOC0139,S0048,ops,306 Tanglin Road,Singapore,,,2026-09-15,SRC00861,HIGH,
LOC0140,S0048,office,"Experience centres across 95+ cities including Delhi, Mumbai, Chennai, Hyderabad, Ahmedabad, Jaipur, Kochi",Multiple,Multiple,,2026-07-24,SRC00883,MEDIUM,
LOC0141,S0049,hq,"3rd Floor, Wing-E, Helios Business Park, Kadubeesanahalli Village, Varthur Hobli, Outer Ring Road, Bellandur",Bengaluru,Karnataka,,2026-09-15,SRC00893,HIGH,
LOC0142,S0049,registered_office,"3rd Floor, Wing-E, Helios Business Park, Kadubeesanahalli Village, Varthur Hobli, Outer Ring Road, Bellandur",Bengaluru,Karnataka,,2026-09-15,SRC00893,HIGH,
LOC0143,S0049,ops,Bhubaneswar origin (founding team origin),Bhubaneswar,Odisha,,2015,SRC00899,LOW,
LOC0144,S0051,registered_office,"3rd Floor, Sai Prithvi Arcade, Megha Hills, Sri Rama Colony, Madhapur",Hyderabad,Telangana,,2026-09-15,SRC00931,HIGH,
LOC0145,S0051,hq,"Mantri Commercio - Spatium Tower A, Devarabeesanahalli Village, Varthur Hobli, Bangalore East Taluk",Bengaluru,Karnataka,,2026-09-15,SRC00931,HIGH,
LOC0146,S0051,office,"648, 1st Main Rd, Muneswara Nagar, Sector 6, HSR Layout",Bengaluru,Karnataka,,2026-09-15,SRC00931,HIGH,
LOC0147,S0053,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC00998,HIGH,
LOC0148,S0053,registered_office,"Innov8 Orchid Centre, 3rd Floor, Orchid Center, Golf Course Road, Sector 53, DLF QE, Gurgaon",Gurugram,Haryana,,2026-09-15,SRC00998,HIGH,
LOC0149,S0053,registered_office,"G-28 - Quest Coworks, 5th Floor, Technopolis Knowledge Park, Hanuman Nagar, Andheri E",Mumbai,Maharashtra,,2026-09-15,SRC01003,MEDIUM,Tofler shows this as current registered address per MCA; possible discrepancy with Tracxn
LOC0150,S0054,HQ,,New Delhi/Gurugram,Delhi,,,SRC01014,MEDIUM,
LOC0151,S0055,registered_office,"B-99, Second Floor, Panchsheel Vihar",New Delhi,Delhi,,2026-09-15,SRC01029,HIGH,
LOC0152,S0055,HQ,Delhi-NCR,Delhi,Delhi,,2026-09-15,SRC01025,HIGH,Delhi-based per all major sources
LOC0153,S0055,manufacturing,"Palwal, Haryana",Palwal,Haryana,,2024-08-14,SRC01032,HIGH,"500,000 sq ft facility; 36,000 vehicles/year capacity; Rs 100 crore investment; ISO 9001/14001/45001/IATF 16949 certified"
LOC0154,S0055,manufacturing,Palwal (third unit planned),Palwal,Haryana,,2026-03-31,SRC01025,MEDIUM,"Third manufacturing unit to add ~1,000 vehicles/month capacity in four-wheelers; operational within 6 months of Mar 2026"
LOC0155,S0057,HQ,,San Francisco,,,,SRC01054,MEDIUM,
LOC0156,S0057,office,,Noida,Uttar Pradesh,,,SRC01056,MEDIUM,
LOC0157,S0058,HQ,"Third Floor, 722, Chinmaya Mission Hospital Rd, Stage 2, Indiranagar",Bengaluru,Karnataka,,2026,SRC01083,MEDIUM,
LOC0158,S0058,office,"El Segundo, CA (2301 Rosecrans Ave per LinkedIn snippet)",El Segundo,California,,2026,SRC01079,MEDIUM,
LOC0159,S0059,HQ,,Mumbai,Maharashtra,,2026-03,SRC01100,HIGH,
LOC0160,S0060,HQ,,Mumbai,Maharashtra,,2025-11,SRC01103,HIGH,
LOC0161,S0061,registered,"Kagalwala House, CST Road, Kalina, Santacruz East",Mumbai,Maharashtra,,,SRC01121,MEDIUM,
LOC0162,S0061,registered_office,"17th Floor, VIOS Towers, Off Eastern Express Highway, Sewri-Chembur Road, New Mumbai",Mumbai,Maharashtra,,2026-09-15,SRC01121,HIGH,
LOC0163,S0061,HQ,"Kagalwala House, CST Road, Kalina, Santacruz East",Mumbai,Maharashtra,,2026-09-15,SRC01121,MEDIUM,
LOC0164,S0062,HQ,,Mumbai,Maharashtra,,,SRC01138,HIGH,
LOC0165,S0062,hq,"Unit-301 & 304, Lightbridge Tunga Village, Saki Vihar Rd, Chandivali, Powai",Mumbai,Maharashtra,,2026-09-15,SRC01145,HIGH,
LOC0166,S0062,office,"B-11, Floor-3, Alice Court, New Mogal Lane, Mahim",Mumbai,Maharashtra,,2024-11-05,SRC01149,HIGH,"ANKW Pharma Retail registered address (Mahim, Mumbai)"
LOC0167,S0062,office,Vikhroli (W)-Mumbai,Mumbai,Maharashtra,,,SRC01159,MEDIUM,ISPL licensed premises mentioned in T&C
LOC0168,S0062,office,"Kolkata, West Bengal",Kolkata,West Bengal,,,SRC01159,MEDIUM,ISPL licensed premises mentioned in T&C
LOC0169,S0063,HQ,,Mumbai,Maharashtra,,,SRC01178,MEDIUM,
LOC0170,S0063,registered_office,"701 Tower 3 Crescent Bay, Jerbai Wadia, Bhoiwada, Parel",Mumbai,Maharashtra,,2026-09-15,SRC01169,HIGH,
LOC0171,S0063,registered_office,"19th Floor, 19 NW, Shivaji Park",Mumbai,Maharashtra,,2026-09-15,SRC01173,MEDIUM,InstaFinancials shows alternate registered address; Tracxn shows Crescent Bay address
LOC0172,S0064,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC01189,HIGH,
LOC0173,S0065,HQ,,Hyderabad,Telangana,,,SRC01202,HIGH,
LOC0174,S0066,hq,"9th Floor, Brigade Senate-2, Outer Ring Road, Hebbal, R.M.V. Extension II Stage",Bengaluru,Karnataka,,2026-09-15,SRC01224,HIGH,
LOC0175,S0066,office,"Colorado Springs, Colorado",Colorado Springs,Colorado,,2025-02-01,SRC01209,HIGH,US office opened Feb 2025; focused on larger 100-150kg satellite platforms for US defense
LOC0176,S0066,office,10 Anson Road,Singapore,,,2026-09-15,SRC01224,HIGH,
LOC0177,S0066,rd,"Bengaluru, Karnataka",Bengaluru,Karnataka,,2026-09-15,SRC01209,HIGH,"25,000 sq ft manufacturing facility; expanding to 30 satellites/year"
LOC0178,S0066,manufacturing,Andhra Pradesh (planned),,Andhra Pradesh,,2026-09-15,SRC01209,MEDIUM,MoU signed with state government for larger facility
LOC0179,S0067,HQ,,Mumbai,Maharashtra,,,SRC01248,HIGH,
LOC0180,S0067,office,,Bengaluru,,,,SRC01229,MEDIUM,
LOC0181,S0067,office,,New Delhi,,,,SRC01229,MEDIUM,
LOC0182,S0067,hq,"5th Floor, Central Wing(B), Tower-4, Nesco IT Park Nesco Centre, Western Express Highway, Goregaon(E)",Mumbai,Maharashtra,,2026-09-15,SRC01245,HIGH,
LOC0183,S0067,office,Bengaluru office,Bengaluru,Karnataka,,2022-03-30,SRC01237,HIGH,
LOC0184,S0067,office,New Delhi office,New Delhi,Delhi,,2022-03-30,SRC01237,HIGH,
LOC0185,S0067,office,Miami office,Miami,Florida,,2022-03-30,SRC01237,MEDIUM,
LOC0186,S0067,office,Philadelphia office,Philadelphia,Pennsylvania,,2022-03-30,SRC01237,MEDIUM,
LOC0187,S0067,registered_office,"GAMES 24X7 INC., 17 E 97TH STREET / APT 3A, NEW YORK, NEW YORK, 10029",New York,New York,,2026-09-15,SRC01240,MEDIUM,US entity registered address per Tracxn
LOC0188,S0068,HQ,,Thane,Maharashtra,,2025,SRC01270,HIGH,
LOC0189,S0068,hq,"Thane, Maharashtra",Thane,Maharashtra,,2026-09-15,SRC01261,HIGH,
LOC0190,S0068,registered_office,"Thane, Maharashtra (exact address not verified)",Thane,Maharashtra,,2026-09-15,SRC01262,MEDIUM,
LOC0191,S0068,office,Noida (mentioned on AmbitionBox),Noida,Uttar Pradesh,,2026-09-15,SRC01271,LOW,
LOC0192,S0068,manufacturing,250+ manufacturing units across India,multiple,multiple,,2026-09-15,SRC01258,MEDIUM,
LOC0193,S0068,warehouse,13 states RMC operations,multiple,multiple,,2026-09-15,SRC01272,MEDIUM,
LOC0194,S0070,hq,"Vaishnavi Tech Square, Iballur Village, Begur Hobli",Bengaluru,Karnataka,,2026-09-15,SRC01290,HIGH,
LOC0195,S0070,registered_office,"2nd Floor, Vaishnavi Tech Square, Iballur Village, Begur Hobli, Bengaluru, Karnataka 560102",Bengaluru,Karnataka,,2026-09-15,SRC01290,HIGH,
LOC0196,S0070,office,Collection touch points in 90+ cities across India,Pan-India,Multiple,,2026-08-19,SRC00082,HIGH,
LOC0197,S0071,hq,"2nd floor Tower E, Helios Business Park, New Horizon College Bus stop, Service road, Chandana, Kadubeesanahalli",Bengaluru,Karnataka,,2026-09-15,SRC01316,HIGH,
LOC0198,S0071,office,"Level 9, Tower B, Menara Uoa Bangsar, 5, Jalan Bangsar Utama 1, Bangsar",Kuala Lumpur,,,2026-09-15,SRC01316,HIGH,Ninjacart Global office
LOC0199,S0072,HQ,,Noida,Uttar Pradesh,,2025,SRC01324,MEDIUM,
LOC0200,S0072,registered,,Gurugram,Haryana,,2025,SRC01324,MEDIUM,
LOC0201,S0072,hq,Noida,Noida,Uttar Pradesh,,2025,SRC01324,HIGH,
LOC0202,S0072,registered_office,"Unit No. 408, 4th Floor, Time Tower, MG Road, DLF QE",Gurugram,Haryana,,2025,SRC01327,HIGH,
LOC0203,S0072,office,"Unit No. 1504, 15th Floor, A Wing, Plot no. C-70, The Capital, G Block, BKC Bandra East",Mumbai,Maharashtra,,2026,SRC01331,HIGH,
LOC0204,S0075,registered_office,"OM Towers, Kudlu Gate, Begur",Bengaluru,Karnataka,,2026-09-15,SRC01406,HIGH,
LOC0205,S0075,manufacturing,UltraFactory (SVTronics partnership),Plano,Texas,,2025-05-08,SRC01409,HIGH,
LOC0206,S0075,office,"Etihad Airways Center, Al Raha, Al Muneera",Abu Dhabi,,,2026-09-15,SRC01427,HIGH,
LOC0207,S0075,office,,London,,,2026-09-15,SRC01407,HIGH,
LOC0208,S0075,office,,,,,2026-09-15,SRC01407,HIGH,Ultrahuman Healthcare LLC services US customers
LOC0209,S0075,R&D,Performance Lab,Bengaluru,Karnataka,,2026-09-15,SRC01406,HIGH,
LOC0210,S0076,hq,Bengaluru,Bengaluru,Karnataka,,2026-08-24,SRC01438,HIGH,
LOC0211,S0076,office,Delhi NCR,Delhi,Delhi,,2026-08-24,SRC01438,MEDIUM,9 locations in Delhi NCR per website
LOC0212,S0076,office,Mumbai,Mumbai,Maharashtra,,2026-08-24,SRC01438,MEDIUM,2 locations per website
LOC0213,S0076,office,Pune,Pune,Maharashtra,,2026-08-24,SRC01438,MEDIUM,1 location per website
LOC0214,S0076,office,Hyderabad,Hyderabad,Telangana,,2026-08-24,SRC01438,MEDIUM,4 locations per website
LOC0215,S0076,office,Gurugram,Gurugram,Haryana,,2026-08-24,SRC01438,MEDIUM,3 locations per website
LOC0216,S0076,office,Chandigarh,Chandigarh,Punjab,,2026-08-24,SRC01438,MEDIUM,1 location per website
LOC0217,S0076,office,Coonoor,Coonoor,Tamil Nadu,,2026-08-24,SRC01438,MEDIUM,1 location per website
