date,startup_id,company,query,found,unresolved,next_action,agent,status,reps
2026-09-14,S0003,PhonePe,PhonePe founders Sameer Nigam Rahul Chari revenue FY25,"FY25 Rs 7,115cr +40%, loss Rs 1,727cr, adj PAT Rs 630cr; H1-FY26 Rs 3,918cr; founders incl. Burzin Engineer",CIN,none,subagent,logged,1
2026-09-14,S0003,PhonePe,PhonePe Private Limited CIN incorporation date Tofler ZaubaCorp,"Registry entities conflict: PhonePe Limited CIN U67190KA2012PLC176031 (RecurClub) vs Phonepe Private Limited U67190MH2012PTC337657 Tracxn; operating company founded Dec 2015, redomiciled India 2022. N",CIN conflict across group entities,,subagent,logged,1
2026-09-14,S0003,PhonePe,PhonePe valuation January 2024 $12 billion General Atlantic funding,Jan 2023 $350M led by General Atlantic at $12B+ pre-money valuation (Entrackr); $12B confirmed by FF News company announcement coverage,,,subagent,logged,1
2026-09-14,S0003,PhonePe,FS-wave founder status,3 founders updated,,none,subagent,logged,78
2026-09-15,S0003,PhonePe,PhonePe official about-us and press pages,"Board members, founders, products, traction stats (718M users, 50M merchants, 11Bn txns Jul 2026, 400M daily), PulsePro, UPI 123Pay, Share.Market, Indus Appstore",,none,P3-WAVE,done,43
2026-09-15,S0003,PhonePe,PhonePe UPI market share NPCI,"PhonePe confirmed #1 in UPI TPAP ranking; ~50% share per Reuters Mar 2026; Navi article confirms top 3 = PhonePe, Google Pay, Paytm",,none,P3-WAVE,done,43
2026-09-15,S0003,PhonePe,PhonePe IPO status and valuation,UDRHP Jan 2026 confirmed; IPO delayed per TOI Sep 2026 valuation mismatch; press range $9-15B,,none,P3-WAVE,done,43
2026-09-15,S0003,PhonePe,PhonePe products and launches 2026,"PulsePro (Jul 2026), UPI 123Pay (Aug 2026), FD distribution (Aug 2026), Visa partnership (Sep 2026), DPIIT MoU (Aug 2026)",,none,P3-WAVE,done,43
2026-09-15,S0003,PhonePe,PhonePe legal/RBI notices,No specific legal/RBI notice found in search results; no UPI data adjudication found,,Search MCA/SEBI for regulatory actions,P3-WAVE,logged,43
2026-09-15,S0003,PhonePe,PhonePe $650M buyback and Broadcom/CVP,No evidence found for $650M buyback or Broadcom/CVP acquisition connection to PhonePe,,These claims may be inaccurate or refer to different entity,P3-WAVE,logged,43
2026-09-15,S0003,PhonePe,PhonePe MCA filing PhonePe Payments Pvt Ltd,No MCA filing data retrieved; CIN conflict unresolved,,Verify MCA21 primary for PhonePe Limited vs Phonepe Private Limited,P3-WAVE,logged,43
2026-09-14,S0004,Razorpay,Razorpay funding valuation 2025 IPO founders revenue FY25,"FY25 rev 3,783cr +65%, gross profit 1,277cr, ESOP 1,209cr; reverse flip Mar 2025, public Apr 2025; IPO Rs 4,500-6,000cr targeting $5-6B",Audited FY25 loss quantum,Confirm DRHP banker list from primary filing,subagent,logged,1
2026-09-14,S0004,Razorpay,Razorpay founders investors HQ,Founders IIT Roorkee; YC W15; round history Seed-$125K through Series F $375M/$7.5B,none,none,subagent,logged,1
2026-09-14,S0004,Razorpay,Razorpay Software Private Limited CIN incorporation date,as-incorporated CIN U72200KA2013PTC097389; recurclub notes now PLC variant after public conversion,,,subagent,logged,1
2026-09-14,S0004,Razorpay,Razorpay Software Private Limited ZaubaCorp incorporated 2013,"incorporated 24 May 2013, cross-confirmed ET",,,subagent,logged,1
2026-09-14,S0004,Razorpay,FS-wave founder status,2 founders updated,,none,subagent,logged,78
2026-09-14,S0005,Zepto,Zepto $450M round 2025 DRHP IPO valuation founders,"$450M/$7B Oct 2025 (CalPERS+GC), confidential DRHP Dec 2025, Rs 11,000cr issue, FY25 rev 9,669cr/loss 3,367cr, bankers",Pre-2024 round history; CIN,Fetch UDRHP/restated financials when public; verify CIN,subagent,logged,1
2026-09-14,S0005,Zepto,Zepto layoffs 800 2025 founders,"300 off-roll Oct 2025, 500+ since Apr, ~1,000 YTD; automation-cost narrative confirmed by company",none,none,subagent,logged,1
2026-09-14,S0005,Zepto,fetch provenance,"Fetch failures: none for Zepto (3/3 ok). Cross-batch failures: YourStory KreditBee 403, Reuters PhonePe 401 — used snippet facts at lower confidence where needed",2 failed fetches logged,none,subagent,logged,1
2026-09-14,S0005,Zepto,FS-wave founder status,2 founders updated,,none,subagent,logged,78
2026-09-15,S0005,Zepto,Zepto funding history pre-2024 rounds,"CNBC TV18 article provided full funding streak: $665M Jun 2024 @ $3.6B, $340M Aug 2024 @ $5B, $350M Nov 2024 domestic; earlier rounds (Seed, Series A/",,none,hyperresearch,done,23
2026-09-15,S0005,Zepto,Zepto founders Stanford education,CNBC TV18 confirms both founders were 19-year-old Stanford dropouts at founding; Forbes India confirms Palicha's background,,none,hyperresearch,done,23
2026-09-15,S0005,Zepto,Zepto FY24/FY25 financials DRHP,"Forbes India article provided comprehensive DRHP financials: FY24 rev 4,455cr/loss 1,214.79cr, FY25 rev 11,110cr/loss 4,699.71cr, FY26 rev 22,624cr/lo",,none,hyperresearch,done,23
2026-09-14,S0006,Neysa,Neysa Blackstone $1.2B / $600M / $1.4B valuation,Confirmed $1.2B structure: $600M definitive equity + $600M intended debt; $1.4B EV; co-investors; 20k GPUs; 110 staff.,Debt close status; audited revenue.,Done; gaps recorded.,subagent,complete,1
2026-09-14,S0006,Neysa,Neysa seed Series A founders,Seed $20M Apr 2024; Series A $30M Oct 2024; co-led by same three; founders Sanghi + Das.,None material.,Done.,subagent,complete,1
2026-09-14,S0006,Neysa,Neysa Networks Private Limited CIN incorporation,"CIN U72900MH2022PTC395489, incorporated 16 Dec 2022, RoC Mumbai via ZaubaCorp snippet; corroborated by Tofler/TheCompanyCheck",Audited FY25 revenue/profit not surfaced,,subagent,logged,1
2026-09-14,S0006,Neysa,Neysa Networks Series B 30 million valuation October 2024,"$1.2B+ round (Feb 2026): $600M equity + planned $600M debt, Blackstone-led; Series A $30M Oct 2024 at ~$128M valuation; seed $20M early 2024; ET pegs valuation ~$1.4B",Whether $600M debt portion has closed,,subagent,logged,1
2026-09-14,S0006,Neysa,FS-wave founder status,2 founders updated,,none,subagent,logged,78
2026-09-15,S0006,Neysa,Neysa AI revenue FY25 FY26 financials bookings,Revenue expected to triple by FY27 (management statement); no audited revenue found,,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI customers Perplexity OpenAI Anthropic,"In talks with Perplexity, OpenAI, Anthropic per Moneycontrol Feb 2026",,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI Hyderabad 400MW data center NTT,"NTT Data + Neysa + Telangana govt MoU Apr 2025 for 400MW Rs 10,500 crore AI DC cluster",,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI CCI approval Blackstone,CCI approved Blackstone-led controlling stake acquisition May 2026,,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI Rahul Gandotra founder,No credible source mentions Rahul Gandotra; founders are Sharad Sanghi and Anindya Das,,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI Google Blackstone TPU venture,Google-Blackstone $5B AI cloud venture with TPU chips (May 2026); unclear direct link to Neysa,,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI SoftBank Blackstone talks,Blackstone and SoftBank in early talks for stakes Nov 2025 per ET,,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI Pipeshift inference launch,Neysa-Pipeshift sovereign inference infrastructure launched May 2026,,none,P3-WAVE,done,47
2026-09-15,S0006,Neysa,Neysa AI Velocis GPT-OSS,Velocis expanded with OpenAI GPT-OSS models Sep 2025,,none,P3-WAVE,done,47
2026-09-14,S0007,Amagi,Amagi funding valuation IPO founders revenue FY25 FY26,"IPO details, listing valuation, FY25/FY26 financials, founders, investors",CIN; Series A-E amounts,Verify CIN and early rounds via DRHP/MCA if needed,subagent,logged,1
2026-09-14,S0007,Amagi,Amagi Media Labs Private Limited CIN incorporation,CIN now L73100KA2008PLC045144 (converted to public Ltd pre-IPO); incorp 01 Feb 2008; KA matches Bengaluru,none,,subagent,logged,1
2026-09-14,S0007,Amagi,FS-wave founder status,3 founders updated,,none,subagent,logged,78
2026-09-14,S0008,CRED,CRED funding valuation FY24 FY25 founders; tinyfish Meta 2026 probe,Series F $140M/$6.4B; FY24/FY25 financials; founder; Meta rumor via tinyfish,Meta $900M claim; CIN; early rounds,Confirm Meta deal via T1/T3; pull MCA CIN; enumerate early rounds,subagent,logged,1
2026-09-14,S0008,CRED,Dreamplug Technologies Private Limited ZaubaCorp CIN incorporated,"CIN U93090MH2018PTC308253, incorporated 19 Apr 2018; legal-name link via Wikipedia",,,subagent,logged,1
2026-09-14,S0008,CRED,FS-wave founder status,1 founders updated,,none,subagent,logged,77
2026-09-14,S0008,CRED,CRED official website India fintech,cred.club confirmed as official domain,,,subagent,logged,1
2026-09-14,S0008,CRED,CRED careers page jobs,careers.cred.club confirmed as careers page,,,subagent,logged,1
2026-09-14,S0009,Darwinbox,Darwinbox funding valuation founders revenue customers (web + tinyfish),"$140M Mar-2025, $40M Aug-2025, Series D $72M/unicorn, 4 founders, FY24 Rs 392 cr, $100M ARR target, ESOP buyback",CIN; early rounds; FY25 audited,Pull MCA filings for FY25; enumerate Seed-Series C,subagent,logged,1
2026-09-14,S0009,Darwinbox,Darwinbox Digital Solutions Private Limited CIN incorporation date,CIN U74900TG2015PTC101793; incorp 20 Nov 2015; TG state-code matches Hyderabad,none,,subagent,logged,1
2026-09-14,S0009,Darwinbox,FS-wave founder status,4 founders updated,,none,subagent,logged,77
2026-09-14,S0010,Emergent,Emergent unicorn Series C founders ARR,"Series C $130M/$1.5B, full round table, founders, ARR $100-120M, 12M apps, investors",Legal entity; headcount; audited financials,Verify legal entity via MCA/DPIIT; confirm headcount,subagent,logged,1
2026-09-14,S0010,Emergent,FS-wave founder status,2 founders updated,,none,subagent,logged,77
2026-09-14,S0011,Groww,Groww IPO / funding history / founders / FY25 financials / Fisdom,IPO size/dates/price band; FY25 rev/PAT; Series F $202.3M @ $7B; Series E $251M @ $3B; Series D $83M unicorn; Series A $6.2M; 4 founders ex-Flipkart; HQ Bengaluru; Fisdom acquisition,Series B/C primary articles; FY26 full-year audited,Done; minor gaps recorded,subagent,logged,1
2026-09-14,S0011,Groww,Groww Series F $200M GIC funding 2025,"Confirmed: $200M Series F at $7B led by GIC with Iconiq, ET June 12 2025",Exact GIC vs Iconiq split ($150M each per Moneycontrol),,subagent,logged,2
2026-09-14,S0011,Groww,Groww FY25 financials PAT revenue,"Confirmed: Rs 1,819 cr PAT, Rs 4,056 cr revenue per ET/filings","Conflicting PAT figure Rs 1,824.73 cr (Globe Capital) vs Rs 1,819 cr (ET)",,subagent,logged,2
2026-09-14,S0011,Groww,Groww IPO details Nov 2025,"Confirmed: Rs 6,632.3 cr IPO at Rs 100/share, listed Nov 12 2025, +24% debut","Market cap varies: ~Rs 76,170 cr (enrich) vs ~Rs 79,500 cr (TechCrunch)",,subagent,logged,2
2026-09-14,S0011,Groww,Q-wave claim source-hunt,6 resolved,,none,subagent,logged,1
2026-09-14,S0011,Groww,Groww Billionbrains Garage Ventures valuation IPO 2025,"$8.6B debut valuation, Nov 12 2025, Reuters; CIN/incorporation already in enrich file (2018-01-09)",enrich file already holds incorporation_date — no CIN search needed,,subagent,logged,1
2026-09-14,S0011,Groww,FS-wave founder status,4 founders updated,,none,subagent,logged,77
2026-09-15,S0011,Groww,Groww FY25 audited financials and Q1/Q2 FY26 results,"FY25 audited: revenue Rs 4,061.65 cr, PAT Rs 1,824.37 cr (Stakehub). Q1 FY26: revenue Rs 904 cr, PAT Rs 378 cr. Q2 FY26: revenue Rs 1,019 cr, PAT Rs 471 cr. Q3 FY26: total income Rs 12,611 Mn, PAT Rs ",,none,subagent,done,42
2026-09-15,S0011,Groww,Groww IPO details Nov 2025,"Price band Rs 95-100, issue size Rs 6,632.3 cr (fresh Rs 1,060 cr + OFS Rs 5,572 cr), listed Nov 12 2025, +24% debut, subscribed 17.6x, anchor book Rs 2,984.54 cr",,none,subagent,done,42
2026-09-15,S0011,Groww,Groww products AMC mutual funds Groww US Singapore,"Groww AMC: AUM Rs 5,996.87 cr, 39 schemes, SEBI Reg MF/068//11/03. State Street Global Advisors acquired 22.943% of Groww AMC. No 'Groww US' or 'Groww Singapore' entity found; GIC is Singapore-based i",,none,subagent,done,42
2026-09-15,S0011,Groww,Groww founders verification CEO changes,"4 founders confirmed: Lalit Keshre (CEO), Harsh Jain (COO), Neeraj Singh (CTO), Ishan Bansal (CFO). All still active as of Sep 2026. No CEO change detected. Board: Gaurang Shah (Chairman), Ankit Nagor",,none,subagent,done,42
2026-09-15,S0011,Groww,Groww traction metrics registered users AUM,"23.2 Mn transacting users (Sep 2026), Rs 3.67 Tn customer assets, 16.7 Mn active users (Mar 2026), Rs 2.96 Tn customer assets (Mar 2026), Groww AMC AUM Rs 5,491 cr (Q1 FY27), MF assets Rs 1.57 lakh cr",,none,subagent,done,42
2026-09-15,S0011,Groww,Groww SEBI legal actions regulatory notices,SEBI settlement order May 2025 for Groww Invest Tech (formerly Nextbillion Technology) following comprehensive inspection. CCI approved GIC stake acquisition Jul 2025. SEBI LODR Reg 30 disclosure Jan ,,none,subagent,done,42
2026-09-15,S0011,Groww,TPG/Tiger $213M round 2024,"No evidence of TPG/Tiger $213M round in 2024. Tiger Global participated in Series D ($83M, Apr 2021). GIC led Series F ($202.3M, Jun 2025). Dealroom mentions Groww seeking $200M from GIC and Tiger Glo",,none,subagent,done,42
2026-09-15,S0011,Groww,Groww FY26 full year financials,"Per BSE listing data: FY26 revenue Rs 5,148 cr, net profit Rs 2,475 cr. Per Q4 FY26 shareholder letter: total income Rs 15,355 Mn, PAT Rs 6,864 Mn for Q4 FY26 alone.",,none,subagent,done,42
2026-09-14,S0012,Gupshup,Gupshup funding / valuation / founders / financials / acquisitions / layoffs,"$100M Apr 2021 @ $1.4B; +$240M Jul 2021; $60M Jul 2025 unpriced; Fidelity markdown to $278M Jan 2026; FY25 India rev Rs 1,943 cr -5%, PAT Rs 26 cr -52%; Knowlarity/DOTGO/Active.ai acquisitions; 300 la",Audited filings; debt split; co-founders,Done; gaps recorded,subagent,logged,1
2026-09-14,S0012,Gupshup,Gupshup $60M Series F extension July 2025,"Confirmed: $60M equity+debt from Globespan + EvolutionX, Jul 22 2025, unpriced",Exact equity vs debt split not disclosed,,subagent,logged,2
2026-09-14,S0012,Gupshup,Gupshup Fidelity valuation markdown,"Confirmed: $278M as of Jan 2026, down from $1.4B peak",Fidelity's internal mark vs market valuation,,subagent,logged,2
2026-09-14,S0012,Gupshup,Gupshup total funding amount,Tracxn: $446M; Inc42: $544.1M; discrepancy due to counting methodology,Which figure is more accurate,,subagent,logged,2
2026-09-14,S0012,Gupshup,Q-wave claim source-hunt,6 resolved,,none,subagent,logged,1
2026-09-14,S0012,Gupshup,Gupshup Technology India CIN,"CIN U72100MH2005PTC150425, inc 05 Jan 2005 via ZaubaCorp (confirmed by Tracxn, InstaFinancials)","valuation (disputed, unfound within budget)",,subagent,logged,1
2026-09-14,S0012,Gupshup,FS-wave founder status,1 founders updated,,none,subagent,logged,77
2026-09-14,S0013,Krutrim,Krutrim funding / valuation / founders / FY25-26 financials / pivot / layoffs,"$50M @ $1B Jan 2024 (Matrix); $24M debt Oct 2023; $230M founder commitment Feb 2025; FY26 Rs 300 cr rev 3x + first profit; cloud pivot, chip pause; 25+ enterprise customers; layoff headline",FY25 audited; layoff scale; $230M disbursement,Done; gaps recorded,subagent,logged,1
2026-09-14,S0013,Krutrim,Q-wave claim source-hunt,3 resolved,,none,subagent,logged,1
2026-09-14,S0013,Krutrim,Krutrim SI Designs Ola Krutrim CIN incorporation date Tofler,"Krutrim Si Designs CIN U62099KA2023PTC171879, incorp 05 Apr 2023, ROC Bangalore (Tofler/Tracxn/InstaFinancials)",fresh $1B valuation source not probed this wave,,subagent,logged,1
2026-09-14,S0013,Krutrim,FS-wave founder status,2 founders updated,,none,subagent,logged,77
2026-09-15,S0013,Krutrim,MCA filings and financials,"CIN U62099KA2023PTC171879, incorporated 05 Apr 2023, Active status, registered office Bengaluru; AGM 30 Sep 2025; balance sheet 31 Mar 2025; authorized capital Rs 306.99 Cr; paid-up Rs 306.79 Cr",,none,subagent,done,33
2026-09-15,S0013,Krutrim,Layoffs and workforce,3+ rounds of layoffs since June 2025; 200+ total departures; workforce from 550+ (Aug 2025) to ~150-160 (March 2026); July 2026 round cut ~50% of remaining; employee complaints on pending expenses and,,none,subagent,done,33
2026-09-15,S0013,Krutrim,Executive departures and leadership,"12+ senior executives departed since April 2025 including Goutham Ramkumar, Rajesh Jayaram, Ramesh Babu Giri, Vineet Agarwal, Ajay Raut, Kishore Kulkarni, Sambit Sahu, Sunit S, Chandra Khatri; current",,none,subagent,done,33
2026-09-15,S0013,Krutrim,Ola Electric share pledge and funding,March 2025: 5.88 crore Ola Electric shares pledged; Sept 2025: 10.71 crore shares (2.43% equity) pledged for Krutrim Data Centre via Axis Trustee/Avendus/InCred; pledges later released after repayment,,none,subagent,done,33
2026-09-15,S0013,Krutrim,Engineer suicide and legal issues,May 2025: 25-year-old engineer died by suicide; FIR on Bhavish Aggarwal; Oct 2025: second suicide; toxic work culture allegations,,none,subagent,done,33
2026-09-15,S0013,Krutrim,Product status and Kruti app,"Kruti app pulled from stores April 2026; 207,000 downloads since June 2025 launch; chip design paused late 2025; LLM building paused; Krutrim 3 development uncertain",,none,subagent,done,33
2026-09-15,S0013,Krutrim,Revenue composition and external traction,~90% of FY25 revenue from Ola Group; FY26 revenue ~Rs 300 Cr (3x); first PAT >10%; 25+ enterprise customers; majority GPU capacity committed externally,,none,subagent,done,33
2026-09-14,S0014,Sarvam AI,Sarvam AI funding / unicorn / founders / financials,$41M (incl $12M seed) Dec 2023; $234M first close @ $1.5B Jun 2026 (HCLTech $150M/10.46%); $75M tranche Aug 2026 (Nvidia/Gaja/IndiGo/Glade Brook); founders AI4Bharat/Aadhaar; FY26 turnover Rs 45.1 cr ,Audited FYs; unnamed customers; Odisha DC deal,Done; gaps recorded,subagent,logged,1
2026-09-14,S0014,Sarvam AI,Q-wave claim source-hunt,2 resolved,,none,subagent,logged,1
2026-09-14,S0014,Sarvam AI,Sarvam AI Axonwise CIN zaubacorp + valuation 2025 2026,"CIN U62099KA2023PTC176049, inc 14 Jul 2023 via ZaubaCorp; Series B $234M first-close co PR 15 Jun 2026, $1.5B valuation press",Audited FY25 revenue not found,,subagent,logged,1
2026-09-14,S0014,Sarvam AI,FS-wave founder status,2 founders updated,,none,subagent,logged,77
2026-09-14,S0015,Slice,Slice funding valuation 2025 2026,$100M talks Apr 2026; <$1B valuation; NESFB merger; SFB status,none,done,subagent,logged,1
2026-09-14,S0015,Slice,Slice founder revenue FY25 FY26,FY26 profit Rs 48.4cr; FY25 loss Rs 216.7cr; founders; RBI 2022 PPI rule,CIN,done,subagent,logged,1
2026-09-14,S0015,Slice,fetch dealroom slice $450M,Dealroom fetch 403 (logged); relied on search snippet,primary confirmation of $450M round,none,subagent,logged,1
2026-09-14,S0015,Slice,FS-wave founder status,2 founders updated,,none,subagent,logged,77
2026-09-14,S0016,upGrad,upGrad Unacademy acquisition $206M,"Unacademy close confirmed: ~$206M all-stock, Sep 1 2026, CCI July, brand retained, Munjal stays.",None.,Done.,subagent,complete,1
2026-09-14,S0016,upGrad,upGrad funding valuation DRHP revenue FY25,"FY25: op revenue Rs1,569cr (+6%), net loss Rs274cr (halved), EBITDA +Rs15cr; FY26 provisional 11-mo Rs1,532cr rev/Rs38cr PAT; $1.7B fair value vs $2.25B priced.",Total-raised conflict; primary round docs.,Done; DRHP confirmed NOT filed (no filing source found).,subagent,complete,1
2026-09-14,S0016,upGrad,upGrad Education Private Limited CIN incorporation,"CIN U80902MH2012PTC258559, incorporated 11 Dec 2012; triple-confirmed ZaubaCorp/Tofler/Tracxn",,,subagent,logged,1
2026-09-14,S0016,upGrad,FS-wave founder status,4 founders updated,,none,subagent,logged,77
2026-09-15,S0016,upGrad,upGrad products degree programs upGrad Excel international division enterprise,"upGrad Enterprise (3,000+ clients), upGrad GSP, upGrad Campus, upGrad Pathway, KnowledgeHut, Internshala, degree programs with IIIT-B/LJMU/Deakin/Amity, LTM partnership",,none,P3-WAVE,done,50
2026-09-15,S0016,upGrad,upGrad founders Phalgun Kompalli Ravijot Chugh CEO change 2024 2025 2026,"Phalgun Kompalli (IIT Delhi, still active co-founder), Ravijot Chugh (ex-co-founder, now Neels AI), Mayank Kumar (exited Oct 2024), Arjun Mohan (ex-CEO Jan 2023), Mukesh Mundra (CFO May 2026), Screwva",,none,P3-WAVE,done,50
2026-09-15,S0016,upGrad,upGrad learners count B2B employers customers enterprise,"10M+ learners globally (May 2026), 3,000+ corporate partners, 85+ countries, ~11,544 employees (Mar 2026)",,none,P3-WAVE,done,50
2026-09-15,S0016,upGrad,upGrad MCA filing Phoearn International FY25 FY26 revenue profit,"UpGrad Education Pvt Ltd (CIN U80902MH2012PTC258559) is the main MCA entity; FY25 audited revenue Rs1,569cr, loss Rs274cr; FY26 provisional Rs1,532cr rev/Rs38cr PAT; Upgrade International Learning Pvt",,none,P3-WAVE,done,50
2026-09-15,S0016,upGrad,upGrad Rocket Learning acquisition IIIT-B partnership IPO plans 2025 2026,No Rocket Learning acquisition found; IIIT-B partnership confirmed for Executive Diploma programs; IPO targeting 2027 per Screwvala; Internshala (Feb 2026) and Unacademy (Sep 2026) acquisitions confir,,none,P3-WAVE,done,50
2026-09-15,S0016,upGrad,upGrad consumer ERA complaint legal matter,"Delhi High Court restrained person from defaming upGrad on social media (Jul 2025, LawChakra); no consumer/ERA matters found",,none,P3-WAVE,done,50
2026-09-14,S0017,BrowserStack,BrowserStack founders HQ Dublin Mumbai valuation funding,Dual-HQ clarified: Dublin corporate domicile + Mumbai ops; $50M A + $200M B at $4B; founders IIT-B 2011.,Consolidated financials; redomicile.,Done.,subagent,complete,1
2026-09-14,S0017,BrowserStack,BrowserStack ESOP buyback 2026 revenue,"$125M 3rd buyback Jan 2026, $275M cumulative, profits-funded; Rs771cr FY25 India rev; $300M CY26 guide; Requestly/Bird Eats Bug acquisitions.",Buyback valuation undisclosed.,Done.,subagent,complete,1
2026-09-14,S0017,BrowserStack,BrowserStack India Private Limited CIN,"CIN U74120MH2015PTC264476; legal name is BrowserStack Software Pvt Ltd (MH RoC), incorporated 14 May 2015 per Tracxn",,,subagent,logged,1
2026-09-14,S0017,BrowserStack,FS-wave founder status,2 founders updated,,none,subagent,logged,76
2026-09-15,S0017,BrowserStack,BrowserStack founders verification,Ritesh Arora + Nakul Aggarwal confirmed as founders across all sources. No Jahangir found.,,none,web_search+hyperresearch,done,19
2026-09-15,S0017,BrowserStack,BrowserStack funding rounds verification,"Only 2 rounds: Series A $50M (Jan 2018, Accel), Series B $200M (Jun 2021, BOND). NO Series C. Prompt claims of $7.5M/$67M/$220M are incorrect.",,none,web_search+hyperresearch,done,19
2026-09-15,S0017,BrowserStack,BrowserStack revenue/ARR verification,Rs771cr FY25 Indian entity; ~$225-235M group 2025; $300M CY2026 guide; $100M ARR milestone 2022. No $350M ARR found.,,none,web_search+hyperresearch,done,19
2026-09-15,S0017,BrowserStack,BrowserStack location verification,Founded and HQ'd in Mumbai (not Pune). Corporate domicile Dublin. SF/NYC offices.,,none,web_search+hyperresearch,done,19
