founder_id,person_id,name,startup_id,company,role_title,founder_type,active,departure_date,education,linkedin,location,prev_companies_raw,previous_company_count,source_id,confidence,notes
FDR0011,P0028,Harshil Mathur,S0004,Razorpay,Co-founder & CEO,co-founder,True,,IIT Roorkee; CEO,https://linkedin.com/in/harshilmathur,Bengaluru,,0,SRC00094,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0012,P0029,Shashank Kumar,S0004,Razorpay,Co-founder (MD),co-founder,True,,IIT Roorkee; MD,https://linkedin.com/in/kumarshashank,Bengaluru,,0,SRC00094,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0013,P0031,Aadit Palicha,S0005,Zepto,Co-founder & CEO,co-founder,True,,Stanford dropout; CEO; ex-Data structures/projects with Vohra; pandemic pivot from grocery-on-bicycles Mumbai,https://linkedin.com/in/aadit-palicha,Bengaluru,,0,SRC00110,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0014,P0032,Kaivalya Vohra,S0005,Zepto,Co-founder,co-founder,True,,Stanford dropout; ops/product,https://linkedin.com/in/kaivalya-vohra,Bengaluru,,0,SRC00110,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0015,P0035,Sharad Sanghi,S0006,Neysa,Co-founder & CEO,co-founder,True,,Founder of Netmagic (acquired by NTT Data 2016); ex-MD/CEO Netmagic till Jun 2023,https://www.linkedin.com/in/sharadsanghi,Mumbai,,0,SRC00118,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0016,P0036,Anindya Das,S0006,Neysa,Co-founder & CTO,co-founder,True,,Former senior Netmagic executive; cloud infra/network design,https://www.linkedin.com/in/anindya-das,Mumbai,,0,SRC00122,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0017,P0038,Baskar Subramanian,S0007,Amagi,Managing Director & CEO,co-founder,True,,CEO; IIM-B alumni cohort with co-founders,https://linkedin.com/in/baskar-subramanian,Bengaluru,,0,SRC00139,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0018,P0039,Srividhya Srinivasan,S0007,Amagi,Co-founder,co-founder,True,,,,Bengaluru,,0,SRC00138,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0019,P0040,Arunachalam Srinivasan Karapattu (Srinivasan KA),S0007,Amagi,Co-founder,co-founder,True,,,,Bengaluru,,0,SRC00138,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0020,P0041,Kunal Shah,S0008,CRED,Founder & CEO,founder,True,June 2026,ex-FreeCharge founder,https://linkedin.com/in/kunalshah1,Bengaluru,,0,SRC00145,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0021,P0042,Jayant Paleti,S0009,Darwinbox,Co-founder,co-founder,True,,,,Hyderabad,,0,SRC00157,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0022,P0043,Chaitanya Peddi,S0009,Darwinbox,Co-founder,co-founder,True,,,,Hyderabad,,0,SRC00155,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0023,P0044,Rohit Chennamaneni,S0009,Darwinbox,Co-founder,co-founder,True,,,,Hyderabad,,0,SRC00163,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0024,P0045,Vineet Singh,S0009,Darwinbox,"Co-founder (elevated CTO, Aug 2024)",co-founder,True,,,,Hyderabad,,0,SRC00155,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0025,P0046,Mukund Jha,S0010,Emergent,Co-founder & CEO,co-founder,True,,"ex-Google; co-founder & CTO Dunzo; co-founder Wisdom.ly, Habet",https://linkedin.com/in/mukund-jha-a1596413,San Francisco,,0,SRC00167,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0026,P0047,Madhav Jha,S0010,Emergent,Co-founder (twin brother),co-founder,True,,ex-Dropbox ML engineer; PhD Penn State; ex-Sandia; Amazon SageMaker team,,San Francisco,,0,SRC00170,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0027,P0048,Lalit Keshre,S0011,Groww,Co-founder & CEO,co-founder,True,,Ex-Flipkart product; founded Eduflix; Ittiam Systems; IIT Bombay EE (BTech+MTech microelectronics),,Bengaluru,,0,SRC00177,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0028,P0049,Harsh Jain,S0011,Groww,Co-founder & COO,co-founder,True,,Ex-Flipkart product; IIT Delhi EE + Masters Information & Communication Engineering,,Bengaluru,,0,SRC00177,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0029,P0050,Ishan Bansal,S0011,Groww,Co-founder,co-founder,True,,Ex-Flipkart; BITS Pilani BE + XLRI MBA (per Tracxn education data),,Bengaluru,,0,SRC00177,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0030,P0051,Neeraj Singh,S0011,Groww,Co-founder & CTO,co-founder,True,,Ex-Flipkart; technology leadership,,Bengaluru,,0,SRC00189,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0031,P0056,Beerud Sheth,S0012,Gupshup,Co-founder & CEO,co-founder,True,,IIT Bombay BTech + MIT MS Computer Science; founded Elance (now Upwork); Merrill Lynch/Citicorp; MIT Media Lab research,https://www.linkedin.com/in/beerud/,San Francisco,,0,SRC00231,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0032,P0060,Bhavish Aggarwal,S0013,Krutrim,Founder,founder,True,,"IIT Bombay BTech; co-founder Ola Cabs, founder Ola Electric; serial unicorn founder",https://linkedin.com/in/bhavishaggarwal,Bengaluru,,0,SRC00239,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0033,P0061,Krishnamurthy Venugopala Tenneti,S0013,Krutrim,Co-founding Director,co-founder,True,,ANI Technologies (Ola) long-time board member,,Bengaluru,,0,SRC00239,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0034,P0074,Vivek Raghavan,S0014,Sarvam AI,Co-founder,co-founder,True,,"Ex-UIDAI/Aadhaar (decade+ DPI), EkStep, Khosla Labs; ex-AI4Bharat; IIT Delhi BTech, PhD CMU/ETH",https://linkedin.com/in/vivek-raghavan-16005424,Bengaluru,,0,SRC00274,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0035,P0075,Pratyush Kumar,S0014,Sarvam AI,Co-founder & CEO,co-founder,True,,"Ex-Microsoft/IBM researcher, IIT Madras faculty, AI4Bharat founder; IIT Bombay BTech, PhD ETH Zurich",,Bengaluru,,0,SRC00274,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0036,P0076,Rajan Bajaj,S0015,Slice,"Co-founder, MD & CEO",founder,True,,"Founder, MD & CEO; largest shareholder of merged bank",https://linkedin.com/in/rajanbajaj,Guwahati,,0,SRC00283,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0037,P0077,Deepak Malhotra,S0015,Slice,Co-founder,co-founder,False,,Ex-co-founder,,,,0,SRC00284,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0038,P0078,Ronnie Screwvala,S0016,upGrad,Co-founder & Chairperson,founder,True,,UTV founder (sold to Disney 2012); Unilazer Ventures,https://linkedin.com/in/ronniescrewvala,Mumbai,,0,SRC00292,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0039,P0079,Mayank Kumar,S0016,upGrad,Co-founder,co-founder,False,,Exited late 2024 to found BorderPlus,,Mumbai,,0,SRC00289,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0040,P0080,Phalgun Kompalli,S0016,upGrad,Co-founder,co-founder,True,,,,Mumbai,,0,SRC00289,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0041,P0081,Ravijot Chugh,S0016,upGrad,Co-founder,co-founder,False,,Left earlier; joined Climb Credit (US) as CPO,,,,0,SRC00289,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0042,P0086,Ritesh Arora,S0017,BrowserStack,Co-founder & CEO,co-founder,True,,IIT Bombay; ex-Downcase/consulting,https://in.linkedin.com/in/ritesh-arora-browserstack,,,0,SRC00341,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0043,P0087,Nakul Aggarwal,S0017,BrowserStack,Co-founder & CTO,co-founder,True,,IIT Bombay; ex-Downcase/consulting,https://in.linkedin.com/in/nakulaggarwal,,,0,SRC00341,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0044,P0088,Pravin Jadhav,S0018,Dhan,"Founder & CEO, Raise Financial Services",founder,True,,Former Paytm Money CEO,https://in.linkedin.com/in/pravinj,Mumbai,,0,SRC00366,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0045,P0089,Jay Prakash Gupta,S0018,Dhan,Co-founder,co-founder,True,,,,,,0,SRC00352,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0046,P0090,Alok Pandey,S0018,Dhan,Co-founder,co-founder,True,,,,,,0,SRC00352,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0047,P0091,Raunak Rathi,S0018,Dhan,Co-founder and Director,,True,,,,,,0,SRC00357,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0048,P0092,Dharmil Sheth,S0019,PharmEasy,Co-founder (stepped back from day-to-day Jan 2025; board/observer),co-founder,False,January 2025,,https://in.linkedin.com/in/dharmilsheth,,,0,SRC00369,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0049,P0093,Dhaval Shah,S0019,PharmEasy,Co-founder (stepped back Jan 2025),co-founder,False,January 2025,,,,,0,SRC00369,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0050,P0094,Hardik Dedhia,S0019,PharmEasy,Co-founder (stepped back Jan 2025),co-founder,False,January 2025,,,,,0,SRC00369,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0051,P0095,Siddharth Shah,S0019,PharmEasy,"Co-founder, continuing to lead (2025)",co-founder,True,August 2025,,,,,0,SRC00369,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0052,P0096,Harsh Parekh,S0019,PharmEasy,Co-founder,,True,,unknown,,,,0,SRC00381,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0053,P0100,Nalin Agrawal,S0020,Snapmint,Co-founder,co-founder,True,,,https://in.linkedin.com/in/nalinagrawal,,,0,SRC00408,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0054,P0101,Anil Gelra,S0020,Snapmint,Co-founder,co-founder,True,,,https://in.linkedin.com/in/anil-gelra-91890b4,,,0,SRC00408,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0055,P0102,Abhineet Sawa,S0020,Snapmint,Co-founder,co-founder,True,,,https://in.linkedin.com/in/abhineet-sawa-31575b4,,,0,SRC00408,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0056,P0104,Ravi Kumar,S0021,Upstox,Co-founder & CEO,co-founder,True,,,,,,0,SRC00428,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0057,P0105,Shrini Viswanath,S0021,Upstox,Co-founder,co-founder,True,,,,,,0,SRC00439,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0058,P0106,Raghu Kumar,S0021,Upstox,Co-founder (per 2021 press; contested — see conflicts),co-founder,True,,,,,,0,SRC00439,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0059,P0107,Kavitha Subramanian,S0021,Upstox,Co-founder (per TOI/company-signal; contested — see conflicts),co-founder,True,,,,,,0,SRC00440,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0060,P0108,Shrinivas Viswanath,S0021,Upstox,Co-founder,,True,,Co-founded Upstox as proprietary trading firm in 2009,,,,0,SRC00431,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0061,P0110,Vaibhav Gupta,S0022,Udaan,Co-founder & CEO,co-founder,True,,Ex-Flipkart; IIT Delhi; CEO since 2021,,,,0,SRC00452,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0062,P0111,Sujeet Kumar,S0022,Udaan,Co-founder,co-founder,True,,"Ex-Flipkart; IIT Delhi; board member, stepped back from ops",,,,0,SRC00452,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0063,P0112,Amod Malviya,S0022,Udaan,Co-founder,co-founder,False,,Ex-Flipkart; IIT Kharagpur; stepped back from ops,,,,0,SRC00452,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0064,P0114,Varun Dua,S0023,ACKO,Founder,founder,True,,ex-Coverfox founder (Coverfox co-founded 2013),,,,0,SRC00458,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0065,P0115,Vishwanath Ramarao (Ram),S0023,ACKO,Co-Founder,co-founder,True,,,,,,0,SRC00458,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0066,P0116,Ruchi Deepak,S0023,ACKO,Founder Emeritus,founder,False,,,,,,0,SRC00458,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0067,P0118,Ashish Singhal,S0024,CoinSwitch Kuber,Co-founder & CEO,co-founder,True,,NSUT; ex-Amazon; Group CEO PeepalCo,,,,0,SRC00472,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0068,P0119,Govind Soni,S0024,CoinSwitch Kuber,Co-founder & CTO,co-founder,True,,Co-founder & CTO,,,,0,SRC00477,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0069,P0120,Vimal Sagar Tiwari,S0024,CoinSwitch Kuber,Co-founder & COO,co-founder,True,,Co-founder & COO,https://in.linkedin.com/in/sagarvimal,,,0,SRC00477,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0070,P0121,Mukesh Bansal,S0025,Cult.fit (CureFit),Co-founder,co-founder,True,,Myntra co-founder; IIT Kanpur; Tata Digital President,,Bengaluru,,0,SRC00491,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0071,P0122,Ankit Nagori,S0025,Cult.fit (CureFit),Co-founder (ex),co-founder,False,,Ex-Flipkart; founder EatFit/Curefoods,,,,0,SRC00497,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0072,P0123,Rishabh Telang,S0025,Cult.fit (CureFit),Co-founder & CEO,co-founder,True,,Co-founder & CEO per company records; named in Aug 2026 FIR (denies),,,,0,SRC00508,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0073,P0126,Krish Ramineni,S0026,Fireflies AI,Co-founder & CEO,co-founder,True,,Ex-Microsoft; met co-founder at UPenn/MIT,https://www.linkedin.com/in/krishramineni,,,0,SRC00515,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0074,P0127,Sam Udotong,S0026,Fireflies AI,Co-founder & CTO,co-founder,True,,Nigerian-American aerospace engineer,https://www.linkedin.com/in/sudotong,United States,,0,SRC00515,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0075,P0128,Tanmai Gopal,S0027,Hasura,Co-founder & CEO,co-founder,True,,IIT Madras; ex-Microsoft/Polaris; co-founded Owlink,,,,0,SRC00540,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0076,P0129,Rajoshi Ghosh,S0027,Hasura,Co-founder & COO,co-founder,True,,NUS; co-founded Owlink,https://www.linkedin.com/in/rajoshighosh,San Francisco,,0,SRC00541,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0077,P0131,Samir Bodas,S0028,Icertis,Co-founder (CEO until 2025; d. 2026 per GeekWire),co-founder,False,January 2026,Ex-Microsoft; Wharton,https://www.linkedin.com/in/samirbodas,United States,,0,SRC00547,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0078,P0132,Monish Darda,S0028,Icertis,Co-founder & CTO,co-founder,True,,Ex-Microsoft,,Pune,,0,SRC00547,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0079,P0134,Nilesh Patel,S0029,LeadSquared,Co-founder & CEO,co-founder,True,,CEO,,Mountain View,,0,SRC00558,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0080,P0135,Prashant Singh,S0029,LeadSquared,Co-founder & COO,co-founder,True,,COO,,,,0,SRC00577,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0081,P0136,Sudhakar Gorti,S0029,LeadSquared,Co-founder,co-founder,True,,,2023,,,0,SRC00577,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0082,P0138,Raviteja Dodda,S0030,MoEngage,CEO & Co-founder,co-founder,True,,IIT Kharagpur B.Tech CSE,,,,0,SRC00587,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0083,P0139,Yashwanth Kumar (Kammara Yashwanth Kumar),S0030,MoEngage,"CTO, CISO & Co-founder",co-founder,True,,IIT Kharagpur B.Tech CSE,https://in.linkedin.com/in/yakumar,Bengaluru,,0,SRC00587,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0084,P0142,Puneet Agarwal,S0031,Moneyview,MD & CEO,founder,True,,IIT Delhi,https://in.linkedin.com/in/puneetagarwalindia,Bengaluru,,0,SRC00592,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0085,P0143,Sanjay Aggarwal,S0031,Moneyview,Executive Director & CTO,founder,True,,IIT Delhi,,,,0,SRC00592,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0086,P0144,Dhiraj Rajaram,S0032,Mu Sigma,Founder & CEO,founder,True,,UNKNOWN (UNVERIFIED),,,,0,SRC00598,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0087,P0145,Ambiga Subramanian (ne Dhiraj; reports vary: Priyanka Ashok listed on Tracxn),S0032,Mu Sigma,"Co-founder, ex-CEO",co-founder,False,,UNKNOWN,,,,0,SRC00598,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0088,P0146,Ambiga Subramanian,S0032,Mu Sigma,"Co-founder, ex-CEO",,False,,UNKNOWN,,,,0,SRC00598,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0089,P0151,Avneesh Agrawal,S0033,Netradyne,Co-founder & CEO,co-founder,True,,"PhD (Stanford, per secondary sources)",,,,0,SRC00605,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0090,P0152,David Julian,S0033,Netradyne,Co-founder & CTO,co-founder,False,,Stanford University,,,,0,SRC00605,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0091,P0155,Abhinav Asthana,S0034,Postman,Co-founder & CEO,co-founder,True,,,,,,0,SRC00612,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0092,P0156,Ankit Sobti,S0034,Postman,Co-founder & CTO,co-founder,True,,,,,,0,SRC00612,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0093,P0157,Abhijit Kane,S0034,Postman,Co-founder,co-founder,True,,,,,,0,SRC00612,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0094,P0160,Bhavin Turakhia,S0035,Zeta,Co-founder & CEO,co-founder,True,,Directi founder; serial entrepreneur,,,,0,SRC00639,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0095,P0161,Ramki Gaddipati,S0035,Zeta,Co-Founder & CTO,,True,,BITS Pilani,,,,0,SRC00631,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0096,P0162,Abhijit Jaiswal,S0035,Zeta,Co-Founder,,True,,,,,,0,SRC00631,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0097,P0167,Sachin Bansal,S0036,Flipkart,Co-founder (exited 2018),co-founder,False,,Ex-Amazon; now founder Navi,,,,0,SRC00654,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0098,P0168,Binny Bansal,S0036,Flipkart,Co-founder (board exit Jan 2024),co-founder,False,,Ex-Amazon; startup investor,,,,0,SRC00647,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0099,P0172,Pranav Goel,S0037,Porter,Co-founder & CEO,co-founder,True,,,,,,0,SRC00669,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0100,P0173,Uttam Digga,S0037,Porter,Co-founder & COO,co-founder,True,,,,,,0,SRC00669,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0101,P0174,Vikas Choudhary,S0037,Porter,Co-founder,,UNKNOWN,,IIT (institution not specified in sources),,,,0,SRC00661,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0102,P0084,Gaurav Munjal,S0038,Unacademy,Co-founder & CEO,co-founder,True,,Flatchat founder,,,,0,SRC00288,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0103,P0179,Roman Saini,S0038,Unacademy,Co-founder,co-founder,True,,"Ex-IAS (doctor, civil servant)",,,,0,SRC00671,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0104,P0180,Hemesh Singh,S0038,Unacademy,Co-founder & CTO,co-founder,True,,,,,,0,SRC00288,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0105,P0183,Vamsi Krishna,S0039,Vedantu,Co-founder & CEO,co-founder,True,,,,,,0,SRC00708,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0106,P0184,Pulkit Jain,S0039,Vedantu,Co-founder,co-founder,True,,,,,,0,SRC00708,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0107,P0185,Anand Prakash,S0039,Vedantu,Co-founder,co-founder,True,,,,,,0,SRC00708,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0108,P0188,Amrit Acharya,S0040,Zetwerk,Co-founder & CEO,co-founder,True,,Non-engineering background per FE profile,,,,0,SRC00714,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0109,P0189,Amrit Pratik Acharya,S0040,Zetwerk,Co-founder & CEO,co-founder,True,,IIT,,,,0,SRC00714,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0110,P0190,Srinath Ramakkrushnan,S0040,Zetwerk,Co-founder,co-founder,True,,IIT,,,,0,SRC00716,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0111,P0191,Vishal Chaudhary,S0040,Zetwerk,Co-founder,co-founder,True,,IIT,,,,0,SRC00716,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
