event_id,startup_id,event_date,announced_date,type,headline,description,source_id,confidence
EVT00026,S0003,2026-01-21,2026-01-22,IPO filing,PhonePe files updated DRHP (UDRHP-I),"UDRHP: OFS up to 50,660,446 shares; Walmart 45.94M, Tiger 1.04M, Microsoft 3.68M.",SRC00072,HIGH
EVT00027,S0003,2025-09-01,2026-01-22,secondary,Co-founders sell $430M stake to General Atlantic,"Nigam + Chari sold Rs 3,937cr (~$430M) to General Atlantic; GA stake 8.9%.",SRC00073,HIGH
EVT00028,S0003,2025-09-24,,IPO filing,PhonePe files confidential DRHP with SEBI,"Confidential pre-filed DRHP; pure OFS; bankers Kotak, Citi, Morgan Stanley, JPMorgan",SRC00085,HIGH
EVT00029,S0003,2023-01-01,,funding,PhonePe raises $350M at over $12B valuation,Growth round led by General Atlantic; $850M total in round per Fintech Futures,SRC00074,MEDIUM
EVT00030,S0003,2026-07-30,,product launch,PhonePe launches PulsePro: Actionable Data Intelligence,Business data intelligence platform; Strategy Head Karthik Raghupathy shares insights,SRC00078,HIGH
EVT00031,S0003,2026-08-20,,partnership,PhonePe PulsePro signs MoU with MeitY for PM GatiShakti,MoU with Ministry of Electronics and IT to power PM GatiShakti,SRC00078,HIGH
EVT00032,S0003,2026-08-31,,product launch,PhonePe launches UPI 123Pay for feature phone users,UPI payments for 200M+ feature phone users,SRC00078,HIGH
EVT00033,S0003,2026-08-21,,partnership,PhonePe partners with DPIIT to empower startups,MoU signed with DPIIT to boost startup ecosystem,SRC00078,HIGH
EVT00034,S0003,2026-08-06,,product launch,PhonePe launches Fixed Deposit Distribution,FD distribution in partnership with leading banks & NBFCs,SRC00078,HIGH
EVT00035,S0003,2026-09-09,,partnership,PhonePe and Visa partner for cardless payments,Comprehensive cardless payments for millions of Indians globally,SRC00078,HIGH
EVT00036,S0003,2026-09-09,,IPO,PhonePe IPO delayed over valuation mismatch,TOI reports PhonePe and Zepto delayed IPOs over valuation mismatch; IPO-bound but delayed,SRC00081,MEDIUM
EVT00037,S0003,2026-08-08,,leadership,PhonePe CEO Sameer Nigam assures UPI payments remain free,CEO Sameer Nigam confirms UPI payments will remain free for consumers,SRC00086,HIGH
EVT00038,S0004,2026-01-09,2026-01-09,IPO prep,Razorpay invites bank pitches for IPO,"Rs 4,500cr listing prep; Kotak/Axis contenders; pre-IPO secondary possible.",SRC00102,MEDIUM
EVT00039,S0004,2026-06-12,2026-06-16,IPO filing,Razorpay files confidential DRHP,"Confidential DRHP; raise Rs 5,000-6,000cr at $5-6B valuation (press).",SRC00092,MEDIUM
EVT00040,S0005,2025-10-16,2025-10-16,funding,Zepto closes $450M at $7B valuation,Mix primary+secondary; led by CalPERS + General Catalyst; ~$300M primary per RoC; ESOP pool +$170M; ~$900M cash.,SRC00104,HIGH
EVT00041,S0005,2025-12-27,2025-12-28,IPO filing,"Zepto files confidential DRHP, eyes Rs 11,000cr","Confidential pre-filed DRHP; Rs 11,000cr fresh issue approved Dec 23 EGM; bankers Morgan Stanley (lead), Axis, HSBC, Goldman, JM, IIFL, Motilal Oswal.",SRC00111,HIGH
EVT00042,S0005,2025-10-17,2025-10-17,layoff,Zepto removes 300 from payroll in cost drive,~300 moved off-roll to third-party providers; 500+ since Apr 2025; automation + cost-excellence drive.,SRC00107,HIGH
EVT00043,S0005,2026-08-01,2026-08-03,IPO delay,Zepto IPO delayed to 2027 on valuation pushback; pre-IPO placement,"Institutions pegged ~$2.5B pre / ~$3B post vs $7B private; pre-IPO placement >Rs 1,000cr; listing window Feb-May 2027 (deadline Nov 2027).",SRC00108,MEDIUM
EVT00044,S0005,2025-12-27,,ipo,Zepto files confidential DRHP,"Confidential pre-filed DRHP; Rs 11,000cr fresh issue approved Dec 23 EGM; bankers Morgan Stanley (lead), Axis, HSBC, Goldman, JM, IIFL, Motilal Oswal",SRC00111,HIGH
EVT00045,S0005,2026-06-01,,ipo,Zepto files updated DRHP (UDRHP),"Updated DRHP seeking Rs 8,010 crore fresh issue; SEBI observations received May 2026",SRC00108,HIGH
EVT00046,S0005,2026-08-03,,ipo,Zepto IPO delayed to Feb-May 2027,"Institutional investors pegged ~$2.5B pre / ~$3B post vs $7B private; pre-IPO placement >Rs 1,000cr; listing window Feb-May 2027 (deadline Nov 2027)",SRC00108,HIGH
EVT00047,S0005,2026-04-08,,regulatory,ED summons to co-founders disclosed in DRHP,"ED issued summons to Aadit Palicha and Kaivalya Vohra seeking documents on foreign investments, shareholding structures, and business model",SRC00109,HIGH
EVT00048,S0005,2025-01-01,,regulatory,CCPA penalty for dark patterns,CCPA imposed Rs 7 lakh penalty; Zepto challenged before NCDRC; interim stay granted,SRC00109,HIGH
EVT00049,S0005,2025-08-01,,product_launch,Zepto Pharmacy launched,"10-minute medicine delivery launched in Mumbai, Bengaluru, Delhi NCR, Hyderabad",SRC00108,HIGH
EVT00050,S0005,2025-05-01,,product_launch,Zepto Atom launched,Data-insights subscription platform for consumer brands launched,SRC00108,HIGH
EVT00051,S0005,2023-10-01,,product_launch,Relish private label launched,Meat and seafood private label launched,SRC00108,HIGH
EVT00052,S0006,2026-02-16,2026-02-16,funding,Blackstone-led up to $1.2B capital raise announced,"Definitive agreements for up to $600M equity from Blackstone + co-investors; intends $600M debt; majority stake to Blackstone; scale to 20,000+ GPUs.",SRC00114,HIGH
EVT00053,S0006,2024-10-22,2024-10-22,funding,$30M Series A,"$30M all-equity Series A co-led by existing investors NTTVC, Z47, Nexus Venture Partners.",SRC00118,HIGH
EVT00054,S0006,2024-04-10,2024-04-10,funding,$20M seed,"$20M seed led by Matrix Partners India (now Z47), Nexus, NTTVC.",SRC00117,HIGH
EVT00055,S0006,2024-04-10,,funding,$20M Seed funding announced,"Seed round led by Matrix Partners India (now Z47), Nexus Venture Partners, and NTTVC",SRC00117,HIGH
EVT00056,S0006,2024-10-21,,funding,$30M Series A announced,"Series A co-led by NTTVC, Z47, Nexus Venture Partners; ~$128M post-money valuation per Entrackr",SRC00118,HIGH
EVT00057,S0006,2025-04-18,,partnership,"NTT Data + Neysa + Telangana govt MoU for Rs 10,500 crore AI data center cluster","400MW AI data center cluster in Hyderabad; NTT Data investing Rs 10,500 crore",SRC00124,HIGH
EVT00058,S0006,2025-09-09,,product_launch,Velocis platform expanded with OpenAI GPT-OSS models,Neysa expanded Velocis cloud platform catalog to add OpenAI's latest GPT-OSS models,SRC00127,HIGH
EVT00059,S0006,2025-11-13,,funding,"Blackstone, SoftBank in talks for stakes in Neysa",Blackstone and SoftBank in early discussions to buy stakes in Neysa Networks,SRC00129,MEDIUM
EVT00060,S0006,2026-05-27,,partnership,Neysa and Pipeshift launch sovereign inference infrastructure,"Real-time inference for open-source AI models, fully deployed within India, single-tenant environments",SRC00131,HIGH
EVT00061,S0006,2026-05-20,,regulatory,CCI clears Blackstone-led acquisition of controlling stake in Neysa,Competition Commission of India approved Blackstone-led consortium's proposal to acquire controlling stake in Neysa Networks,SRC00126,HIGH
EVT00062,S0007,2026-01-21,2026-01-13,ipo,"Amagi lists on NSE/BSE after Rs 1,789 cr IPO","IPO of Rs 1,789 cr (fresh Rs 816 cr + OFS Rs 973 cr); subscribed 30x; listed at Rs 317 (12% discount to Rs 361 issue price), recovered to ~Rs 348.",SRC00137,HIGH
EVT00063,S0008,2026-06-22,,funding-rumor,RUMOR (unverified): Meta $900M investment in CRED at $4.5B (Jun 2026 reports),Tinyfish-fallback results (June 2026) claim Meta investing $900M at $4.5B valuation with Kunal Shah to lead WhatsApp. Sources are weak/secondary and claim is extraordinary; NOT verified via T1/T3 fetched page. Treat as rumor/unverified.,SRC00149,UNVERIFIED
EVT00064,S0009,2025-06-24,,esop-buyback,$10M ESOP buyback,$10M (~Rs 86 cr) buyback benefiting 350+ employees; 3rd buyback in 4 years.,SRC00158,HIGH
EVT00065,S0011,2025-05-26,2025-05-26,filing,Groww confidentially files DRHP with SEBI,Confidential DRHP filing reported; IPO size estimated $700M-$1B,SRC00214,HIGH
EVT00066,S0011,2025-11-04,2025-11-04,IPO,"Groww IPO opens; lists Nov 12, up 24% on debut","Issue Nov 4-7 2025, price band Rs 95-100, lot 150 shares; subscribed 17.6x; listed Nov 12 2025",SRC00175,HIGH
EVT00067,S0011,2019-01-23,,,Groww raises $6.2M in Series A,"Series A led by Sequoia India with Y Combinator, Propel Venture Partners, Kauffman Fellows",SRC00180,HIGH
EVT00068,S0011,2019-09-19,,,Groww raises $21.4M in Series B,"Series B led by Ribbit Capital with Peak XV Partners, Y Combinator",SRC00190,MEDIUM
EVT00069,S0011,2020-09-09,,,Groww raises $30M in Series C,"Series C led by YC Continuity with Peak XV Partners, Propel Venture Partners, Ribbit Capital",SRC00177,MEDIUM
EVT00070,S0011,2021-04-07,,,Groww reaches unicorn with $83M Series D,"Series D led by Tiger Global at $1B+ valuation; Sequoia, Ribbit, YC Continuity, Propel participated",SRC00179,HIGH
EVT00071,S0011,2021-10-24,,,Groww raises $251M in Series E at $3B valuation,"Series E led by Iconiq Growth with Tiger Global, Ribbit, YC Continuity, Propel, Alkeon, Lone Pine, Steadfast",SRC00178,HIGH
EVT00072,S0011,2022-01-08,,,Satya Nadella angel investment,Microsoft CEO Satya Nadella invested in personal capacity,SRC00190,HIGH
EVT00073,S0011,2025-06-13,,,Groww raises $202.3M in Series F at $7B valuation,Series F led by GIC with Iconiq Capital; pre-IPO round,SRC00176,HIGH
EVT00074,S0011,2025-11-04,,,"Groww IPO opens Nov 4-7, 2025","Rs 6,632.3 cr IPO: fresh issue Rs 1,060 cr + OFS Rs 5,572 cr; price band Rs 95-100; lot size 150; subscribed 17.6x; anchor book Rs 2,984.54 cr from 102 investors",SRC00192,HIGH
EVT00075,S0011,2025-11-12,,,Groww lists on BSE and NSE,"Listed at Rs 112 on BSE (12% premium over Rs 100 issue price); market cap ~Rs 76,170 cr; +24% debut on NSE at Rs 124",SRC00175,HIGH
EVT00076,S0011,2025-10-03,,,Groww acquires Fisdom,Completed 100% acquisition of Finwizard Technologies Private Limited (Fisdom) for ~$150M; wealth advisory platform,SRC00188,MEDIUM
EVT00077,S0011,2026-01-14,,,State Street Global Advisors invests in Groww AMC,SSA acquired 22.943% of Groww AMC (19.01% CCPS + 3.93% equity) for cross-border offerings; voting rights capped at 4.85%,SRC00199,HIGH
EVT00078,S0011,2025-05-13,,,SEBI settlement order for Groww Invest Tech,SEBI settlement order following comprehensive inspection of Groww Invest Tech Private Limited (formerly Nextbillion Technology),SRC00198,HIGH
EVT00079,S0012,2025-07-22,2025-07-23,funding,"Gupshup raises $60M, eyes IPO","$60M equity+debt from Globespan + EvolutionX; IPO eyed in 12-24 months, India listing considered",SRC00217,HIGH
EVT00080,S0012,2026-04-03,2026-04-03,valuation_markdown,Fidelity marks down Gupshup valuation to $278M,Fidelity fund pegs Gupshup at $278M vs $1.4B in 2021 (-80%),SRC00218,HIGH
EVT00081,S0013,2024-01-26,2024-01-26,funding,Krutrim becomes India's first AI unicorn,"$50M equity @ $1B; Matrix Partners India (Z47) led; India's first AI unicorn, fastest unicorn",SRC00239,HIGH
EVT00082,S0013,2025-02-04,2025-02-04,funding_commitment,Bhavish Aggarwal to invest $230M in Krutrim,$230M largely via founder family office; seeks $1.15B total by next year; open-sourced models; Nvidia supercomputer plan,SRC00240,HIGH
EVT00083,S0013,2026-05-04,2026-05-04,pivot,Krutrim pivots to AI cloud services,"Paused chip design + LLM building; reallocated to cloud stack; FY26 rev ~Rs 300 cr (3x), first PAT margin >10%; 25+ enterprise customers; self-sustaining",SRC00241,HIGH
EVT00084,S0013,2023,,acquisition,Krutrim acquires Bodhi Computing,Acquired Bengaluru-based AI startup focused on chip design,SRC00249,MEDIUM
EVT00085,S0013,2025-02-04,,partnership,Nvidia supercomputer deployment announced,Plans to build India's largest supercomputer in partnership with Nvidia; scheduled live March 2025,SRC00240,MEDIUM
EVT00086,S0013,2025-03-06,,regulatory,Ola Electric share pledge for Krutrim funding,Bhavish Aggarwal pledged 5.88 crore Ola Electric shares to secure funding for Krutrim,SRC00241,HIGH
EVT00087,S0013,2025-06,,layoff,First round of layoffs,Smaller workforce reduction; linguistics team affected,SRC00255,MEDIUM
EVT00088,S0013,2025-09-02,,layoff,Third round of layoffs; leadership exits,"~50 employees in linguistics team laid off; 200+ total departures including leadership exits; Goutham Ramkumar, Rajesh Jayaram, Ramesh Babu Giri, Vineet Agarwal, Ajay Raut, Kishore Kulkarni departed",SRC00250,HIGH
EVT00089,S0013,2025-05-18,,tragedy,Engineer suicide incident,25-year-old Krutrim techie found dead by suicide in Bengaluru; toxic work culture allegations; FIR on Bhavish Aggarwal,SRC00256,HIGH
EVT00090,S0013,2026-07-28,,layoff,Second round of layoffs (July 2026),Cut ~20-25 jobs (~50% of current workforce); hit product and engineering teams; workforce from 550+ (Aug 2025) to ~150-160 (March 2026),SRC00252,HIGH
EVT00091,S0013,2026-04,,product,Kruti app pulled from app stores,Kruti AI assistant went offline and remained inaccessible across web and app stores,SRC00251,HIGH
EVT00092,S0013,2025-09-10,,regulatory,Ola Electric promoter pledges additional shares,10.71 crore shares (2.43% equity) pledged in favour of Axis Trustee Services for Krutrim Data Centre; replaces earlier NDU from Dec 2024 and March 2025,SRC00254,HIGH
EVT00093,S0014,2023-12-07,2023-12-07,funding,Sarvam raises $41M Series A,$41M incl. $12M seed (co-led Lightspeed + Peak XV); Series A led by Lightspeed; largest Indian AI Series A at the time,SRC00264,HIGH
EVT00094,S0014,2026-06-15,2026-06-15,funding,Sarvam becomes unicorn with $234M Series B first close,First close $234M of $300M Series B @ $1.5B; HCLTech $150M strategic lead (10.46% stake); Bessemer new; Khosla + Peak XV continued,SRC00262,HIGH
EVT00095,S0014,2026-08-04,2026-08-08,funding,"Sarvam raises $75M Series B tranche from Nvidia, Gaja, IndiGo Ventures","Rs ~698 cr (~$75M) via Nvidia Rs 238 cr, Gaja Rs 95.13 cr, IndiGo Ventures Rs 30.01 cr + Glade Brook + others, per Tofler filings",SRC00265,MEDIUM
EVT00096,S0015,2026-09-03,2026-09-03,funding,$100M raise at $450M valuation (banking pivot),Late-stage $100M at ~$450M valuation led by Neo Wealth; secondary component,SRC00278,MEDIUM
EVT00097,S0015,2026-03-31,2026-05-26,financial_result,FY26 net profit Rs 48.4cr vs Rs 216.7cr loss FY25,"First full year as bank; total income Rs 1,402.7cr vs Rs 603.8cr FY25",SRC00277,HIGH
EVT00098,S0015,2026-02-17,2026-02-16,leadership,Rajan Bajaj appointed MD & CEO,RBI-approved MD & CEO appointment,SRC00280,HIGH
EVT00099,S0015,2024-10-01,2024-10-01,merger,Merger with North East Small Finance Bank completed,First fintech-bank merger in India; renamed Slice SFB May 2025,SRC00286,HIGH
EVT00100,S0016,2026-09-01,2026-03,acquisition,Completed all-stock acquisition of Unacademy (~$206M),"All-stock (100% share swap) acquisition of Unacademy Group (PrepLadder, Graphy, Airlearn); CCI cleared July 2026; brand retained; Munjal continues CEO.",SRC00288,HIGH
EVT00101,S0016,2025-03-25,2025-03-25,ipo_signal,IPO horizon signal (Forbes India interview),"IPO expected in ~2 years (not a countdown); credibility motive; consumer ~80% revenue; AI push, Vietnam traction.",SRC00290,MEDIUM
EVT00102,S0016,2026-02-26,,acquisition,"Acquired Internshala (90% stake, stock swap)",90% stake in Internshala via stock deal; valued at ~Rs 100 crore; cross-selling internship platform with upGrad's educational offerings.,SRC00306,HIGH
EVT00103,S0016,2026-04-06,,partnership,LTM partnership for MIT Open Learning Universal AI,LTM (L&T Group) partnered with upGrad Enterprise to deliver MIT Open Learning's Universal AI program to its workforce.,SRC00307,HIGH
EVT00104,S0016,2025-12-09,,ipo_signal,IPO targeting 2027,Chairman Ronnie Screwvala stated 'We are very clear about the year 2027 for us to list.' International expansion ahead of listing.,SRC00308,HIGH
EVT00105,S0016,2024-10-21,,funding,Temasek $60M investment at $2.25B valuation,"Additional $60M from Temasek maintaining $2.25B valuation; Screwvala bought Bharti's 1% stake for $20M, now owning ~45%.",SRC00325,HIGH
EVT00106,S0016,2021-08-03,,acquisition,Acquired KnowledgeHut,"Global edtech acquisition; access to 250,000+ learner pool; operations in GCC.",SRC00326,HIGH
EVT00107,S0016,2021-11-30,,acquisition,Acquired Global Study Partners (Australia),First overseas deal; largest study abroad company in Australia; formed upGrad GSP.,SRC00327,HIGH
EVT00108,S0016,2022-01-12,,acquisition,Acquired Work Better (soft skills),B2B strengthening; brought 300+ corporate clients and 250+ trainers to upGrad.,SRC00328,HIGH
EVT00109,S0016,2021-05,,acquisition,Acquired Impartus (rebranded upGrad Campus),Video-enabled learning solutions provider; rebranded to upGrad Campus for HEI solutions.,SRC00329,MEDIUM
EVT00110,S0017,2026-01-12,2026-01-12,buyback,$125M ESOP + share buyback (3rd program),$125M ESOP/share buyback for 500+ staff + early investors (Accel-led); cumulative $275M across 3 programs; funded from profits.,SRC00331,HIGH
EVT00111,S0017,2021-06-16,2021-06-16,funding,$200M Series B at $4B,$200M Series B led by BOND at $4B; Insight + Accel participated.,SRC00332,HIGH
EVT00112,S0017,2018-01,2018-01,funding,$50M Series A,$50M Series A from Accel at ~$500M valuation; first external capital after bootstrapping.,SRC00347,HIGH
EVT00113,S0017,2018-01-29,,funding,$50M Series A from Accel at ~$500M valuation,First external capital after 6 years of bootstrapping; Accel led; angels incl. Bessemer/Steve Blank participated,SRC00332,HIGH
EVT00114,S0017,2020-07,,acquisition,Acquired Percy (visual testing),San Francisco-based visual testing and review platform; undisclosed value,SRC00336,HIGH
EVT00115,S0017,2021-06-16,,funding,$200M Series B at $4B valuation led by BOND,Insight Partners and Accel participated; valued at $4B; briefly highest-valued Indian SaaS startup,SRC00332,HIGH
EVT00116,S0017,2021-12,,acquisition,Acquired Nightwatch.js (open-source test automation),Open-source test automation framework; undisclosed value,SRC00345,HIGH
EVT00117,S0017,2024-08,,acquisition,Acquired Bird Eats Bug (bug detection),Europe-based (Berlin) bug detection platform; $20M investment committed,SRC00338,HIGH
EVT00118,S0017,2025-05-06,,acquisition,Acquired Requestly (HTTP interception),"YC-backed open-source HTTP interception and API mocking tool; 200K+ developers, 10K+ companies",SRC00337,HIGH
EVT00119,S0017,2026-01-12,,buyback,$125M ESOP/share buyback (3rd program),500+ employees and early investors; cumulative $275M across 3 programs; funded from profits,SRC00331,HIGH
EVT00120,S0017,2017,,partnership,Microsoft partnership for testing infrastructure,Microsoft partnered with BrowserStack replacing internal testing infrastructure,SRC00342,MEDIUM
EVT00121,S0018,October 2025,October 2025,funding,Dhan becomes unicorn with $120M Series B,$120M Series B led by Hornbill Capital + MUFG; entry into unicorn club at $1.2B valuation.,SRC00352,
EVT00122,S0018,FY2025,February 2026,financials,Dhan FY25 profit jumps 2.5x to Rs 408 crore,"Net profit Rs 408 crore (+156% YoY), revenue ~Rs 900 crore (+2.3x).",SRC00353,
EVT00123,S0018,FY2026,June 2026,financials,Dhan parent FY26 profit declines 20% to Rs 326 cr,PAT Rs 325.8 cr (-20% YoY); net income crossed Rs 900 cr; clients crossed 1 mn.,SRC00355,
EVT00124,S0018,April 2026,April 2026,acquisition,Raise Financial acquires Stratzy,Cash-and-stock acquisition of algo-trading platform Stratzy ($5-6M per sources).,SRC00356,
EVT00125,S0018,2021-01,,founding,Raise Financial Services founded,Pravin Jadhav founded Raise Financial Services in January 2021 after leaving Paytm Money in May 2020,SRC00354,HIGH
EVT00126,S0018,2021-08,,acquisition,Raise acquires Moneylicious Securities,"Raise acquired 100% stake in Moneylicious Securities, a registered stockbroker and exchange member, integrated with Dhan",SRC00354,HIGH
EVT00127,S0018,2021-02,,funding,Seed round led by Mirae Asset,"Raise closed seed round led by Mirae Asset Venture Investments; angels including Kunal Shah, Kalyan Krishnamurthy, Samee",SRC00354,MEDIUM
EVT00128,S0018,2022-01-24,,funding,Series A: $22M led by BEENEXT and Mirae Asset,"Raise Financial raised $22M Series A; valuation $125M post-money; participation from 3one4 Capital, Rocketship.vc, and a",SRC00354,HIGH
EVT00129,S0018,2025-01,,acquisition,Acquired Filter Coffee,Raise acquired financial media startup Filter Coffee,SRC00357,MEDIUM
EVT00130,S0018,2025-10-06,,funding,Series B: $120M at $1.2B valuation; unicorn entry,Raise Financial raised $120M Series B led by Hornbill Capital and MUFG; entry into unicorn club; also saw ChrysCapital b,SRC00352,HIGH
EVT00131,S0018,2026-04-21,,acquisition,Acquired Stratzy (algo-trading),Raise acquired algo-trading platform Stratzy in cash-and-stock deal valued at $5-6M; Stratzy brings 100+ exchange-approv,SRC00356,HIGH
EVT00132,S0018,2026-05-13,,acquisition,Acquired GreenLife Insurance Broking,Raise acquired GreenLife Insurance Broking to enter insurance distribution; structured cash-and-stock; $15M investment p,SRC00357,HIGH
EVT00133,S0018,2026-01,,product_launch,DEXT T3 trading terminal launched,Raise launched DEXT T3 desktop trading terminal for active traders,SRC00355,MEDIUM
EVT00134,S0018,2026-01,,product_launch,Artham AI model launched,"Raise launched Artham, an in-house small language model powering Askfuzz AI",SRC00356,MEDIUM
EVT00135,S0018,2026-02,,milestone,Crossed 1 million clients,Dhan crossed one million users/clients,SRC00355,HIGH
EVT00136,S0018,2026-03-31,,milestone,2.3% market share as 9th largest broker,Raise Securities became 9th largest broker in India by active clients with 2.3% market share per ICRA,SRC00355,HIGH
EVT00137,S0018,2026-06-17,,financial,FY26 PAT Rs 325.8 Cr (-20% YoY); net worth Rs 916.1 Cr,Raise Securities reported FY26 net profit of Rs 325.8 Cr; net worth zoomed 55% YoY to Rs 916.1 Cr; ICRA A+ rating reaffi,SRC00355,HIGH
EVT00138,S0018,2025-09-30,,regulatory,SEBI algo-trading framework timeline extension,SEBI issued circular extending timeline for brokers to implement framework on safer participation of retail investors in,SRC00356,MEDIUM
EVT00139,S0019,June 2024,September 2024,valuation-markdown,Janus Henderson marks PharmEasy at ~$458M,"Janus Henderson marks holding implying ~$458M valuation, ~92% below $5.6B peak.",SRC00371,
EVT00140,S0019,January 2025,2025-01-22,leadership,Three PharmEasy co-founders step down; Siddharth Shah to lead,"Dharmil Sheth, Dhaval Shah, Hardik Dedhia step back from day-to-day; Siddharth Shah continues to lead; departing trio to start a consumer-space venture.",SRC00369,
EVT00141,S0019,September 2025,2025-09-24,debt,"PharmEasy to raise INR 1,700 Cr debt against Thyrocare stake","INR 1,700 Cr NCD raise pledging 61% Thyrocare stake; proceeds to refinance earlier NCDs (outstanding redemption INR 1,820 Cr total / 1,545.4 Cr current).",SRC00370,
EVT00142,S0019,2021-11-10,,funding,"API Holdings files DRHP for Rs 6,250 Cr IPO with SEBI",DRHP filed for fresh equity issuance; IPO later withdrawn due to unfavorable market conditions.,SRC00402,HIGH
EVT00143,S0019,2023-11,,funding,"Rs 3,500 Cr rights issue closed (Nov 2023)","Ranjan Pai (MEMG) emerged as largest shareholder with at least 15% stake; Prosus, TPG, Temasek, ADQ, Amansa participated; valuation at 90% discount to $5.6B peak.",SRC00382,HIGH
