metric_id,startup_id,metric,value,unit,period,as_of,company_reported,source_id,confidence,notes
MET00141,S0028,contracts managed / Fortune 100,10M+ contracts; 30%+ Fortune 100 clients,,2025,2025,True,SRC00547,MEDIUM,
MET00142,S0029,customers,2000+ customers (company claim),,2022-06,2022-06,True,SRC00558,MEDIUM,
MET00143,S0029,customers,2000,count,2022-06,2022-06-21,True,SRC00558,MEDIUM,"Company claimed 2000+ customers at Series C; includes edtech, higher ed, financial services, healthcare, marketplaces"
MET00144,S0029,customers,1800,count,FY25,2025-03-31,True,SRC00571,MEDIUM,Inc42 reports 1800+ clients across industries and geographies; India and US strongest markets
MET00145,S0029,customers,1000,count,2024,2024-12-31,False,SRC00574,LOW,GetLatka estimates 1K customers; likely different counting methodology
MET00146,S0029,countries,6,count,2022-06,2022-06-21,True,SRC00570,HIGH,"India, US, Philippines, South Africa, Australia, Indonesia"
MET00147,S0029,revenue_from_india,90,percent,FY22,2022-03-31,True,SRC00569,MEDIUM,90% of revenue from India even in FY22
MET00148,S0029,employee_count,1200,count,2022-06,2022-06-21,True,SRC00570,MEDIUM,"Team of over 1,200 employees at Series C"
MET00149,S0029,employee_count,1300,count,2024-12,2024-12-31,False,SRC00574,LOW,GetLatka reports 1.3K employees Dec 2024
MET00150,S0029,employee_count,1063,count,2026-06,2026-06-30,False,SRC00573,MEDIUM,"Inc42 reports 1,063 employees, down 3.36% in last 90 days"
MET00151,S0030,enterprise customers,"1350+ brands, 75 countries",,2025,2025,True,SRC00583,MEDIUM,
MET00152,S0030,ARR,tracking toward $100M,,2025,2025,True,SRC00580,MEDIUM,
MET00153,S0031,registered users,125.5M (79% tier-2+),,2025-12-31,2025-12-31,True,SRC00592,MEDIUM,
MET00154,S0031,digital unsecured PL share,~11% of sanctions,,FY25,FY25,True,SRC00592,MEDIUM,
MET00155,S0032,enterprise clients,140+ Fortune 500,,2025,2025,True,SRC00599,MEDIUM,
MET00156,S0032,fortune_500_clients,140,companies,As-of-2026-09,2026-09-15,True,SRC00599,MEDIUM,Company website claims 140+ Fortune 500 companies globally
MET00157,S0032,industries_served,12,industries,As-of-2026-09,2026-09-15,True,SRC00599,MEDIUM,Company website claims 12+ industries served
MET00158,S0032,years_in_operation,20,years,As-of-2026-09,2026-09-15,True,SRC00599,HIGH,Company website: 20+ years - The OG of Decision Sciences
MET00159,S0032,employees_linkedin,3684,employees,As-of-2026-09,2026-09-15,False,SRC00603,MEDIUM,LinkedIn visible employee count
MET00160,S0032,total_funding_raised,210.01,million,As-of-2026-09,2026-09-15,False,SRC00604,MEDIUM,CB Insights: Total raised $210.01M over 8 rounds
MET00161,S0032,eco_vadis_bronze,1,award,2025,2025-12-31,True,SRC00599,MEDIUM,"EcoVadis 2025 Bronze Medal, top 35% of companies for sustainability"
MET00162,S0033,customers / subscribers,"3000+ customers, 450K+ active subscribers",,2025-01,2025-01,True,SRC00605,HIGH,
MET00163,S0033,driving data,20B+ miles processed; 65% growth,,2025,2025,True,SRC00607,MEDIUM,
MET00164,S0034,developers,40M+ users; 500K+ orgs; 98% Fortune 500,,2025-07,2025-07,True,SRC00613,HIGH,
MET00165,S0034,developers,40000000,users,As-of-2025-07,2025-07-23,True,SRC00613,HIGH,40M+ developers worldwide use Postman
MET00166,S0034,organizations,500000,orgs,As-of-2025-07,2025-07-23,True,SRC00613,HIGH,500K+ organizations use Postman
MET00167,S0034,fortune_500_adoption,98,percent,As-of-2025-07,2025-07-23,True,SRC00612,HIGH,98% of Fortune 500 companies use Postman
MET00168,S0034,web_traffic,2660000,visits,Last 30d,2026-09-14,False,SRC00616,MEDIUM,2.66 Mn monthly web traffic per Inc42
MET00169,S0035,cards_issued_globally,25000000,cards,As-of-2026-09-15,2026-09-15,True,SRC00626,HIGH,"Company website: Globally, customers have issued 25M+ cards on Zeta's platform"
MET00170,S0035,employees,1700,employees,As-of-2026-09-15,2026-09-15,True,SRC00626,MEDIUM,1700+ employees per company website; Tracxn says 2220 as of Jul 2026
MET00171,S0035,daily_transactions,2000000,transactions/day,As-of-2024-10,2024-10-08,True,SRC00645,MEDIUM,Moneycontrol Oct 2024: Zeta processing around 2 mn transactions a day
MET00172,S0035,payzapp_cardholders,12000000,cardholders,As-of-2025-10,2025-10-09,True,SRC00626,HIGH,HDFC Bank PayZapp: 12+ Mn cardholders live on Zeta-powered solution
MET00173,S0035,arr_global,100,million USD,FY26E,2025-10-09,True,SRC00628,MEDIUM,Ramki Gaddipati (APAC CEO) told Mint: expects to touch $100M ARR globally in FY26
MET00174,S0035,bank_customers,10,banks,As-of-2026-09-15,2026-09-15,True,SRC00643,MEDIUM,"Zeta internal page: over 10 Banks and 25 Fintechs, across 8 countries"
MET00175,S0035,fintech_customers,25,fintechs,As-of-2026-09-15,2026-09-15,True,SRC00643,MEDIUM,Zeta internal page
MET00176,S0035,countries_operating,7,countries,As-of-2026-09-15,2026-09-15,True,SRC00626,HIGH,Company website: 7 countries
MET00177,S0036,India e-retail GMV (market),65,billion USD,FY2025,2025-12-31,False,SRC00653,MEDIUM,"Bain & Company X Flipkart report: India e-retail GMV ~$65-66Bn in 2025, 19-21% YoY growth"
MET00178,S0036,India online shoppers,290,million,FY2025,2025-12-31,False,SRC00653,MEDIUM,Bain/Flipkart report: 290-300M online shoppers in 2025; doubled over 5 years
MET00179,S0036,India e-retail GMV projection 2030,170,billion USD,FY2030,2026-04-09,False,SRC00653,MEDIUM,Bain/Flipkart report projection: $170-180Bn by 2030
MET00180,S0036,Quick commerce GMV (market),10.5,billion USD,FY2025,2025-12-31,False,SRC00653,MEDIUM,Bain/Flipkart report: q-commerce $10-11Bn GMV in 2025
MET00181,S0036,Flipkart FY18 GMV (historical),7.5,billion USD,FY2018,2018-03-31,True,SRC00651,HIGH,Per Walmart press release at time of acquisition; net sales $4.6Bn FY18
MET00182,S0036,Flipkart active users (historical),54,million,FY2018,2018-03-31,True,SRC00651,HIGH,Per Walmart press release at acquisition; 443M millennials in India
MET00183,S0037,driver_partners,300000,count,As-of-2025,2025-11-04,True,SRC00661,HIGH,3 Lakh driver partners per Inc42; porter.in claims 15 Lakh+ (likely includes part-time/registered)
MET00184,S0037,driver_partners,1500000,count,As-of-2026,2026-09-15,True,SRC00659,MEDIUM,15 Lakh+ driver partners per porter.in homepage; may include registered vs active
MET00185,S0037,employees,2600,count,As-of-2023,2023-08-02,True,SRC00664,HIGH,"2,600 employees as of Aug 2023"
MET00186,S0037,revenue_growth,58,percent,FY25,2025-11-04,False,SRC00661,HIGH,Revenue surged nearly 58% YoY
MET00187,S0037,customers,10000000,count,As-of-2026,2026-09-15,True,SRC00659,MEDIUM,1 Crore+ customers per porter.in
MET00188,S0037,customers,2000000,count,As-of-2025,2025-11-04,True,SRC00661,HIGH,20 Lakh SME customers per Inc42
MET00189,S0037,trips,100000000,count,As-of-2026,2026-09-15,True,SRC00659,MEDIUM,10 Crore+ trips per porter.in
MET00190,S0037,cities,22,count,As-of-2025,2025-11-04,True,SRC00659,HIGH,22 Indian cities per porter.in
MET00191,S0037,countries,3,count,As-of-2026,2026-09-15,True,SRC00659,MEDIUM,3 countries including India and Dubai
MET00192,S0037,customers_historical,13000000,count,As-of-2023,2023-08-02,True,SRC00664,HIGH,1.3 crore customers as of Aug 2023
MET00193,S0037,cities_historical,19,count,As-of-2023,2023-08-02,True,SRC00664,HIGH,19 cities as of Aug 2023
MET00194,S0038,Airlearn daily_active_users,70000,users,As-of-2025-04,2025-04-11,True,SRC00676,HIGH,"Majority users from US, UK, Germany"
MET00195,S0038,Airlearn_monthly_active_users,300000,users,As-of-2025-04,2025-04-11,True,SRC00676,HIGH,Nearly 300K MAU
MET00196,S0038,Airlearn_paid_subscribers,17500,subscribers,As-of-2025-04,2025-04-11,True,SRC00676,HIGH,"13 courses offered; English-Spanish, English-French, English-Korean most popular"
MET00197,S0038,Airlearn_bookings_run_rate,2,million USD,As-of-2025-04,2025-04-11,True,SRC00676,HIGH,$2M bookings run rate; monetization started 6 months prior
MET00198,S0038,Airlearn_lessons_completed,20000000,lessons,past year (as-of-2025-04),2025-04-11,True,SRC00676,HIGH,20 million lessons completed over past year
MET00199,S0038,Unacademy_youtube_views,10000000000,views,cumulative,2026-09-01,True,SRC00288,HIGH,Videos by educators on platform crossed 10 billion views
MET00200,S0038,Unacademy_total_users,10000000,users,cumulative,2026-09-01,True,SRC00288,HIGH,10 million users across over 150 countries (Airlearn platform)
MET00201,S0038,cash_burn,200,crore INR,CY2025 target,2025-04-21,True,SRC00677,HIGH,Down from Rs 1000 Cr in 2021; Munjal declared 'default alive'
MET00202,S0038,offline_centres_profitable,70,percent,CY2025 target,2025-04-21,True,SRC00677,MEDIUM,70% of offline centres expected to turn profitable at centre level
MET00203,S0040,manufacturing_order_book,12370,Rs crore,FY26,2026-03-31,True,SRC00719,HIGH,
MET00204,S0040,owned_manufacturing_facilities,26,count,FY26,2026-08-14,True,SRC00718,HIGH,
MET00205,S0040,third_party_suppliers,6979,count,FY26,2026-08-14,True,SRC00718,HIGH,
MET00206,S0040,customer_count,1100,count,FY26,2026-08-14,True,SRC00717,HIGH,
MET00207,S0040,countries_served,19,count,FY26,2026-08-14,True,SRC00716,HIGH,
MET00208,S0040,international_revenue_share,30,percent,FY26,2026-08-14,True,SRC00718,HIGH,
MET00209,S0040,top10_customer_concentration,35.9,percent,FY26,2026-03-31,True,SRC00719,HIGH,
MET00210,S0041,registered users,280M+,,cumulative,2025-08,False,SRC00748,MEDIUM,
MET00211,S0041,"FY24 revenue (pre-ban, paid contests)","Rs 9,600cr+",,FY24,2024,False,SRC00748,MEDIUM,
