link_id,startup_id,investor_id,investor_name,investor_type,round_type,round_date,first_seen,rounds,lead,disclosed_amount,amount,board_seat,status,source_id,confidence
IL00036,S0002,INV0020,TPG,,Series D,2023-01-06,,,,200.0,,,,SRC00032,MEDIUM
IL00037,S0002,INV0018,Mirae Asset,,Series D,2023-01-06,,,,200.0,,,,SRC00032,MEDIUM
IL00038,S0002,INV0014,Advent International,,Series D,2023-01-06,,,,200.0,,,,SRC00032,MEDIUM
IL00039,S0002,INV0016,Motilal Oswal,,Series D,2023-01-06,,,,200.0,,,,SRC00032,MEDIUM
IL00040,S0002,INV0013,Premji Invest,,Series D,2023-01-06,,,,200.0,,,,SRC00032,MEDIUM
IL00041,S0002,INV0019,Wiseanya,,Series D,2023-01-06,,,,200.0,,,,SRC00032,MEDIUM
IL00042,S0002,INV0015,MUFG,,Series D,2023-01-06,,,lead,200.0,,,,SRC00032,MEDIUM
IL00043,S0002,INV0021,TPG-backed NewQuest Capital Partners,,Series C (tranche 2),2021-03-22,,,lead,70.0,,,,SRC00042,HIGH
IL00044,S0002,INV0022,Motilal Oswal Private Equity,,Series C (tranche 2),2021-03-22,,,lead,70.0,,,,SRC00042,HIGH
IL00045,S0002,INV0021,TPG-backed NewQuest Capital Partners,,Series C (tranche 2),2021-03-22,,,lead,70.0,,,,SRC00042,HIGH
IL00046,S0002,INV0022,Motilal Oswal Private Equity,,Series C (tranche 2),2021-03-22,,,lead,70.0,,,,SRC00042,HIGH
IL00047,S0002,INV0013,Premji Invest,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00048,S0002,INV0023,Mirae Asset Ventures,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00049,S0002,INV0024,Alpine Capital Advisors,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00050,S0002,INV0025,Arkam Ventures,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00051,S0002,INV0013,Premji Invest,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00052,S0002,INV0023,Mirae Asset Ventures,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00053,S0002,INV0024,Alpine Capital Advisors,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00054,S0002,INV0025,Arkam Ventures,,Series C (tranche 1),2021-02-15,,,lead,75.0,,,,SRC00043,HIGH
IL00055,S0002,INV0013,Premji Invest,PE/VC,,,2021,"['Series D', 'Series E']",False,,,,,SRC00031,HIGH
IL00056,S0002,INV0014,Advent International,PE,,,2023,"['Series D', 'Series E']",False,,,,,SRC00031,HIGH
IL00057,S0002,INV0026,MUFG (Dragon Funds),bank/strategic,,,2023,"['Series D', 'Series E']",True,,,,,SRC00031,HIGH
IL00058,S0002,INV0008,Motilal Oswal Alternates,PE,,,2026,['Series E'],True,,,,,SRC00031,HIGH
IL00059,S0002,INV0009,Hornbill Capital,VC,,,2026,['Series E'],True,,,,,SRC00031,HIGH
IL00060,S0003,INV0028,Walmart,,growth/secondary mix,2023-01-01,,,,100.0,,,,SRC00080,HIGH
IL00061,S0003,INV0027,General Atlantic,,growth/secondary mix,2023-01-01,,,lead,100.0,,,,SRC00080,HIGH
IL00062,S0003,INV0029,Tiger Global,,growth/secondary mix,2023-01-01,,,,100.0,,,,SRC00080,HIGH
IL00063,S0003,INV0030,Microsoft,,growth/secondary mix,2023-01-01,,,,100.0,,,,SRC00080,HIGH
IL00064,S0003,INV0031,Ribbit,,growth/secondary mix,2023-01-01,,,,100.0,,,,SRC00080,HIGH
IL00065,S0003,INV0027,General Atlantic,,growth/secondary mix,2023-01-01,,,lead,100.0,,,,SRC00080,HIGH
IL00066,S0003,INV0027,General Atlantic,,secondary,2026-01-22,,,lead,430.0,,,,SRC00073,HIGH
IL00067,S0003,INV0027,General Atlantic,,secondary,2026-01-22,,,lead,430.0,,,,SRC00073,HIGH
IL00068,S0003,INV0027,General Atlantic,,growth/secondary,2023-01-15,,,lead,350.0,,,,SRC00074,MEDIUM
IL00069,S0003,INV0028,Walmart,,growth/secondary,2023-01-15,,,,350.0,,,,SRC00074,MEDIUM
IL00070,S0003,INV0029,Tiger Global,,growth/secondary,2023-01-15,,,,350.0,,,,SRC00074,MEDIUM
IL00071,S0003,INV0030,Microsoft,,growth/secondary,2023-01-15,,,,350.0,,,,SRC00074,MEDIUM
IL00072,S0003,INV0031,Ribbit,,growth/secondary,2023-01-15,,,,350.0,,,,SRC00074,MEDIUM
IL00073,S0003,INV0027,General Atlantic,,growth/secondary,2023-01-15,,,lead,350.0,,,,SRC00074,MEDIUM
IL00074,S0003,INV0032,Walmart (WM Digital Commerce Holdings),strategic/corporate,,,2018,"['acquisition-via-Flipkart', 'growth']",True,,,,,SRC00072,HIGH
IL00075,S0003,INV0027,General Atlantic,PE,,,2023,"['2023 growth', '2025 secondary']",True,,,,,SRC00073,HIGH
IL00076,S0003,INV0029,Tiger Global,VC,,,2021,['growth'],False,,,,,SRC00072,HIGH
IL00077,S0003,INV0030,Microsoft,strategic,,,2022,['growth'],False,,,,,SRC00072,HIGH
IL00078,S0004,INV0033,Lone Pine Capital,,Series F,2021-12-20,,,lead,375.0,,,,SRC00099,HIGH
IL00079,S0004,INV0034,Alkeon Capital,,Series F,2021-12-20,,,lead,375.0,,,,SRC00099,HIGH
IL00080,S0004,INV0035,TCV,,Series F,2021-12-20,,,lead,375.0,,,,SRC00099,HIGH
IL00081,S0004,INV0036,GIC,,Series F,2021-12-20,,,,375.0,,,,SRC00099,HIGH
IL00082,S0004,INV0037,Peak XV Partners,,Series F,2021-12-20,,,,375.0,,,,SRC00099,HIGH
IL00083,S0004,INV0029,Tiger Global,,Series F,2021-12-20,,,,375.0,,,,SRC00099,HIGH
IL00084,S0004,INV0038,Y Combinator,,Series F,2021-12-20,,,,375.0,,,,SRC00099,HIGH
IL00085,S0004,INV0033,Lone Pine Capital,,Series F,2021-12-20,,,lead,375.0,,,,SRC00099,HIGH
IL00086,S0004,INV0034,Alkeon Capital,,Series F,2021-12-20,,,lead,375.0,,,,SRC00099,HIGH
IL00087,S0004,INV0035,TCV,,Series F,2021-12-20,,,lead,375.0,,,,SRC00099,HIGH
IL00088,S0004,INV0036,GIC,,Series E,2021-04-18,,,lead,160.0,,,,SRC00093,HIGH
IL00089,S0004,INV0037,Peak XV Partners,,Series E,2021-04-18,,,lead,160.0,,,,SRC00093,HIGH
IL00090,S0004,INV0039,Ribbit Capital,,Series E,2021-04-18,,,,160.0,,,,SRC00093,HIGH
IL00091,S0004,INV0029,Tiger Global,,Series E,2021-04-18,,,,160.0,,,,SRC00093,HIGH
IL00092,S0004,INV0036,GIC,,Series E,2021-04-18,,,lead,160.0,,,,SRC00093,HIGH
IL00093,S0004,INV0037,Peak XV Partners,,Series E,2021-04-18,,,lead,160.0,,,,SRC00093,HIGH
IL00094,S0004,INV0036,GIC,,Series D,2020-10-12,,,lead,100.0,,,,SRC00093,HIGH
IL00095,S0004,INV0037,Peak XV Partners,,Series D,2020-10-12,,,lead,100.0,,,,SRC00093,HIGH
IL00096,S0004,INV0039,Ribbit Capital,,Series D,2020-10-12,,,,100.0,,,,SRC00093,HIGH
IL00097,S0004,INV0029,Tiger Global,,Series D,2020-10-12,,,,100.0,,,,SRC00093,HIGH
IL00098,S0004,INV0038,Y Combinator,,Series D,2020-10-12,,,,100.0,,,,SRC00093,HIGH
IL00099,S0004,INV0036,GIC,,Series D,2020-10-12,,,lead,100.0,,,,SRC00093,HIGH
IL00100,S0004,INV0037,Peak XV Partners,,Series D,2020-10-12,,,lead,100.0,,,,SRC00093,HIGH
IL00101,S0004,INV0039,Ribbit Capital,,Series C,2019-06-18,,,lead,75.0,,,,SRC00093,MEDIUM
IL00102,S0004,INV0037,Peak XV Partners,,Series C,2019-06-18,,,lead,75.0,,,,SRC00093,MEDIUM
IL00103,S0004,INV0029,Tiger Global,,Series C,2019-06-18,,,,75.0,,,,SRC00093,MEDIUM
IL00104,S0004,INV0038,Y Combinator,,Series C,2019-06-18,,,,75.0,,,,SRC00093,MEDIUM
IL00105,S0004,INV0039,Ribbit Capital,,Series C,2019-06-18,,,lead,75.0,,,,SRC00093,MEDIUM
IL00106,S0004,INV0037,Peak XV Partners,,Series C,2019-06-18,,,lead,75.0,,,,SRC00093,MEDIUM
IL00107,S0004,INV0033,Lone Pine Capital,hedge/VC,,,2021,['Series F'],True,,,,,SRC00093,HIGH
IL00108,S0004,INV0040,Peak XV Partners (Sequoia India),VC,,,2019,"['Series C', 'Series D', 'Series E', 'Series F']",True,,,,,SRC00093,HIGH
IL00109,S0004,INV0029,Tiger Global,VC,,,2015,"['Series A', 'Series B', 'Series C+ ']",True,,,,,SRC00093,HIGH
IL00110,S0004,INV0036,GIC,sovereign,,,2020,"['Series D', 'Series E', 'Series F']",True,,,,,SRC00093,HIGH
IL00111,S0004,INV0038,Y Combinator,accelerator,,,2015,"['Seed', 'Series F']",False,,,,,SRC00094,MEDIUM
IL00112,S0005,INV0043,CalPERS,,pre-IPO,2025-10-16,,,,450.0,,,,SRC00104,HIGH
IL00113,S0005,INV0042,General Catalyst,,pre-IPO,2025-10-16,,,lead,450.0,,,,SRC00104,HIGH
IL00114,S0005,INV0044,Avenir,,pre-IPO,2025-10-16,,,,450.0,,,,SRC00104,HIGH
IL00115,S0005,INV0045,Glade Brook,,pre-IPO,2025-10-16,,,,450.0,,,,SRC00104,HIGH
IL00116,S0005,INV0046,Lightspeed,,pre-IPO,2025-10-16,,,,450.0,,,,SRC00104,HIGH
IL00117,S0005,INV0047,StepStone Group,,pre-IPO,2025-10-16,,,,450.0,,,,SRC00104,HIGH
IL00118,S0005,INV0048,Nexus Venture Partners,,pre-IPO,2025-10-16,,,,450.0,,,,SRC00104,HIGH
IL00119,S0005,INV0041,California Public Employees' Retirement System (CalPERS),,pre-IPO,2025-10-16,,,lead,450.0,,,,SRC00104,HIGH
IL00120,S0005,INV0042,General Catalyst,,pre-IPO,2025-10-16,,,lead,450.0,,,,SRC00104,HIGH
IL00121,S0005,INV0049,unspecified private-placement investors,,pre-IPO placement,2026-08-01,,,,105.0,,,,SRC00108,LOW
IL00122,S0005,INV0038,Y Combinator,,seed,2021-07,,,,,,,,SRC00110,MEDIUM
IL00123,S0005,INV0048,Nexus Venture Partners,,Series A,2022-01,,,lead,60.0,,,,SRC00110,MEDIUM
IL00124,S0005,INV0038,Y Combinator,,Series A,2022-01,,,,60.0,,,,SRC00110,MEDIUM
IL00125,S0005,INV0048,Nexus Venture Partners,,Series A,2022-01,,,lead,60.0,,,,SRC00110,MEDIUM
IL00126,S0005,INV0050,Glade Brook Capital Partners,,Series B,2022-11,,,lead,100.0,,,,SRC00110,MEDIUM
IL00127,S0005,INV0048,Nexus Venture Partners,,Series B,2022-11,,,,100.0,,,,SRC00110,MEDIUM
IL00128,S0005,INV0046,Lightspeed,,Series B,2022-11,,,,100.0,,,,SRC00110,MEDIUM
IL00129,S0005,INV0050,Glade Brook Capital Partners,,Series B,2022-11,,,lead,100.0,,,,SRC00110,MEDIUM
IL00130,S0005,INV0047,StepStone Group,,Series C,2023-08,,,lead,200.0,,,,SRC00104,MEDIUM
IL00131,S0005,INV0048,Nexus Venture Partners,,Series C,2023-08,,,,200.0,,,,SRC00104,MEDIUM
IL00132,S0005,INV0046,Lightspeed,,Series C,2023-08,,,,200.0,,,,SRC00104,MEDIUM
IL00133,S0005,INV0044,Avenir,,Series C,2023-08,,,,200.0,,,,SRC00104,MEDIUM
IL00134,S0005,INV0047,StepStone Group,,Series C,2023-08,,,lead,200.0,,,,SRC00104,MEDIUM
IL00135,S0005,INV0042,General Catalyst,,Series D,2024-06,,,lead,665.0,,,,SRC00110,HIGH
IL00136,S0005,INV0048,Nexus Venture Partners,,Series D,2024-06,,,,665.0,,,,SRC00110,HIGH
IL00137,S0005,INV0046,Lightspeed,,Series D,2024-06,,,,665.0,,,,SRC00110,HIGH
IL00138,S0005,INV0044,Avenir,,Series D,2024-06,,,,665.0,,,,SRC00110,HIGH
IL00139,S0005,INV0045,Glade Brook,,Series D,2024-06,,,,665.0,,,,SRC00110,HIGH
IL00140,S0005,INV0047,StepStone Group,,Series D,2024-06,,,,665.0,,,,SRC00110,HIGH
IL00141,S0005,INV0042,General Catalyst,,Series D,2024-06,,,lead,665.0,,,,SRC00110,HIGH
IL00142,S0005,INV0051,unknown,,Series E,2024-08,,,lead,340.0,,,,SRC00110,MEDIUM
IL00143,S0005,INV0051,unknown,,Series E,2024-08,,,lead,340.0,,,,SRC00110,MEDIUM
IL00144,S0005,INV0052,domestic investors,,Series F,2024-11,,,lead,350.0,,,,SRC00110,MEDIUM
IL00145,S0005,INV0052,domestic investors,,Series F,2024-11,,,lead,350.0,,,,SRC00110,MEDIUM
IL00146,S0005,INV0043,CalPERS,pension fund,,,2025,['Oct-2025 pre-IPO'],True,,,,,SRC00104,HIGH
IL00147,S0005,INV0047,StepStone Group,PE/secondary,,,2023,['Oct-2025 pre-IPO'],False,,,,,SRC00104,HIGH
IL00148,S0005,INV0048,Nexus Venture Partners,VC,,,2021,"['earlier', 'Oct-2025 pre-IPO']",False,,,,,SRC00105,HIGH
IL00149,S0005,INV0046,Lightspeed,VC,,,2022,"['earlier', 'Oct-2025 pre-IPO']",False,,,,,SRC00105,HIGH
IL00150,S0005,INV0042,General Catalyst,VC,,,2024,['Oct-2025 pre-IPO'],True,,,,,SRC00104,MEDIUM
IL00151,S0006,INV0055,Matrix Partners India (now Z47),,Seed,2024-04-10,,,,20.0,,,,SRC00117,HIGH
IL00152,S0006,INV0048,Nexus Venture Partners,,Seed,2024-04-10,,,lead,20.0,,,,SRC00117,HIGH
IL00153,S0006,INV0054,NTTVC,,Seed,2024-04-10,,,lead,20.0,,,,SRC00117,HIGH
IL00154,S0006,INV0053,Matrix Partners India,,Seed,2024-04-10,,,lead,20.0,,,,SRC00117,HIGH
IL00155,S0006,INV0048,Nexus Venture Partners,,Seed,2024-04-10,,,lead,20.0,,,,SRC00117,HIGH
IL00156,S0006,INV0054,NTTVC,,Seed,2024-04-10,,,lead,20.0,,,,SRC00117,HIGH
IL00157,S0006,INV0054,NTTVC,,Series A,2024-10-22,,,lead,30.0,,,,SRC00118,HIGH
IL00158,S0006,INV0056,Z47,,Series A,2024-10-22,,,lead,30.0,,,,SRC00118,HIGH
IL00159,S0006,INV0048,Nexus Venture Partners,,Series A,2024-10-22,,,lead,30.0,,,,SRC00118,HIGH
IL00160,S0006,INV0054,NTTVC,,Series A,2024-10-22,,,lead,30.0,,,,SRC00118,HIGH
IL00161,S0006,INV0056,Z47,,Series A,2024-10-22,,,lead,30.0,,,,SRC00118,HIGH
IL00162,S0006,INV0048,Nexus Venture Partners,,Series A,2024-10-22,,,lead,30.0,,,,SRC00118,HIGH
IL00163,S0006,INV0057,Blackstone,,Growth equity,2026-02-16,,,lead,600.0,,,,SRC00115,HIGH
IL00164,S0006,INV0058,Teachers' Venture Growth,,Growth equity,2026-02-16,,,,600.0,,,,SRC00115,HIGH
IL00165,S0006,INV0059,TVS Capital,,Growth equity,2026-02-16,,,,600.0,,,,SRC00115,HIGH
IL00166,S0006,INV0060,360 ONE Asset,,Growth equity,2026-02-16,,,,600.0,,,,SRC00115,HIGH
IL00167,S0006,INV0048,Nexus Venture Partners,,Growth equity,2026-02-16,,,,600.0,,,,SRC00115,HIGH
IL00168,S0006,INV0057,Blackstone,,Growth equity,2026-02-16,,,lead,600.0,,,,SRC00115,HIGH
IL00169,S0006,INV0048,Nexus Venture Partners,VC,,,2024-04,"['Seed', 'Series A', 'Growth equity']",True,,,,,SRC00115,HIGH
IL00170,S0006,INV0054,NTTVC,CVC,,,2024-04,"['Seed', 'Series A']",True,,,,,SRC00117,HIGH
IL00171,S0006,INV0061,Z47 (fka Matrix Partners India),VC,,,2024-04,"['Seed', 'Series A']",True,,,,,SRC00117,HIGH
IL00172,S0006,INV0057,Blackstone,PE,,,2026-02,['Growth equity'],True,,,,,SRC00114,HIGH
IL00173,S0006,INV0058,Teachers' Venture Growth,Institutional,,,2026-02,['Growth equity'],False,,,,,SRC00115,MEDIUM
IL00174,S0006,INV0059,TVS Capital,PE/VC,,,2026-02,['Growth equity'],False,,,,,SRC00115,MEDIUM
IL00175,S0006,INV0060,360 ONE Asset,Asset manager,,,2026-02,['Growth equity'],False,,,,,SRC00115,MEDIUM
IL00176,S0007,INV0027,General Atlantic,,Series F-II,2022-11-01,,,lead,100.0,,,,SRC00136,HIGH
IL00177,S0007,INV0027,General Atlantic,,Series F-II,2022-11-01,,,lead,100.0,,,,SRC00136,HIGH
IL00178,S0007,INV0027,General Atlantic,PE,,,,['Series F-II'],True,,,,,SRC00136,HIGH
IL00179,S0007,INV0003,Accel,VC,,,,"['early', 'IPO OFS seller']",,,,,,SRC00137,MEDIUM
IL00180,S0007,INV0063,Norwest Venture Partners,VC,,,,"['early', 'IPO OFS seller']",,,,,,SRC00137,MEDIUM
IL00181,S0007,INV0013,Premji Invest,family-office-VC,,,,,,,,,,SRC00137,MEDIUM
IL00182,S0008,INV0029,Tiger Global,,Series E (reported Oct 2021),2021-10-01,,,lead,251.0,,,,SRC00145,MEDIUM
IL00183,S0008,INV0064,Falcon Edge,,Series E (reported Oct 2021),2021-10-01,,,lead,251.0,,,,SRC00145,MEDIUM
IL00184,S0008,INV0029,Tiger Global,,Series E (reported Oct 2021),2021-10-01,,,lead,251.0,,,,SRC00145,MEDIUM
IL00185,S0008,INV0064,Falcon Edge,,Series E (reported Oct 2021),2021-10-01,,,lead,251.0,,,,SRC00145,MEDIUM
IL00186,S0008,INV0036,GIC,,Series F,2022-06-09,,,lead,140.0,,,,SRC00146,HIGH
IL00187,S0008,INV0029,Tiger Global,,Series F,2022-06-09,,,,140.0,,,,SRC00146,HIGH
IL00188,S0008,INV0065,Sofina,,Series F,2022-06-09,,,,140.0,,,,SRC00146,HIGH
IL00189,S0008,INV0066,Alpha Wave Global,,Series F,2022-06-09,,,,140.0,,,,SRC00146,HIGH
IL00190,S0008,INV0067,Dragoneer,,Series F,2022-06-09,,,,140.0,,,,SRC00146,HIGH
IL00191,S0008,INV0036,GIC,,Series F,2022-06-09,,,lead,140.0,,,,SRC00146,HIGH
IL00192,S0008,INV0036,GIC,SWF,,,,['Series F'],True,,,,,SRC00145,HIGH
IL00193,S0008,INV0029,Tiger Global,VC,,,,"['Series E', 'Series F']",,,,,,SRC00145,MEDIUM
IL00194,S0008,INV0040,Peak XV Partners (Sequoia India),VC,,,,['early'],,,,,,SRC00148,MEDIUM
IL00195,S0009,INV0068,Technology Crossover Ventures (TCV),,Series D,2022-01-25,,,lead,72.0,,,,SRC00162,HIGH
IL00196,S0009,INV0068,Technology Crossover Ventures (TCV),,Series D,2022-01-25,,,lead,72.0,,,,SRC00162,HIGH
IL00197,S0009,INV0069,Partners Group,,growth,2025-03-05,,,lead,140.0,,,,SRC00154,HIGH
IL00198,S0009,INV0070,KKR,,growth,2025-03-05,,,lead,140.0,,,,SRC00154,HIGH
IL00199,S0009,INV0071,Gravity Holdings,,growth,2025-03-05,,,,140.0,,,,SRC00154,HIGH
IL00200,S0009,INV0069,Partners Group,,growth,2025-03-05,,,lead,140.0,,,,SRC00154,HIGH
IL00201,S0009,INV0070,KKR,,growth,2025-03-05,,,lead,140.0,,,,SRC00154,HIGH
IL00202,S0009,INV0072,Teachers' Venture Growth (OTPP),,growth,2025-08-14,,,lead,40.0,,,,SRC00156,HIGH
IL00203,S0009,INV0072,Teachers' Venture Growth (OTPP),,growth,2025-08-14,,,lead,40.0,,,,SRC00156,HIGH
IL00204,S0009,INV0069,Partners Group,PE,,,,['2025-03 $140M'],True,,,,,SRC00154,HIGH
IL00205,S0009,INV0070,KKR,PE,,,,['2025-03 $140M'],True,,,,,SRC00154,HIGH
IL00206,S0009,INV0072,Teachers' Venture Growth (OTPP),pension-growth,,,,['2025-08 $40M'],,,,,,SRC00157,HIGH
IL00207,S0009,INV0035,TCV,VC,,,,['Series D 2022'],True,,,,,SRC00162,MEDIUM
IL00208,S0009,INV0037,Peak XV Partners,VC,,,,"['early', 'partial selldown 2025']",,,,,,SRC00156,MEDIUM
IL00209,S0009,INV0046,Lightspeed,VC,,,,"['Series A 2017', 'partial selldown 2025']",,,,,,SRC00155,MEDIUM
IL00210,S0009,INV0030,Microsoft,corporate,,,,"['extended Series D (Jan 2023, undisclosed)']",,,,,,SRC00164,MEDIUM
IL00211,S0010,INV0038,Y Combinator,,Seed,2024-01-01,,,,7.0,,,,SRC00168,MEDIUM
IL00212,S0010,INV0073,Together Fund,,Seed,2024-01-01,,,,7.0,,,,SRC00168,MEDIUM
IL00213,S0010,INV0046,Lightspeed,,Series A,2025-09-01,,,lead,23.0,,,,SRC00170,HIGH
IL00214,S0010,INV0073,Together Fund,,Series A,2025-09-01,,,,23.0,,,,SRC00170,HIGH
IL00215,S0010,INV0038,Y Combinator,,Series A,2025-09-01,,,,23.0,,,,SRC00170,HIGH
IL00216,S0010,INV0074,Prosus Ventures,,Series A,2025-09-01,,,,23.0,,,,SRC00170,HIGH
IL00217,S0010,INV0046,Lightspeed,,Series A,2025-09-01,,,lead,23.0,,,,SRC00170,HIGH
IL00218,S0010,INV0075,Khosla Ventures,,Series B,2026-01-01,,,lead,70.0,,,,SRC00167,HIGH
IL00219,S0010,INV0005,SoftBank Vision Fund 2,,Series B,2026-01-01,,,lead,70.0,,,,SRC00167,HIGH
IL00220,S0010,INV0075,Khosla Ventures,,Series B,2026-01-01,,,lead,70.0,,,,SRC00167,HIGH
IL00221,S0010,INV0005,SoftBank Vision Fund 2,,Series B,2026-01-01,,,lead,70.0,,,,SRC00167,HIGH
IL00222,S0010,INV0076,Creaegis,,Series C,2026-07-15,,,lead,130.0,,,,SRC00167,HIGH
IL00223,S0010,INV0077,MNI Ventures-Claypond Capital,,Series C,2026-07-15,,,,130.0,,,,SRC00167,HIGH
IL00224,S0010,INV0078,Sentinel Global,,Series C,2026-07-15,,,,130.0,,,,SRC00167,HIGH
IL00225,S0010,INV0075,Khosla Ventures,,Series C,2026-07-15,,,,130.0,,,,SRC00167,HIGH
IL00226,S0010,INV0005,SoftBank Vision Fund 2,,Series C,2026-07-15,,,,130.0,,,,SRC00167,HIGH
IL00227,S0010,INV0046,Lightspeed,,Series C,2026-07-15,,,,130.0,,,,SRC00167,HIGH
IL00228,S0010,INV0038,Y Combinator,,Series C,2026-07-15,,,,130.0,,,,SRC00167,HIGH
IL00229,S0010,INV0076,Creaegis,,Series C,2026-07-15,,,lead,130.0,,,,SRC00167,HIGH
IL00230,S0010,INV0076,Creaegis,PE,,,,['Series C'],True,,,,,SRC00167,HIGH
IL00231,S0010,INV0075,Khosla Ventures,VC,,,,"['Series B', 'Series C']",True,,,,,SRC00167,HIGH
IL00232,S0010,INV0005,SoftBank Vision Fund 2,VC,,,,"['Series B', 'Series C']",True,,,,,SRC00167,HIGH
IL00233,S0010,INV0046,Lightspeed,VC,,,,"['Series A', 'Series C']",True,,,,,SRC00170,HIGH
IL00234,S0010,INV0038,Y Combinator,accelerator,,,,"['Seed', 'Series A', 'Series B', 'Series C']",,,,,,SRC00168,MEDIUM
IL00235,S0010,INV0079,Google AI Futures Fund,corporate,,,,['strategic Dec 2025 (undisclosed)'],,,,,,SRC00168,MEDIUM
IL00236,S0011,INV0081,Sequoia India (Peak XV),,Series A,2019-01-23,,,,6.2,,,,SRC00180,HIGH
