founder_id,startup_id,person_id,name,role_title,founder_type,active,departure_date,education,prev_companies,linkedin,location,source_id,confidence
FDR0037,S0015,P0077,Deepak Malhotra,Co-founder,co-founder,False,,Ex-co-founder,,,,SRC00284,MEDIUM
FDR0038,S0016,P0078,Ronnie Screwvala,Co-founder & Chairperson,founder,True,,UTV founder (sold to Disney 2012); Unilazer Ventures,,https://linkedin.com/in/ronniescrewvala,Mumbai,SRC00292,HIGH
FDR0039,S0016,P0079,Mayank Kumar,Co-founder,co-founder,False,,Exited late 2024 to found BorderPlus,,,Mumbai,SRC00289,MEDIUM
FDR0040,S0016,P0080,Phalgun Kompalli,Co-founder,co-founder,True,,,,,Mumbai,SRC00289,MEDIUM
FDR0041,S0016,P0081,Ravijot Chugh,Co-founder,co-founder,False,,Left earlier; joined Climb Credit (US) as CPO,,,,SRC00289,MEDIUM
FDR0042,S0017,P0086,Ritesh Arora,Co-founder & CEO,co-founder,True,,IIT Bombay; ex-Downcase/consulting,,https://in.linkedin.com/in/ritesh-arora-browserstack,,SRC00341,HIGH
FDR0043,S0017,P0087,Nakul Aggarwal,Co-founder & CTO,co-founder,True,,IIT Bombay; ex-Downcase/consulting,,https://in.linkedin.com/in/nakulaggarwal,,SRC00341,HIGH
FDR0044,S0018,P0088,Pravin Jadhav,"Founder & CEO, Raise Financial Services",founder,True,,Former Paytm Money CEO,,https://in.linkedin.com/in/pravinj,Mumbai,SRC00366,HIGH
FDR0045,S0018,P0089,Jay Prakash Gupta,Co-founder,co-founder,True,,,,,,SRC00352,HIGH
FDR0046,S0018,P0090,Alok Pandey,Co-founder,co-founder,True,,,,,,SRC00352,HIGH
FDR0047,S0018,P0091,Raunak Rathi,Co-founder and Director,,True,,,,,,SRC00357,MEDIUM
FDR0048,S0019,P0092,Dharmil Sheth,Co-founder (stepped back from day-to-day Jan 2025; board/observer),co-founder,False,January 2025,,,https://in.linkedin.com/in/dharmilsheth,,SRC00369,HIGH
FDR0049,S0019,P0093,Dhaval Shah,Co-founder (stepped back Jan 2025),co-founder,False,January 2025,,,,,SRC00369,HIGH
FDR0050,S0019,P0094,Hardik Dedhia,Co-founder (stepped back Jan 2025),co-founder,False,January 2025,,,,,SRC00369,HIGH
FDR0051,S0019,P0095,Siddharth Shah,"Co-founder, continuing to lead (2025)",co-founder,True,August 2025,,,,,SRC00369,HIGH
FDR0052,S0019,P0096,Harsh Parekh,Co-founder,,True,,unknown,,,,SRC00381,MEDIUM
FDR0053,S0020,P0100,Nalin Agrawal,Co-founder,co-founder,True,,,,https://in.linkedin.com/in/nalinagrawal,,SRC00408,HIGH
FDR0054,S0020,P0101,Anil Gelra,Co-founder,co-founder,True,,,,https://in.linkedin.com/in/anil-gelra-91890b4,,SRC00408,HIGH
FDR0055,S0020,P0102,Abhineet Sawa,Co-founder,co-founder,True,,,,https://in.linkedin.com/in/abhineet-sawa-31575b4,,SRC00408,HIGH
FDR0056,S0021,P0104,Ravi Kumar,Co-founder & CEO,co-founder,True,,,,,,SRC00428,HIGH
FDR0057,S0021,P0105,Shrini Viswanath,Co-founder,co-founder,True,,,,,,SRC00439,HIGH
FDR0058,S0021,P0106,Raghu Kumar,Co-founder (per 2021 press; contested — see conflicts),co-founder,True,,,,,,SRC00439,MEDIUM
FDR0059,S0021,P0107,Kavitha Subramanian,Co-founder (per TOI/company-signal; contested — see conflicts),co-founder,True,,,,,,SRC00440,MEDIUM
FDR0060,S0021,P0108,Shrinivas Viswanath,Co-founder,,True,,Co-founded Upstox as proprietary trading firm in 2009,,,,SRC00431,HIGH
FDR0061,S0022,P0110,Vaibhav Gupta,Co-founder & CEO,co-founder,True,,Ex-Flipkart; IIT Delhi; CEO since 2021,,,,SRC00452,HIGH
FDR0062,S0022,P0111,Sujeet Kumar,Co-founder,co-founder,True,,"Ex-Flipkart; IIT Delhi; board member, stepped back from ops",,,,SRC00452,HIGH
FDR0063,S0022,P0112,Amod Malviya,Co-founder,co-founder,False,,Ex-Flipkart; IIT Kharagpur; stepped back from ops,,,,SRC00452,HIGH
FDR0064,S0023,P0114,Varun Dua,Founder,founder,True,,ex-Coverfox founder (Coverfox co-founded 2013),,,,SRC00458,HIGH
FDR0065,S0023,P0115,Vishwanath Ramarao (Ram),Co-Founder,co-founder,True,,,,,,SRC00458,MEDIUM
FDR0066,S0023,P0116,Ruchi Deepak,Founder Emeritus,founder,False,,,,,,SRC00458,HIGH
FDR0067,S0024,P0118,Ashish Singhal,Co-founder & CEO,co-founder,True,,NSUT; ex-Amazon; Group CEO PeepalCo,,,,SRC00472,HIGH
FDR0068,S0024,P0119,Govind Soni,Co-founder & CTO,co-founder,True,,Co-founder & CTO,,,,SRC00477,HIGH
FDR0069,S0024,P0120,Vimal Sagar Tiwari,Co-founder & COO,co-founder,True,,Co-founder & COO,,https://in.linkedin.com/in/sagarvimal,,SRC00477,HIGH
FDR0070,S0025,P0121,Mukesh Bansal,Co-founder,co-founder,True,,Myntra co-founder; IIT Kanpur; Tata Digital President,,,Bengaluru,SRC00491,HIGH
FDR0071,S0025,P0122,Ankit Nagori,Co-founder (ex),co-founder,False,,Ex-Flipkart; founder EatFit/Curefoods,,,,SRC00497,HIGH
FDR0072,S0025,P0123,Rishabh Telang,Co-founder & CEO,co-founder,True,,Co-founder & CEO per company records; named in Aug 2026 FIR (denies),,,,SRC00508,MEDIUM
FDR0073,S0026,P0126,Krish Ramineni,Co-founder & CEO,co-founder,True,,Ex-Microsoft; met co-founder at UPenn/MIT,,https://www.linkedin.com/in/krishramineni,,SRC00515,HIGH
FDR0074,S0026,P0127,Sam Udotong,Co-founder & CTO,co-founder,True,,Nigerian-American aerospace engineer,,https://www.linkedin.com/in/sudotong,United States,SRC00515,HIGH
FDR0075,S0027,P0128,Tanmai Gopal,Co-founder & CEO,co-founder,True,,IIT Madras; ex-Microsoft/Polaris; co-founded Owlink,,,,SRC00540,HIGH
FDR0076,S0027,P0129,Rajoshi Ghosh,Co-founder & COO,co-founder,True,,NUS; co-founded Owlink,,https://www.linkedin.com/in/rajoshighosh,San Francisco,SRC00541,HIGH
FDR0077,S0028,P0131,Samir Bodas,Co-founder (CEO until 2025; d. 2026 per GeekWire),co-founder,False,January 2026,Ex-Microsoft; Wharton,,https://www.linkedin.com/in/samirbodas,United States,SRC00547,HIGH
FDR0078,S0028,P0132,Monish Darda,Co-founder & CTO,co-founder,True,,Ex-Microsoft,,,Pune,SRC00547,HIGH
FDR0079,S0029,P0134,Nilesh Patel,Co-founder & CEO,co-founder,True,,CEO,,,Mountain View,SRC00558,HIGH
FDR0080,S0029,P0135,Prashant Singh,Co-founder & COO,co-founder,True,,COO,,,,SRC00577,HIGH
FDR0081,S0029,P0136,Sudhakar Gorti,Co-founder,co-founder,True,,,,2023,,SRC00577,HIGH
FDR0082,S0030,P0138,Raviteja Dodda,CEO & Co-founder,co-founder,True,,IIT Kharagpur B.Tech CSE,,,,SRC00587,HIGH
FDR0083,S0030,P0139,Yashwanth Kumar (Kammara Yashwanth Kumar),"CTO, CISO & Co-founder",co-founder,True,,IIT Kharagpur B.Tech CSE,,https://in.linkedin.com/in/yakumar,Bengaluru,SRC00587,HIGH
FDR0084,S0031,P0142,Puneet Agarwal,MD & CEO,founder,True,,IIT Delhi,,https://in.linkedin.com/in/puneetagarwalindia,Bengaluru,SRC00592,HIGH
FDR0085,S0031,P0143,Sanjay Aggarwal,Executive Director & CTO,founder,True,,IIT Delhi,,,,SRC00592,HIGH
FDR0086,S0032,P0144,Dhiraj Rajaram,Founder & CEO,founder,True,,UNKNOWN (UNVERIFIED),,,,SRC00598,HIGH
FDR0087,S0032,P0145,Ambiga Subramanian (ne Dhiraj; reports vary: Priyanka Ashok listed on Tracxn),"Co-founder, ex-CEO",co-founder,False,,UNKNOWN,,,,SRC00598,MEDIUM
FDR0088,S0032,P0146,Ambiga Subramanian,"Co-founder, ex-CEO",,False,,UNKNOWN,,,,SRC00598,MEDIUM
FDR0089,S0033,P0151,Avneesh Agrawal,Co-founder & CEO,co-founder,True,,"PhD (Stanford, per secondary sources)",,,,SRC00605,HIGH
FDR0090,S0033,P0152,David Julian,Co-founder & CTO,co-founder,False,,Stanford University,,,,SRC00605,HIGH
FDR0091,S0034,P0155,Abhinav Asthana,Co-founder & CEO,co-founder,True,,,,,,SRC00612,HIGH
FDR0092,S0034,P0156,Ankit Sobti,Co-founder & CTO,co-founder,True,,,,,,SRC00612,HIGH
FDR0093,S0034,P0157,Abhijit Kane,Co-founder,co-founder,True,,,,,,SRC00612,HIGH
FDR0094,S0035,P0160,Bhavin Turakhia,Co-founder & CEO,co-founder,True,,Directi founder; serial entrepreneur,,,,SRC00639,HIGH
FDR0095,S0035,P0161,Ramki Gaddipati,Co-Founder & CTO,,True,,BITS Pilani,,,,SRC00631,HIGH
FDR0096,S0035,P0162,Abhijit Jaiswal,Co-Founder,,True,,,,,,SRC00631,MEDIUM
FDR0097,S0036,P0167,Sachin Bansal,Co-founder (exited 2018),co-founder,False,,Ex-Amazon; now founder Navi,,,,SRC00654,HIGH
FDR0098,S0036,P0168,Binny Bansal,Co-founder (board exit Jan 2024),co-founder,False,,Ex-Amazon; startup investor,,,,SRC00647,HIGH
FDR0099,S0037,P0172,Pranav Goel,Co-founder & CEO,co-founder,True,,,,,,SRC00669,HIGH
FDR0100,S0037,P0173,Uttam Digga,Co-founder & COO,co-founder,True,,,,,,SRC00669,HIGH
FDR0101,S0037,P0174,Vikas Choudhary,Co-founder,,UNKNOWN,,IIT (institution not specified in sources),,,,SRC00661,MEDIUM
FDR0102,S0038,P0084,Gaurav Munjal,Co-founder & CEO,co-founder,True,,Flatchat founder,,,,SRC00288,HIGH
FDR0103,S0038,P0179,Roman Saini,Co-founder,co-founder,True,,"Ex-IAS (doctor, civil servant)",,,,SRC00671,MEDIUM
FDR0104,S0038,P0180,Hemesh Singh,Co-founder & CTO,co-founder,True,,,,,,SRC00288,MEDIUM
FDR0105,S0039,P0183,Vamsi Krishna,Co-founder & CEO,co-founder,True,,,,,,SRC00708,HIGH
FDR0106,S0039,P0184,Pulkit Jain,Co-founder,co-founder,True,,,,,,SRC00708,HIGH
FDR0107,S0039,P0185,Anand Prakash,Co-founder,co-founder,True,,,,,,SRC00708,HIGH
FDR0108,S0040,P0188,Amrit Acharya,Co-founder & CEO,co-founder,True,,Non-engineering background per FE profile,,,,SRC00714,HIGH
FDR0109,S0040,P0189,Amrit Pratik Acharya,Co-founder & CEO,co-founder,True,,IIT,,,,SRC00714,HIGH
FDR0110,S0040,P0190,Srinath Ramakkrushnan,Co-founder,co-founder,True,,IIT,,,,SRC00716,HIGH
FDR0111,S0040,P0191,Vishal Chaudhary,Co-founder,co-founder,True,,IIT,,,,SRC00716,HIGH
FDR0112,S0040,P0192,Rahul Sharma,Co-founder,co-founder,False,,IIT,,,,SRC00724,HIGH
FDR0113,S0040,P0193,Ankit Fatehpuria,Co-founder,co-founder,True,,Joined March 2019; instrumental in setting up finance function,,,,SRC00722,HIGH
FDR0114,S0041,P0049,Harsh Jain,Co-founder & CEO,co-founder,True,,"CEO, Dream Sports",,,,SRC00735,HIGH
FDR0115,S0041,P0195,Bhavit Sheth,Co-founder,co-founder,True,,,,,,SRC00737,HIGH
FDR0116,S0042,P0196,Naveen Tewari,Founder & CEO,founder,True,,"IIT Kanpur; Harvard Business School; ex-McKinsey, Charles River Ventures; Founder & CEO InMobi & Glance",,,,SRC00756,HIGH
FDR0117,S0042,P0197,Mohit Saxena,Co-founder,co-founder,,,Co-founder,,,,SRC00753,MEDIUM
FDR0118,S0042,P0198,Abhay Singhal,Co-founder,co-founder,,,Co-founder,,,,SRC00753,MEDIUM
FDR0119,S0042,P0199,Piyush Shah,Co-founder,co-founder,,,Co-founder,,,,SRC00753,MEDIUM
FDR0120,S0043,P0206,Falguni Nayar,"Founder, Executive Chairperson, MD & CEO",founder,True,,IIM Ahmedabad; 18 yrs Kotak Mahindra (MD); ex-investment banker,,,,SRC00776,HIGH
FDR0121,S0043,P0207,Adwaita Nayar,"Co-founder; Exec Director, CEO Nykaa Fashion & Owned Brands",co-founder,True,,Yale BA; Harvard MBA,,,,SRC00782,MEDIUM
FDR0122,S0043,P0208,Anchit Nayar,"Executive Director, CEO Beauty (family; co-founder attribution unverified)",co-founder,True,,CEO Beauty (per Q3 FY25 earnings call),,,,SRC00783,MEDIUM
FDR0123,S0044,P0210,Jaydeep Barman,Co-founder & CEO,co-founder,True,,,,,,SRC00785,HIGH
FDR0124,S0044,P0211,Kallol Banerjee,Co-founder,co-founder,True,,McKinsey alumnus,,,,SRC00785,HIGH
FDR0125,S0045,P0216,Fahim Sultan (Fahim Sultan Ali),Founder,founder,True,,,,,,SRC00797,
FDR0126,S0045,P0217,Fahim Sultan Ali,Founder,,True,,UNKNOWN,,,,SRC00797,HIGH
FDR0127,S0046,P0219,Srikanth Velamakanni,"Co-founder, Group CEO / Executive Vice-Chairman",co-founder,True,,,,,,SRC00816,HIGH
FDR0128,S0046,P0220,Pranay Agrawal,Co-founder & CEO (from 2016),co-founder,True,,,,,,SRC00825,HIGH
FDR0129,S0046,P0221,Nirmal Palaparthi,Co-founder,co-founder,False,,,,,,SRC00825,MEDIUM
FDR0130,S0046,P0222,Pradeep Suryanarayan,Co-founder,co-founder,False,,,,,,SRC00825,MEDIUM
FDR0131,S0046,P0223,Ramakrishna Reddy,Co-founder,co-founder,False,,,,,,SRC00825,MEDIUM
FDR0132,S0047,P0225,S. Karthik Venkateswaran,Co-founder & CEO,co-founder,True,,,,,,SRC00845,
FDR0133,S0047,P0226,Ashish Jhina,Co-founder & COO,co-founder,True,,,,,,SRC00845,
FDR0134,S0048,P0232,Anuj Srivastava,Co-founder (CEO/Chairman per varying sources),co-founder,True,,,,,,SRC00851,
FDR0135,S0048,P0233,Ramakant Sharma,Co-founder & COO/CEO,co-founder,True,,,,,,SRC00851,
FDR0136,S0048,P0234,Shagufta Anurag,Co-founder,co-founder,False,,,,,,SRC00874,
FDR0137,S0048,P0235,Saurabh Jain,Co-founder (exited Feb 2026),,False,,Unknown,,,,SRC00860,HIGH
FDR0138,S0049,P0241,Vidit Aatrey,"Co-founder & CEO (Chairman/MD, promoter per NSE filing)",co-founder,True,,,,,,SRC00903,
FDR0139,S0049,P0242,Sanjeev Barnwal (Sanjeev Kumar),Co-founder & CTO,co-founder,True,,,,,,SRC00904,
FDR0140,S0049,P0243,Videt Aatrey,Co-founder & CEO (Chairman/MD),,True,,"IIT Delhi, B.Tech Electrical Engineering",,,,SRC00899,HIGH
FDR0141,S0049,P0244,Sanjeev Barnwal,Co-founder & CTO,,True,,"IIT Delhi, B.Tech Electrical Engineering",,,,SRC00900,HIGH
FDR0142,S0050,P0060,Bhavish Aggarwal,Co-founder & CEO (IIT Bombay),co-founder,True,,,,,,SRC00921,
FDR0143,S0050,P0251,Ankit Bhati,Co-founder & ex-CTO (IIT Bombay; stepped back from day-to-day),co-founder,False,,,,,,SRC00922,
FDR0144,S0051,P0255,Aravind Sanka,Co-founder & CEO,,True,,N/A,,,,SRC00925,HIGH
FDR0145,S0051,P0256,Pavan Guntupalli,Co-founder,,True,,N/A,,,,SRC00928,HIGH
FDR0146,S0051,P0257,SR Rishikesh (Rishikesh SR),Co-founder (tech),co-founder,True,,,,,,SRC00942,
FDR0147,S0051,P0258,SR Rishikesh (Rishikesh S R),Co-founder (tech),,True,,N/A,,,,SRC00943,HIGH
FDR0148,S0052,P0260,Ankush Sachdeva,Co-founder & CEO,,True,,IIT Kanpur,,,,SRC00971,HIGH
FDR0149,S0052,P0261,Bhanu Pratap Singh,Co-founder (stepped back from day-to-day 2023),,,,,,,,SRC00985,
FDR0150,S0052,P0262,Farid Ahsan,Co-founder (stepped back from day-to-day 2023),,,,,,,,SRC00985,
FDR0151,S0052,P0263,Manohar Singh Charan,Co-founder & CFO,,True,,UNKNOWN,,,,SRC00973,HIGH
FDR0152,S0053,P0266,Nirmit Parikh,CEO / Founder,,,,,,,,SRC00998,
FDR0153,S0053,P0267,Aryan Kenchin,Co-founder,,,,,,,,SRC00998,
FDR0154,S0054,P0273,Shashvat Nakrani,Co-founder,co-founder,True,,IIT Delhi,,,,SRC01020,HIGH
FDR0155,S0054,P0274,Ashneer Grover,"Co-founder (ex; joined Nov 2018, resigned Mar 2022)",co-founder,False,,"IIT Delhi, IIM Ahmedabad",,,,SRC01014,HIGH
FDR0156,S0054,P0275,Bhavik Koladiya,Co-founder (incorporator Mar 2018; exited),co-founder,False,,Product/tech lead; later consultant; equity held via others,,,,SRC01021,MEDIUM
FDR0157,S0055,P0278,Saurav Kumar,Founder & CEO,,,,,,,,SRC01025,
FDR0158,S0056,P0284,Akshay Mehrotra,Co-founder & CEO,,,,,,,,SRC01046,
FDR0159,S0056,P0285,Ashish Goyal,Co-founder & CFO,,,,,,,,SRC01045,
FDR0160,S0057,P0286,Abhinav Shashank,Co-founder & CEO,co-founder,True,,,,,,SRC01052,HIGH
FDR0161,S0057,P0287,Kanav Hasija,Co-founder,co-founder,True,,,,,,SRC01054,MEDIUM
FDR0162,S0057,P0288,Sandeep Gupta,Co-founder,co-founder,True,,,,,,SRC01054,MEDIUM
FDR0163,S0058,P0289,Awais Ahmed,Founder and CEO,founder,True,,UNKNOWN (undergraduate studies in India per OurFutureAgenda; verify),,,,SRC01077,HIGH
FDR0164,S0058,P0290,Kshitij Khandelwal,Founder and CTO,founder,True,,UNKNOWN,,,,SRC01077,HIGH
FDR0165,S0059,P0291,Rajashree Nambiar,"Co-founder, MD & CEO",co-founder,True,,MBA JBIMS; ex-banker,,,,SRC01095,HIGH
FDR0166,S0059,P0292,Govind Sankaranarayanan,"Co-founder, Wholetime Director & COO",co-founder,True,,27 years at Tata; 30+ yrs experience,,,,SRC01095,HIGH
FDR0167,S0060,P0294,Sneh Vaswani,Co-founder & CEO,co-founder,True,,IIT Bombay,,,,SRC01103,HIGH
FDR0168,S0060,P0295,Prashant Iyengar,Co-founder & CTO,co-founder,True,,"IIT Bombay, MTech",,,,SRC01114,HIGH
FDR0169,S0060,P0296,Chintan Raikar,Co-founder & COO,co-founder,True,,,,,,SRC01114,HIGH
FDR0170,S0061,P0297,Ravi Ramachandran (legal: Ravishankar Ramachandran),Co-founder & CEO,co-founder,True,,CEO; ex-consumer background per company PR,,,,SRC01118,HIGH
FDR0171,S0061,P0298,Abhishek Ramanathan,Co-founder,co-founder,UNKNOWN,,,,,,SRC01133,MEDIUM
FDR0172,S0061,P0299,Projjol Banerjea,Director / co-founder (MCA director),co-founder,True,,,,,,SRC01121,MEDIUM
FDR0173,S0061,P0300,Swathi Kulkarni,Co-founder (per Inc42 profile; not in MCA director list seen),co-founder,UNKNOWN,,,,,,SRC01125,LOW
FDR0174,S0061,P0301,Ravi Ramachandran,Co-founder & CEO,,True,,CEO; ex-consumer background per company PR; founded Nua in 2017 after observing women in his life dealing with period discomfort,,,,SRC01124,HIGH
FDR0175,S0062,P0303,Akshat Nayyar,Co-founder & CEO,co-founder,True,,CEO; telehealth/generics thesis,,,,SRC01138,HIGH
FDR0176,S0062,P0304,Dr Kunal Wani,Co-founder,co-founder,True,,Medical doctor,,,,SRC01147,HIGH
FDR0177,S0063,P0306,Satrajit Bhattacharya (also rendered Satrajit Siva Bhattacharya),Founder & Vice Chairman,founder,True,,Ex-HDFC 28 years; dealmaker/strategist; Founder & Vice Chairman,,,,SRC01163,HIGH
FDR0178,S0063,P0307,Anil Kothuri,MD & CEO (co-founder),co-founder,True,,"Ex-FedFina CEO, Edelweiss Housing, Citi; MD & CEO",,,,SRC01163,HIGH
FDR0179,S0063,P0308,Kamal Rathi,Co-founder (technology),co-founder,True,,"Ex-Kotak SVP Technology, Paytm, Barclays; technology leadership",,,,SRC01172,MEDIUM
FDR0180,S0063,P0309,Satrajit Bhattacharya,Founder & Vice Chairman,,True,,UNKNOWN,,,,SRC01175,HIGH
FDR0181,S0064,P0314,Amit Kumar Aggarwal,Co-founder & CEO,,,,,,,,SRC01181,
FDR0182,S0064,P0315,Akhil Gupta,Co-founder,,,,,,,,SRC01181,
FDR0183,S0064,P0316,Saurabh Garg,Co-founder (CPO/CBO per Inc42 2026 feature),,,,,,,,SRC01181,
FDR0184,S0065,P0318,Pawan Kumar Chandana (Chandana),Co-founder & CEO,co-founder,True,,ISRO scientist; LVM3/Chandrayaan-3 production oversight; IIT graduate,,,,SRC01204,HIGH
FDR0185,S0065,P0319,Naga Bharath Daka,Co-founder & CTO,co-founder,True,,ISRO scientist; IIT graduate,,,,SRC01204,HIGH
FDR0186,S0066,P0321,Anirudh Sharma,Co-founder & CEO,,,,,,,,SRC01209,
FDR0187,S0066,P0322,Rahul Rawat,Co-founder,,,,,,,,SRC01210,
FDR0188,S0066,P0323,Tanveer Ahmed,Co-founder,,,,,,,,SRC01210,
