investor_id,name,type,geography,fund_vintage,notable_portfolio,india_presence,partner_if_public,notes
INV0196,Perplexity,Strategic Partner,,,,No,,
INV0197,STRIVE,,,,,,,
INV0198,ATI Investments,,,,,,,
INV0199,Nexus,VC,"Bengaluru, India",,,,,
INV0200,Vertex,,,,,,,
INV0201,SAP.iO,,,,,,,
INV0202,angels,,,,,,,
INV0203,Greenoaks,Hedge Fund,"San Francisco, USA",,,,,
INV0204,Vertex Ventures,VC,Singapore,,,active India investor,,
INV0205,Greycroft,VC,,,,,,
INV0206,Ignition,,,,,,,
INV0207,Eight Roads,CVC-corporate,"London, UK",,,,,
INV0208,Meritech,,,,,,,
INV0209,e.ventures,,,,,,,
INV0210,PSP,,,,,,,
INV0211,undisclosed (5 per SEC filing),,,,,,,
INV0212,SoftBank Vision Fund II (secondary),Sovereign/Govt,"Tokyo, Japan",,,,,
INV0213,SAP (strategic minority),,,,,,,
INV0214,Stakeboat Capital,,,,,,,
INV0215,Jyoti Bansal,,,,,,,
INV0216,JI Company,,,,,,,
INV0217,Stakeboat,,,,,,,
INV0218,IFC,Sovereign/Govt,"Washington, USA",,,,,
INV0219,Goldman Sachs Alternatives,,,,,,,
INV0220,A91 Partners,VC,"Mumbai, India",,,Mumbai,,
INV0221,ChrysCapital,PE,"Mumbai, India",,,,,
INV0222,Dragon Funds,,,,,,,
INV0223,TR Capital,,,,,,,
INV0224,Goldman Sachs Asset Management,,,,,,,
INV0225,Steadview Capital,Hedge Fund,"Mumbai, India",,,,,
INV0226,Multiples Alternate Asset Management,PE,,,,,,
INV0227,Eight Roads Ventures,CVC-corporate,"London, UK",,,,,
INV0228,Apis Partners,PE,"London, UK",,,,,
INV0229,Winter Capital,,,,,,,
INV0230,Evolvence,,,,,,,
INV0231,RevX Capital,,,,,,,
INV0232,FTV Capital,,,,,,,
INV0233,Sequoia Capital,VC,"Menlo Park, CA, USA",,,,,
INV0234,Mastercard,CVC-corporate,"Purchase, USA",,,,,
INV0235,Sequoia Capital (Peak XV),VC,"Menlo Park, CA, USA",,,,,
INV0236,Reliance Industries,CVC-corporate,,,,,,
INV0237,M12,CVC-corporate,,,,,,
INV0238,Point72 Ventures,,,,,,,
INV0239,Silicon Valley Bank,,,,,,,
INV0240,Point72 Private Investments,,,,,,,
INV0241,Qualcomm Ventures,Corporate VC,"San Diego, USA",,,Yes,,
INV0242,Pavilion Capital,,,,,,,
INV0243,Point72 Private Investments/Ventures,,,,,,,
INV0244,M12 (Microsoft),CVC-corporate,,,,,,
INV0245,Coatue,Hedge Fund / Growth,"New York, USA",,,Yes,,
INV0246,Battery Ventures,,,,,,,
INV0247,CRV,VC,,,,,,
INV0248,Bond Capital,VC,"San Francisco, USA",,,,,
INV0249,Optum (UnitedHealth),,,,,,,
INV0250,Optum,,,,,,,
INV0251,Optum (UnitedHealth Group),,,,,,,
INV0252,Sodexo,,,,,,,
INV0253,F2A,,,,,,,
INV0254,Sodexo BRS,,,,,,,
INV0255,QIA,,,,,,,
INV0256,Google,corporate VC,USA,,,,,
INV0257,Flipkart (company-funded),CVC-corporate,"Bengaluru, India",,,,,
INV0258,Wellington Management,,,,,,,
INV0259,Navin Honagudi,,,,,,,
INV0260,Kalysta Capital,,,,,,,
INV0261,Sandeep Tandon,,,,,,,
INV0262,Rajeev Chitrabhanu,,,,,,,
INV0263,Vellayan Subbiah,,,,,,,
INV0264,Anupam Mittal,,,,,,,
INV0265,Central Park Securities Holding,,,,,,,
INV0266,Ramachandran Sridhar,,,,,,,
INV0267,Mahindra,,,,,,,
INV0268,Claris Capital,,,,,,,
INV0269,Saragroup,,,,,,,
INV0270,Enrsingapore,,,,,,,
INV0271,Satya Remala,,,,,,,
INV0272,Rao Remala,,,,,,,
INV0273,Balz Roth,,,,,,,
INV0274,Mahindra Partners,,,,,,,
INV0275,Lightstone Ventures,,,,,,,
INV0276,Vitruvian Partners,,,,,,,
INV0277,Pirozshaw Sarkari,,,,,,,
INV0278,India Internet Fund,,,,,,,
INV0279,Portobello Holdco Sarl,,,,,,,
INV0280,Lightrock,,,,,,,
INV0281,ESOP pool buyers,,,,,,,
INV0282,Digga Family Trust,,,,,,,
INV0283,Kedaara,PE,"Mumbai, India",,,,,
INV0284,Wellington,,,,,,,
INV0285,upGrad (buyer),,,,,,,
INV0286,upGrad,,,,,,,
INV0287,Ronnie Screwvala,Angel,Mumbai,,,India,,
INV0288,360,,,,,,,
INV0289,ABC World Asia,Impact Investing Fund,,,,Yes,,
INV0290,existing investors incl. ABC World,,,,,,,
INV0291,Accel India,Venture Capital,"San Francisco, USA",,,Yes,,
INV0292,Omidyar Network,Impact Investing,,,,Yes,,
INV0293,Stride Ventures,Venture Debt,Mumbai,,,Yes,,
INV0294,Rakesh Gangwal,,,,,,,
INV0295,D1 Capital Partners,Hedge Fund,,,,,,
INV0296,D1 Capital,Hedge Fund,,,,,,
INV0297,Baillie Gifford,,,,,,,
INV0298,Bharat Value Fund,,,,,,,
INV0299,HNIs,,,,,,,
INV0300,Footpath Ventures,VC,,,,,,
INV0301,Falcon Edge/Alpha Wave,VC,UNKNOWN,,,,,
INV0302,TPG Growth,PE,"San Francisco, CA, USA",,,,,
INV0303,Steadview,Hedge Fund,"Mumbai, India",,,,,
INV0304,Redbird Capital,,,,,,,
INV0305,Alpha Wave Global (Falcon Edge),PE,"New York, USA",,,,,
INV0306,Mars Growth Capital,,,,,,,
INV0307,Mars Growth Capital (MUFG/Liquidity JV),,,,,,,
INV0308,Varde Partners,,,,,,,
INV0309,Elham Credit Partners,,,,,,,
INV0310,SeaTown Holdings,,,,,,,
INV0311,Baring,,,,,,,
INV0312,Kleiner Perkins,,,,,,,
INV0313,Sherpalo Ventures,,,,,,,
INV0314,"Google (Glance backer, 20.3%)",CVC-corporate,"Mountain View, CA, USA",,,,,
INV0315,"Jio Platforms (Glance backer, 10.1%)",,,,,,,
INV0316,Fidelity Investments (secondary),Financial Services,"Boston, MA, USA",,,,,
INV0317,"public shareholders; OFS sellers: Sanjay Nayar Family Trust, TPG Growth IV SF, Lighthouse funds, JM Financial, others",,,,,,,
INV0318,Lighthouse Advisors,,,,,,,
INV0319,Evolvence Capital,,,,,,,
INV0320,KKR (secondary buyer),PE,"New York, USA",,,,,
INV0321,Coatue (seller),Hedge Fund,"New York, USA",,,,,
INV0322,Lightbox (seller),,,,,,,
INV0323,Qatar Investment Authority,Sovereign/Govt,,,,,,
INV0324,Sequoia India (now Peak XV Partners),,,,,,,
INV0325,Lightbox,VC,,,,,,
INV0326,L Catterton,PE,"Greenwich, United States",,,,,
INV0327,Nestle S.A.,Corporate,"Vevey, Switzerland",,,Nestle India (Mumbai),,
INV0328,Khazanah Nasional Berhad,,,,,,,
INV0329,Apax Partners,,,,,,,
INV0330,TPG Capital,PE,"San Francisco, CA, USA",,,,,
INV0331,Trust Investment Advisors funds,,,,,,,
INV0332,Neo Asset Management,,,,,,,
INV0333,Apax Partners (Quinag Bidco),,,,,,,
INV0334,TA Associates,,,,,,,
INV0335,Artal Asia (Invus affiliate),,,,,,,
INV0336,SC Ventures (Standard Chartered),,,,,,,
INV0337,Heron Rock,,,,,,,
INV0338,William R Jarvis,,,,,,,
INV0339,Capria,,,,,,,
INV0340,BNK Ventures,,,,,,,
INV0341,JumboFund,,,,,,,
INV0342,Jarvis Family Investments,,,,,,,
INV0343,Siddhi Capital,,,,,,,
INV0344,William Jarvis,,,,,,,
INV0345,SEE,,,,,,,
INV0346,e Analytics Partners,,,,,,,
INV0347,Reaction,,,,,,,
INV0348,Vikas Aggarwal,,,,,,,
INV0349,Radha B G,,,,,,,
INV0350,Anjana Aggarwal,,,,,,,
INV0351,Abheek Singhi,,,,,,,
INV0352,Rubal Jain,,,,,,,
INV0353,Janmejaya Sinha,,,,,,,
INV0354,Raman Aggarwal,,,,,,,
INV0355,Sudhir Menon,,,,,,,
INV0356,Sachin Nandgaonkar,,,,,,,
INV0357,Rohan Lamba,,,,,,,
INV0358,Bhago Mobility,,,,,,,
INV0359,Pimpernel Holdings,,,,,,,
INV0360,Compaa de Galletas Noel,,,,,,,
INV0361,Natesan Synchrocones,,,,,,,
INV0362,Alpesh Shah,,,,,,,
INV0363,Srinivasan Raman,,,,,,,
INV0364,Ravi Srivastava,,,,,,,
INV0365,Arindam Kumar Bhattacharya,,,,,,,
INV0366,Veronorte,,,,,,,
INV0367,The Peter Crosby Estate Discretionary,,,,,,,
INV0368,Euthymia,,,,,,,
INV0369,Klinkert Investments,,,,,,,
INV0370,VII Ventures,,,,,,,
INV0371,Alteria Capital,Venture Debt,,,,Yes,,
INV0372,Shyam Narayan Viswanathan,,,,,,,
INV0373,Ganesh Guruswamy,,,,,,,
INV0374,Venkateshwaran Balaram,,,,,,,
INV0375,Rishikeshvakula Varadarajan,,,,,,,
INV0376,Discovery Ventures,,,,,,,
INV0377,Natesan,,,,,,,
INV0378,Invus,,,,,,,
INV0379,Artal Asia,,,,,,,
INV0380,Ajax Partners,,,,,,,
INV0381,Innoven Capital,,,,,,,
INV0382,Jarvis Reserve Fund,,,,,,,
INV0383,Sabre Investment,,,,,,,
INV0384,W250 Venture Fund,,,,,,,
INV0385,Dfosg,,,,,,,
INV0386,Yogesh Chaudhary,,,,,,,
INV0387,Alok Kumar Ramsisaria,,,,,,,
INV0388,Sameer Jain,,,,,,,
INV0389,Vasudha Karthik,,,,,,,
INV0390,Sampat Singh Ahluwalia,,,,,,,
INV0391,Chitranjan Agarwal,,,,,,,
INV0392,Sabre Investment Consultants,,,,,,,
INV0393,Jarvis,,,,,,,
INV0394,Abhinav Bhalaik,,,,,,,
INV0395,Ramesh Gopal,,,,,,,
INV0396,Kashish Bhatia,,,,,,,
INV0397,NEC Corporation,,,,,,,
INV0398,SC Ventures,,,,,,,
INV0399,Artal Asia (Invus),,,,,,,
INV0400,"Nexus Venture Partners, Kalaari Capital",VC,"Bengaluru, India",,,,,
INV0401,Goldman Sachs,,,,,,,
INV0402,Saint-Gobain,,,,,,,
INV0403,Helion Venture Partners,,,,,,,
INV0404,Jungle Ventures,VC,Singapore,,,,,
INV0405,Oak Group,,,,,,,
INV0406,Gokul Rajaram,,,,,,,
INV0407,IKEA (Ingka Group),,,,,,,
INV0408,Kharis Capital,,,,,,,
INV0409,Venturi Partners,,,,,,,
INV0410,Tahoe Investment Group,,,,,,,
INV0411,EDBI,,,,,,,
INV0412,Ingka Group,,,,,,,
INV0413,Trifecta Capital,VC,"Bengaluru, India",,,,,
INV0414,QuaeroQ,,,,,,,
INV0415,JV LivSpace SPV,,,,,,,
INV0416,Peugeot Invest,,,,,,,
INV0417,Reno Asia Holdings,,,,,,,
INV0418,Singapore parent entity (rights issue),,,,,,,
INV0419,Undisclosed,,,,,,,
INV0420,"Ingka Group (IKEA), Jungle Ventures, Venturi Partners, Peugeot Invest",,,,,,,
INV0421,"Fidelity, B Capital, Prosus, SoftBank Vision Fund 2",Financial Services,"Boston, MA, USA",,,,,
INV0422,"Tiger Global, Think Investments, Mars Growth Capital",Hedge Fund,"New York, NY, USA",,,,,
INV0423,public IPO; anchor $270M,,,,,,,
INV0424,"SoftBank, Prosus, Fidelity (no OFS sale at IPO)",Sovereign/Govt,"Tokyo, Japan",,,,,
INV0425,"Elevation Capital, Peak XV Partners, Y Combinator (sold partial in IPO)",VC,"Bengaluru, India",,,,,
INV0426,Peak XV Partners (formerly Sequoia India),VC,"Bengaluru, India",,,,,
INV0427,Facebook,,,,,,,
INV0428,Venture Highway,,,,,,,
INV0429,Plum Wood (Warburg Pincus affiliate),,,,,,,
INV0430,Bhavish Aggarwal,,,,,,,
INV0431,Edelweiss,Financial Services,,,,Yes,,
INV0432,"SoftBank (~26%), Tiger Global, Tencent (historic stakes)",Sovereign/Govt,"Tokyo, Japan",,,,,
INV0433,Temasek / Warburg Pincus,Sovereign/Govt,Singapore,,,,,
INV0434,"Vanguard (markdown holder, not lead investor)",,,,,,,
INV0435,Vanguard,Asset Management,,,,Yes (invested 2015),,
INV0436,Warburg Pincus,Private Equity,,,,Yes,,
INV0437,Hyundai Motor Company,Automotive,,,,Yes,,
INV0438,Kia,Automotive,,,,Yes,,
INV0439,IIFL,Financial Services,,,,Yes,,
INV0440,RNT Associates,Investment,,,,Yes,,
INV0441,Sachin Bansal,Individual / Angel,,,,Yes,,
INV0442,Swiggy,,,,,,,
INV0443,AdvantEdge Partners,,,,,,,
INV0444,Astarc Ventures,,,,,,,
INV0445,Tessellate Ventures,,,,,,,
INV0446,AdvantEdge,,,,,,,
INV0447,private backers,,,,,,,
INV0448,Integrated Capital,,,,,,,
INV0449,Merchants Capital,,,,,,,
INV0450,Abhimanyu Munjal,,,,,,,
INV0451,BAce Capital,,,,,,,
INV0452,Shunwei Capital,,,,,,,
INV0453,Konark Trust,,,,,,,
INV0454,MMPL Trust,,,,,,,
INV0455,Everblue Bangladesh,,,,,,,
INV0456,Shell Ventures,,,,,,,
INV0457,Yamaha,,,,,,,
INV0458,Kunal Shah (CRED),,,,,,,
INV0459,Amarjit Singh Batra (Spotify India),,,,,,,
INV0460,Positive Moves Consulting,,,,,,,
INV0461,Everblue Management,,,,,,,
INV0462,QED Innovation Labs,,,,,,,
INV0463,Motherson Lease Solutions,,,,,,,
INV0464,Prosus (MIH Investments One BV),PE,"Amsterdam, Netherlands",,,,,
INV0465,WestBridge Capital (Setu AIF Trust),PE,"Mumbai, India",,,,,
INV0466,angel investors (via private wealth platforms),,,,,,,
INV0467,WestBridge Capital (largest holder ~25.6%),PE,"Mumbai, India",,,,,
INV0468,Swiggy (exited Sep 2025),,,,,,,
INV0469,Times Group,,,,,,,
INV0470,India Quotient,,,,,,,
INV0471,Xiaomi,,,,,,,
INV0472,5Y Capital,,,,,,,
INV0473,Hillhouse,,,,,,,
INV0474,TrustBridge Partners,,,,,,,
INV0475,Twitter Ventures,,,,,,,
INV0476,HarbourVest Partners,,,,,,,
INV0477,SWC Global Ventures,,,,,,,
INV0478,Touchstone Partners,,,,,,,
INV0479,Alkeon Capital Management,,,,,,,
INV0480,Moore Capital Management,,,,,,,
INV0481,Brand Capital,,,,,,,
INV0482,RIMCO,,,,,,,
INV0483,Tencent (via Zennis Capital BV and Hlodyn BV),CVC-corporate,,,,,,
INV0484,other investors,,,,,,,
INV0485,Peak XV (Sequoia),VC,"Bengaluru, India",,,,,
INV0486,Owl Ventures,VC,"San Francisco, USA",,,,,
INV0487,Alteria Capital + others,,,,,,,
INV0488,Hero MotoCorp,,,,,,,
INV0489,Athera Venture Partners,,,,,,,
INV0490,QRG,,,,,,,
INV0491,ADB Ventures,,,,,,,
INV0492,Moglix,,,,,,,
INV0493,Trifecta,VC,"Bengaluru, India",,,,,
INV0494,British International Investment,,,,,,,
INV0495,BlackSoil,,,,,,,
INV0496,responsAbility Investments AG,,,,,,,
INV0497,Hero MotoCorp (~35-36% stake),,,,,,,
INV0498,TR Capital (secondary-heavy),,,,,,,
INV0499,TPG Rise Fund (primary),PE,"San Francisco, CA, USA",,,,,
INV0500,TPG Rise Fund,PE,"San Francisco, CA, USA",,,,,
INV0501,International Finance Corporation (IFC),DFI,,,,active India investor,,
INV0502,Banner Health,,,,,,,
INV0503,Danaher Ventures,,,,,,,
INV0504,Generation IM,,,,,,,
INV0505,Kaiser Permanente,,,,,,,
INV0506,Lightspeed Ventures,VC,"Bengaluru, India",,,,,
INV0507,growX,VC,,,,,,
INV0508,Omnivore VC,VC,"Bengaluru, India",,,,,
INV0509,Techstars,,,,,,,
INV0510,Ryan Johnson,,,,,,,
INV0511,Radical Ventures,VC,Canada,,,,,
INV0512,Seraphim,VC,UK,,,,,
INV0513,Blume,,,,,,,
INV0514,Sparta,,,,,,,
INV0515,Athera,,,,,,,
INV0516,Accenture Ventures,,,,,,,
INV0517,Jordan Noone,,,,,,,
INV0518,M&G plc,Financial Services,,,,,,
INV0519,IMM Investment,,,,,,,
INV0520,FMO,,,,,,,
INV0521,Finnfund,,,,,,,
INV0522,Finnfund DAIF,,,,,,,
INV0523,Eversource Capital,,,,,,,
INV0524,Mirova,,,,,,,
INV0525,Mirova (Natixis IM),,,,,,,
INV0526,Eversource Capital (Everstone + Lightsource bp),,,,,,,
INV0527,FMO (Dutch DFI),,,,,,,
INV0528,IvyCap Ventures,Venture Capital,"Mumbai, India",,,India HQ,,
INV0529,YourNest,,,,,,,
INV0530,Aroa Ventures,,,,,,,
INV0531,Ritesh Agarwal,,,,,,,
INV0532,AMDG-PAX Foundation,Non-Profit Foundation,,,,No India office; investor only,,
INV0533,iHeartMedia,Corporation,,,,No India office; investor only,,
INV0534,Stride Ventures / Trifecta (debt),,,,,,,
