person_id,startup_id,name,position,start_date,end_date,prev,linkedin,source_id,confidence
P0063,S0013,Raguraman Barathalwar,CTO and VP of Engineering,,,,,SRC00249,MEDIUM
P0064,S0013,Sheetal Chittawar,"Director, Silicon Strategy",,,,,SRC00249,MEDIUM
P0065,S0013,Sambit Sahu,Cofounder (Bodhi Computing),,2025,,,SRC00249,MEDIUM
P0066,S0013,Sunit S,Senior Product Leader,,2025,,,SRC00249,MEDIUM
P0067,S0013,Chandra Khatri,Founding Head of AI,,2025,,,SRC00249,MEDIUM
P0068,S0013,Goutham Ramkumar,Director - Evaluation and AI Data,,2025,,,SRC00250,MEDIUM
P0069,S0013,Rajesh Jayaram,Senior Director - Platform Hardware Architect,,2025,,,SRC00250,MEDIUM
P0070,S0013,Ramesh Babu Giri,Head of Software Engineering - AI Server,,2025,,,SRC00250,MEDIUM
P0071,S0013,Vineet Agarwal,Director - Corporate Finance & IR,,2025,,,SRC00250,MEDIUM
P0072,S0013,Ajay Raut,Senior Director - Cloud Architect,,2025,,,SRC00250,MEDIUM
P0073,S0013,Kishore Kulkarni,Senior Technologist,,2025,,,SRC00250,MEDIUM
P0078,S0016,Ronnie Screwvala,Co-founder & Chairman,,,,,SRC00292,HIGH
P0080,S0016,Phalgun Kompalli,Co-founder,,,,,SRC00297,HIGH
P0081,S0016,Ravijot Chugh,Co-founder (former),,,,,SRC00298,HIGH
P0079,S0016,Mayank Kumar,Co-founder (former),,,,,SRC00299,HIGH
P0082,S0016,Arjun Mohan,Former CEO,,2023-01,,,SRC00300,HIGH
P0083,S0016,Mukesh Mundra,CFO,,,,,SRC00301,HIGH
P0084,S0016,Gaurav Munjal,CEO (Unacademy post-acquisition),,,,,SRC00302,HIGH
P0085,S0016,Gaurav Kumar,Former President Strategy,,2024-11,,,SRC00303,HIGH
P0086,S0017,Ritesh Arora,Co-founder & CEO,,,,,SRC00341,HIGH
P0087,S0017,Nakul Aggarwal,Co-founder & CTO,,,,,SRC00341,HIGH
P0088,S0018,Pravin Jadhav,Founder & CEO,,,,,SRC00366,HIGH
P0089,S0018,Jay Prakash Gupta,Co-founder,,,,,SRC00352,HIGH
P0090,S0018,Alok Pandey,Co-founder,,,,,SRC00352,HIGH
P0091,S0018,Raunak Rathi,Co-founder and Director,,,,,SRC00357,MEDIUM
P0095,S0019,Siddharth Shah,Co-founder & continuing leader,,,,,SRC00369,HIGH
P0095,S0019,Siddharth Shah,Co-founder,,,,,SRC00379,HIGH
P0097,S0019,Rahul Guha,MD & CEO,,,,,SRC00380,HIGH
P0092,S0019,Dharmil Sheth,Co-founder,,,,,SRC00369,HIGH
P0093,S0019,Dhaval Shah,Co-founder,,,,,SRC00369,HIGH
P0094,S0019,Hardik Dedhia,Co-founder,,,,,SRC00369,HIGH
P0096,S0019,Harsh Parekh,Co-founder,,,,,SRC00381,HIGH
P0098,S0019,Alok Jagnani,CFO,,,,,SRC00380,HIGH
P0099,S0019,Dr. Jaydeep Tank,Independent Director,,,,,SRC00380,HIGH
P0100,S0020,Nalin Agrawal,Co-Founder,,,,,SRC00413,
P0101,S0020,Anil Gelra,Co-Founder,,,,,SRC00416,
P0102,S0020,Abhineet Sawa,Co-Founder,,,,,SRC00413,
P0103,S0020,Prashasta Seth,Investor / Board Member,,,,,SRC00418,
P0104,S0021,Ravi Kumar,Co-founder & CEO,,,,,SRC00431,HIGH
P0106,S0021,Raghu Kumar,Co-founder,,,,,SRC00431,HIGH
P0108,S0021,Shrinivas Viswanath,Co-founder,,,,,SRC00431,HIGH
P0109,S0021,Ravi Chandran Kumar,Board Director,,,,,SRC00433,HIGH
P0108,S0021,Shrinivas Viswanath,Board Director,,,,,SRC00433,HIGH
P0113,S0022,Vishnu Menon,"SVP, Head of Business Finance",,,,,SRC00452,MEDIUM
P0117,S0023,Nitin Sood,Chief Financial Officer,,,,,SRC00458,HIGH
P0114,S0023,Varun Dua,Founder,,,,,SRC00465,
P0116,S0023,Ruchi Deepak,Co-founder,,,,,SRC00465,
P0121,S0025,Mukesh Bansal,Co-Founder,,,,,SRC00497,
P0122,S0025,Ankit Nagori,Co-Founder,,,,,SRC00497,
P0123,S0025,Rishabh Telang,Co-Founder & CEO,,,,,SRC00497,
P0124,S0025,Deepak Poduval,Co-Founder,,,,,SRC00497,
P0125,S0025,Vani Kola,Board Member,,,,,SRC00499,
P0126,S0026,Krish Ramineni,Co-Founder & CEO,,,,,SRC00518,
P0127,S0026,Sam Udotong,Co-Founder & CTO,,,,,SRC00518,
P0130,S0027,Suku Krishnaraj,COO / President GTM (from ~Sep 2024),,,,,SRC00541,MEDIUM
P0133,S0028,Anand Subbaraman,CEO (2025-),,,,,SRC00548,HIGH
P0134,S0029,Nilesh Patel,Co-founder & CEO,,,,,SRC00569,HIGH
P0135,S0029,Prashant Singh,Co-founder & COO,,,,,SRC00577,HIGH
P0136,S0029,Sudhakar Gorti,Co-founder,,2023,,,SRC00577,HIGH
P0137,S0029,Sukhbir Kalsi,Co-founder (disputed),,unknown,,,SRC00569,LOW
P0140,S0030,Yashwanth Reddy,Chief Revenue Officer,,,,,SRC00583,MEDIUM
P0141,S0030,Narasimha Reddy,CFO and Head - Strategic Initiatives,,,,,SRC00583,MEDIUM
P0144,S0032,Dhiraj Rajaram,Founder & CEO,,,,,SRC00599,HIGH
P0146,S0032,Ambiga Subramanian,"Co-founder, ex-CEO",,,,,SRC00598,MEDIUM
P0147,S0032,Dhiraj Rajaram Chidambaram,Director,,,,,SRC00602,HIGH
P0148,S0032,Trichur Narayanaswamy Kumar,Director,,,,,SRC00602,HIGH
P0149,S0032,Alokesh Das,Director,,,,,SRC00602,HIGH
P0150,S0032,Pat Ryan,Investor / Litigant,,,,,SRC00598,MEDIUM
P0153,S0033,Sreekanth Annapureddy,Chief Technology Officer (current listing),,,,,SRC00605,MEDIUM
P0154,S0033,Durgadutt Nedungadi,"SVP & GM, Middle East, India & APAC",,,,,SRC00607,MEDIUM
P0155,S0034,Abhinav Asthana,CEO & Co-founder,,,,,SRC00612,HIGH
P0156,S0034,Ankit Sobti,CTO & Co-founder,,,,,SRC00612,HIGH
P0157,S0034,Abhijit Kane,Co-founder,,,,,SRC00612,HIGH
P0158,S0034,Gokul Rajaram,Board Member / Investor,,,,,SRC00615,MEDIUM
P0159,S0034,Girish Mathrubootham,Board Member / Investor,,,,,SRC00615,MEDIUM
P0160,S0035,Bhavin Turakhia,Co-Founder & CEO,,,,,SRC00640,HIGH
P0161,S0035,Ramki Gaddipati,Co-Founder & CTO,,,,,SRC00631,HIGH
P0163,S0035,Karla Booe,Chief Compliance Officer,,,,,SRC00635,HIGH
P0164,S0035,Sivaram Kowta,"President, India",,,,,SRC00627,MEDIUM
P0165,S0035,Shashank Mehrotra,Chief Marketing Officer & President,,,,,SRC00631,MEDIUM
P0166,S0035,Gary Singh,"President, US",,,,,SRC00627,MEDIUM
P0162,S0035,Abhijit Jaiswal,Co-Founder,,,,,SRC00631,MEDIUM
P0169,S0036,Kalyan Krishnamurthy,Group CEO,,,,,SRC00646,HIGH
P0170,S0036,Lydia Bly Jett,Independent Director,,,,,SRC00649,MEDIUM
P0171,S0036,Keki Minoo Mistry,Director,,,,,SRC00649,MEDIUM
P0167,S0036,Sachin Bansal,Co-founder,,,,,SRC00651,HIGH
P0168,S0036,Binny Bansal,Co-founder,,,,,SRC00647,HIGH
P0172,S0037,Pranav Goel,Co-founder,,,,,SRC00664,HIGH
P0173,S0037,Uttam Digga,Co-founder,,,,,SRC00664,HIGH
P0174,S0037,Vikas Choudhary,Co-founder,,,,,SRC00661,MEDIUM
P0175,S0037,Shruti Ranjan Satpathy,Chief Product and Technology Officer,,,,,SRC00664,HIGH
P0176,S0037,Anant Gupta,Partner,,,,,SRC00656,MEDIUM
P0177,S0037,Pranjal Mishra,UNKNOWN,,,,,,LOW
P0178,S0037,Kartik Singal,UNKNOWN,,,,,,LOW
P0084,S0038,Gaurav Munjal,Co-founder & CEO,,2025-05-28,,,SRC00680,HIGH
P0179,S0038,Roman Saini,Co-founder,,2025-05-28,,,SRC00671,HIGH
P0180,S0038,Hemesh Singh,Co-founder & CTO,,2024-06,,,SRC00680,HIGH
P0181,S0038,Sumit Jain,"Co-founder (via OpenTalk acquisition), CEO Test Prep",,2026-05-19,,,SRC00681,HIGH
P0182,S0038,Shashank Murali,Confidante of Munjal,,2025,,,SRC00680,MEDIUM
P0079,S0038,Mayank Kumar,Director,,,,,SRC00688,MEDIUM
P0083,S0038,Mukesh Mundra,Director,,,,,SRC00688,MEDIUM
P0183,S0039,Vamsi Krishna,Co-Founder & CEO,,,,,SRC00699,
P0184,S0039,Pulkit Jain,Co-Founder,,,,,SRC00704,
P0185,S0039,Anand Prakash,Co-Founder,,,,,SRC00704,
P0186,S0039,Saurabh Saxena,Co-Founder,,,,,SRC00705,
P0187,S0039,Pankaj Jain,CFO,,,,,SRC00698,
P0189,S0040,Amrit Pratik Acharya,Co-founder & CEO,,,,,SRC00716,HIGH
P0190,S0040,Srinath Ramakkrushnan,Co-founder,,,,,SRC00716,HIGH
P0191,S0040,Vishal Chaudhary,Co-founder,,,,,SRC00716,HIGH
P0192,S0040,Rahul Sharma,Co-founder,,2026,,,SRC00724,HIGH
P0193,S0040,Ankit Fatehpuria,Co-founder,,,,,SRC00722,HIGH
P0194,S0040,Pulkit Bhandari,CFO,,,,,SRC00721,HIGH
P0196,S0042,Naveen Tewari,Founder & CEO,,,,,SRC00756,HIGH
P0198,S0042,Abhay Singhal,Co-Founder,,,,,SRC00762,HIGH
P0197,S0042,Mohit Saxena,Co-Founder,,,,,SRC00763,HIGH
P0199,S0042,Piyush Shah,Co-Founder,,,,,SRC00764,HIGH
P0200,S0042,Marc Steifman,CFO,,,,,SRC00765,HIGH
P0201,S0042,Amit Chauhan,Chief Legal Officer,,,,,SRC00761,HIGH
P0202,S0042,Shefali Rai,SVP & CHRO,,,,,SRC00767,HIGH
P0203,S0042,Dr. Subi Chaturvedi,SVP & Chief Corporate Affairs & Public Policy Officer,,,,,SRC00768,HIGH
P0204,S0042,Kunal Nagpal,Chief Business Officer,,,,,SRC00766,HIGH
P0205,S0042,Mansi Jain,COO,,,,,SRC00769,HIGH
P0209,S0043,Sanjay Nayar (KKR India chairman; family trust promoter),Promoter group / Director,,,,,SRC00776,HIGH
P0210,S0044,Jaydeep Barman,Co-founder & CEO,,,,,SRC00785,HIGH
P0211,S0044,Kallol Banerjee,Co-founder,,,,,SRC00785,HIGH
P0212,S0044,Raghav Joshi,Co-founder,,,,,SRC00791,MEDIUM
P0213,S0044,Piyush Kakkad,CFO,,,,,SRC00786,HIGH
P0214,S0044,Ankush Grover,CEO,,,,,SRC00793,LOW
P0215,S0044,Akshay Tanna,"Partner, Head of India Private Equity",,,,,SRC00785,HIGH
P0218,S0045,Shashank Sinha,CEO,,,,,SRC00801,HIGH
P0224,S0046,Puneet Bhatia,"Chairman, Non-Executive Director",,,,,SRC00826,MEDIUM
P0225,S0047,S. Karthik Venkateswaran,Co-founder & CEO,,,,,SRC00834,HIGH
P0226,S0047,Ashish Jhina,Co-founder & COO,,,,,SRC00834,HIGH
P0227,S0047,Benjamin Frank Felt,Board Member,,,,,SRC00833,HIGH
P0228,S0047,Gautam Jain,Board Member,,,,,SRC00835,HIGH
P0229,S0047,Francis Cukierman Victor,Nominee Director,,,,,SRC00833,HIGH
P0230,S0047,Sameer Verma,Director,,,,,SRC00833,HIGH
P0231,S0047,Thomas Joseph Lloyd Williams,Director,,,,,SRC00833,HIGH
P0232,S0048,Anuj Srivastava,Co-founder and Chairman of the Board,,,,,SRC00856,HIGH
P0233,S0048,Ramakant Sharma,Co-founder and CEO,,,,,SRC00856,HIGH
P0235,S0048,Saurabh Jain,Co-founder (exited),,2026-02-20,,,SRC00858,HIGH
P0234,S0048,Shagufta Anurag,Co-founder,,,,,SRC00875,MEDIUM
P0236,S0048,Ankit Shah,Chief Strategy Officer,,,,,SRC00876,HIGH
P0237,S0048,Kartik Bhandari,Chief Marketing Officer,,,,,SRC00867,MEDIUM
P0238,S0048,Lalit Mittal,Chief Business Officer - India,,,,,SRC00867,MEDIUM
P0239,S0048,Abhishek Kasina,Group Chief Product Officer,,,,,SRC00867,MEDIUM
P0240,S0048,Gourav Khetan,Exited key person,,,,,SRC00877,LOW
P0245,S0049,Dhiresh Bansal,CFO,,,,,SRC00893,HIGH
P0246,S0049,Mohit Bhatnagar,Nominee Director (Peak XV Partners),,,,,SRC00893,HIGH
P0247,S0049,Rahul Bhardwaj,Company Secretary,,,,,SRC00893,HIGH
P0248,S0049,Mukul Arora,Director,,,,,SRC00893,HIGH
P0018,S0049,Rohit Bhagat,Director,,,,,SRC00893,HIGH
P0249,S0049,Hari Shanker Bhartia,Director,,,,,SRC00893,HIGH
P0250,S0049,Kimsuka Narsimhan,Director,,,,,SRC00893,HIGH
P0060,S0050,Bhavish Aggarwal,Founder & CEO,,,,,SRC00913,
P0251,S0050,Ankit Bhati,Co-Founder,,,,,SRC00913,
P0252,S0050,Arun Sarin,Board Member,,,,,SRC00913,
P0253,S0050,Krishnamurthy Venugopal Tenneti,Director,,,,,SRC00913,
P0254,S0050,Brent Richard Irvin,Director,,,,,SRC00913,
P0255,S0051,Aravind Sanka,Co-founder & CEO,,,,,SRC00925,HIGH
P0256,S0051,Pavan Guntupalli,Co-founder,,,,,SRC00928,HIGH
P0259,S0051,Srivatsa Katta,CTO,,,,,SRC00929,MEDIUM
P0260,S0052,Ankush Sachdeva,Co-founder & CEO,,,,,SRC00971,HIGH
P0261,S0052,Bhanu Pratap Singh,Co-founder & CTO (stepped down 2023),,2023-01,,,SRC00972,HIGH
P0262,S0052,Farid Ahsan,Co-founder & COO (stepped down 2023),,2023-01,,,SRC00972,HIGH
P0263,S0052,Manohar Singh Charan,Co-founder & CFO,,,,,SRC00973,HIGH
P0264,S0052,Nitin Jain,CTO,,,,,SRC00973,HIGH
P0265,S0052,Gaurav Bhatia,SVP Engineering,,,,,SRC00972,MEDIUM
P0266,S0053,Nirmit Parikh,Founder & Group CEO,,,,,SRC00998,HIGH
P0267,S0053,Aryan Kenchin,Former Co-Founder,,,,,SRC00998,HIGH
P0268,S0053,Kartik Narayan,CEO - Jobs Marketplace,,,,,SRC01004,HIGH
P0269,S0053,Vidyut Harivadan Parikh,Director,,,,,SRC01003,HIGH
P0270,S0053,Komal Lakhwani,Company Secretary,,,,,SRC01003,HIGH
P0271,S0053,John Philip,CBO - BlueMachines.ai,,,,,SRC01005,MEDIUM
P0272,S0053,Kshitij Jain,COO - BlueMachines.ai,,,,,SRC01006,MEDIUM
P0276,S0054,Nalin Negi,CEO (ex-CFO),,,,,SRC01013,MEDIUM
P0277,S0054,Rajnish Kumar,Chairman,,,,,SRC01013,MEDIUM
P0278,S0055,Saurav Kumar,Founder & CEO,,,,,SRC01035,HIGH
P0085,S0055,Gaurav Kumar,Head of Supply Chain & Manufacturing,,,,,SRC01029,MEDIUM
P0279,S0055,Anal Vijay Singh,VP Manufacturing & Plant Head,,,,,SRC01036,HIGH
P0280,S0055,Ashish Tandon,Global Head for Customer Excellence,,,,,SRC01037,HIGH
P0281,S0055,Pallavi Arora,Associate Vice President - Marketing,,,,,SRC01038,HIGH
P0282,S0055,Kausalya Nandakumar,Nominee Director (Hero MotoCorp),,,,,SRC01039,HIGH
P0283,S0055,Aayush Parwal,Nominee Director,,,,,SRC01029,MEDIUM
P0293,S0059,Nelson D'Souza,CFO,,,,,SRC01099,MEDIUM
P0301,S0061,Ravi Ramachandran,Co-founder & CEO,,,,,SRC01124,HIGH
P0299,S0061,Projjol Banerjea,Co-founder / Director,,,,,SRC01121,HIGH
P0300,S0061,Swathi Kulkarni,Co-founder,,,,,SRC01125,MEDIUM
P0298,S0061,Abhishek Ramanathan,Co-founder,,,,,SRC01133,MEDIUM
P0302,S0061,Sunitha Viswanathan,Nominee Director,,,,,SRC01121,MEDIUM
P0303,S0062,Akshat Nayyar,Co-founder & CEO,,,,,SRC01138,HIGH
P0304,S0062,Dr. Kunal Wani,Co-founder,,,,,SRC01144,HIGH
P0305,S0062,Kishor Kumar,Grievance Officer,,,,,SRC01145,MEDIUM
P0310,S0063,Keshav Porwal,"MD, Capital India Finance Ltd (seller side)",,,,,SRC01164,MEDIUM
P0309,S0063,Satrajit Bhattacharya,Founder & Vice Chairman / Whole-Time Director,,,,,SRC01163,HIGH
P0307,S0063,Anil Kothuri,MD & CEO / Additional Director,,,,,SRC01169,HIGH
P0311,S0063,Gopal Jain,Nominee Director,,,,,SRC01169,HIGH
P0312,S0063,Sanjiv Chadha,Nominee Director,,,,,SRC01169,HIGH
P0308,S0063,Kamal Rathi,Co-founder (technology),,,,,SRC01172,MEDIUM
P0313,S0063,Mahima Agrawal,Company Secretary,,,,,SRC01169,HIGH
P0317,S0064,Amit Kumar Agarwal,Co-founder & CEO,,,,,SRC01190,HIGH
P0315,S0064,Akhil Gupta,Co-founder & CTO,,,,,SRC01190,HIGH
P0320,S0065,Ram Shriram,Board member (joined May 2026),,,,,SRC01201,MEDIUM
P0321,S0066,Anirudh Sharma,Founder & CEO,,,,,SRC01220,HIGH
P0322,S0066,Rahul Rawat,Co-founder & COO,,,,,SRC01224,HIGH
P0323,S0066,Tanveer Ahmed,Co-founder & CTO,,,,,SRC01225,HIGH
P0325,S0067,Bhavin Pandya,Co-founder & Co-CEO,,,,,SRC01236,HIGH
P0324,S0067,Trivikraman Thampy,Co-founder & Co-CEO,,,,,SRC01236,HIGH
P0326,S0067,Shubham Aryan,Co-founder,,,,,SRC01241,MEDIUM
P0327,S0067,Saroj Panigrahi,COO → CEO,,,,,SRC01246,HIGH
P0328,S0067,Vikrant Goyal,CHRO,,,,,SRC01236,MEDIUM
P0329,S0067,Ritesh Agarwal,SVP Engineering,,,,,SRC01236,MEDIUM
P0330,S0067,Avik Kanungo,Director - Brand & Marketing Strategy,,,,,SRC01241,MEDIUM
P0331,S0067,Neha Singhvi,"VP - Public Affairs, Communications & CSR",,,,,SRC01241,MEDIUM
P0332,S0067,Manish Arora,Director of Product Management,,,,,SRC01241,MEDIUM
P0333,S0067,Jonathan A Sawyer,Board Member,,,,,SRC01242,MEDIUM
P0334,S0067,Frederick Emmer Pollock,Board Member,,,,,SRC01242,MEDIUM
P0335,S0067,John Scott Salter,Independent Board Member,,,,,SRC01242,MEDIUM
P0336,S0068,Aaditya Sharda,Co-founder,,,,,SRC01267,HIGH
P0337,S0068,Souvik Sengupta,Co-founder,,,,,SRC01267,HIGH
P0338,S0068,Shantanu Dutta,NOT a founder,,,,,,LOW
P0339,S0068,Nikhil Kamath,Investor,,,,,SRC01255,HIGH
P0167,S0070,Sachin Bansal,"Founder, Executive Chairman",,,,,SRC01286,HIGH
P0342,S0070,Ankit Agarwal,"Co-founder, CFO/ED",,,,,SRC01290,HIGH
P0343,S0070,Abhishek Dwivedi,MD and CEO,,,,,SRC00082,HIGH
P0344,S0070,Rajiv Naresh,Managing Director,,,,,SRC01292,MEDIUM
P0345,S0070,Mahima Gautam,CFO,,,,,SRC01290,HIGH
P0346,S0070,Siddhartha Basu,Chief of Staff to CFO,,,,,SRC01292,MEDIUM
P0347,S0070,Sharth Mandan,"Director, Data Science",,,,,SRC01292,MEDIUM
P0348,S0070,Naseem Halder,Group Chief Information Security Officer,,,,,SRC01292,MEDIUM
P0349,S0070,Prashanth Ravula,"Senior Manager, AI Strategy and Ops",,,,,SRC01295,MEDIUM
P0350,S0070,Chanchal Kumar,Company Secretary,,,,,SRC01290,HIGH
P0351,S0070,Amit Jambotkar,CTO,,,,,SRC01290,HIGH
P0352,S0070,Hina Doon,CCO,,,,,SRC01290,HIGH
P0348,S0070,Naseem Halder,Group CISO,,,,,SRC01292,MEDIUM
P0353,S0070,Shivam Tewari,CRO,,,,,SRC01292,MEDIUM
P0359,S0071,Kartheeswaran KK,Co-founder & CEO,,,,,SRC01313,HIGH
P0354,S0071,Thirukumaran Nagarajan,Co-founder (ex-CEO),,,,,SRC01314,HIGH
P0358,S0071,Vasudevan Chinnathambi,Co-founder,,,,,SRC01313,HIGH
P0357,S0071,Sharath Loganathan,Co-founder,,,,,SRC01313,HIGH
P0356,S0071,Ashutosh Vikram,Co-founder,,,,,SRC01314,HIGH
P0361,S0071,Vivek Venkatesan,CFO,,,,,SRC01313,HIGH
P0362,S0071,Mohammed Aehthesham,CTO,,,,,SRC01313,HIGH
P0363,S0071,Harish Swaminathan,Head - Product & Analytics,,,,,SRC01313,HIGH
P0364,S0071,Noopur Singla,Head - Corporate Development,,,,,SRC01313,HIGH
P0365,S0071,Naveena Raja,Head - Strategy & Supply Chain,,,,,SRC01313,HIGH
P0366,S0071,Shri Chakravarthy,Business Head - Ninjaglobal,,,,,SRC01313,HIGH
P0367,S0071,Kaushik Gopal,Head - Ninja Mandi,,,,,SRC01313,HIGH
P0368,S0071,Dennis John,General Counsel,,,,,SRC01313,HIGH
P0369,S0071,Surya Omar,Head - Human Resources,,,,,SRC01313,HIGH
P0360,S0071,Sachin Jose,Co-founder,,,,,SRC01315,MEDIUM
P0374,S0072,B. Amrish Rau,CEO,,,,,SRC01325,HIGH
P0374,S0072,B. Amrish Rau,CEO and Managing Director,,,,,SRC01329,HIGH
P0370,S0072,Lokvir Kapoor,"Executive Chairman, Co-founder",,,,,SRC01330,HIGH
P0371,S0072,Rajul Garg,Co-founder (left 2003),,,,,SRC01340,HIGH
P0375,S0072,Sameer Kamath,Group CFO,,,,,SRC01331,HIGH
P0376,S0072,Marc Mathenz,Former Group CFO,,,,,SRC01341,HIGH
P0377,S0073,Aravind Mani,Co-founder & CEO,,,,,SRC01372,
P0378,S0073,Vipin George,Co-founder & CPO,,,,,SRC01372,
P0379,S0074,Srikrishnan Ganesan,Co-founder & CEO,,,,,SRC01377,
P0380,S0074,Vignesh Girishankar,Co-founder,,,,,SRC01377,
P0381,S0074,Deepak Bala,Co-founder & CTO,,,,,SRC01377,
P0382,S0075,Mohit Kumar,Co-founder & CEO,,,,,SRC01390,
P0383,S0075,Vatsal Singhal,Co-founder & CTO,,,,,SRC01397,
P0384,S0075,Bhuvan Srinivasan,Chief Business Officer,,,,,SRC01416,HIGH
P0385,S0075,Yogesh Mittal,Group CFO,,,,,SRC01408,MEDIUM
P0386,S0075,Neeraj Kumar,Vice President Operations,,,,,SRC01408,MEDIUM
P0387,S0075,Vincent Lamoureux,VP Business Development EMEA,,,,,SRC01414,MEDIUM
P0388,S0075,Aditi Bhattacharya,VP Science,,,,,SRC01414,MEDIUM
P0389,S0075,Hussain Ahamed,Strategic Partnerships Americas,,,,,SRC01405,MEDIUM
P0390,S0075,Apoorv Shankar,exited,,,,,SRC01414,MEDIUM
P0393,S0076,Rajat Luthra,CEO (ex-KFC India CEO per secondary summary),,,,,SRC01438,MEDIUM
P0393,S0076,Rajat Luthra,CEO,,,,,SRC01438,MEDIUM
P0391,S0076,Sushant Goel,Co-founder,,,,,SRC01438,HIGH
P0392,S0076,Ayush Bathwal,Co-founder,,,,,SRC01438,HIGH
P0321,S0076,Anirudh Sharma,Co-founder,,,,,SRC01438,HIGH
P0394,S0076,Nathan Ingleby,,,,,,,LOW
P0395,S0076,Naama Raz,,,,,,,LOW
P0396,S0076,Vishakha Suresh,,,,,,,LOW
