investor_id,name,type,geography,companies_backed,total_rounds,lead_rounds,first_investment,startup_ids,source_id,notes
INV0055,Matrix Partners India (now Z47),VC,"Bengaluru, India",1,0,0,,S0006,SRC00117,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0056,Z47,VC,"Mumbai, India",7,0,0,,S0006;S0085;S0090;S0107;S0123;S0127;S0143,SRC00118,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0057,Blackstone,PE,"New York, US",2,0,1,,S0006;S0163,SRC00115,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0058,Teachers' Venture Growth,PE,"Toronto, Canada",1,0,0,,S0006,SRC00115,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0059,TVS Capital,VC,"Chennai, India",3,0,1,,S0006;S0098;S0176,SRC00115,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0060,360 ONE Asset,PE,"Mumbai, India",5,0,2,,S0006;S0066;S0092;S0126;S0234,SRC00115,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
INV0061,Z47 (fka Matrix Partners India),VC,"Mumbai, India",1,0,1,,S0006,SRC00117,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0062,Blackstone (private equity funds affiliated),PE,"New York, US",0,0,0,,,,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=0); no quality rating.
INV0063,Norwest Venture Partners,VC,,5,0,0,,S0007;S0056;S0085;S0120;S0177,SRC00137,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
INV0064,Falcon Edge,VC,UNKNOWN,2,0,0,,S0008;S0041,SRC00145,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0065,Sofina,,,4,0,0,,S0008;S0072;S0110;S0258,SRC00146,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0066,Alpha Wave Global,Investment Firm,"New York, USA",8,0,1,,S0008;S0072;S0075;S0085;S0112;S0139;S0231;S0310,SRC00146,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=8); no quality rating.
INV0067,Dragoneer,VC,UNKNOWN,2,0,0,,S0008;S0054,SRC00146,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0068,Technology Crossover Ventures (TCV),,,1,0,0,,S0009,SRC00162,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0069,Partners Group,PE,"Baar, Switzerland",1,0,1,,S0009,SRC00154,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0070,KKR,PE,"New York, USA",6,0,5,,S0009;S0044;S0048;S0169;S0170;S0350,SRC00154,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0071,Gravity Holdings,,,1,0,0,,S0009,SRC00154,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0072,Teachers' Venture Growth (OTPP),PE,"Toronto, Canada",1,0,0,,S0009,SRC00156,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0073,Together Fund,,,2,0,0,,S0010;S0290,SRC00168,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0074,Prosus Ventures,VC,Netherlands,6,0,2,,S0010;S0094;S0103;S0141;S0144;S0207,SRC00170,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0075,Khosla Ventures,Venture Capital,"Menlo Park, USA",4,0,2,,S0010;S0014;S0026;S0040,SRC00167,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0076,Creaegis,PE,"Bengaluru, India",3,0,3,,S0010;S0076;S0110,SRC00167,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0077,MNI Ventures-Claypond Capital,,,1,0,0,,S0010,SRC00167,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0078,Sentinel Global,,,1,0,0,,S0010,SRC00167,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0079,Google AI Futures Fund,CVC-corporate,"Mountain View, CA, USA",1,0,0,,S0010,SRC00168,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0080,Sequoia India,,,3,0,0,,S0011;S0040;S0228,SRC00180,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0081,Sequoia India (Peak XV),,,1,0,0,,S0011,SRC00180,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0082,Propel Venture Partners,VC,"San Francisco, US",1,0,0,,S0011,SRC00180,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0083,Kauffman Fellows,,,1,0,0,,S0011,SRC00180,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0084,Sequoia Capital India,VC,"Bengaluru, India",8,0,0,,S0011;S0024;S0037;S0049;S0090;S0096;S0112;S0228,SRC00179,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=8); no quality rating.
INV0085,YC Continuity,,,1,0,0,,S0011,SRC00179,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0086,Iconiq Growth,,,1,0,0,,S0011,SRC00178,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0087,Alkeon,,,1,0,0,,S0011,SRC00178,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0088,Steadfast,,,2,0,0,,S0011;S0054,SRC00178,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0089,Iconiq Capital,Investment Firm,,1,0,0,,S0011,SRC00176,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0090,Peak XV Partners (fka Sequoia India),VC,"Bengaluru, India",1,0,1,,S0011,SRC00203,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0091,Iconiq Growth/Capital,,,1,0,1,,S0011,SRC00178,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0092,GIC (Singapore),Sovereign Wealth Fund,Singapore,0,0,0,,,,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=0); no quality rating.
INV0093,Fidelity,Financial Services,"Boston, MA, USA",7,0,0,,S0012;S0049;S0072;S0135;S0139;S0142;S0231,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0094,Think Investments,VC,India,7,0,0,,S0012;S0041;S0049;S0141;S0150;S0182;S0287,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0095,Malabar Investments,Other,UNKNOWN,2,0,0,,S0012;S0083,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0096,Harbor Spring Capital,,,1,0,0,,S0012,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0097,Neuberger Berman,,,1,0,0,,S0012,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0098,White Oak,,,1,0,0,,S0012,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0099,Neeraj Arora,,,1,0,0,,S0012,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0100,Globespan Capital Partners,Venture Capital,UNKNOWN,1,0,1,,S0012,SRC00217,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0101,EvolutionX Debt Capital,Debt Fund,,1,0,0,,S0012,SRC00217,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0102,Fidelity Investments,Asset Management,"Boston, MA, USA",6,0,2,,S0012;S0032;S0043;S0072;S0135;S0287,SRC00220,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0103,Tiger Global Management,Hedge Fund/VC,"New York, USA",12,0,4,,S0037;S0053;S0064;S0067;S0069;S0085;S0086;S0120;S0134;S0139;S0142;S0287,SRC00663,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=12); no quality rating.
INV0104,Matrix Partners India (Z47),VC,"Bengaluru, India",1,0,1,,S0013,SRC00242,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0105,others,Other,UNKNOWN,7,0,0,,S0013;S0023;S0025;S0029;S0198;S0256;S0331,SRC00239,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0106,Bhavish Aggarwal (family office),,,1,0,0,,S0013,SRC00240,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0107,"Axis Trustee Services (on behalf of Avendus, InCred, India Credit Opportunities)",,,1,0,0,,S0013,SRC00254,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0108,Avendus,,,1,0,0,,S0013,SRC00254,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0109,InCred,,,4,0,0,,S0013;S0098;S0138;S0259,SRC00254,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0110,India Credit Opportunities,,,1,0,0,,S0013,SRC00254,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0111,HCLTech,CVC-corporate,"Noida, India",1,0,1,,S0014,SRC00262,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0112,Bessemer Venture Partners,VC,"San Francisco, CA, USA",8,0,6,,S0014;S0048;S0145;S0165;S0193;S0239;S0268;S0305,SRC00262,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=8); no quality rating.
INV0113,Activate,,,1,0,0,,S0014,SRC00262,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0114,Nvidia,CVC-corporate,"Santa Clara, CA, USA",2,0,2,,S0014;S0140,SRC00265,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0115,Gaja Capital,PE,"Mumbai, India",6,0,1,,S0014;S0029;S0046;S0063;S0104;S0163,SRC00265,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0116,IndiGo Ventures,,,2,0,0,,S0014;S0148,SRC00265,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0117,Glade Brook Capital,VC,UNKNOWN,3,0,0,,S0014;S0058;S0258,SRC00265,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0118,Lightspeed Venture Partners,VC,"Menlo Park, USA",11,0,4,,S0014;S0022;S0023;S0027;S0040;S0052;S0063;S0114;S0138;S0143;S0145,SRC00264,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=11); no quality rating.
INV0119,Insight Partners,Software-focused VC,"New York, USA",7,0,4,,S0015;S0017;S0034;S0053;S0074;S0134;S0305,SRC00282,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0120,Rajan Bajaj,,,1,0,0,,S0015,SRC00279,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0121,Elevation Capital,VC,India,14,0,2,,S0015;S0023;S0049;S0052;S0064;S0107;S0145;S0154;S0158;S0163;S0189;S0195;S0226;S0287,SRC00276,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=14); no quality rating.
INV0122,Neo Wealth,Other,"Mumbai, India",1,0,1,,S0015,SRC00278,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0123,Kado Global,,,1,0,0,,S0015,SRC00278,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0124,Moore Strategic Ventures,Other,"New York, US",4,0,0,,S0015;S0052;S0064;S0310,SRC00278,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0125,Blume Ventures,VC,India,13,0,2,,S0015;S0055;S0058;S0075;S0081;S0099;S0117;S0119;S0178;S0183;S0237;S0271;S0292,SRC00277,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=13); no quality rating.
INV0126,Temasek and others,Sovereign/Govt,Singapore,1,0,0,,S0016,SRC00292,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0127,Temasek,Sovereign,Singapore,13,0,4,,S0016;S0019;S0025;S0038;S0044;S0050;S0052;S0058;S0065;S0072;S0142;S0212;S0231,SRC00292,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=13); no quality rating.
INV0128,angels incl. Bessemer/Steve Blank per CB Insights,,,1,0,0,,S0017,SRC00347,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0129,BOND,VC,"San Francisco, USA",2,0,1,,S0017;S0034,SRC00332,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0130,BEENEXT,VC,Singapore,5,0,1,,S0018;S0064;S0090;S0099;S0117,SRC00352,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
INV0131,Ramesh Damani,,,2,0,0,,S0018;S0331,SRC00352,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0132,DSP Family Office,,,1,0,0,,S0018,SRC00352,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0133,JM Financial Family Office,,,1,0,0,,S0018,SRC00352,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0134,Aashish Somaiyaa,,,1,0,0,,S0018,SRC00352,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0135,Mirae Asset Venture Investments,VC,,2,0,1,,S0018;S0116,SRC00354,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0136,Kunal Shah,,,5,0,0,,S0018;S0024;S0075;S0106;S0271,SRC00354,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
INV0137,Kalyan Krishnamurthy,,,1,0,0,,S0018,SRC00354,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0138,Sameer Nigam,,,1,0,0,,S0018,SRC00354,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0139,Amrish Rau,,,1,0,0,,S0018,SRC00354,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0140,Pravin Jadhav,,,1,0,0,,S0018,SRC00354,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0141,Ranjan Pai (MEMG),,,1,0,0,,S0019,,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0142,Prosus,PE,"Amsterdam, Netherlands",7,0,3,,S0019;S0049;S0051;S0070;S0094;S0144;S0191,,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0143,B Capital,VC,"Boston, USA",5,0,1,,S0019;S0028;S0030;S0049;S0057,,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
