startup_id,company,funding_trend,revenue_trend,profitability_trend,hiring_trend,product_trend,investor_trend,technology_evidence,regulatory_trend,explanation,confidence,evidence_count,notes
S0001,Juspay,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,17,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0044,Rebel Foods,UP,UP,STABLE,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,21,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0045,Drools,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,9,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0046,Fractal Analytics,UP,STABLE,PROFITABLE,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0047,Jumbotail,UP,STABLE,LOSS_MAKING,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0048,Livspace,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0049,Meesho,UP,UP,LOSS_MAKING,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,17,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0050,Ola (ANI Technologies),UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0051,Rapido,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,22,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0052,ShareChat,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,16,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0053,Apna,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0054,BharatPe,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,6,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0055,Euler Motors,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,13,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0056,Fibe (EarlySalary),UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0057,Innovaccer,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0058,Pixxel,UP,STABLE,LOSS_MAKING,UP,STABLE,UP,TECH:2:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0059,Ecofy Finance (Ecofy),UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,6,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0060,Miko Technologies,UP,STABLE,STABLE,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0061,Nua,UP,UP,LOSS_MAKING,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,15,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0062,Truemeds,UP,STABLE,STABLE,UP,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,15,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0063,Weaver Services,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0064,NoBroker,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0065,Skyroot Aerospace,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,6,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0066,Digantara,UP,STABLE,LOSS_MAKING,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,10,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0067,Games24x7,UP,STABLE,LOSS_MAKING,UP,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,22,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0068,Infra.Market,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,19,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0069,Kinara AI,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0070,Navi,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,26,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0071,Ninjacart,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0072,Pine Labs,UP,UP,STABLE,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,18,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0073,River Mobility,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0074,Rocketlane,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0075,Ultrahuman,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,26,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0076,Third Wave Coffee,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,15,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0077,Celcius Logistics,STABLE,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,MEDIUM,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0078,Square Yards,UP,UP,STABLE,STABLE,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0079,Wint Wealth,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,6,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0080,Airbound,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0081,Ati Motors,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0082,Sapiom,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0083,boAt,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,7,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0084,MobiKwik,UP,UP,LOSS_MAKING,STABLE,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0085,OfBusiness,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,21,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0086,Pristyn Care,UP,STABLE,STABLE,UP,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,9,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0087,Swish,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0088,Hang Ten Systems,STABLE,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,MEDIUM,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0089,Moonrider,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0090,Toddle,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,13,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0091,Inito,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0092,Akasa Air,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,21,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0093,EatClub (BOX8),UP,UP,LOSS_MAKING,STABLE,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,20,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0094,Eruditus,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0095,Innovist,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
