year,city,primary_sector,stage,investor_type,capital_inr_mn,round_count,new_or_existing,disclosed_flag,notes
2012,Gurugram,ecommerce/eyewear,Series B,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2013,Bengaluru,SaaS / CRM,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2013,Bengaluru,analytics / decision sciences / AI,Corporate minority,mixed,3870.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2013,Chennai,saas/billing,Seed,mixed,103.91,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2013,Mumbai,SaaS/customer engagement,Seed,mixed,0.0,1,initial (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2013,Pune,agritech / crop inputs,Seed,mixed,63.12,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Ahmedabad,d2c baby products,Seed,mixed,40.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Bengaluru,saas/api dev,Seed,mixed,84.02,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,Home interiors marketplace,Series A,mixed,395.6,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Chennai,saas/billing,Series A,mixed,68.8,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Gurugram,proptech,Private,mixed,0.0,1,initial (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Mumbai,gaming/fantasy sports,Series A,mixed,0.0,1,initial (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Noida,fintech,Series A,mixed,0.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2014,Pune,agritech / crop inputs,Seed,mixed,55.47,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru,Logistics,Series A,mixed,1591.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru,Mobility / road transport tech,Series F,mixed,0.0,1,new:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru,logistics,Seed,mixed,41.37,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru,logistics,Series A,mixed,473.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru,saas/api dev,Seed,mixed,86.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru,social media,Seed,mixed,60.2,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,Home interiors marketplace,Series A (second tranche),mixed,739.6,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Seed,mixed,169.42,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,"Bengaluru, Karnataka",Horizontal ecommerce / social commerce,Seed,mixed,25.8,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Chennai,saas/billing,Series B,mixed,430.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Gurugram,B2B supply-chain commerce / fintech,Series A,mixed,369.8,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Gurugram,auto marketplace | used cars,Series A,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Gurugram,ecommerce/eyewear,Series C,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Hyderabad,Beauty-Tech SaaS,Series A,mixed,516.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Mumbai,fintech/trade finance,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Mumbai,foodtech cloud kitchen,Seed/Early,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Mumbai,insurtech,Early VC,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Pune,agritech / crop inputs,Series A,mixed,344.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2015,Pune,logistics,Series A,mixed,1075.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,AI / computer vision / fleet safety telematics,Series A,mixed,1558.32,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,electric mobility / EV powertrain,Series A,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,fintech / travel-fintech,Seed,mixed,98.9,2,initial (DERIVED):1; all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,fitness/healthtech,Series A,mixed,1290.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,logistics,Series B,mixed,344.0,2,all-follow-on (DERIVED):1; mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,saas/api dev,Series A,mixed,602.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru,social media,Series A,mixed,344.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,Home interiors marketplace,Series B,mixed,1290.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,"Bengaluru, Karnataka",Mobility / road transport tech (bike taxi-led multimodal),Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Gurugram,B2B supply-chain commerce / fintech,Series B,mixed,956.32,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Gurugram,ecommerce/eyewear,Series D,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Gurugram,fintech,Series C,mixed,4300.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Hyderabad,Beauty-Tech SaaS,Series B,mixed,1290.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Indore,b2b retail supply,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Mumbai,enterprise AI/analytics,Series C,mixed,8600.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Mumbai,fintech lending,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Mumbai,fintech lending,Series A,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2016,Mumbai,foodtech cloud kitchen,Series B/C,mixed,0.0,1,all-new-investors (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,Mobility / EV,Seed,mixed,129.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,WealthTech,Seed,mixed,0.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,defence imaging / electro-optics,Series B,mixed,1462.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,insurtech,Seed,mixed,2580.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,logistics,Series B,mixed,288.1,2,all-follow-on (DERIVED):1; mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,proptech / flex workspace (managed offices),Angel,mixed,26.83,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru,social media,Series B,mixed,688.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Bengaluru (India ops) / San Francisco (HQ),SaaS / API platform (GraphQL),Seed,mixed,137.6,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Series A,mixed,980.4,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Gurugram,ecommerce/eyewear,Series E,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Mumbai,edtech exec education,Stake acquisition,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Mumbai,fintech lending,Series B,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Mumbai,foodtech/cloud kitchen,Series A,mixed,0.0,1,initial (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Mumbai,gaming/fantasy sports,Series C,mixed,186.62,1,mixed (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2017,Pune,agritech / crop inputs,Series B,mixed,860.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,AI / computer vision / fleet safety telematics,Series B,mixed,1806.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,Logistics SaaS / AI supply chain optimization,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,agritech (dairy tech),Series B,mixed,1204.0,1,initial (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,agritech supply chain,Series B,mixed,3100.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,d2c / baby tech,Angel,mixed,335.22,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,ecommerce,Acquisition (majority stake),mixed,1376000.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,ecommerce,Acquisition (majority),mixed,1376000.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,fintech / travel-fintech,Series A,mixed,1135.26,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,fitness/healthtech,Series B,mixed,0.0,1,new:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,insurtech,Series B,mixed,1032.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,logistics,Series C,mixed,662.2,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,proptech / flex workspace (managed offices),Series A,mixed,1290.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru,social media,Series C,mixed,4300.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,Home interiors marketplace,Series C,mixed,6020.0,1,unknown:1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Chennai,saas/billing,Series C,mixed,1579.34,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Gurugram,B2B supply-chain commerce / fintech,Series C,mixed,2519.8,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Gurugram,Renewable Energy / IPP,Debt Financing,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Gurugram,ecommerce/eyewear,Series F,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Kolkata,fintech/market analytics,seed/early,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Mumbai,fintech lending,Series C,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Mumbai,fintech/trade finance,Series A,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Mumbai,foodtech/cloud kitchen,Series B,mixed,0.0,1,all-new-investors (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Mumbai,gaming/fantasy sports,Series D,mixed,8600.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,"Mumbai (India HQ / ops); corporate HQ Dublin, Ireland",SaaS / dev testing,Series A,mixed,4300.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Noida,fintech,Private,mixed,10750.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Noida,fintech,Series B,mixed,7052.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2018,Noida,fintech,Series C,mixed,10750.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,Logistics,Series D,mixed,5160.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,Mobility / EV,Series A,mixed,1032.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,Mobility / road transport tech,Series J,mixed,0.0,1,new:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,SaaS / CRM,Series A,mixed,258.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,WealthTech,Series A,mixed,0.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,agritech supply chain,Series C,mixed,7740.0,1,unknown:1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,d2c / baby tech,Seed,mixed,86.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,fintech / travel-fintech,Series B,mixed,3010.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,fintech infra,Series C,mixed,6450.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,fintech wealthtech,Series A,mixed,533.2,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,fintech/card infra,Series C,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,gaming rmg,Seed,mixed,86.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,healthtech / wearables,Seed,mixed,0.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,hr-tech/jobs,Seed,mixed,258.0,1,new:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,insurtech,Series C,mixed,5590.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,logistics,Series C,mixed,860.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,media (Josh/Dailyhunt),Series F,mixed,2150.0,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,proptech,Series C,mixed,4386.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,proptech,Series D,mixed,11180.0,2,unknown:1; all-new-investors (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,robotics vision,Seed,mixed,66.65,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,saas/api dev,Series B,mixed,4300.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,social media,Series D,mixed,8600.0,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru,spacetech analytics,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East,Home interiors marketplace,Series D,mixed,0.0,1,unknown:1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2019,"Bengaluru, Karnataka",B2B ecommerce (food & grocery),Series B,mixed,1358.8,1,mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
