founder_id,person_id,startup_id,name,role_title,founder_type,active,previous_company_first,city,sector,founder_sequence,source_id,confidence,notes
FDR0026,P0047,S0010,Madhav Jha,Co-founder (twin brother),co-founder,True,,Bengaluru,AI dev-tools / vibe-coding,1,SRC00170,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0027,P0048,S0011,Lalit Keshre,Co-founder & CEO,co-founder,True,,Bengaluru,fintech wealthtech,1,SRC00177,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0028,P0049,S0011,Harsh Jain,Co-founder & COO,co-founder,True,,Bengaluru,fintech wealthtech,1,SRC00177,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0029,P0050,S0011,Ishan Bansal,Co-founder,co-founder,True,,Bengaluru,fintech wealthtech,1,SRC00177,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0030,P0051,S0011,Neeraj Singh,Co-founder & CTO,co-founder,True,,Bengaluru,fintech wealthtech,1,SRC00189,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0031,P0056,S0012,Beerud Sheth,Co-founder & CEO,co-founder,True,,Mumbai,AI / conversational SaaS,1,SRC00231,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0032,P0060,S0013,Bhavish Aggarwal,Founder,founder,True,,Bengaluru,AI / AI cloud infrastructure,1,SRC00239,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0033,P0061,S0013,Krishnamurthy Venugopala Tenneti,Co-founding Director,co-founder,True,,Bengaluru,AI / AI cloud infrastructure,1,SRC00239,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0034,P0074,S0014,Vivek Raghavan,Co-founder,co-founder,True,,Bengaluru,AI / LLMs / sovereign models,1,SRC00274,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0035,P0075,S0014,Pratyush Kumar,Co-founder & CEO,co-founder,True,,Bengaluru,AI / LLMs / sovereign models,1,SRC00274,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0036,P0076,S0015,Rajan Bajaj,"Co-founder, MD & CEO",founder,True,,Bengaluru,fintech / digital banking,1,SRC00283,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0037,P0077,S0015,Deepak Malhotra,Co-founder,co-founder,False,,Bengaluru,fintech / digital banking,1,SRC00284,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0038,P0078,S0016,Ronnie Screwvala,Co-founder & Chairperson,founder,True,,Mumbai,Edtech / skilling,1,SRC00292,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0039,P0079,S0016,Mayank Kumar,Co-founder,co-founder,False,,Mumbai,Edtech / skilling,1,SRC00289,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0040,P0080,S0016,Phalgun Kompalli,Co-founder,co-founder,True,,Mumbai,Edtech / skilling,1,SRC00289,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0041,P0081,S0016,Ravijot Chugh,Co-founder,co-founder,False,,Mumbai,Edtech / skilling,1,SRC00289,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0042,P0086,S0017,Ritesh Arora,Co-founder & CEO,co-founder,True,,Mumbai,SaaS / dev testing,1,SRC00341,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0043,P0087,S0017,Nakul Aggarwal,Co-founder & CTO,co-founder,True,,Mumbai,SaaS / dev testing,1,SRC00341,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0044,P0088,S0018,Pravin Jadhav,"Founder & CEO, Raise Financial Services",founder,True,,Mumbai,fintech/broking,1,SRC00366,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0045,P0089,S0018,Jay Prakash Gupta,Co-founder,co-founder,True,,Mumbai,fintech/broking,1,SRC00352,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0046,P0090,S0018,Alok Pandey,Co-founder,co-founder,True,,Mumbai,fintech/broking,1,SRC00352,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0047,P0091,S0018,Raunak Rathi,Co-founder and Director,,True,,Mumbai,fintech/broking,1,SRC00357,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0048,P0092,S0019,Dharmil Sheth,Co-founder (stepped back from day-to-day Jan 2025; board/observer),co-founder,False,,Mumbai,healthtech/pharmacy,1,SRC00369,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0049,P0093,S0019,Dhaval Shah,Co-founder (stepped back Jan 2025),co-founder,False,,Mumbai,healthtech/pharmacy,1,SRC00369,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0050,P0094,S0019,Hardik Dedhia,Co-founder (stepped back Jan 2025),co-founder,False,,Mumbai,healthtech/pharmacy,1,SRC00369,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0051,P0095,S0019,Siddharth Shah,"Co-founder, continuing to lead (2025)",co-founder,True,,Mumbai,healthtech/pharmacy,1,SRC00369,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0052,P0096,S0019,Harsh Parekh,Co-founder,,True,,Mumbai,healthtech/pharmacy,1,SRC00381,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0053,P0100,S0020,Nalin Agrawal,Co-founder,co-founder,True,,Mumbai,fintech/bnpl,1,SRC00408,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0054,P0101,S0020,Anil Gelra,Co-founder,co-founder,True,,Mumbai,fintech/bnpl,1,SRC00408,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0055,P0102,S0020,Abhineet Sawa,Co-founder,co-founder,True,,Mumbai,fintech/bnpl,1,SRC00408,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0056,P0104,S0021,Ravi Kumar,Co-founder & CEO,co-founder,True,,Mumbai,fintech/broking,1,SRC00428,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0057,P0105,S0021,Shrini Viswanath,Co-founder,co-founder,True,,Mumbai,fintech/broking,1,SRC00439,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0058,P0106,S0021,Raghu Kumar,Co-founder (per 2021 press; contested — see conflicts),co-founder,True,,Mumbai,fintech/broking,1,SRC00439,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0059,P0107,S0021,Kavitha Subramanian,Co-founder (per TOI/company-signal; contested — see conflicts),co-founder,True,,Mumbai,fintech/broking,1,SRC00440,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0060,P0108,S0021,Shrinivas Viswanath,Co-founder,,True,,Mumbai,fintech/broking,1,SRC00431,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0061,P0110,S0022,Vaibhav Gupta,Co-founder & CEO,co-founder,True,,Bengaluru,b2b commerce,1,SRC00452,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0062,P0111,S0022,Sujeet Kumar,Co-founder,co-founder,True,,Bengaluru,b2b commerce,1,SRC00452,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0063,P0112,S0022,Amod Malviya,Co-founder,co-founder,False,,Bengaluru,b2b commerce,1,SRC00452,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0064,P0114,S0023,Varun Dua,Founder,founder,True,,Bengaluru,insurtech,1,SRC00458,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0065,P0115,S0023,Vishwanath Ramarao (Ram),Co-Founder,co-founder,True,,Bengaluru,insurtech,1,SRC00458,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0066,P0116,S0023,Ruchi Deepak,Founder Emeritus,founder,False,,Bengaluru,insurtech,1,SRC00458,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0067,P0118,S0024,Ashish Singhal,Co-founder & CEO,co-founder,True,,Bengaluru,crypto/fintech,1,SRC00472,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0068,P0119,S0024,Govind Soni,Co-founder & CTO,co-founder,True,,Bengaluru,crypto/fintech,1,SRC00477,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0069,P0120,S0024,Vimal Sagar Tiwari,Co-founder & COO,co-founder,True,,Bengaluru,crypto/fintech,1,SRC00477,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0070,P0121,S0025,Mukesh Bansal,Co-founder,co-founder,True,,Bengaluru,fitness/healthtech,1,SRC00491,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0071,P0122,S0025,Ankit Nagori,Co-founder (ex),co-founder,False,,Bengaluru,fitness/healthtech,1,SRC00497,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0072,P0123,S0025,Rishabh Telang,Co-founder & CEO,co-founder,True,,Bengaluru,fitness/healthtech,1,SRC00508,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0073,P0126,S0026,Krish Ramineni,Co-founder & CEO,co-founder,True,,San Francisco / Pleasanton,AI / meeting transcription,1,SRC00515,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0074,P0127,S0026,Sam Udotong,Co-founder & CTO,co-founder,True,,San Francisco / Pleasanton,AI / meeting transcription,1,SRC00515,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0075,P0128,S0027,Tanmai Gopal,Co-founder & CEO,co-founder,True,,Bengaluru,SaaS / API platform (GraphQL),1,SRC00540,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0076,P0129,S0027,Rajoshi Ghosh,Co-founder & COO,co-founder,True,,Bengaluru,SaaS / API platform (GraphQL),1,SRC00541,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0077,P0131,S0028,Samir Bodas,Co-founder (CEO until 2025; d. 2026 per GeekWire),co-founder,False,,Pune,SaaS / contract lifecycle management,1,SRC00547,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0078,P0132,S0028,Monish Darda,Co-founder & CTO,co-founder,True,,Pune,SaaS / contract lifecycle management,1,SRC00547,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0079,P0134,S0029,Nilesh Patel,Co-founder & CEO,co-founder,True,,Bengaluru,SaaS / CRM,1,SRC00558,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0080,P0135,S0029,Prashant Singh,Co-founder & COO,co-founder,True,,Bengaluru,SaaS / CRM,1,SRC00577,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0081,P0136,S0029,Sudhakar Gorti,Co-founder,co-founder,True,,Bengaluru,SaaS / CRM,1,SRC00577,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0082,P0138,S0030,Raviteja Dodda,CEO & Co-founder,co-founder,True,,Bengaluru,SaaS / customer engagement,1,SRC00587,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0083,P0139,S0030,Yashwanth Kumar (Kammara Yashwanth Kumar),"CTO, CISO & Co-founder",co-founder,True,,Bengaluru,SaaS / customer engagement,1,SRC00587,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0084,P0142,S0031,Puneet Agarwal,MD & CEO,founder,True,,Bengaluru,fintech / digital lending,1,SRC00592,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0085,P0143,S0031,Sanjay Aggarwal,Executive Director & CTO,founder,True,,Bengaluru,fintech / digital lending,1,SRC00592,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0086,P0144,S0032,Dhiraj Rajaram,Founder & CEO,founder,True,,Bengaluru,analytics / decision sciences / AI,1,SRC00598,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0087,P0145,S0032,Ambiga Subramanian (ne Dhiraj; reports vary: Priyanka Ashok listed on Tracxn),"Co-founder, ex-CEO",co-founder,False,,Bengaluru,analytics / decision sciences / AI,1,SRC00598,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0088,P0146,S0032,Ambiga Subramanian,"Co-founder, ex-CEO",,False,,Bengaluru,analytics / decision sciences / AI,1,SRC00598,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0089,P0151,S0033,Avneesh Agrawal,Co-founder & CEO,co-founder,True,,Bengaluru,AI / computer vision / fleet safety telematics,1,SRC00605,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0090,P0152,S0033,David Julian,Co-founder & CTO,co-founder,False,,Bengaluru,AI / computer vision / fleet safety telematics,1,SRC00605,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0091,P0155,S0034,Abhinav Asthana,Co-founder & CEO,co-founder,True,,Bengaluru,saas/api dev,1,SRC00612,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0092,P0156,S0034,Ankit Sobti,Co-founder & CTO,co-founder,True,,Bengaluru,saas/api dev,1,SRC00612,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0093,P0157,S0034,Abhijit Kane,Co-founder,co-founder,True,,Bengaluru,saas/api dev,1,SRC00612,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0094,P0160,S0035,Bhavin Turakhia,Co-founder & CEO,co-founder,True,,Bengaluru,fintech/card infra,1,SRC00639,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0095,P0161,S0035,Ramki Gaddipati,Co-Founder & CTO,,True,,Bengaluru,fintech/card infra,1,SRC00631,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0096,P0162,S0035,Abhijit Jaiswal,Co-Founder,,True,,Bengaluru,fintech/card infra,1,SRC00631,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0097,P0167,S0036,Sachin Bansal,Co-founder (exited 2018),co-founder,False,,Bengaluru,ecommerce,1,SRC00654,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0098,P0168,S0036,Binny Bansal,Co-founder (board exit Jan 2024),co-founder,False,,Bengaluru,ecommerce,1,SRC00647,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0099,P0172,S0037,Pranav Goel,Co-founder & CEO,co-founder,True,,Bengaluru,logistics,1,SRC00669,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0100,P0173,S0037,Uttam Digga,Co-founder & COO,co-founder,True,,Bengaluru,logistics,1,SRC00669,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0101,P0174,S0037,Vikas Choudhary,Co-founder,,UNKNOWN,,Bengaluru,logistics,1,SRC00661,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0102,P0084,S0038,Gaurav Munjal,Co-founder & CEO,co-founder,True,,Bengaluru,edtech,1,SRC00288,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0103,P0179,S0038,Roman Saini,Co-founder,co-founder,True,,Bengaluru,edtech,1,SRC00671,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0104,P0180,S0038,Hemesh Singh,Co-founder & CTO,co-founder,True,,Bengaluru,edtech,1,SRC00288,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0105,P0183,S0039,Vamsi Krishna,Co-founder & CEO,co-founder,True,,Bengaluru,edtech live classes,1,SRC00708,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0106,P0184,S0039,Pulkit Jain,Co-founder,co-founder,True,,Bengaluru,edtech live classes,1,SRC00708,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0107,P0185,S0039,Anand Prakash,Co-founder,co-founder,True,,Bengaluru,edtech live classes,1,SRC00708,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0108,P0188,S0040,Amrit Acharya,Co-founder & CEO,co-founder,True,,Bengaluru,b2b manufacturing,1,SRC00714,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0109,P0189,S0040,Amrit Pratik Acharya,Co-founder & CEO,co-founder,True,,Bengaluru,b2b manufacturing,1,SRC00714,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
