startup_id,company,milestone_type,milestone,period,value,unit,currency,source_id,confidence,notes
S0005,Zepto,current_state,"active, IPO-deferred to Feb-May 2027 window",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0006,Neysa,founded,2023-01-01,2023-01-01,,,,,DERIVED,founded date from STARTUPS
S0006,Neysa,first_funding,Seed,2024-04-10,1674.0,INR Mn,INR,SRC00117,DERIVED,first funding event from FUNDING
S0006,Neysa,latest_revenue,FY27 (PROJECTED),FY27 (PROJECTED),3.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0006,Neysa,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0007,Amagi,founded,2008,2008,,,,,DERIVED,founded date from STARTUPS
S0007,Amagi,first_funding,Series F-II,2022-11-01,7850.0,INR Mn,INR,SRC00136,DERIVED,first funding event from FUNDING
S0007,Amagi,latest_revenue,FY26,FY26,1506.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0007,Amagi,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0008,CRED,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0008,CRED,first_funding,Series E (reported Oct 2021),2021-10-01,18699.5,INR Mn,INR,SRC00145,DERIVED,first funding event from FUNDING
S0008,CRED,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0009,Darwinbox,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0009,Darwinbox,first_funding,Series D,2022-01-25,5652.0,INR Mn,INR,SRC00162,DERIVED,first funding event from FUNDING
S0009,Darwinbox,latest_revenue,FY24,FY24,392.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0009,Darwinbox,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0010,Emergent,founded,2024,2024,,,,,DERIVED,founded date from STARTUPS
S0010,Emergent,first_funding,Seed,2024-01-01,585.9,INR Mn,INR,SRC00168,DERIVED,first funding event from FUNDING
S0010,Emergent,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0011,Groww,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0011,Groww,first_funding,Series A,2019-01-23,533.2,INR Mn,INR,SRC00180,DERIVED,first funding event from FUNDING
S0011,Groww,latest_revenue,FY25,FY25,4056.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0011,Groww,acquisition,made,2025,,,,SRC00188,DERIVED,acquisition event from ACQUISITIONS
S0011,Groww,legal_event,regulatory,2026-01-14,,,,SRC00199,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0011,Groww,current_state,Public,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0012,Gupshup,founded,2004,2004,,,,,DERIVED,founded date from STARTUPS
S0012,Gupshup,first_funding,Series F,2021-04-08,7450.0,INR Mn,INR,SRC00230,DERIVED,first funding event from FUNDING
S0012,Gupshup,acquisition,made,2022-04,,,,SRC00229,DERIVED,acquisition event from ACQUISITIONS
S0012,Gupshup,current_state,Private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0013,Krutrim,founded,2023-04-01,2023-04-01,,,,,DERIVED,founded date from STARTUPS
S0013,Krutrim,first_funding,Debt,2023-10-01,1987.2,INR Mn,INR,SRC00242,DERIVED,first funding event from FUNDING
S0013,Krutrim,latest_revenue,FY26,FY26,300.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0013,Krutrim,legal_event,complaint,2025-10-26,,,,SRC00261,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0013,Krutrim,current_state,Private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0014,Sarvam AI,founded,2023-07-01,2023-07-01,,,,,DERIVED,founded date from STARTUPS
S0014,Sarvam AI,first_funding,Seed (disclosed within $41M announcement),2023-12-07,993.6,INR Mn,INR,SRC00273,DERIVED,first funding event from FUNDING
S0014,Sarvam AI,current_state,Private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0015,Slice,first_funding,Series B,2021-11-28,16390.0,INR Mn,INR,SRC00282,DERIVED,first funding event from FUNDING
S0015,Slice,latest_revenue,FY27-Q1,FY27-Q1,413.8,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0015,Slice,legal_event,notice,2022,,,,,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0015,Slice,current_state,active (bank),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0016,upGrad,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0016,upGrad,first_funding,Equity,2021-08-01,13782.5,INR Mn,INR,SRC00292,DERIVED,first funding event from FUNDING
S0016,upGrad,latest_revenue,FY25,FY25,1569.3,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0016,upGrad,acquisition,made,2026-09-01,,,,SRC00288,DERIVED,acquisition event from ACQUISITIONS
S0016,upGrad,legal_event,notice,Cleared July 2026,,,,SRC00324,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0016,upGrad,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0017,BrowserStack,founded,2011,2011,,,,,DERIVED,founded date from STARTUPS
S0017,BrowserStack,first_funding,Series A,2018-01-01,4300.0,INR Mn,INR,SRC00347,DERIVED,first funding event from FUNDING
S0017,BrowserStack,acquisition,made,2025-2026,,,,SRC00338,DERIVED,acquisition event from ACQUISITIONS
S0017,BrowserStack,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0018,Dhan,founded,2021,2021,,,,,DERIVED,founded date from STARTUPS
S0018,Dhan,first_funding,Seed,2021-02-01,,INR Mn,INR,SRC00354,DERIVED,first funding event from FUNDING
S0018,Dhan,latest_revenue,FY26,FY26,904.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0018,Dhan,acquisition,received,May 2026,,,,SRC00361,DERIVED,acquisition event from ACQUISITIONS
S0018,Dhan,legal_event,regulatory,2026-03-31,,,,SRC00355,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0018,Dhan,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0019,PharmEasy,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0019,PharmEasy,latest_revenue,FY26,FY26,6869.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0019,PharmEasy,acquisition,made,2021,,,,SRC00376,DERIVED,acquisition event from ACQUISITIONS
S0019,PharmEasy,legal_event,regulatory,2025-11-21,,,,SRC00384,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0019,PharmEasy,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0020,Snapmint,founded,2017,2017,,,,,DERIVED,founded date from STARTUPS
S0020,Snapmint,first_funding,debt+equity (unlettered),2022-10-17,1648.5,INR Mn,INR,SRC00410,DERIVED,first funding event from FUNDING
S0020,Snapmint,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0021,Upstox,founded,2009,2009,,,,,DERIVED,founded date from STARTUPS
S0021,Upstox,first_funding,Series B,2019-09-24,2150.0,INR Mn,INR,SRC00428,DERIVED,first funding event from FUNDING
S0021,Upstox,latest_revenue,FY25,FY25,1208.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0021,Upstox,legal_event,regulatory,2024-ongoing,,,,SRC00431,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0021,Upstox,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0022,Udaan,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0022,Udaan,first_funding,Series G,2025-02-17,6427.5,INR Mn,INR,SRC00443,DERIVED,first funding event from FUNDING
S0022,Udaan,legal_event,insolvency,2026-07,,,,,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0022,Udaan,current_state,"active, pre-IPO; parent insolvency proceedings reported Jul 2026",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0023,ACKO,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0023,ACKO,first_funding,Seed,2017-05-22,2580.0,INR Mn,INR,SRC00460,DERIVED,first funding event from FUNDING
S0023,ACKO,legal_event,notice,Dec 2024 request rejected; May 2025 revised plan rejected; FY26 compliance deadline,,,,SRC00459,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0023,ACKO,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0024,CoinSwitch Kuber,founded,2017,2017,,,,,DERIVED,founded date from STARTUPS
S0024,CoinSwitch Kuber,first_funding,Series A,2021-01-13,1117.5,INR Mn,INR,SRC00483,DERIVED,first funding event from FUNDING
S0024,CoinSwitch Kuber,legal_event,complaint,FY25,,,,,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0024,CoinSwitch Kuber,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0025,Cult.fit (CureFit),founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0025,Cult.fit (CureFit),first_funding,Series A,2016-07-04,1290.0,INR Mn,INR,SRC00506,DERIVED,first funding event from FUNDING
S0025,Cult.fit (CureFit),legal_event,allegation,2026-08,,,,,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0025,Cult.fit (CureFit),current_state,"active, IPO-track",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0026,Fireflies AI,first_funding,Seed,2019-10-29,,INR Mn,INR,SRC00518,DERIVED,first funding event from FUNDING
S0026,Fireflies AI,latest_revenue,FY24,FY24,3.7,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0026,Fireflies AI,legal_event,allegation,filed Dec 2025; Mar 2026 cases,,,,SRC00517,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0026,Fireflies AI,current_state,"Active, profitable",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0027,Hasura,first_funding,Seed,2017-08-02,137.6,INR Mn,INR,SRC00533,DERIVED,first funding event from FUNDING
S0027,Hasura,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0028,Icertis,first_funding,Series E,2019-07-17,9890.0,INR Mn,INR,SRC00547,DERIVED,first funding event from FUNDING
S0028,Icertis,acquisition,made,2025-11-19,,,,SRC00550,DERIVED,acquisition event from ACQUISITIONS
S0028,Icertis,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0029,LeadSquared,first_funding,Seed,2013-04-26,,INR Mn,INR,SRC00572,DERIVED,first funding event from FUNDING
S0029,LeadSquared,latest_revenue,FY25,FY25,366.3,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0029,LeadSquared,current_state,"Active, loss-making, narrowing losses",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0030,MoEngage,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0030,MoEngage,first_funding,Series E,2022-06-01,6044.5,INR Mn,INR,SRC00581,DERIVED,first funding event from FUNDING
S0030,MoEngage,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0031,Moneyview,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0031,Moneyview,first_funding,Series E,2022-12-26,5887.5,INR Mn,INR,SRC00589,DERIVED,first funding event from FUNDING
S0031,Moneyview,latest_revenue,FY25,FY25,2339.1,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0031,Moneyview,acquisition,made,2024-09-12,,,,SRC00594,DERIVED,acquisition event from ACQUISITIONS
S0031,Moneyview,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0032,Mu Sigma,founded,2004,2004,,,,,DERIVED,founded date from STARTUPS
S0032,Mu Sigma,first_funding,Series A / growth,2008-09-25,2580.0,INR Mn,INR,SRC00598,DERIVED,first funding event from FUNDING
S0032,Mu Sigma,latest_revenue,FY25,FY25,500.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0032,Mu Sigma,legal_event,litigation,2016-03-10,,,,SRC00598,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0032,Mu Sigma,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0033,Netradyne,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0033,Netradyne,first_funding,Series A,2016-07-15,1558.32,INR Mn,INR,SRC00607,DERIVED,first funding event from FUNDING
S0033,Netradyne,acquisition,made,2026,,,,SRC00610,DERIVED,acquisition event from ACQUISITIONS
S0033,Netradyne,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0034,Postman,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0034,Postman,first_funding,Seed,2014-10-31,84.02,INR Mn,INR,SRC00615,DERIVED,first funding event from FUNDING
S0034,Postman,latest_revenue,FY24,FY24,185.7,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0034,Postman,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0035,Zeta,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0035,Zeta,first_funding,Series C,2019-07-23,,INR Mn,INR,SRC00638,DERIVED,first funding event from FUNDING
S0035,Zeta,latest_revenue,FY24,FY24,893.12,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0035,Zeta,legal_event,regulatory,2020-12,,,,SRC00628,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0035,Zeta,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0036,Flipkart,founded,2007,2007,,,,,DERIVED,founded date from STARTUPS
S0036,Flipkart,first_funding,Acquisition (majority stake),2018-05-09,1376000.0,INR Mn,INR,SRC00651,DERIVED,first funding event from FUNDING
S0036,Flipkart,latest_revenue,FY25,FY25,20433.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0036,Flipkart,legal_event,investigation,2020-01-13,,,,SRC00652,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0036,Flipkart,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0037,Porter,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0037,Porter,first_funding,Seed,2015-02-20,41.37,INR Mn,INR,SRC00662,DERIVED,first funding event from FUNDING
S0037,Porter,latest_revenue,FY25,FY25,4306.2,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0037,Porter,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0038,Unacademy,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0038,Unacademy,first_funding,Series H,2021-08-01,32780.0,INR Mn,INR,SRC00288,DERIVED,first funding event from FUNDING
S0038,Unacademy,latest_revenue,FY25,FY25,826.3,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0038,Unacademy,legal_event,investigation,2026-07-07,,,,SRC00685,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0038,Unacademy,current_state,acquired (Sep 2026),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0039,Vedantu,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0039,Vedantu,first_funding,Series F,2025-09-26,,INR Mn,INR,SRC00699,DERIVED,first funding event from FUNDING
S0039,Vedantu,latest_revenue,FY25,FY25,227.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0039,Vedantu,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0040,Zetwerk,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0040,Zetwerk,first_funding,Series E,2021-08-20,11175.0,INR Mn,INR,SRC00723,DERIVED,first funding event from FUNDING
S0040,Zetwerk,latest_revenue,FY26,FY26,15913.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0040,Zetwerk,legal_event,litigation,2026-07-22,,,,SRC00725,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0040,Zetwerk,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0041,Dream11 (Dream Sports),founded,2008,2008,,,,,DERIVED,founded date from STARTUPS
S0041,Dream11 (Dream Sports),first_funding,Series A,2014,,INR Mn,INR,SRC00747,DERIVED,first funding event from FUNDING
S0041,Dream11 (Dream Sports),legal_event,ruling,"Passed Lok Sabha Aug 20, Rajya Sabha Aug 21, 2025",,,,SRC00738,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0041,Dream11 (Dream Sports),current_state,operating-pivoting (RMG shut Aug 2025; free-to-play + non-RMG pivot),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0042,InMobi,founded,2007,2007,,,,,DERIVED,founded date from STARTUPS
S0042,InMobi,first_funding,"Equity (early backer; ~$200-220M invested, per ET Dec 2025)",2011,,INR Mn,INR,SRC00752,DERIVED,first funding event from FUNDING
S0042,InMobi,latest_revenue,FY25,FY25,470.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0042,InMobi,acquisition,made,,,,,SRC00759,DERIVED,acquisition event from ACQUISITIONS
S0042,InMobi,legal_event,regulatory,2024-07,,,,SRC00760,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0042,InMobi,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0043,Nykaa,founded,2012-04-01,2012-04-01,,,,,DERIVED,founded date from STARTUPS
S0043,Nykaa,first_funding,Primary (unicorn round),2019-03-01,,INR Mn,INR,SRC00777,DERIVED,first funding event from FUNDING
S0043,Nykaa,latest_revenue,Q1 FY27,Q1 FY27,2782.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0043,Nykaa,acquisition,made,2026-08-04,,,,SRC00781,DERIVED,acquisition event from ACQUISITIONS
S0043,Nykaa,current_state,listed-operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0044,Rebel Foods,founded,2011,2011,,,,,DERIVED,founded date from STARTUPS
S0044,Rebel Foods,first_funding,Series A,2017,,INR Mn,INR,SRC00795,DERIVED,first funding event from FUNDING
S0044,Rebel Foods,latest_revenue,FY26,FY26,1957.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0044,Rebel Foods,acquisition,made,2022-04-07,,,,SRC00791,DERIVED,acquisition event from ACQUISITIONS
S0044,Rebel Foods,legal_event,regulatory,2024-12,,,,SRC00785,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0044,Rebel Foods,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0045,Drools,founded,2009,2009,,,,,DERIVED,founded date from STARTUPS
S0045,Drools,first_funding,Private Equity minority,2023-06-20,4968.0,INR Mn,INR,SRC00797,DERIVED,first funding event from FUNDING
S0045,Drools,latest_revenue,FY25,FY25,932.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0045,Drools,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0046,Fractal Analytics,founded,2000,2000,,,,,DERIVED,founded date from STARTUPS
S0046,Fractal Analytics,first_funding,Series C,2016-05-10,8600.0,INR Mn,INR,SRC00824,DERIVED,first funding event from FUNDING
S0046,Fractal Analytics,acquisition,made,2018-03,,,,SRC00823,DERIVED,acquisition event from ACQUISITIONS
S0046,Fractal Analytics,current_state,public,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0047,Jumbotail,founded,2015-11-04,2015-11-04,,,,,DERIVED,founded date from STARTUPS
S0047,Jumbotail,first_funding,Seed,2015-12-16,169.42,INR Mn,INR,SRC00837,DERIVED,first funding event from FUNDING
S0047,Jumbotail,latest_revenue,FY25,FY25,725.1,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0047,Jumbotail,legal_event,acquisition,2025-05-27,,,,SRC00849,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0047,Jumbotail,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0048,Livspace,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0048,Livspace,first_funding,Series A,2014-12-17,395.6,INR Mn,INR,SRC00867,DERIVED,first funding event from FUNDING
S0048,Livspace,latest_revenue,FY23,FY23,1148.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0048,Livspace,legal_event,regulatory,2024-09-18,,,,SRC00884,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0048,Livspace,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0049,Meesho,founded,2015-12-01,2015-12-01,,,,,DERIVED,founded date from STARTUPS
S0049,Meesho,first_funding,Seed,2015,25.8,INR Mn,INR,SRC00894,DERIVED,first funding event from FUNDING
S0049,Meesho,latest_revenue,FY25,FY25,9387.5,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0049,Meesho,legal_event,investigation,2026-05,,,,SRC00905,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0049,Meesho,current_state,Active / Listed,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0050,Ola (ANI Technologies),founded,2010-12-03,2010-12-03,,,,,DERIVED,founded date from STARTUPS
S0050,Ola (ANI Technologies),first_funding,Series F,2015-12-11,,INR Mn,INR,SRC00494,DERIVED,first funding event from FUNDING
S0050,Ola (ANI Technologies),current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0051,Rapido,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0051,Rapido,first_funding,Seed,2016,,INR Mn,INR,SRC00938,DERIVED,first funding event from FUNDING
S0051,Rapido,legal_event,regulatory,2026-08-14,,,,SRC00935,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0051,Rapido,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0052,ShareChat,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0052,ShareChat,first_funding,Seed,2015-10-03,60.2,INR Mn,INR,SRC00980,DERIVED,first funding event from FUNDING
S0052,ShareChat,legal_event,regulatory,2025,,,,SRC00987,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0052,ShareChat,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0053,Apna,founded,2019,2019,,,,,DERIVED,founded date from STARTUPS
S0053,Apna,first_funding,Seed,2019-07-01,258.0,INR Mn,INR,SRC00998,DERIVED,first funding event from FUNDING
S0053,Apna,legal_event,regulatory,2025-02-19,,,,SRC00998,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0053,Apna,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0054,BharatPe,founded,2018-03-01,2018-03-01,,,,,DERIVED,founded date from STARTUPS
S0054,BharatPe,first_funding,Series C,2020-02-01,5550.0,INR Mn,INR,SRC01019,DERIVED,first funding event from FUNDING
S0054,BharatPe,legal_event,settlement,2022-2024; settled 2024-09-30,,,,SRC01014,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0054,BharatPe,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0055,Euler Motors,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0055,Euler Motors,first_funding,Series C,2022-10-03,4710.0,INR Mn,INR,SRC01031,DERIVED,first funding event from FUNDING
S0055,Euler Motors,latest_revenue,FY25,FY25,206.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0055,Euler Motors,legal_event,regulatory,FY24-FY25,,,,SRC01026,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0055,Euler Motors,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0057,Innovaccer,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0057,Innovaccer,first_funding,Series E,2021-12-14,11175.0,INR Mn,INR,SRC01054,DERIVED,first funding event from FUNDING
S0057,Innovaccer,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0058,Pixxel,first_funding,Seed,2021-03-17,543.85,INR Mn,INR,SRC01066,DERIVED,first funding event from FUNDING
S0058,Pixxel,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0059,Ecofy Finance (Ecofy),founded,2022,2022,,,,,DERIVED,founded date from STARTUPS
S0059,Ecofy Finance (Ecofy),first_funding,Series B,2024-01-12,900.0,INR Mn,INR,SRC01092,DERIVED,first funding event from FUNDING
S0059,Ecofy Finance (Ecofy),acquisition,made,2022-12-13,,,,SRC01100,DERIVED,acquisition event from ACQUISITIONS
S0059,Ecofy Finance (Ecofy),current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0060,Miko Technologies,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0060,Miko Technologies,first_funding,Series B,2021-08-11,2160.5,INR Mn,INR,SRC01113,DERIVED,first funding event from FUNDING
S0060,Miko Technologies,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0061,Nua,founded,2017,2017,,,,,DERIVED,founded date from STARTUPS
S0061,Nua,first_funding,Series A,2019,344.0,INR Mn,INR,SRC01118,DERIVED,first funding event from FUNDING
S0061,Nua,latest_revenue,FY25,FY25,96.1,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0061,Nua,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0062,Truemeds,founded,2019,2019,,,,,DERIVED,founded date from STARTUPS
S0062,Truemeds,first_funding,Seed,2020-05-16,36.84,INR Mn,INR,SRC01155,DERIVED,first funding event from FUNDING
S0062,Truemeds,legal_event,licence,2024-11-05,,,,SRC01149,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0062,Truemeds,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0063,Weaver Services,founded,2024-04-01,2024-04-01,,,,,DERIVED,founded date from STARTUPS
S0063,Weaver Services,first_funding,Growth equity,2025-08-19,14569.0,INR Mn,INR,SRC01163,DERIVED,first funding event from FUNDING
S0063,Weaver Services,latest_revenue,FY25,FY25,3886.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0063,Weaver Services,acquisition,made,2026-03-18,,,,SRC01171,DERIVED,acquisition event from ACQUISITIONS
